liga,temporada,equipo,id,nombre,posicion,dorsal,Times Tackled,Successful Passes Opposition Half,Index,Open Play Passes,Unsuccessful Launches,Backward Passes,Successful Passes Own Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels,Leftside Passes,Throw Ins to Own Player,Total Touches In Opposition Box,Games Played,Aerial Duels lost,Shots On Target ( inc goals ),Total Shots,Duels won,Unsuccessful Passes Opposition Half,Ground Duels won,Unsuccessful Long Passes,Unsuccessful Short Passes,Foul Attempted Tackle,Starts,Unsuccessful Crosses & Corners,Total Passes,Successful Open Play Passes,Unsuccessful Passes Own Half,Successful Short Passes,Forward Passes,Recoveries,Tackles Won,Unsuccessful Dribbles,Total Fouls Conceded,Ground Duels,Unsuccessful Crosses open play,Goals Conceded Inside Box,Aerial Duels,Touches,Total Tackles,Total Successful Passes ( Excl Crosses & Corners ) ,Appearances,Time Played,Interceptions,Total Losses Of Possession,Total Clearances,Goals Conceded,Ground Duels lost,Successful Long Passes,Duels lost,Successful Dribbles,Home Goals,Away Goals,Winning Goal,Total Fouls Won,Key Passes (Attempt Assists),Rightside Passes,Substitute Off,Blocked Shots,Offsides,Aerial Duels won,Tackles Lost,Successful Launches,Corners Won,Successful Lay-offs,Shots Off Target (inc woodwork),Successful Crosses & Corners,Successful Crosses open play,Substitute On,PutThrough/Blocked Distribution,Corners Taken (incl short corners),Unsuccessful Corners into Box,Blocks,PutThrough/Blocked Distribution Won,Yellow Cards,Attempts from Set Pieces,Throw Ins to Opposition Player,Saves Made from Outside Box,Saves Made,GK Unsuccessful Distribution,GK Successful Distribution,Saves Made from Inside Box,Handballs conceded,Clean Sheets,Punches,Saves made - parried,Goals,Left Foot Goals,Goals from Inside Box,Successful Corners into Box,Right Foot Goals
Concacaf_Campeones_Cup,2022,Atlas FC,apsv0c0r1zc7q3bjqex8033kl,J. Abella,Defender,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,6l5na1ucaovnml3tqjdyysbth,E. Aguilera,Defender,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,ancqubjqqf22bdzlposz8okbt,G. Aguirre,Defender,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,cxktd9vpx9m7gmgdfcy9v4n3d,D. Barbosa,Defender,15,3.0,8.0,10.0,21.0,1.0,1.0,6.0,7.0,10.0,10.0,10.0,2.0,1.0,1.0,1.0,1.0,4.0,9.0,4.0,3.0,4.0,1.0,1.0,3.0,21.0,14.0,1.0,12.0,10.0,7.0,3.0,3.0,2.0,9.0,3.0,2.0,1.0,47.0,3.0,14.0,1.0,90.0,1.0,15.0,2.0,2.0,5.0,2.0,6.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,bux3qj934czxv2imllf9o6t3p,A. Chalá,Defender,8,2.0,10.0,10.0,16.0,1.0,5.0,1.0,5.0,8.0,1.0,,3.0,1.0,3.0,,,1.0,6.0,1.0,1.0,4.0,1.0,1.0,2.0,16.0,11.0,1.0,11.0,4.0,4.0,,2.0,1.0,5.0,2.0,2.0,3.0,26.0,,11.0,1.0,59.0,3.0,10.0,1.0,2.0,4.0,,7.0,,0.0,0.0,0.0,1.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,9ilhjiaswd1oqx4xhf7wd01jp,É. Flores,Midfielder,10,,14.0,10.0,26.0,,6.0,6.0,6.0,15.0,11.0,,5.0,1.0,2.0,,,10.0,5.0,8.0,,6.0,2.0,1.0,,26.0,20.0,1.0,18.0,8.0,6.0,2.0,,3.0,11.0,,2.0,4.0,42.0,3.0,20.0,1.0,89.0,1.0,9.0,,2.0,3.0,2.0,5.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,2xchh8ku8lm05p0sd89y6gjit,J. Furch,Forward,9,2.0,14.0,10.0,27.0,,8.0,4.0,14.0,28.0,7.0,,9.0,1.0,10.0,1.0,2.0,14.0,11.0,6.0,,14.0,1.0,1.0,,31.0,13.0,3.0,17.0,10.0,4.0,,2.0,2.0,10.0,,2.0,18.0,54.0,,17.0,1.0,90.0,,24.0,,2.0,4.0,,14.0,,0.0,0.0,0.0,6.0,1.0,6.0,,1.0,,8.0,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,2hlfqnms7bs6eiy9gibc4fvft,José Hernández,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,l4rbm35vbn136hutia3pksiy,O. Herrera,Forward,7,2.0,13.0,10.0,20.0,,6.0,3.0,4.0,7.0,2.0,,1.0,1.0,,1.0,1.0,4.0,3.0,3.0,,4.0,,,1.0,20.0,16.0,2.0,14.0,5.0,3.0,1.0,,,6.0,1.0,,1.0,30.0,1.0,16.0,1.0,31.0,1.0,8.0,,,3.0,2.0,3.0,2.0,0.0,0.0,0.0,,,7.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2022,Atlas FC,dsif2f4ny3beg21vrvnociwru,J. Márquez,Midfielder,18,,15.0,10.0,31.0,1.0,5.0,8.0,10.0,2.0,7.0,1.0,,1.0,1.0,,,1.0,10.0,1.0,5.0,5.0,,1.0,1.0,32.0,21.0,1.0,21.0,14.0,2.0,,,,1.0,,2.0,1.0,41.0,,22.0,1.0,70.0,2.0,12.0,,2.0,,1.0,1.0,,0.0,0.0,0.0,1.0,,6.0,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
