liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Passes Own Half,Successful Short Passes,Unsuccessful Crosses open play,Goal Assists,Shots Off Target (inc woodwork),Duels,Goals from Inside Box,Left Foot Goals,Ground Duels,Second Goal Assists,Successful Long Passes,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Hit Woodwork,Starts,Ground Duels won,Total Fouls Won,Clean Sheets,Aerial Duels,Goals Conceded Inside Box,Total Shots,Aerial Duels lost,Through balls,Yellow Cards,Unsuccessful Short Passes,Total Clearances,PutThrough/Blocked Distribution Won,Substitute Off,Aerial Duels won,Unsuccessful lay-offs,Total Passes,Penalty Goals Conceded,Goals from Outside Box,Total Touches In Opposition Box,Set Pieces Goals,Assists (Intentional),Foul Attempted Tackle,Interceptions,Successful Launches,PutThrough/Blocked Distribution,Foul Won Penalty,Tackles Won,Penalty Goals,Touches,Goals Conceded Outside Box,Time Played,Recoveries,Successful Corners into Box,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Lay-offs,Successful Open Play Passes,Penalties Taken,Duels won,Leftside Passes,Unsuccessful Passes Opposition Half,Goals,Successful Passes Opposition Half,Successful Passes Own Half,Total Tackles,Unsuccessful Corners into Box,Unsuccessful Long Passes,Backward Passes,Index,Blocked Shots,Times Tackled,Penalties Off Target,Total Losses Of Possession,Successful Crosses & Corners,Unsuccessful Crosses & Corners,Ground Duels lost,Duels lost,Total Fouls Conceded,Successful Dribbles,Shots On Target ( inc goals ),Unsuccessful Launches,Games Played,Successful Crosses open play,Blocks,Offsides,Throw Ins to Own Player,Attempts from Set Pieces,Open Play Passes,Key Passes (Attempt Assists),Tackles Lost,Appearances,Corners Won,Rightside Passes,Corners Taken (incl short corners),Unsuccessful Dribbles,Forward Passes,Home Goals,Away Goals,Winning Goal,Substitute On,Throw Ins to Opposition Player,Clearances Off the Line,Right Foot Goals,Penalties Conceded,GK Successful Distribution,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves Made,Handballs conceded,Straight Red Cards,Total Red Cards,Other Goals,Red Cards - 2nd Yellow,Crosses not Claimed,Last Man Tackle,Goalkeeper Smother,Saves made - caught,Penalties Saved,Penalties Faced,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves from Penalty,Punches,Headed Goals,Own Goal Scored
USA_MLS,2018,Orlando City SC,427gutu4gr6yqt1s60w88ghjp,D. Powers,Midfielder,5,2.0,23.0,,,,7.0,,,5.0,,,3.0,5.0,,,3.0,1.0,,2.0,3.0,,1.0,,,4.0,1.0,1.0,,1.0,,28.0,,,,,,1.0,,,1.0,,,,37.0,,69.0,1.0,,23.0,,23.0,,4.0,5.0,3.0,,17.0,6.0,2.0,,1.0,7.0,100.0,,,,7.0,,,2.0,3.0,1.0,,,1.0,3.0,,1.0,,,,28.0,1.0,2.0,3.0,,10.0,,,6.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Orlando City SC,be9e7m54fmlghbjqbnc8lwe6t,T. Rocha,Midfielder,8,12.0,337.0,4.0,2.0,3.0,113.0,,,91.0,1.0,16.0,26.0,49.0,,9.0,55.0,20.0,,22.0,21.0,5.0,14.0,2.0,1.0,36.0,18.0,13.0,2.0,8.0,,402.0,3.0,,11.0,,2.0,9.0,11.0,2.0,22.0,,23.0,,598.0,5.0,819.0,58.0,1.0,353.0,4.0,343.0,,63.0,78.0,44.0,,154.0,202.0,29.0,2.0,13.0,79.0,95.0,2.0,,,96.0,3.0,7.0,36.0,50.0,12.0,7.0,2.0,7.0,12.0,2.0,3.0,1.0,25.0,1.0,391.0,12.0,6.0,12.0,3.0,117.0,3.0,7.0,128.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Orlando City SC,68h23wwgs1j28wo1vr2j44ogl,Uri Rosell,Midfielder,20,43.0,983.0,3.0,1.0,7.0,156.0,,,133.0,,117.0,45.0,144.0,,18.0,64.0,7.0,1.0,23.0,38.0,13.0,9.0,4.0,6.0,104.0,33.0,11.0,1.0,14.0,,1244.0,3.0,,11.0,,1.0,19.0,42.0,4.0,28.0,,28.0,,1497.0,7.0,1701.0,138.0,,1100.0,10.0,1071.0,,78.0,382.0,106.0,,582.0,522.0,51.0,1.0,40.0,121.0,100.0,4.0,,,196.0,4.0,5.0,69.0,78.0,29.0,6.0,6.0,7.0,22.0,4.0,2.0,,3.0,,1214.0,12.0,23.0,22.0,3.0,356.0,2.0,3.0,385.0,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Orlando City SC,2vyuyfhge2r7kxunl75itl5n9,L. Sané,Defender,22,24.0,461.0,,,2.0,96.0,1.0,,53.0,,37.0,27.0,67.0,,15.0,38.0,4.0,2.0,43.0,25.0,4.0,14.0,,1.0,33.0,70.0,5.0,1.0,29.0,,565.0,2.0,,8.0,,,4.0,47.0,2.0,7.0,,19.0,,760.0,2.0,1373.0,72.0,,498.0,2.0,478.0,,67.0,164.0,43.0,1.0,142.0,356.0,28.0,,34.0,28.0,77.0,,,,73.0,,,15.0,29.0,10.0,6.0,2.0,12.0,16.0,,10.0,,2.0,,544.0,2.0,9.0,16.0,,155.0,,,218.0,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0
USA_MLS,2018,Orlando City SC,7x7y8m1p75skatexs2v2xra39,C. Schuler,Defender,28,16.0,250.0,,,,51.0,1.0,,31.0,,23.0,23.0,40.0,1.0,8.0,20.0,3.0,,20.0,20.0,1.0,6.0,,3.0,18.0,29.0,3.0,,14.0,,313.0,2.0,,9.0,,,2.0,12.0,5.0,6.0,,13.0,,405.0,3.0,785.0,40.0,,273.0,,263.0,,34.0,82.0,24.0,1.0,54.0,219.0,16.0,,22.0,24.0,28.0,3.0,,,50.0,,,11.0,17.0,3.0,1.0,1.0,11.0,9.0,,5.0,,,,303.0,,3.0,9.0,3.0,85.0,,,122.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
USA_MLS,2018,Orlando City SC,8ndqdp9mhka7ggweuanmg3xlh,Stéfano,Forward,29,9.0,109.0,3.0,,8.0,85.0,2.0,,41.0,,1.0,15.0,34.0,,5.0,11.0,5.0,,44.0,11.0,14.0,29.0,,,28.0,4.0,5.0,4.0,15.0,2.0,144.0,1.0,,31.0,,,2.0,5.0,,12.0,,3.0,,263.0,4.0,595.0,13.0,,110.0,5.0,101.0,,26.0,24.0,28.0,2.0,74.0,36.0,5.0,,6.0,56.0,38.0,4.0,,,91.0,,3.0,30.0,59.0,8.0,2.0,6.0,3.0,23.0,,1.0,4.0,3.0,,135.0,2.0,2.0,23.0,5.0,34.0,,10.0,30.0,,,,18.0,1.0,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Orlando City SC,b9e4mgotgnkm1opv9cgzq8lhx,J. Spector,Defender,2,29.0,350.0,2.0,1.0,3.0,74.0,,,50.0,,26.0,23.0,85.0,,13.0,33.0,9.0,1.0,24.0,20.0,4.0,9.0,,2.0,44.0,40.0,5.0,2.0,15.0,,461.0,2.0,,9.0,,1.0,7.0,14.0,5.0,8.0,,12.0,,599.0,3.0,1060.0,37.0,,376.0,1.0,370.0,,48.0,121.0,58.0,,127.0,249.0,22.0,,41.0,35.0,25.0,,,,93.0,,2.0,17.0,26.0,9.0,2.0,1.0,21.0,13.0,,8.0,,14.0,,454.0,3.0,10.0,13.0,,94.0,,,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Orlando City SC,10r7vf53n9cmzxxi4tpaxec5,S. Sutter,Defender,21,32.0,536.0,47.0,2.0,9.0,95.0,2.0,,70.0,,34.0,38.0,106.0,1.0,18.0,39.0,8.0,1.0,25.0,33.0,14.0,11.0,,,67.0,31.0,10.0,5.0,14.0,,676.0,1.0,1.0,24.0,,1.0,5.0,17.0,6.0,22.0,,17.0,,1029.0,5.0,1567.0,85.0,,570.0,2.0,560.0,,53.0,287.0,121.0,3.0,297.0,282.0,28.0,,39.0,118.0,50.0,3.0,,,206.0,9.0,47.0,31.0,42.0,6.0,3.0,5.0,19.0,19.0,9.0,5.0,,102.0,,666.0,7.0,11.0,19.0,10.0,34.0,,3.0,237.0,,,,1.0,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
USA_MLS,2018,Orlando City SC,em17ipdeomhewev55al4viaj9,Amro Tarek,Defender,3,69.0,549.0,7.0,,2.0,129.0,1.0,,78.0,,47.0,43.0,166.0,,19.0,48.0,9.0,1.0,51.0,42.0,6.0,21.0,,3.0,65.0,83.0,6.0,2.0,30.0,,762.0,3.0,,11.0,,,7.0,49.0,14.0,12.0,,23.0,,1026.0,1.0,1697.0,111.0,,596.0,2.0,579.0,,78.0,115.0,104.0,1.0,155.0,442.0,31.0,,101.0,29.0,34.0,,,,192.0,1.0,7.0,30.0,51.0,11.0,10.0,4.0,52.0,20.0,1.0,20.0,,1.0,,739.0,2.0,8.0,20.0,2.0,220.0,,5.0,398.0,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
USA_MLS,2018,Orlando City SC,9c3hux4k853xva5puazjl2ket,D. Toia,Defender,25,7.0,77.0,2.0,1.0,1.0,39.0,,,29.0,,6.0,7.0,21.0,,3.0,9.0,2.0,,10.0,7.0,1.0,4.0,,,14.0,6.0,4.0,2.0,6.0,,104.0,,,1.0,,,3.0,3.0,,8.0,,5.0,,175.0,,238.0,16.0,,83.0,,81.0,,15.0,3.0,16.0,,47.0,36.0,6.0,,7.0,27.0,21.0,,,,42.0,,2.0,20.0,24.0,6.0,1.0,,2.0,4.0,,,,16.0,,102.0,,1.0,4.0,2.0,31.0,,3.0,43.0,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Orlando City SC,430jtuvon7l6plhlrdxb6jbv9,J. Villarreal,Midfielder,33,1.0,20.0,3.0,,,4.0,,,2.0,,2.0,2.0,5.0,,,1.0,,,2.0,2.0,,1.0,,,5.0,,,,1.0,,27.0,,,,,,1.0,,,3.0,,1.0,,32.0,,45.0,3.0,,22.0,1.0,20.0,,2.0,5.0,7.0,,16.0,6.0,1.0,,,7.0,32.0,,,,8.0,,3.0,1.0,2.0,1.0,,,,3.0,,,,1.0,,25.0,2.0,,3.0,,8.0,,,7.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Orlando City SC,dqq19igp5rfd0zu25a4ojxgid,Y. Yotún,Defender,19,46.0,1037.0,34.0,7.0,21.0,297.0,4.0,4.0,273.0,3.0,149.0,43.0,237.0,3.0,22.0,144.0,63.0,2.0,24.0,39.0,32.0,13.0,9.0,8.0,167.0,5.0,15.0,1.0,11.0,,1423.0,3.0,,27.0,,6.0,16.0,19.0,1.0,46.0,1.0,25.0,3.0,1931.0,4.0,1970.0,183.0,20.0,1186.0,29.0,1102.0,3.0,155.0,353.0,276.0,4.0,772.0,444.0,42.0,41.0,70.0,166.0,75.0,5.0,,,445.0,30.0,85.0,129.0,142.0,29.0,40.0,11.0,6.0,22.0,9.0,,,23.0,1.0,1324.0,55.0,17.0,22.0,13.0,423.0,78.0,25.0,481.0,,,,,1.0,,,,,,,,4.0,1.0,1.0,,,,,,,,,,,,,,,,
