liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Goals Conceded Inside Box,Shots On Target ( inc goals ),Touches,Leftside Passes,Total Shots,Open Play Passes,Unsuccessful Launches,Left Foot Goals,Goals Conceded,Tackles Lost,Successful Passes Own Half,Forward Passes,Successful Launches,Index,Key Passes (Attempt Assists),Unsuccessful Short Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Corners Taken (incl short corners),Unsuccessful Dribbles,Duels won,Total Fouls Won,Offsides,Shots Off Target (inc woodwork),Ground Duels won,Ground Duels lost,Times Tackled,Aerial Duels won,Backward Passes,Throw Ins to Opposition Player,Successful Long Passes,Throw Ins to Own Player,Corners Won,Interceptions,Tackles Won,Time Played,Blocked Shots,Ground Duels,Goals Conceded Outside Box,Successful Dribbles,Starts,Handballs conceded,Total Tackles,Appearances,Goals from Inside Box,Total Fouls Conceded,Total Passes,Rightside Passes,Successful Crosses open play,Unsuccessful Long Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Clean Sheets,Total Losses Of Possession,Unsuccessful Crosses open play,PutThrough/Blocked Distribution Won,Successful Open Play Passes,PutThrough/Blocked Distribution,Unsuccessful Crosses & Corners,Penalty Goals Conceded,Unsuccessful lay-offs,Blocks,Successful Short Passes,Successful Lay-offs,Unsuccessful Passes Opposition Half,Foul Attempted Tackle,Unsuccessful Passes Own Half,Successful Passes Opposition Half,Recoveries,Aerial Duels lost,Duels,Aerial Duels,Total Clearances,Attempts from Set Pieces,Unsuccessful Corners into Box,Duels lost,Successful Crosses & Corners,Successful Corners into Box,Home Goals,Away Goals,Winning Goal,Clearances Off the Line,Penalties Conceded,Right Foot Goals,Through balls,Goals from Outside Box,Headed Goals,Catches,Drops,Goalkeeper Smother,Punches,Saves Made from Outside Box,Penalties Faced,Saves made - caught,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves made - parried,Crosses not Claimed,GK Successful Distribution,Saves Made,Goal Assists,Total Touches In Opposition Box,Assists (Intentional),Set Pieces Goals,Hit Woodwork,Penalties Saved,Saves from Penalty,Second Goal Assists,Other Goals,Penalties Taken,Penalty Goals,Foul Won Penalty,Last Man Tackle,Own Goal Scored
USA_MLS,2010,Colorado Rapids,9mt8aljv2kkabe4nhvqjmdcyd,A. Akpan,Attacker,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2010,Colorado Rapids,9odqxkb5kucctyhjx8t337emt,Q. Amarikwa,Attacker,12.0,15.0,1.0,0.0,0.0,0.0,0.0,13.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2010,Colorado Rapids,e9gi4xqve4qlpnre6woaqorth,D. Armstrong,Defender,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2010,Colorado Rapids,8nm049qk766x4uylmtbtwmtw5,M. Ballouchy,Midfielder,8.0,29.0,4.0,5.0,0.0,0.0,0.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2010,Colorado Rapids,28hp7jrgl6zwa3hez454kg2j9,J. Baudet,Defender,21.0,22.0,0.0,1.0,1.0,1.0,0.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2010,Colorado Rapids,50arpsced14ecvl5wj4g2znpx,C. Casey,Attacker,9.0,31.0,15.0,10.0,0.0,0.0,0.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2010,Colorado Rapids,71bcwrrg3hbhc25s2ll3dlec5,S. Ceus,Goalkeeper,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2010,Colorado Rapids,db3o3miwqano3idonlsceaead,C. Clark,Midfielder,11.0,16.0,0.0,2.0,0.0,0.0,0.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2010,Colorado Rapids,18onv7xvx194c51ow74g7y1ud,O. Cummings,Attacker,14.0,33.0,15.0,4.0,0.0,0.0,0.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2010,Colorado Rapids,bvl7b1egugkrfvhmndblo1z9x,F. Diz,Attacker,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2010,Colorado Rapids,3ke51u8mtf68z4b1i5cp5do7p,D. Earls,Defender,2.0,18.0,0.0,2.0,0.0,0.0,0.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2010,Colorado Rapids,4at486tilum72bub0lbp679at,M. Holody,Defender,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2010,Colorado Rapids,7wjxqrxfz4ltcc1orrtbn3yl1,I. Joyce,Unknown,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2010,Colorado Rapids,dv4473c50at7q7jbpee3kuxg5,M. Kandji,Attacker,10.0,23.0,1.0,1.0,0.0,0.0,0.0,11.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2010,Colorado Rapids,7db29gq2cbmviajoa3aethp1,K. Kimura,Defender,27.0,27.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
