root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Total Touches In Opposition Box,Unsuccessful Launches,Ground Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Total Passes,Substitute On,Unsuccessful Crosses & Corners,Open Play Passes,Total Tackles,Goals Conceded,Successful Dribbles,Successful Crosses open play,Index,Successful Open Play Passes,Rightside Passes,Shots On Target ( inc goals ),Time Played,PutThrough/Blocked Distribution Won,Ground Duels won,Throw Ins to Opposition Player,Foul Attempted Tackle,Successful Passes Opposition Half,Total Losses Of Possession,Duels,Times Tackled,Forward Passes,Tackles Lost,Unsuccessful Short Passes,Leftside Passes,Unsuccessful lay-offs,Duels lost,Tackles Won,Touches,Unsuccessful Passes Own Half,Shots Off Target (inc woodwork),Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Shots,Appearances,Total Fouls Won,Starts,Unsuccessful Long Passes,Throw Ins to Own Player,Successful Launches,Unsuccessful Dribbles,PutThrough/Blocked Distribution,Unsuccessful Crosses open play,Hit Woodwork,Goals Conceded Inside Box,Games Played,Duels won,Unsuccessful Passes Opposition Half,Substitute Off,Successful Long Passes,Successful Lay-offs,Total Clearances,Successful Short Passes,Successful Crosses & Corners,Goals Conceded Outside Box,Aerial Duels lost,Aerial Duels won,Recoveries,Ground Duels lost,Aerial Duels,Total Fouls Conceded,Backward Passes,Overruns,Corners Won,Successful Passes Own Half,Winning Goal,Offsides,Red Cards - 2nd Yellow,Total Red Cards,Key Passes (Attempt Assists),Through balls,Goal Kicks,GK Successful Distribution,Interceptions,Yellow Cards,Second Goal Assists,Successful Corners into Box,Corners Taken (incl short corners),Blocked Shots,Handballs conceded,Clean Sheets,Unsuccessful Corners into Box,Goal Assists,Goals,Assists (Intentional),Goals from Inside Box,Penalty Goals,Left Foot Goals,Penalties Taken,Home Goals,Away Goals,Blocks,Attempts from Set Pieces,Foul Won Penalty,Straight Red Cards,Right Foot Goals,Last Player Tackle,Clearances Off the Line,Goals from Outside Box,Headed Goals,Saves made - parried,Saves Made from Outside Box,Saves made - caught,Drops,Catches,Saves Made from Inside Box,Saves Made,GK Unsuccessful Distribution,Crosses not Claimed,Punches,Set Pieces Goals,Goalkeeper Smother,Penalties Conceded,Penalties Saved,Saves from Penalty,Penalties Faced,Penalty Goals Conceded,Other Goals,Own Goal Scored
testeo_ligas_norteamerica,USA_USL_Cup,2024,Spokane Velocity FC,Spokane_Velocity_FC,3a51d0tbktq371fa6dxvsgk8a,M. Akale,Midfielder,30,8.0,4.0,42.0,60.0,76.0,1.0,3.0,75.0,8.0,10.0,5.0,1.0,10.0,59.0,19.0,,270.0,1.0,26.0,,2.0,40.0,43.0,43.0,13.0,20.0,5.0,10.0,15.0,,17.0,3.0,141.0,4.0,1.0,16.0,1.0,5.0,13.0,4.0,6.0,1.0,,7.0,2.0,3.0,,10.0,5.0,26.0,15.0,4.0,1.0,2.0,1.0,59.0,2.0,,1.0,,8.0,16.0,1.0,2.0,22.0,1.0,,22.0,0.0,,,,2.0,,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Spokane Velocity FC,Spokane_Velocity_FC,561nh7xvxljfxm1z0n8wsik4q,E. Amadin,Defender,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Spokane Velocity FC,Spokane_Velocity_FC,aebqqrjc0mtfbolzy8y8olk2x,J. Denton,Midfielder,19,2.0,2.0,12.0,115.0,124.0,4.0,1.0,118.0,5.0,2.0,,,10.0,109.0,37.0,2.0,179.0,4.0,5.0,,1.0,50.0,13.0,13.0,2.0,38.0,3.0,6.0,31.0,,8.0,2.0,149.0,4.0,1.0,9.0,3.0,6.0,,2.0,3.0,,1.0,1.0,4.0,1.0,,2.0,6.0,5.0,6.0,2.0,9.0,2.0,2.0,106.0,,,1.0,,14.0,7.0,1.0,2.0,18.0,,2.0,65.0,0.0,,,,2.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Spokane Velocity FC,Spokane_Velocity_FC,ad6gin5xfwzk6tsw2yjnt1kb8,J. Dolling,Forward,9,20.0,3.0,38.0,128.0,171.0,2.0,2.0,169.0,5.0,13.0,1.0,,10.0,126.0,45.0,4.0,554.0,6.0,21.0,,4.0,93.0,69.0,61.0,6.0,39.0,1.0,37.0,43.0,2.0,29.0,4.0,244.0,10.0,1.0,43.0,5.0,8.0,15.0,6.0,6.0,,,,16.0,2.0,,13.0,8.0,32.0,35.0,2.0,6.0,20.0,4.0,122.0,,,12.0,11.0,9.0,17.0,23.0,6.0,44.0,,2.0,35.0,0.0,2.0,,,3.0,,,,,1.0,,,,2.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Spokane Velocity FC,Spokane_Velocity_FC,bmlit85nr640d79etfmjroqtx,C. Fernández,Midfielder,6,,4.0,49.0,292.0,333.0,1.0,5.0,314.0,15.0,12.0,3.0,1.0,10.0,274.0,84.0,2.0,529.0,7.0,29.0,,8.0,126.0,54.0,54.0,3.0,83.0,6.0,26.0,99.0,1.0,22.0,9.0,412.0,15.0,1.0,41.0,3.0,7.0,11.0,6.0,15.0,,,,10.0,4.0,,12.0,7.0,32.0,31.0,2.0,23.0,7.0,9.0,269.0,1.0,,2.0,3.0,35.0,20.0,5.0,8.0,67.0,,3.0,167.0,0.0,,,,4.0,1.0,,,7.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Spokane Velocity FC,Spokane_Velocity_FC,21aiz5l5hzm13jtpzqqketjis,Javier Martín Gil,Defender,2,13.0,9.0,28.0,195.0,228.0,2.0,2.0,225.0,9.0,12.0,5.0,2.0,10.0,192.0,11.0,2.0,464.0,,16.0,6.0,2.0,94.0,52.0,50.0,6.0,79.0,4.0,18.0,83.0,,31.0,5.0,331.0,12.0,2.0,33.0,4.0,7.0,2.0,5.0,15.0,39.0,3.0,3.0,5.0,2.0,1.0,12.0,7.0,19.0,23.0,,16.0,,12.0,179.0,2.0,,19.0,3.0,19.0,12.0,22.0,3.0,55.0,1.0,,103.0,1.0,3.0,,,4.0,,,,6.0,2.0,,,,,,1.0,,,1.0,,1.0,,,,1.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Spokane Velocity FC,Spokane_Velocity_FC,3o1ofvw8de8lo5wdn0cs5gxxx,L. Gil,Midfielder,10,21.0,,34.0,208.0,266.0,1.0,21.0,245.0,3.0,13.0,5.0,3.0,10.0,187.0,68.0,5.0,619.0,6.0,13.0,1.0,4.0,129.0,107.0,43.0,11.0,73.0,3.0,51.0,50.0,4.0,26.0,,374.0,9.0,5.0,58.0,10.0,8.0,5.0,7.0,7.0,,,8.0,10.0,6.0,1.0,13.0,8.0,17.0,70.0,3.0,6.0,15.0,2.0,202.0,9.0,,5.0,4.0,19.0,21.0,9.0,8.0,75.0,2.0,2.0,88.0,0.0,4.0,,,9.0,2.0,,,4.0,,,6.0,18.0,3.0,1.0,,12.0,,4.0,,2.0,1.0,,1.0,2.0,2.0,2.0,1.0,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,3.0,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Spokane Velocity FC,Spokane_Velocity_FC,69kkn2i96sg564fexcheqbo4p,A. González,Forward,24,6.0,,19.0,73.0,89.0,3.0,7.0,87.0,1.0,7.0,3.0,,10.0,71.0,24.0,2.0,218.0,1.0,5.0,,2.0,41.0,34.0,20.0,8.0,16.0,1.0,14.0,5.0,,14.0,,121.0,2.0,1.0,16.0,3.0,5.0,1.0,2.0,2.0,1.0,,3.0,2.0,4.0,,7.0,5.0,6.0,21.0,1.0,1.0,4.0,,72.0,,,,1.0,12.0,14.0,1.0,5.0,44.0,1.0,2.0,32.0,0.0,,,,1.0,,,,,,,,2.0,,,,2.0,,1.0,,1.0,,,,0.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Spokane Velocity FC,Spokane_Velocity_FC,1yjidngs1btk8r0826ymdht2i,M. Hackworth,Midfielder,8,,,,1.0,1.0,1.0,,1.0,,1.0,,,10.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Spokane Velocity FC,Spokane_Velocity_FC,c4vss7v8yi62e13rxxnilsgrt,I. Jome,Defender,15,1.0,3.0,11.0,62.0,74.0,2.0,5.0,74.0,4.0,7.0,1.0,,10.0,62.0,26.0,1.0,169.0,1.0,6.0,,1.0,32.0,22.0,12.0,2.0,23.0,2.0,6.0,6.0,1.0,5.0,2.0,110.0,4.0,,12.0,1.0,4.0,1.0,2.0,6.0,12.0,1.0,1.0,1.0,5.0,,7.0,4.0,7.0,13.0,2.0,2.0,1.0,1.0,60.0,,,,1.0,5.0,5.0,1.0,1.0,19.0,,,30.0,0.0,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
