liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,GK Successful Distribution,Throw Ins to Own Player,Successful Lay-offs,Successful Launches,Goals,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Set Pieces Goals,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Total Fouls Won,Aerial Duels won,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Headed Goals,GK Unsuccessful Distribution,Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Successful Dribbles,Blocked Shots,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Offsides,Corners Won,Yellow Cards,Substitute Off,Throw Ins to Opposition Player,Unsuccessful Dribbles,Assists (Intentional),Goal Assists,Right Foot Goals,Handballs conceded,Saves Made,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Hit Woodwork,Unsuccessful lay-offs,Successful Corners into Box,Corners Taken (incl short corners),Unsuccessful Corners into Box,Through balls,Goals Conceded Outside Box,Foul Won Penalty,Penalties Taken,Penalty Goals,Penalties Faced,Saves made - caught,Penalties Conceded,Own Goal Scored,Total Red Cards,Red Cards - 2nd Yellow,Last Man Tackle
Concacaf_Concacaf_Champions_Cup,2018,Cibao FC,1862qy0yyau39z89o6q1p1z2t,E. Acevedo,Defender,20,,180.0,,1.0,1.0,,,31.0,3.0,6.0,2.0,7.0,2.0,1.0,2.0,19.0,13.0,4.0,,6.0,32.0,,18.0,7.0,1.0,13.0,8.0,1.0,11.0,7.0,2.0,3.0,2.0,54.0,2.0,,,10.0,,12.0,,10.0,11.0,,,1.0,2.0,5.0,17.0,3.0,7.0,,,2.0,,,4.0,9.0,,19.0,19.0,7.0,,3.0,6.0,1.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Cibao FC,yspegnskb020keemloxtq2nd,W. Aristide,Defender,2,,180.0,,1.0,,1.0,,21.0,2.0,4.0,6.0,7.0,1.0,2.0,,13.0,8.0,1.0,,3.0,22.0,1.0,9.0,7.0,2.0,10.0,1.0,,5.0,6.0,2.0,1.0,5.0,51.0,2.0,1.0,1.0,7.0,,12.0,2.0,12.0,5.0,,,3.0,,1.0,8.0,10.0,7.0,,,2.0,,,3.0,7.0,,12.0,12.0,1.0,,1.0,3.0,,6.0,4.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Cibao FC,4laxmcmv4vq38evv9y7f4i0ut,W. Cherefant,Forward,7,,51.0,,,,,,6.0,1.0,2.0,,,2.0,1.0,2.0,11.0,1.0,,,3.0,6.0,3.0,3.0,3.0,2.0,3.0,3.0,,3.0,1.0,,3.0,,24.0,2.0,2.0,,12.0,,1.0,2.0,43.0,5.0,1.0,,,2.0,,14.0,,3.0,,,2.0,,,7.0,1.0,,3.0,3.0,2.0,,,9.0,,,5.0,3.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Cibao FC,4p26ulu0mq448156ls7vnctsl,R. Dabas,Midfielder,4,,179.0,,,1.0,,,45.0,12.0,10.0,3.0,4.0,,1.0,,20.0,26.0,9.0,,7.0,47.0,2.0,33.0,6.0,1.0,11.0,9.0,,9.0,9.0,2.0,,2.0,79.0,2.0,2.0,,25.0,,18.0,3.0,39.0,17.0,,,3.0,4.0,2.0,27.0,2.0,6.0,,,2.0,,,10.0,8.0,,34.0,36.0,2.0,,9.0,10.0,,3.0,15.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Cibao FC,d00k4stqjeyxski3l1ciaavze,J. Domínguez,Goalkeeper,12,,180.0,10.0,,,8.0,,4.0,,16.0,6.0,33.0,,,,33.0,6.0,,,,55.0,,3.0,7.0,,33.0,2.0,,28.0,11.0,2.0,,5.0,70.0,2.0,,,,,52.0,,68.0,,,,19.0,,,,2.0,7.0,,,2.0,,18.0,,1.0,,2.0,22.0,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,5.0,6.0,8.0,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Cibao FC,1kymdflhi1nwmre7kucx9u8a2,J. Ferreira,Defender,5,,180.0,,,,2.0,,23.0,,6.0,12.0,13.0,1.0,,,20.0,9.0,2.0,,4.0,32.0,,12.0,7.0,,17.0,5.0,1.0,15.0,4.0,2.0,2.0,2.0,57.0,2.0,,2.0,7.0,,25.0,1.0,7.0,4.0,,,3.0,1.0,,7.0,2.0,7.0,,,2.0,,,3.0,2.0,,14.0,15.0,,,2.0,3.0,,10.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Cibao FC,4njaoso9l6mtvpg8ytclf2thx,Ó. Florencio,Defender,6,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,,2.0,,,,1.0,1.0,,,,,,2.0,,1.0,,,1.0,,,1.0,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Cibao FC,bltud1wlp4b78nzfbey6ndzo5,R. García,Midfielder,15,,17.0,,,,,,1.0,,,,,1.0,,,1.0,,2.0,,1.0,1.0,,,1.0,,1.0,,,1.0,,,1.0,,4.0,2.0,,,2.0,,1.0,,10.0,2.0,,,,,,2.0,,1.0,,,2.0,,,,,,,,,,2.0,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Cibao FC,bl9h0i753r79p2px22tlakudx,M. Hernández,Forward,11,3.0,158.0,,1.0,4.0,,,40.0,14.0,7.0,,1.0,,,10.0,38.0,14.0,1.0,,23.0,44.0,4.0,19.0,6.0,,24.0,8.0,1.0,22.0,2.0,2.0,2.0,5.0,71.0,2.0,3.0,1.0,15.0,,15.0,3.0,17.0,17.0,,,1.0,3.0,12.0,37.0,3.0,6.0,,3.0,2.0,,,10.0,7.0,,19.0,20.0,22.0,,1.0,20.0,,,5.0,2.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Cibao FC,eqcmp2cqpy33d0rqbz1eg2vo5,C. Hérold,Midfielder,10,2.0,151.0,,1.0,2.0,3.0,,27.0,11.0,15.0,3.0,3.0,1.0,2.0,6.0,33.0,15.0,2.0,,7.0,35.0,2.0,22.0,5.0,2.0,10.0,7.0,4.0,15.0,6.0,2.0,7.0,2.0,79.0,2.0,1.0,,21.0,,12.0,2.0,20.0,6.0,,1.0,3.0,2.0,2.0,29.0,,5.0,,7.0,2.0,,,17.0,5.0,,20.0,25.0,8.0,,,23.0,2.0,1.0,4.0,,1.0,,5.0,2.0,,4.0,,1.0,,,,,,,,,,,,,,,,,3.0,7.0,4.0,,,,,,,,,,,,
