liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Short Passes,Appearances,Successful Open Play Passes,PutThrough/Blocked Distribution Won,Successful Passes Opposition Half,Total Fouls Conceded,Times Tackled,Total Passes,Touches,Duels,Goals Conceded Inside Box,Successful Long Passes,Ground Duels lost,Fifty Fifty,Foul Attempted Tackle,Backward Passes,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Dribbles,Index,Total Tackles,Successful Passes Own Half,Aerial Duels,PutThrough/Blocked Distribution,Time Played,Unsuccessful Long Passes,Aerial Duels lost,Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Goals Conceded Outside Box,Substitute Off,Successful Short Passes,Tackles Won,Unsuccessful Launches,Throw Ins to Own Player,Unsuccessful Passes Opposition Half,Duels lost,Total Losses Of Possession,Rightside Passes,Games Played,Substitute On,Total Touches In Opposition Box,Duels won,Blocked Shots,Forward Passes,Tackles Lost,Handballs conceded,Leftside Passes,Interceptions,Ground Duels,Successful Dribbles,Yellow Cards,Recoveries,Starts,Ground Duels won,Successful Fifty Fifty,Unsuccessful Passes Own Half,Home Goals,Away Goals,Winning Goal,Aerial Duels won,Unsuccessful Crosses open play,Corners Won,Unsuccessful Crosses & Corners,Total Clearances,Successful Crosses & Corners,Offsides,Key Passes (Attempt Assists),Set Pieces Goals,Left Foot Goals,Penalties Taken,Hit Woodwork,Throw Ins to Opposition Player,Attempts from Set Pieces,Successful Lay-offs,Shots Off Target (inc woodwork),Second Goal Assists,Shots On Target ( inc goals ),Goals from Outside Box,Goals,Goals from Inside Box,Through balls,Assists (Intentional),Goal Assists,Total Fouls Won,Unsuccessful lay-offs,Right Foot Goals,Successful Crosses open play,Penalty Goals Conceded,Total Shots,Straight Red Cards,Successful Corners into Box,Corners Taken (incl short corners),Total Red Cards,Unsuccessful Corners into Box,Clean Sheets,Penalty Goals,Successful Launches,Blocks,Headed Goals,Red Cards - 2nd Yellow,Penalties Conceded,GK Successful Distribution,Catches,Saves made - parried,GK Unsuccessful Distribution,Saves Made from Outside Box,Goalkeeper Smother,Saves Made,Punches,Saves Made from Inside Box,Saves made - caught,Drops,Penalties Faced,Foul Won Penalty,Last Man Tackle,Own Goal Scored,Clearances Off the Line,Penalties Off Target,Penalties Saved,Saves from Penalty,Crosses not Claimed,Overruns,Goals Openplay,Other Goals,Goal Kicks,Last Player Tackle
USA_MLS,2021,Columbus Crew,ele211kdmv943iesjw4fp5rs9,S. Abdul-Salaam,Defender,26,51.0,18.0,366.0,8.0,198.0,8.0,5.0,449.0,680.0,63.0,14.0,14.0,23.0,28.0,5.0,106.0,15.0,80.0,4.0,11.0,17.0,171.0,17.0,23.0,923.0,29.0,5.0,446.0,369.0,1.0,1.0,355.0,11.0,14.0,82.0,60.0,28.0,125.0,42.0,18.0,11.0,8.0,35.0,,141.0,6.0,1.0,160.0,15.0,46.0,2.0,2.0,52.0,7.0,23.0,11.0,23.0,,,0.0,12.0,3.0,2.0,3.0,33.0,,,9.0,,,,,25.0,,,2.0,,1.0,,,,,,,4.0,1.0,,,1.0,3.0,,,,,,1.0,,1.0,7.0,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,
USA_MLS,2021,Columbus Crew,cbw92qrdwycht8nkkdu4j4kph,H. Afful,Defender,25,114.0,26.0,898.0,10.0,463.0,14.0,13.0,1124.0,1550.0,129.0,23.0,78.0,40.0,31.0,9.0,207.0,28.0,217.0,8.0,11.0,29.0,454.0,36.0,25.0,1815.0,103.0,20.0,1113.0,907.0,5.0,5.0,829.0,20.0,44.0,140.0,200.0,60.0,325.0,26.0,26.0,5.0,17.0,69.0,3.0,459.0,9.0,,432.0,31.0,93.0,12.0,3.0,145.0,21.0,53.0,17.0,60.0,,,0.0,16.0,43.0,8.0,43.0,23.0,10.0,2.0,13.0,,,,,27.0,,,8.0,,2.0,,,,3.0,2.0,2.0,13.0,,,10.0,2.0,10.0,,,,1.0,,4.0,,8.0,4.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,
USA_MLS,2021,Columbus Crew,cfucb8do9rkxdk9381cinmqd,J. Anibaba,Defender,23,10.0,11.0,215.0,1.0,35.0,5.0,1.0,255.0,327.0,34.0,7.0,23.0,7.0,14.0,1.0,11.0,7.0,35.0,1.0,10.0,6.0,186.0,20.0,3.0,643.0,25.0,10.0,249.0,220.0,,1.0,197.0,4.0,17.0,,28.0,17.0,40.0,68.0,11.0,4.0,6.0,17.0,1.0,77.0,2.0,,99.0,9.0,14.0,,1.0,45.0,7.0,7.0,7.0,9.0,1.0,0.0,0.0,10.0,2.0,1.0,2.0,33.0,1.0,1.0,,,,,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,,,1.0,,2.0,,,,,,3.0,,8.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,Columbus Crew,660a1dq2kk90vuzw0ru6mbmy,Miguel Berry,Forward,27,47.0,18.0,83.0,3.0,57.0,12.0,17.0,154.0,298.0,136.0,13.0,2.0,34.0,30.0,5.0,38.0,15.0,54.0,10.0,12.0,8.0,44.0,76.0,6.0,840.0,7.0,48.0,137.0,100.0,2.0,6.0,98.0,6.0,4.0,2.0,46.0,82.0,96.0,37.0,18.0,9.0,48.0,54.0,6.0,44.0,2.0,,35.0,,60.0,11.0,,24.0,9.0,26.0,16.0,10.0,6.0,2.0,2.0,28.0,2.0,8.0,2.0,14.0,1.0,1.0,5.0,,1.0,,1.0,,,6.0,4.0,1.0,17.0,,8.0,8.0,,,1.0,8.0,3.0,5.0,1.0,1.0,21.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,,
USA_MLS,2021,Columbus Crew,6kb6kwmwjh4c6oyed5upl266t,E. Bush,Goalkeeper,24,,4.0,36.0,,16.0,,,94.0,119.0,4.0,4.0,25.0,1.0,,,,6.0,26.0,,13.0,,52.0,2.0,,360.0,26.0,,46.0,68.0,2.0,,43.0,,6.0,,20.0,1.0,30.0,18.0,4.0,,,3.0,,62.0,,,14.0,1.0,2.0,,,21.0,4.0,1.0,,6.0,,,0.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,7.0,,,,,36.0,,2.0,16.0,4.0,,7.0,2.0,3.0,,,,,,,,,,,,,,,39.0,
USA_MLS,2021,Columbus Crew,a9lytq2ddavywxo7ib8uzbj6x,E. Dick,Goalkeeper,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,Columbus Crew,efr6uboj041gcgi2qxm0pa5be,L. Díaz,Midfielder,11,42.0,19.0,146.0,6.0,104.0,21.0,42.0,199.0,440.0,145.0,16.0,9.0,76.0,39.0,11.0,64.0,19.0,51.0,27.0,11.0,16.0,51.0,15.0,16.0,985.0,9.0,8.0,197.0,148.0,3.0,9.0,139.0,11.0,6.0,5.0,68.0,84.0,168.0,14.0,19.0,8.0,48.0,61.0,2.0,42.0,5.0,1.0,79.0,7.0,130.0,11.0,3.0,43.0,11.0,54.0,23.0,17.0,1.0,0.0,0.0,7.0,34.0,15.0,34.0,1.0,7.0,5.0,8.0,,,,1.0,1.0,,2.0,13.0,,6.0,,1.0,1.0,,,,27.0,1.0,1.0,7.0,2.0,19.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,
USA_MLS,2021,Columbus Crew,2uis9d0h87arn5ew3bg1si40l,D. Etienne,Midfielder,22,86.0,29.0,438.0,17.0,308.0,14.0,53.0,539.0,924.0,181.0,19.0,12.0,87.0,54.0,5.0,197.0,22.0,100.0,30.0,10.0,27.0,143.0,14.0,37.0,1849.0,14.0,8.0,538.0,439.0,3.0,16.0,427.0,14.0,3.0,15.0,138.0,95.0,271.0,131.0,29.0,8.0,85.0,86.0,5.0,100.0,13.0,,111.0,18.0,167.0,24.0,4.0,90.0,21.0,80.0,22.0,20.0,1.0,0.0,0.0,6.0,58.0,23.0,58.0,6.0,12.0,16.0,25.0,,,,,1.0,,9.0,12.0,1.0,9.0,,1.0,1.0,4.0,4.0,4.0,29.0,2.0,1.0,12.0,3.0,21.0,,,,,,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,
USA_MLS,2021,Columbus Crew,9dba8to216upd49xlir2i4d05,W. Francis,Defender,14,80.0,23.0,447.0,6.0,247.0,17.0,8.0,581.0,880.0,120.0,14.0,19.0,32.0,34.0,10.0,93.0,19.0,119.0,6.0,10.0,29.0,219.0,43.0,20.0,1345.0,39.0,22.0,566.0,462.0,5.0,9.0,443.0,17.0,20.0,73.0,101.0,54.0,192.0,196.0,23.0,9.0,2.0,66.0,1.0,279.0,12.0,1.0,13.0,31.0,77.0,5.0,4.0,63.0,14.0,45.0,23.0,42.0,,,0.0,21.0,24.0,3.0,24.0,35.0,4.0,,9.0,,,,,30.0,,,,,,,,,,,,11.0,,,4.0,1.0,,,,,,,1.0,,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2021,Columbus Crew,5y8srw7hc5nlu0efcq710if3d,L. Fraser,Midfielder,18,50.0,24.0,650.0,7.0,282.0,21.0,7.0,750.0,888.0,97.0,15.0,80.0,42.0,35.0,14.0,98.0,16.0,85.0,2.0,11.0,18.0,383.0,27.0,11.0,1165.0,35.0,11.0,735.0,665.0,1.0,7.0,585.0,10.0,10.0,2.0,65.0,53.0,104.0,217.0,24.0,13.0,7.0,44.0,1.0,216.0,8.0,2.0,219.0,23.0,70.0,2.0,,70.0,11.0,28.0,22.0,20.0,,,0.0,16.0,,3.0,,32.0,,,2.0,,,,1.0,,,2.0,2.0,,3.0,,,,1.0,,,8.0,,,,2.0,5.0,,,,,,1.0,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
