liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Clearances Off the Line,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,GK Successful Distribution,Games Played,Goal Kicks,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals from Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Hit Woodwork,Index,Interceptions,Key Passes (Attempt Assists),Last Player Tackle,Leftside Passes,Offsides,Open Play Passes,Overruns,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Substitute On,Successful Dribbles,Successful Launches,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Saved,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Successful Crosses & Corners,Successful Crosses open play,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Goal Assists,Goals from Outside Box,Handballs conceded,Second Goal Assists,Throw Ins to Opposition Player,Successful Corners into Box,Unsuccessful Corners into Box,Own Goal Scored,Foul Won Penalty,Goals Openplay,Left Foot Goals,Penalties Conceded,Total Big Chances Scored,Unsuccessful lay-offs,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Faced,Penalties Saved,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves from Penalty,Saves made - caught,Saves made - parried,Red Cards - 2nd Yellow,Total Red Cards,Headed Goals,Penalties Off Target,Penalties Taken,Penalty Goals,Crosses not Claimed,Straight Red Cards,Set Pieces Goals,Other Goals
Canada_Canadian_Premier_League,2025,HFX Wanderers FC,cuanowd354jf2ycubsqwwzkh6,J. Alphonse,Defender,21,19.0,8.0,11.0,15.0,28.0,1.0,5.0,110.0,1.0,,1.0,118.0,44.0,74.0,38.0,214.0,6.0,1.0,15.0,1.0,,14.0,13.0,1.0,,99.0,36.0,63.0,,10.0,10.0,1.0,,156.0,,430.0,1.0,1.0,68.0,12.0,8.0,43.0,,52.0,,1.0,13.0,6.0,2.0,12.0,4.0,,24.0,358.0,191.0,186.0,353.0,14.0,28.0,,20.0,1158.0,15.0,,,,43.0,16.0,9.0,117.0,450.0,1.0,377.0,42.0,9.0,73.0,672.0,6.0,30.0,38.0,44.0,36.0,35.0,5.0,,,0.0,,,7.0,7.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2025,HFX Wanderers FC,9gsa2ftx6nh3sl8zg4w85u7f8,S. Astridge,Goalkeeper,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2025,HFX Wanderers FC,4b15cdn7l40s5ge9b0anx4uwa,J. Bahamboula,Forward,14,48.0,29.0,19.0,22.0,95.0,9.0,1.0,131.0,,,28.0,185.0,102.0,83.0,,52.0,8.0,,22.0,,3.0,13.0,12.0,1.0,3.0,137.0,73.0,64.0,1.0,10.0,6.0,12.0,,65.0,8.0,225.0,5.0,2.0,82.0,33.0,11.0,52.0,2.0,16.0,14.0,8.0,12.0,10.0,10.0,15.0,1.0,1.0,3.0,176.0,135.0,51.0,176.0,13.0,9.0,,8.0,1164.0,48.0,2.0,4.0,,7.0,18.0,27.0,198.0,228.0,22.0,179.0,22.0,83.0,49.0,537.0,21.0,2.0,2.0,81.0,7.0,47.0,3.0,2.0,1.0,0.0,7.0,7.0,39.0,39.0,2.0,,,2.0,,,,,,,,1.0,2.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
Canada_Canadian_Premier_League,2025,HFX Wanderers FC,68fzc0emn4iml59uyp5wt0tzp,Y. Baï,Forward,19,13.0,7.0,6.0,28.0,86.0,3.0,,149.0,,,7.0,148.0,77.0,71.0,64.0,75.0,8.0,,28.0,,3.0,15.0,14.0,1.0,3.0,135.0,70.0,65.0,1.0,10.0,14.0,8.0,,137.0,5.0,332.0,4.0,1.0,85.0,21.0,4.0,39.0,3.0,38.0,9.0,7.0,10.0,10.0,18.0,19.0,1.0,10.0,10.0,260.0,192.0,79.0,254.0,10.0,13.0,2.0,13.0,968.0,43.0,1.0,3.0,,4.0,20.0,24.0,170.0,336.0,16.0,264.0,23.0,42.0,72.0,585.0,28.0,2.0,6.0,81.0,18.0,66.0,6.0,2.0,1.0,0.0,7.0,7.0,27.0,27.0,,,,,,,,2.0,,,,1.0,3.0,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2025,HFX Wanderers FC,dht42dfvrdg7672df9flczxuc,A. Biello,Midfielder,23,5.0,4.0,1.0,21.0,35.0,2.0,3.0,50.0,,1.0,,53.0,33.0,20.0,25.0,44.0,4.0,,21.0,,,8.0,7.0,1.0,,48.0,29.0,19.0,,10.0,11.0,4.0,,44.0,,163.0,,2.0,24.0,10.0,7.0,25.0,,44.0,1.0,,3.0,3.0,18.0,4.0,,1.0,6.0,138.0,105.0,36.0,135.0,4.0,4.0,,7.0,351.0,14.0,1.0,,,5.0,8.0,7.0,48.0,167.0,1.0,141.0,8.0,9.0,26.0,259.0,6.0,,2.0,16.0,12.0,24.0,1.0,,,0.0,,,2.0,1.0,1.0,,1.0,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2025,HFX Wanderers FC,1afcpd3lls6cqp4wuawc91gwl,L. Callegari,Midfielder,6,39.0,18.0,21.0,28.0,337.0,6.0,5.0,443.0,5.0,,4.0,269.0,130.0,139.0,81.0,538.0,33.0,,28.0,,1.0,32.0,28.0,4.0,1.0,230.0,112.0,118.0,1.0,10.0,54.0,25.0,1.0,456.0,1.0,1739.0,1.0,2.0,181.0,38.0,19.0,181.0,1.0,458.0,12.0,5.0,27.0,6.0,1.0,19.0,2.0,37.0,106.0,1557.0,842.0,768.0,1498.0,20.0,57.0,10.0,15.0,2453.0,33.0,2.0,,,44.0,54.0,22.0,276.0,1789.0,17.0,1604.0,77.0,16.0,185.0,2224.0,14.0,11.0,61.0,152.0,57.0,124.0,9.0,1.0,0.0,0.0,6.0,4.0,24.0,17.0,1.0,4.0,2.0,1.0,,1.0,1.0,1.0,,2.0,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
Canada_Canadian_Premier_League,2025,HFX Wanderers FC,36zaipqgc0wezlywtiyplmdck,T. Ciccarelli,Forward,20,,,,3.0,,,,3.0,,,,2.0,2.0,,2.0,1.0,,,3.0,,,,,,,2.0,2.0,,,10.0,,,,1.0,1.0,4.0,,,1.0,,,2.0,,2.0,,1.0,,,3.0,,,,,3.0,,3.0,3.0,,,,,9.0,2.0,,,,1.0,,,3.0,4.0,1.0,3.0,,2.0,1.0,8.0,,1.0,1.0,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2025,HFX Wanderers FC,artfyfgwwhlhvfvttogbtiy38,T. Coimbra,Forward,9,94.0,43.0,51.0,23.0,55.0,9.0,2.0,77.0,,,12.0,188.0,96.0,92.0,40.0,50.0,6.0,,23.0,,13.0,19.0,16.0,3.0,13.0,94.0,53.0,41.0,3.0,10.0,1.0,7.0,,51.0,12.0,224.0,3.0,2.0,39.0,17.0,13.0,30.0,8.0,71.0,26.0,28.0,15.0,11.0,8.0,8.0,,16.0,5.0,134.0,111.0,27.0,132.0,4.0,9.0,1.0,,1344.0,29.0,3.0,11.0,,7.0,19.0,20.0,177.0,227.0,54.0,137.0,13.0,104.0,90.0,475.0,12.0,3.0,7.0,83.0,8.0,83.0,5.0,8.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,,,3.0,,,,,,,,2.0,8.0,3.0,,11.0,4.0,,,,,,,,,,,,,,,,2.0,,3.0,3.0,,,,
Canada_Canadian_Premier_League,2025,HFX Wanderers FC,13wkddshf1c9zrygeg7r3s6w9,J. Dunn,Defender,4,2.0,,2.0,5.0,2.0,,,5.0,,,,5.0,1.0,4.0,1.0,19.0,,,5.0,,,2.0,2.0,,,3.0,1.0,2.0,,10.0,1.0,,,12.0,,34.0,,,3.0,,,3.0,,1.0,,,1.0,1.0,4.0,,,,1.0,30.0,12.0,18.0,29.0,1.0,1.0,,1.0,61.0,,,,,2.0,1.0,,4.0,34.0,,30.0,2.0,,4.0,41.0,,1.0,4.0,3.0,1.0,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2025,HFX Wanderers FC,5jozq98hwnnywrh5i4kk0erfu,Vitor Dias,Midfielder,11,27.0,20.0,7.0,21.0,87.0,1.0,1.0,151.0,1.0,,8.0,165.0,94.0,71.0,45.0,113.0,12.0,,21.0,,3.0,10.0,9.0,1.0,3.0,138.0,74.0,64.0,,10.0,7.0,16.0,,124.0,4.0,379.0,4.0,1.0,68.0,20.0,9.0,71.0,3.0,63.0,8.0,5.0,10.0,9.0,11.0,10.0,,6.0,13.0,315.0,247.0,82.0,310.0,4.0,13.0,,1.0,898.0,47.0,3.0,1.0,,4.0,15.0,37.0,162.0,387.0,13.0,323.0,17.0,31.0,64.0,613.0,19.0,,2.0,64.0,15.0,62.0,1.0,2.0,1.0,3.0,6.0,,15.0,5.0,,,14.0,1.0,,,1.0,,6.0,8.0,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
