liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocks,Carries,Clean Sheets,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,GK Successful Distribution,Games Played,Goal Kicks,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Leftside Passes,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,Recoveries,Rightside Passes,Shots Off Target (inc woodwork),Starts,Substitute Off,Successful Launches,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Time Played,Times Tackled,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Assists (Intentional),Corners Taken (incl short corners),Corners Won,Goal Assists,Key Passes (Attempt Assists),PutThrough/Blocked Distribution Won,Shots Created,Shots On Target ( inc goals ),Substitute On,Successful Corners into Box,Successful Crosses & Corners,Successful Lay-offs,Throw Ins to Opposition Player,Throw Ins to Own Player,Total Big Chances Created,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Yellow Cards,Blocked Shots,Overruns,Successful Dribbles,Successful Crosses open play,Unsuccessful lay-offs,Own Goal Scored,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Conceded,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Total Big Chances Saved,Goals,Goals Openplay,Goals from Inside Box,Offsides,Right Foot Goals,Total Big Chances Scored,Home Goals,Away Goals,Left Foot Goals,Catches,Clearances Off the Line,Penalties Taken,Total Big Chances Missed,Foul Won Penalty,Handballs conceded,Headed Goals,Through balls,Attempts from Set Pieces,Hit Woodwork,Saves made - caught,Penalty Goals,Second Goal Assists,Goals Conceded Outside Box,Straight Red Cards,Total Red Cards,Last Player Tackle,Drops,Goals from Outside Box,Red Cards - 2nd Yellow,Direct Setpiece Goals,Set Pieces Goals,Penalties Saved,Saves from Penalty
Canada_Canadian_Premier_League,2026,Pacific FC,334ys3md0ycavngg26g75yi21,M. Baldisimo,Midfielder,33,3.0,,3.0,4.0,24.0,2.0,18.0,,17.0,6.0,11.0,18.0,37.0,3.0,,4.0,,7.0,7.0,14.0,6.0,8.0,4.0,52.0,163.0,2.0,8.0,2.0,15.0,55.0,,4.0,3.0,,5.0,145.0,56.0,94.0,145.0,3.0,2.0,322.0,1.0,5.0,4.0,3.0,20.0,168.0,1.0,150.0,5.0,4.0,18.0,195.0,3.0,7.0,13.0,6.0,11.0,0.0,,,,,,2.0,,1.0,,,,1.0,,,,,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2026,Pacific FC,a9w6952jyw6x83gxp94zs8ro4,J. Belluz,Defender,12,22.0,4.0,18.0,5.0,14.0,3.0,49.0,,49.0,18.0,31.0,12.0,106.0,4.0,,5.0,,9.0,9.0,27.0,14.0,13.0,7.0,121.0,317.0,1.0,26.0,5.0,14.0,83.0,1.0,5.0,,1.0,14.0,262.0,51.0,218.0,255.0,2.0,7.0,450.0,2.0,25.0,10.0,4.0,62.0,324.0,1.0,269.0,9.0,8.0,55.0,391.0,12.0,19.0,37.0,18.0,36.0,0.0,,,2.0,,,2.0,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,1.0,,,,
Canada_Canadian_Premier_League,2026,Pacific FC,7t6lyj5pvvgzfscj775acuqc5,M. Bustos,Forward,10,7.0,4.0,3.0,6.0,70.0,,92.0,,57.0,25.0,32.0,114.0,47.0,,,6.0,,11.0,11.0,50.0,21.0,29.0,3.0,86.0,229.0,2.0,43.0,5.0,17.0,34.0,6.0,6.0,4.0,,10.0,200.0,123.0,92.0,196.0,3.0,3.0,500.0,11.0,3.0,2.0,18.0,78.0,237.0,7.0,206.0,6.0,14.0,31.0,350.0,1.0,5.0,46.0,6.0,26.0,0.0,,16.0,3.0,1.0,8.0,2.0,9.0,1.0,,7.0,9.0,3.0,2.0,2.0,,8.0,21.0,8.0,6.0,1.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,0.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2026,Pacific FC,41fep3jlo1ieyq9hvpmsl6wvd,K. Chung,Defender,7,5.0,4.0,1.0,4.0,28.0,1.0,32.0,,20.0,9.0,11.0,32.0,63.0,,,4.0,,7.0,7.0,15.0,5.0,10.0,2.0,56.0,151.0,1.0,18.0,8.0,7.0,7.0,,4.0,2.0,,3.0,127.0,58.0,74.0,127.0,1.0,5.0,291.0,4.0,7.0,1.0,3.0,37.0,154.0,,130.0,6.0,2.0,24.0,220.0,6.0,8.0,14.0,14.0,16.0,0.0,,,3.0,,2.0,3.0,2.0,,,,2.0,1.0,2.0,20.0,,,4.0,4.0,3.0,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2026,Pacific FC,7e4doqzolxn7u9s2txuyclejt,A. Daniels,Midfielder,8,6.0,5.0,1.0,6.0,40.0,,48.0,,29.0,16.0,13.0,49.0,27.0,2.0,,6.0,,6.0,6.0,23.0,11.0,12.0,3.0,14.0,124.0,1.0,29.0,3.0,23.0,48.0,1.0,4.0,4.0,,7.0,108.0,52.0,63.0,106.0,,3.0,306.0,7.0,2.0,3.0,4.0,40.0,129.0,2.0,113.0,3.0,1.0,16.0,178.0,3.0,6.0,16.0,6.0,10.0,0.0,1.0,3.0,2.0,1.0,4.0,1.0,5.0,1.0,2.0,,2.0,2.0,,1.0,,2.0,6.0,2.0,4.0,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2026,Pacific FC,am6blpv9h0wzsn8rjv1q0zpp1,A. Díaz,Forward,9,13.0,8.0,5.0,6.0,41.0,,19.0,,30.0,21.0,9.0,51.0,21.0,4.0,,6.0,,10.0,10.0,17.0,13.0,4.0,,9.0,94.0,2.0,5.0,4.0,14.0,37.0,3.0,6.0,4.0,,4.0,72.0,52.0,34.0,82.0,1.0,1.0,482.0,5.0,5.0,8.0,2.0,39.0,108.0,7.0,86.0,2.0,9.0,22.0,143.0,3.0,5.0,17.0,5.0,17.0,0.0,,,,,1.0,,1.0,4.0,,,,6.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,0.0,1.0,1.0,,,1.0,4.0,,,,1.0,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2026,Pacific FC,7kq313q4i1cwhc82yxzqg52xg,M. Edwards,Midfielder,44,1.0,,1.0,1.0,1.0,,2.0,,4.0,1.0,3.0,12.0,2.0,,,1.0,,2.0,2.0,3.0,1.0,2.0,,1.0,9.0,,1.0,1.0,,5.0,,,,,1.0,7.0,5.0,2.0,6.0,1.0,,33.0,1.0,1.0,,1.0,5.0,9.0,,7.0,1.0,1.0,2.0,16.0,,,2.0,,2.0,0.0,,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2026,Pacific FC,7nhzkoa6bywrlkj9nc3f5ylii,T. Gomulka,Midfielder,16,7.0,3.0,4.0,6.0,59.0,1.0,75.0,,47.0,23.0,24.0,65.0,99.0,4.0,,6.0,,10.0,10.0,40.0,20.0,20.0,13.0,70.0,293.0,1.0,40.0,9.0,26.0,81.0,1.0,5.0,1.0,,14.0,247.0,118.0,148.0,247.0,4.0,8.0,471.0,8.0,10.0,6.0,4.0,80.0,309.0,3.0,261.0,12.0,6.0,48.0,409.0,8.0,21.0,53.0,8.0,27.0,0.0,,9.0,3.0,,5.0,4.0,5.0,2.0,1.0,1.0,5.0,4.0,1.0,3.0,2.0,6.0,13.0,5.0,4.0,1.0,4.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2026,Pacific FC,c7iepmqewf1dnc7zl36iskdn8,C. Greco-Taylor,Defender,15,6.0,3.0,3.0,6.0,16.0,,36.0,,48.0,16.0,32.0,45.0,85.0,6.0,,6.0,,7.0,7.0,42.0,13.0,29.0,8.0,10.0,169.0,1.0,18.0,17.0,18.0,62.0,2.0,4.0,2.0,4.0,9.0,112.0,45.0,73.0,107.0,7.0,7.0,381.0,3.0,13.0,8.0,11.0,90.0,173.0,2.0,116.0,14.0,3.0,57.0,302.0,15.0,29.0,52.0,14.0,28.0,0.0,1.0,,1.0,1.0,,6.0,1.0,,2.0,,2.0,,16.0,28.0,1.0,,9.0,9.0,2.0,3.0,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2026,Pacific FC,7i19hu44byapft1lpm3okbb3d,J. Heard,Forward,11,,,,2.0,20.0,,19.0,,15.0,10.0,5.0,47.0,7.0,3.0,,2.0,,4.0,4.0,15.0,10.0,5.0,1.0,14.0,44.0,1.0,14.0,3.0,5.0,3.0,,2.0,1.0,,,34.0,24.0,12.0,34.0,1.0,1.0,163.0,5.0,1.0,5.0,2.0,26.0,44.0,2.0,34.0,2.0,8.0,10.0,74.0,1.0,1.0,14.0,,9.0,0.0,,,3.0,,3.0,1.0,3.0,2.0,,,2.0,2.0,,,2.0,,4.0,4.0,1.0,,,1.0,1.0,2.0,,,,,1.0,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
