liga,temporada,equipo,id,nombre,posicion,dorsal,Total Tackles,Throw Ins to Own Player,Total Clearances,Successful Short Passes,Tackles Won,Corners Won,Ground Duels won,Aerial Duels,Unsuccessful Passes Own Half,Games Played,Successful Open Play Passes,Rightside Passes,Forward Passes,Tackles Lost,Substitute Off,Successful Passes Own Half,Overruns,Through balls,Backward Passes,PutThrough/Blocked Distribution Won,Time Played,Appearances,Goal Assists,Unsuccessful Passes Opposition Half,Duels won,Open Play Passes,Unsuccessful Short Passes,Ground Duels,Unsuccessful Crosses open play,Shots Off Target (inc woodwork),Aerial Duels won,Leftside Passes,Unsuccessful Dribbles,Total Successful Passes ( Excl Crosses & Corners ) ,Total Touches In Opposition Box,Successful Lay-offs,Clean Sheets,Recoveries,Starts,Total Losses Of Possession,PutThrough/Blocked Distribution,Touches,Total Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Aerial Duels lost,Successful Dribbles,Ground Duels lost,Duels,Successful Passes Opposition Half,Index,Duels lost,Shots On Target ( inc goals ),Substitute On,Unsuccessful Crosses & Corners,Total Shots,Times Tackled,Total Fouls Won,Winning Goal,Goals Conceded Inside Box,Unsuccessful Long Passes,Successful Long Passes,Goals Conceded,Interceptions,Unsuccessful Launches,Throw Ins to Opposition Player,Key Passes (Attempt Assists),Successful Launches,Goals from Inside Box,Right Foot Goals,Left Foot Goals,Offsides,Total Fouls Conceded,Unsuccessful lay-offs,Goals,Home Goals,Away Goals,Successful Crosses & Corners,Unsuccessful Corners into Box,Assists (Intentional),Foul Attempted Tackle,Blocks,Successful Corners into Box,Corners Taken (incl short corners),Successful Crosses open play,Blocked Shots,GK Successful Distribution,Goal Kicks,Penalty Goals,Penalties Taken,Yellow Cards,Handballs conceded,Clearances Off the Line,Second Goal Assists,Foul Won Penalty,Goals from Outside Box,Red Cards - 2nd Yellow,Total Red Cards,Punches,Saves Made,GK Unsuccessful Distribution,Saves Made from Inside Box,Last Player Tackle,Saves Made from Outside Box,Goals Conceded Outside Box,Hit Woodwork,Attempts from Set Pieces,Goalkeeper Smother,Drops,Penalties Faced,Penalties Saved,Saves made - parried,Saves from Penalty,Straight Red Cards,Penalties Conceded
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Canada,epwfc94g7m7ed1nbt9wbgo6ei,A. Johnston,Defender,2,7,11,7,31,4,4,10,6,,3,32,1,22,3,1,20,,,3,1,167,3,,14,11,43,7,11,3,,1,19,,34,2,,,4,2,26,3,92,45,11,5,1,1,17,14,10,6,,1,3,,,2,0,2,4,3,2,,3,10,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Canada,avtbng9l03cdal3qxjtuhppg4,J. Knight-Lebel,Defender,26,,,,8,,1,,2,,1,7,1,3,,,2,,,,,13,1,,,2,7,,,,,2,4,,8,1,,,2,,1,,10,8,,,,,2,6,10,,,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Canada,81rizhub9w9a7ifnf60bbppuc,I. Koné,Midfielder,8,,1,,61,,2,3,1,,2,63,24,21,,1,14,,1,10,3,103,2,,12,4,72,8,9,3,1,1,17,3,63,1,2,,4,1,19,3,98,72,9,,3,6,10,49,10,6,,1,3,1,4,1,0,,1,2,,2,,,2,1,,,,,2,,,,,,,,1,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Canada,3rrges782prcprsn207dk4zit,C. Larin,Forward,9,,1,,26,,,1,4,,4,24,4,10,,,4,,1,12,,75,4,,8,5,32,7,6,,,4,8,2,26,9,3,,2,,13,1,49,34,8,,1,5,10,22,10,5,1,4,,1,5,,0,1,1,,1,2,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Canada,4vrd6vji126bw8l1q6wxe0cfd,R. Laryea,Defender,22,6,11,2,93,1,2,16,2,1,3,93,39,33,5,1,20,,1,16,3,243,3,1,10,17,103,6,29,1,,1,17,8,95,3,1,1,14,3,24,4,164,105,10,1,1,13,31,76,10,14,,,1,,9,9,0,1,4,2,1,1,2,2,3,,,,,3,3,1,,,,1,,1,2,2,,,1,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Canada,e23f2mp5xqkwgcfnhmaknh9ex,T. McGill,Goalkeeper,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Canada,d874x8snmm3ebewbv05onbzs9,K. Miller,Defender,4,2,,2,37,1,,2,9,1,2,38,15,29,1,,25,,,2,2,117,2,,9,5,48,5,4,,,3,4,,40,1,,,4,1,13,2,63,50,10,6,,2,13,15,10,8,,1,,,,,0,1,5,3,1,2,,,,,,,,,3,,,,,,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Canada,7b63i2sks616o2xjiqtcdd756,J. Nelson,Forward,25,1,,,14,1,,1,1,,1,14,3,3,,1,3,,1,5,,56,1,,8,1,18,4,4,,,,7,,14,1,1,,2,1,10,,25,18,4,1,,3,5,11,10,4,,,4,,,,0,,,,,,,,,,,,,,1,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Canada,2mhvgtcem9qn2yzobtkqiegpg,T. Oluwaseyi,Forward,12,2,,6,27,2,3,7,15,,3,26,9,20,,2,3,,,11,1,232,3,1,23,17,49,23,15,,5,10,11,1,28,17,2,,4,3,35,4,92,51,23,5,,8,30,25,10,13,3,,,8,4,5,0,2,,1,2,2,,,,,1,,1,2,2,,1,1,0,,,,1,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Canada,a31s7t25qa1llzl3v79x2iimt,J. Osorio,Midfielder,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
