root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Open Play Passes,Corners Won,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Throw Ins to Opposition Player,Recoveries,Starts,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Aerial Duels won,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Tackles Won,Duels lost,Interceptions,Ground Duels won,Substitute On,Blocks,Successful Lay-offs,Goals,Successful Crosses & Corners,Yellow Cards,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Successful Dribbles,Total Shots,Successful Corners into Box,Blocked Shots,PutThrough/Blocked Distribution,Corners Taken (incl short corners),Goals from Outside Box,Total Touches In Opposition Box,Shots On Target ( inc goals ),Attempts from Set Pieces,Total Fouls Won,Unsuccessful Dribbles,Left Foot Goals,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Goal Assists,Through balls,Tackles Lost,Shots Off Target (inc woodwork),Substitute Off,Saves Made,GK Successful Distribution,Successful Launches,Punches,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Offsides,Unsuccessful lay-offs,Successful Crosses open play,Goals from Inside Box,Right Foot Goals,Other Goals,Clearances Off the Line,Hit Woodwork,Headed Goals,Penalties Taken,Goalkeeper Smother,Penalty Goals Conceded,Crosses not Claimed,Penalties Saved,Penalties Faced,Saves from Penalty,Penalties Conceded,Total Red Cards,Straight Red Cards,Set Pieces Goals,Penalty Goals,Red Cards - 2nd Yellow,Own Goal Scored,Second Goal Assists,Foul Won Penalty
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,5dfwe4unnmw5n9qm599juuymt,H. Alas,Midfielder,20,,9.0,,2.0,,1.0,1.0,,,,,1.0,1.0,,2.0,,2.0,,,,,,,1.0,,,3.0,2.0,,1.0,,10.0,1.0,,,1.0,,,,2.0,,1.0,2.0,2.0,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,ekj6dh2wz1wna3iqnqqoovbo5,O. Arroyo,Goalkeeper,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,9ukxlpvyr4nnr2bkqtrb7ls5x,N. Bonilla,Forward,0,1.0,344.0,,63.0,1.0,14.0,37.0,,,4.0,39.0,12.0,7.0,17.0,66.0,5.0,44.0,6.0,17.0,23.0,5.0,16.0,,11.0,4.0,2.0,110.0,4.0,2.0,28.0,6.0,10.0,13.0,5.0,1.0,33.0,,6.0,1.0,4.0,16.0,23.0,47.0,49.0,5.0,1.0,6.0,20.0,2.0,12.0,,1.0,3.0,2.0,,,,,1.0,5.0,,,2.0,,,13.0,3.0,,4.0,3.0,1.0,,,1.0,1.0,,1.0,2.0,2.0,,,,,,,,,,,,3.0,1.0,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,ekd5grsk9i1ls5dt273gh1fbp,E. Burgos,Midfielder,0,,7.0,1.0,8.0,,3.0,6.0,,,,,2.0,,,8.0,,7.0,,,4.0,,,,,,,9.0,1.0,,,1.0,10.0,,1.0,,,,,,1.0,,,8.0,8.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,cydgnvthy0f182u5l1awwlmfp,D. Carrillo,Goalkeeper,0,,284.0,,36.0,,,16.0,25.0,41.0,,43.0,16.0,,,73.0,,14.0,3.0,41.0,7.0,,35.0,,27.0,3.0,6.0,103.0,4.0,,1.0,62.0,10.0,1.0,18.0,1.0,2.0,2.0,3.0,,4.0,1.0,4.0,16.0,32.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,14.0,7.0,2.0,,2.0,2.0,4.0,11.0,2.0,11.0,,,,,,,,,,,,1.0,2.0,1.0,2.0,1.0,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,4i0iq31lu0vvjfgk8kqyec72t,D. Cerén,Midfielder,0,2.0,360.0,,205.0,2.0,21.0,92.0,5.0,12.0,1.0,57.0,92.0,13.0,22.0,217.0,13.0,150.0,6.0,34.0,68.0,8.0,34.0,,27.0,4.0,3.0,282.0,4.0,9.0,58.0,62.0,10.0,26.0,33.0,1.0,60.0,4.0,6.0,3.0,4.0,33.0,66.0,173.0,183.0,2.0,1.0,11.0,34.0,2.0,25.0,,1.0,3.0,,1.0,1.0,5.0,,8.0,3.0,,1.0,7.0,2.0,,3.0,,,4.0,1.0,,1.0,1.0,,,,2.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,11vqsu7sts8o9gfgx2wnmjf11,Ó. Cerén,Midfielder,0,3.0,78.0,,35.0,3.0,13.0,25.0,,,,15.0,9.0,1.0,4.0,36.0,3.0,32.0,,4.0,2.0,3.0,8.0,,4.0,,1.0,58.0,3.0,3.0,15.0,8.0,10.0,6.0,,1.0,16.0,,,5.0,3.0,10.0,13.0,31.0,32.0,1.0,,1.0,10.0,,5.0,3.0,,,,2.0,,3.0,,1.0,,1.0,1.0,3.0,4.0,,3.0,,,3.0,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,9pwxnznkg0t5pjvpm3gc7ic45,R. Domínguez,Defender,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,9jh88iupu11byyok11e8v5tqt,A. Flores,Midfielder,0,,93.0,,43.0,,7.0,20.0,,2.0,,13.0,17.0,2.0,7.0,46.0,1.0,35.0,3.0,9.0,14.0,3.0,9.0,,6.0,1.0,1.0,59.0,2.0,,5.0,9.0,10.0,3.0,2.0,,5.0,,3.0,1.0,2.0,2.0,16.0,34.0,37.0,,,2.0,2.0,3.0,3.0,1.0,,1.0,,,,1.0,,1.0,,1.0,1.0,5.0,3.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,6dzcj8hh1qi2l011k2hv0imzt,V. García,Midfielder,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,9k6pgi7u3rj2dqzt8n2nbu0gl,A. Larín,Defender,0,4.0,270.0,24.0,97.0,2.0,12.0,36.0,10.0,18.0,3.0,48.0,41.0,9.0,12.0,105.0,11.0,60.0,5.0,30.0,27.0,,27.0,8.0,13.0,3.0,9.0,198.0,3.0,6.0,27.0,57.0,10.0,16.0,15.0,2.0,32.0,10.0,5.0,6.0,3.0,13.0,9.0,70.0,75.0,5.0,1.0,9.0,16.0,14.0,14.0,,3.0,,,2.0,2.0,2.0,,,3.0,1.0,1.0,4.0,1.0,,1.0,1.0,,5.0,1.0,,,,,,,,2.0,,,,2.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,534sqmpjf39qlhzxczse4p5n9,I. Mancía,Defender,0,,360.0,,107.0,,7.0,14.0,6.0,9.0,8.0,18.0,78.0,5.0,9.0,110.0,6.0,84.0,6.0,18.0,27.0,,11.0,,12.0,4.0,7.0,153.0,4.0,4.0,13.0,43.0,10.0,9.0,8.0,2.0,23.0,19.0,6.0,,4.0,6.0,33.0,89.0,92.0,10.0,1.0,4.0,14.0,10.0,7.0,,4.0,,,,2.0,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,4u6fdzdpg94osw9ulj3t9ovyt,R. Marroquín,Defender,0,,90.0,4.0,49.0,,5.0,15.0,1.0,2.0,,3.0,32.0,,1.0,50.0,,46.0,1.0,3.0,29.0,,3.0,,1.0,1.0,,61.0,1.0,,1.0,14.0,10.0,,1.0,,1.0,4.0,1.0,,1.0,1.0,2.0,46.0,47.0,,,,1.0,2.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,cd7oau2m8h9qsljn5i3vrzmqd,G. Mayén,Midfielder,0,5.0,248.0,1.0,89.0,1.0,20.0,49.0,3.0,5.0,4.0,45.0,27.0,3.0,18.0,97.0,1.0,69.0,6.0,23.0,14.0,4.0,28.0,,14.0,4.0,8.0,143.0,4.0,,15.0,27.0,10.0,7.0,5.0,3.0,22.0,1.0,6.0,13.0,4.0,11.0,36.0,66.0,74.0,7.0,,2.0,15.0,3.0,4.0,,,4.0,1.0,2.0,,3.0,,,4.0,1.0,,5.0,8.0,,2.0,2.0,,1.0,2.0,,6.0,,,,,1.0,2.0,4.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,7gzcx735jrzpmnrq8wm0a34r9,R. Menjívar,Midfielder,0,,22.0,,33.0,,3.0,18.0,,,,2.0,13.0,2.0,2.0,33.0,,30.0,,2.0,14.0,,1.0,,2.0,,1.0,35.0,2.0,,4.0,6.0,10.0,2.0,1.0,,4.0,,,,2.0,2.0,10.0,31.0,31.0,,,1.0,2.0,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,3rxjp0eocy0gchd7e0y8z7wt1,M. Molina,Defender,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,2wktd6o1xfnsuy8nnxihj2cwl,N. Orellana,Midfielder,0,,345.0,,181.0,1.0,17.0,61.0,4.0,10.0,4.0,22.0,106.0,14.0,7.0,184.0,10.0,151.0,6.0,17.0,66.0,2.0,14.0,,31.0,4.0,3.0,229.0,4.0,6.0,32.0,37.0,10.0,22.0,16.0,2.0,38.0,5.0,6.0,,4.0,12.0,64.0,165.0,167.0,6.0,,11.0,16.0,9.0,20.0,,,,,,1.0,1.0,,1.0,2.0,,2.0,1.0,,,,1.0,,5.0,,,,1.0,,,,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,5da7xlbj0whghlm7mlved5045,D. Pineda,Midfielder,0,6.0,282.0,2.0,87.0,6.0,27.0,46.0,,,2.0,40.0,29.0,4.0,13.0,87.0,1.0,74.0,3.0,13.0,40.0,7.0,15.0,,14.0,3.0,4.0,147.0,4.0,1.0,32.0,15.0,10.0,16.0,,,34.0,1.0,3.0,6.0,4.0,16.0,5.0,74.0,74.0,2.0,,3.0,18.0,2.0,16.0,1.0,,,,1.0,,,,7.0,8.0,,1.0,1.0,,,9.0,4.0,,5.0,9.0,,,,,,,1.0,4.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,116ze3r6o220nyfwe0xxwrhed,H. Romero,Defender,0,,360.0,,98.0,,7.0,15.0,3.0,10.0,,18.0,77.0,3.0,6.0,108.0,5.0,86.0,6.0,16.0,22.0,,10.0,,11.0,4.0,6.0,148.0,4.0,1.0,12.0,48.0,10.0,8.0,6.0,2.0,14.0,14.0,6.0,,4.0,6.0,31.0,84.0,92.0,2.0,1.0,3.0,6.0,12.0,6.0,,3.0,,,,1.0,,,1.0,1.0,,,,,,1.0,,,2.0,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,9jusmgmj649lhdgft4nf94h5h,E. Sánchez,Midfielder,0,,12.0,,2.0,,3.0,1.0,,,,1.0,2.0,,,3.0,1.0,3.0,,,,,,,1.0,,,7.0,1.0,1.0,5.0,,10.0,2.0,,,5.0,,,,1.0,3.0,,2.0,3.0,,,,3.0,,2.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,aa7og4e6huuascsjoslqlauad,B. Tamacas,Defender,0,1.0,360.0,30.0,164.0,,19.0,70.0,6.0,10.0,5.0,45.0,63.0,15.0,24.0,167.0,6.0,130.0,6.0,34.0,6.0,1.0,27.0,7.0,18.0,4.0,8.0,266.0,4.0,2.0,35.0,70.0,10.0,31.0,3.0,6.0,46.0,7.0,6.0,1.0,4.0,10.0,72.0,130.0,133.0,11.0,1.0,13.0,15.0,17.0,25.0,,1.0,1.0,,,1.0,3.0,,1.0,1.0,,,7.0,,,2.0,1.0,,9.0,,,,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,eszcwrmf8yq4bnjwuq6d3rtg5,B. Villalobos,Goalkeeper,0,,76.0,,6.0,,,1.0,1.0,5.0,,5.0,5.0,,,11.0,,4.0,3.0,5.0,1.0,,5.0,,6.0,1.0,,17.0,1.0,,,8.0,10.0,,2.0,,,2.0,3.0,,1.0,,2.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,2.0,1.0,2.0,,,,2.0,3.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,El Salvador,El_Salvador,1nfr8ckkngangvxa7qxsc87o5,R. Zelaya,Forward,0,2.0,360.0,,106.0,2.0,33.0,49.0,,3.0,5.0,85.0,25.0,3.0,37.0,114.0,3.0,71.0,6.0,40.0,28.0,2.0,36.0,,11.0,4.0,6.0,201.0,4.0,1.0,59.0,30.0,10.0,26.0,3.0,,64.0,,6.0,2.0,4.0,33.0,23.0,68.0,74.0,5.0,1.0,3.0,38.0,1.0,26.0,,,7.0,1.0,,,,,9.0,11.0,,2.0,3.0,,,19.0,5.0,,14.0,9.0,,,,2.0,2.0,1.0,,6.0,,,,,,,,,,,,,4.0,3.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,
