liga,temporada,equipo,id,nombre,posicion,dorsal,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Crosses open play,Unsuccessful Crosses & Corners,Through balls,Total Clearances,Penalty Goals Conceded,Unsuccessful Passes Own Half,Successful Long Passes,Index,Clean Sheets,Leftside Passes,Unsuccessful Launches,Successful Dribbles,Open Play Passes,Interceptions,PutThrough/Blocked Distribution Won,Successful Passes Own Half,Successful Open Play Passes,Aerial Duels lost,Total Fouls Won,Key Passes (Attempt Assists),Blocks,Unsuccessful Long Passes,Times Tackled,Tackles Won,Successful Short Passes,Goals Conceded Outside Box,Throw Ins to Own Player,PutThrough/Blocked Distribution,Successful Launches,Goals Conceded Inside Box,Ground Duels lost,Blocked Shots,Total Fouls Conceded,Total Losses Of Possession,Unsuccessful Short Passes,Successful Crosses & Corners,Total Tackles,Starts,Successful Crosses open play,Recoveries,Unsuccessful Passes Opposition Half,Forward Passes,Tackles Lost,Touches,Time Played,Successful Passes Opposition Half,Goals Conceded,Appearances,Substitute Off,Games Played,Duels lost,Aerial Duels,Backward Passes,Substitute On,Foul Attempted Tackle,Corners Won,Total Successful Passes ( Excl Crosses & Corners ) ,Total Passes,Ground Duels,Ground Duels won,Rightside Passes,Duels,Unsuccessful Dribbles,Total Touches In Opposition Box,Duels won,Throw Ins to Opposition Player,Winning Goal,Penalties Faced,Yellow Cards,Saves made - caught,Catches,Goal Kicks,Saves Made from Inside Box,Punches,Saves Made,Saves Made from Outside Box,Crosses not Claimed,Aerial Duels won,GK Unsuccessful Distribution,Drops,Saves made - parried,GK Successful Distribution,Total Shots,Shots Off Target (inc woodwork),Assists (Intentional),Offsides,Foul Won Penalty,Hit Woodwork,Attempts from Set Pieces,Unsuccessful Corners into Box,Goals from Inside Box,Successful Corners into Box,Right Foot Goals,Goals,Shots On Target ( inc goals ),Second Goal Assists,Corners Taken (incl short corners),Headed Goals,Unsuccessful lay-offs,Handballs conceded,Penalties Taken,Successful Lay-offs,Goal Assists,Home Goals,Away Goals,Red Cards - 2nd Yellow,Goals from Outside Box,Total Red Cards,Other Goals,Set Pieces Goals,Penalties Off Target,Penalties Conceded,Own Goal Scored,Left Foot Goals,Clearances Off the Line,Last Man Tackle,Straight Red Cards,Penalty Goals,Saves from Penalty,Penalties Saved,Goalkeeper Smother
USA_USL_League_One,2022,Chattanooga Red Wolves SC,63u9wjzi0aypii7kvy9qt6ne1,C. Ávilez,Goalkeeper,12,251.0,,,,19.0,5.0,49.0,116.0,10.0,6.0,193.0,76.0,1.0,451.0,1.0,1.0,487.0,350.0,,6.0,,,249.0,,1.0,442.0,5.0,,2.0,21.0,31.0,2.0,,,261.0,2.0,,2.0,29.0,,200.0,202.0,412.0,1.0,1027.0,2680.0,71.0,36.0,31.0,1.0,31.0,2.0,9.0,,2.0,,,558.0,809.0,10.0,8.0,204.0,19.0,,,17.0,,0.0,7.0,4.0,1.0,20.0,237.0,39.0,8.0,58.0,18.0,,9.0,87.0,4.0,13.0,244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
USA_USL_League_One,2022,Chattanooga Red Wolves SC,hwiky3rrlzjvzxow970bbcvd,B. Bement,Forward,41,14.0,1.0,2.0,,8.0,,3.0,2.0,10.0,,15.0,,1.0,50.0,,1.0,15.0,36.0,13.0,4.0,2.0,,,4.0,,35.0,,,1.0,,3.0,11.0,1.0,8.0,32.0,14.0,1.0,,5.0,1.0,3.0,13.0,8.0,,94.0,291.0,23.0,3.0,5.0,4.0,5.0,24.0,21.0,22.0,,2.0,1.0,37.0,51.0,16.0,5.0,6.0,37.0,,8.0,13.0,,0.0,,2.0,,,,,,,,,8.0,,,,,1.0,,,1.0,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,,6.0,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Chattanooga Red Wolves SC,c9dlhwb3ajgno1ck47rya4ay2,D. Benton,Midfielder,18,190.0,37.0,37.0,,55.0,4.0,81.0,60.0,10.0,4.0,337.0,31.0,17.0,891.0,42.0,11.0,466.0,703.0,32.0,26.0,1.0,10.0,74.0,37.0,21.0,662.0,6.0,149.0,31.0,13.0,24.0,85.0,3.0,42.0,333.0,116.0,1.0,33.0,24.0,1.0,129.0,146.0,327.0,12.0,1459.0,2115.0,257.0,30.0,30.0,4.0,30.0,117.0,73.0,161.0,6.0,20.0,6.0,722.0,912.0,160.0,75.0,87.0,233.0,15.0,12.0,116.0,35.0,1.0,,9.0,,,,,,,,,41.0,,,,,6.0,4.0,,1.0,,,,,1.0,,,1.0,2.0,,,1.0,,3.0,,,,1.0,0.0,1.0,,1.0,,,,2.0,,,2.0,,,,,,
USA_USL_League_One,2022,Chattanooga Red Wolves SC,50fhgd3b896gac2p1y8wrwpw4,S. Capozucchi,Defender,23,74.0,,,,28.0,2.0,27.0,25.0,10.0,2.0,183.0,19.0,2.0,473.0,7.0,3.0,301.0,400.0,15.0,13.0,,4.0,31.0,4.0,3.0,393.0,2.0,30.0,8.0,3.0,10.0,27.0,,21.0,86.0,43.0,,8.0,10.0,,55.0,47.0,206.0,5.0,619.0,951.0,117.0,12.0,12.0,1.0,12.0,42.0,40.0,39.0,2.0,7.0,,418.0,492.0,50.0,23.0,64.0,90.0,1.0,3.0,48.0,1.0,0.0,,4.0,,,,,,,,,25.0,,,,,4.0,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2022,Chattanooga Red Wolves SC,1460tac94fhhy43lmohs4fj3e,N. Cardona,Defender,4,140.0,21.0,21.0,,47.0,2.0,40.0,63.0,10.0,3.0,194.0,19.0,1.0,703.0,18.0,12.0,338.0,564.0,23.0,17.0,3.0,6.0,64.0,11.0,34.0,527.0,2.0,72.0,22.0,6.0,18.0,68.0,1.0,40.0,206.0,76.0,3.0,45.0,15.0,3.0,91.0,121.0,290.0,11.0,1056.0,1581.0,255.0,20.0,23.0,3.0,23.0,91.0,49.0,95.0,8.0,26.0,5.0,590.0,730.0,131.0,63.0,151.0,180.0,3.0,16.0,89.0,10.0,0.0,,11.0,,,,,,,,,26.0,,,,,8.0,4.0,,1.0,,,,,1.0,,,1.0,4.0,,,1.0,,1.0,,1.0,,0.0,1.0,,,,,,,,,,1.0,,,,,,
USA_USL_League_One,2022,Chattanooga Red Wolves SC,eecchw0xji02pxoauns30bm5l,J. Carrera,Midfielder,10,260.0,20.0,53.0,4.0,27.0,5.0,51.0,82.0,10.0,7.0,479.0,17.0,21.0,1845.0,39.0,14.0,869.0,1599.0,23.0,46.0,52.0,6.0,89.0,41.0,42.0,1635.0,6.0,11.0,35.0,5.0,34.0,110.0,10.0,49.0,402.0,171.0,30.0,69.0,32.0,8.0,193.0,262.0,652.0,27.0,2462.0,2909.0,878.0,40.0,32.0,,32.0,133.0,42.0,354.0,,33.0,10.0,1717.0,1977.0,246.0,136.0,492.0,288.0,15.0,28.0,155.0,,0.0,,7.0,,,,,,,,,19.0,,,,,21.0,14.0,4.0,2.0,,,4.0,28.0,1.0,16.0,1.0,2.0,7.0,,52.0,,,3.0,1.0,5.0,9.0,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,
USA_USL_League_One,2022,Chattanooga Red Wolves SC,1d75wd7w7jm56ai438cp5jh1w,J. Cartagena,Forward,17,27.0,1.0,1.0,,1.0,,8.0,12.0,10.0,,49.0,3.0,,157.0,4.0,2.0,88.0,130.0,1.0,1.0,,2.0,13.0,3.0,11.0,124.0,1.0,,2.0,1.0,5.0,15.0,,8.0,40.0,14.0,,18.0,7.0,,14.0,20.0,44.0,7.0,211.0,394.0,48.0,6.0,10.0,7.0,10.0,16.0,1.0,31.0,3.0,6.0,,136.0,163.0,34.0,19.0,39.0,35.0,,,19.0,,0.0,,1.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,0.0,,1.0,,,,,,,,,,,,,,
USA_USL_League_One,2022,Chattanooga Red Wolves SC,411grh3cytippnnanb767qvsa,Rafa Mentzingen,Forward,7,162.0,55.0,55.0,,16.0,3.0,36.0,24.0,10.0,1.0,96.0,11.0,59.0,573.0,14.0,15.0,144.0,411.0,38.0,49.0,24.0,2.0,24.0,92.0,28.0,391.0,3.0,27.0,46.0,3.0,26.0,140.0,23.0,33.0,407.0,138.0,17.0,37.0,26.0,16.0,124.0,181.0,124.0,9.0,1191.0,2435.0,288.0,29.0,33.0,16.0,33.0,178.0,59.0,181.0,7.0,16.0,41.0,415.0,577.0,285.0,145.0,176.0,344.0,56.0,111.0,166.0,3.0,3.0,,5.0,,,,,,,,,21.0,,,,,58.0,26.0,2.0,8.0,1.0,3.0,1.0,,6.0,1.0,6.0,8.0,32.0,,1.0,,2.0,2.0,,8.0,4.0,7.0,1.0,,2.0,,,,,1.0,,2.0,,,,,,,
USA_USL_League_One,2022,Chattanooga Red Wolves SC,euooh9bkymh46vkxa3fvhrbop,J. Espana,Midfielder,11,94.0,11.0,11.0,3.0,3.0,3.0,16.0,13.0,10.0,,101.0,3.0,11.0,456.0,5.0,10.0,160.0,362.0,21.0,8.0,15.0,,13.0,23.0,12.0,382.0,3.0,9.0,21.0,,20.0,52.0,5.0,21.0,158.0,81.0,2.0,23.0,17.0,2.0,55.0,89.0,135.0,11.0,661.0,1360.0,237.0,23.0,24.0,14.0,24.0,73.0,26.0,148.0,7.0,16.0,8.0,395.0,489.0,94.0,42.0,105.0,120.0,5.0,21.0,47.0,1.0,1.0,,7.0,,,,,,,,,5.0,,,,,9.0,5.0,2.0,3.0,,,,,,,1.0,1.0,4.0,,2.0,,1.0,,,12.0,3.0,0.0,1.0,,1.0,,,,,1.0,,,,,,,,,
USA_USL_League_One,2022,Chattanooga Red Wolves SC,1ty4zl4wpurw97qos06gf105w,E. Espinoza,Midfielder,99,129.0,64.0,98.0,1.0,6.0,3.0,28.0,48.0,10.0,,198.0,7.0,20.0,642.0,16.0,20.0,190.0,517.0,17.0,55.0,26.0,1.0,26.0,48.0,16.0,490.0,3.0,29.0,40.0,1.0,28.0,94.0,7.0,31.0,341.0,103.0,24.0,28.0,23.0,9.0,102.0,199.0,165.0,12.0,1160.0,2006.0,372.0,31.0,30.0,16.0,30.0,111.0,24.0,205.0,7.0,13.0,15.0,538.0,667.0,197.0,103.0,99.0,221.0,28.0,60.0,110.0,,2.0,,5.0,,,,,,,,,7.0,,,,,39.0,20.0,6.0,6.0,1.0,2.0,13.0,29.0,4.0,12.0,2.0,8.0,19.0,,49.0,,1.0,1.0,1.0,9.0,7.0,4.0,4.0,,4.0,,,1.0,,1.0,,6.0,,,,1.0,,,
