liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Successful Launches,Goals,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Penalties Taken,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Penalty Goals,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Penalties Conceded,Own Goal Scored,Clearances Off the Line,Headed Goals,Total Red Cards,Straight Red Cards,Saves Made,GK Successful Distribution,Crosses not Claimed,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Foul Won Penalty,Set Pieces Goals,Penalties Saved,Saves from Penalty,Last Man Tackle,Red Cards - 2nd Yellow,Penalties Off Target,Other Goals,Second Goal Assists,Penalty Goals Conceded,Times Tackled,Home Goals,Away Goals,Winning Goal
USA_MLS,2016,Real Salt Lake,ac9ebvt008vz5mivsqkroaw2d,D. Acosta,Midfielder,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Real Salt Lake,6g9mkd880x0b1qvjni5yevljp,J. Allen,Midfielder,70,19.0,1.0,1115.0,13.0,13.0,3.0,1.0,3.0,2.0,360.0,2.0,88.0,9.0,215.0,3.0,1.0,19.0,21.0,6.0,3.0,14.0,151.0,92.0,17.0,47.0,364.0,5.0,16.0,9.0,283.0,17.0,14.0,66.0,1.0,86.0,12.0,73.0,2.0,,42.0,11.0,23.0,14.0,592.0,2.0,24.0,6.0,,88.0,,89.0,29.0,22.0,51.0,8.0,,15.0,8.0,19.0,6.0,10.0,108.0,7.0,20.0,,21.0,24.0,1.0,1.0,1.0,,43.0,101.0,3.0,,294.0,298.0,20.0,1.0,1.0,1.0,,1.0,14.0,57.0,3.0,18.0,45.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,27.0,2.0,1.0,1.0
USA_MLS,2016,Real Salt Lake,8u8lde31ao6odpe4xetifykt1,J. Attinella,Goalkeeper,24,,,360.0,,,,9.0,,,39.0,,,,18.0,37.0,,77.0,,,1.0,,79.0,17.0,,,112.0,,,,9.0,5.0,,77.0,,6.0,,69.0,,,43.0,4.0,,8.0,152.0,,4.0,,,,,103.0,,43.0,1.0,,,26.0,,,1.0,,1.0,7.0,6.0,,,4.0,,,,,,3.0,,,13.0,35.0,1.0,,,,,,,,,,,,,,,,,8.0,30.0,,6.0,,1.0,2.0,1.0,5.0,7.0,1.0,,29.0,,,,,,,,,,1.0,,0.0,0.0,0.0
USA_MLS,2016,Real Salt Lake,8m9cl9k4ilaox7l661m3jij8p,P. Báez,Forward,29,,,5.0,,1.0,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,2.0,,1.0,,,,,,,14.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
USA_MLS,2016,Real Salt Lake,6grvi28hzez37brwuct4wzo45,K. Beckerman,Midfielder,5,7.0,1.0,2457.0,4.0,,3.0,10.0,,,1570.0,14.0,134.0,7.0,776.0,59.0,8.0,130.0,20.0,22.0,4.0,12.0,359.0,587.0,64.0,159.0,1645.0,1.0,49.0,10.0,1227.0,29.0,35.0,289.0,,395.0,26.0,239.0,11.0,1.0,160.0,28.0,36.0,58.0,1994.0,1.0,28.0,36.0,3.0,185.0,,632.0,23.0,51.0,113.0,13.0,,129.0,7.0,28.0,12.0,4.0,209.0,28.0,33.0,,8.0,28.0,1.0,2.0,1.0,,84.0,484.0,,,1286.0,1356.0,24.0,6.0,,1.0,,1.0,46.0,96.0,18.0,54.0,101.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,22.0,0.0,0.0,0.0
USA_MLS,2016,Real Salt Lake,eauhubbodki4io4oeyaxmdr6d,A. Beltran,Defender,2,15.0,1.0,2468.0,255.0,2.0,1.0,7.0,,,918.0,4.0,151.0,9.0,413.0,36.0,9.0,73.0,19.0,3.0,5.0,30.0,361.0,302.0,62.0,147.0,926.0,3.0,40.0,10.0,668.0,32.0,5.0,220.0,,37.0,9.0,166.0,2.0,36.0,83.0,27.0,41.0,69.0,1619.0,,29.0,21.0,7.0,182.0,,407.0,12.0,41.0,135.0,2.0,,38.0,9.0,33.0,30.0,7.0,242.0,57.0,37.0,,15.0,29.0,,2.0,,2.0,77.0,331.0,,,698.0,706.0,60.0,6.0,,2.0,,,47.0,107.0,15.0,65.0,105.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,32.0,0.0,0.0,0.0
USA_MLS,2016,Real Salt Lake,84v7wkiby3gxavrnoqogo6e39,A. Brody,Midfielder,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Real Salt Lake,cpwrke87vea6lm457ub6w8251,E. Fernández,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Real Salt Lake,84iv2zwc1s193gzwlyqadiitx,O. García,Forward,80,13.0,7.0,1054.0,7.0,15.0,6.0,,1.0,1.0,265.0,8.0,58.0,5.0,146.0,1.0,2.0,6.0,4.0,7.0,2.0,43.0,164.0,41.0,10.0,87.0,275.0,3.0,26.0,7.0,174.0,18.0,16.0,93.0,,59.0,14.0,95.0,3.0,1.0,25.0,10.0,13.0,11.0,449.0,,25.0,15.0,2.0,96.0,1.0,71.0,33.0,100.0,74.0,9.0,,8.0,5.0,22.0,35.0,7.0,174.0,5.0,20.0,,13.0,25.0,,4.0,,,57.0,87.0,,,172.0,182.0,78.0,,3.0,1.0,,1.0,7.0,100.0,3.0,2.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,29.0,1.0,0.0,0.0
USA_MLS,2016,Real Salt Lake,bkgs0bu84fid8674okqo4r7x1,J. Glad,Defender,15,,,2514.0,11.0,1.0,,19.0,2.0,1.0,1013.0,,67.0,1.0,198.0,50.0,4.0,89.0,8.0,1.0,4.0,39.0,228.0,688.0,40.0,80.0,1054.0,1.0,25.0,,812.0,29.0,4.0,169.0,,222.0,4.0,93.0,,,88.0,28.0,14.0,76.0,1417.0,,29.0,9.0,21.0,93.0,,465.0,9.0,100.0,83.0,3.0,,73.0,1.0,15.0,29.0,1.0,161.0,111.0,33.0,,,29.0,,,,1.0,39.0,300.0,2.0,,849.0,885.0,68.0,6.0,,1.0,,1.0,29.0,78.0,11.0,96.0,54.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,0.0,2.0,0.0
