liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Tackles Won,Unsuccessful Launches,Successful Long Passes,Recoveries,Aerial Duels lost,Successful Open Play Passes,Successful Passes Own Half,Total Passes,Total Clearances,Total Losses Of Possession,Unsuccessful Passes Own Half,Backward Passes,Duels lost,Goals Conceded Inside Box,Aerial Duels won,Duels won,Key Passes (Attempt Assists),Throw Ins to Own Player,Successful Launches,Touches,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels,Goals Conceded,Substitute Off,Successful Passes Opposition Half,Throw Ins to Opposition Player,Unsuccessful Short Passes,Goals Conceded Outside Box,Forward Passes,Unsuccessful Crosses open play,Leftside Passes,Foul Attempted Tackle,Index,Starts,Total Fouls Conceded,Ground Duels won,Unsuccessful Passes Opposition Half,Aerial Duels,Appearances,Unsuccessful Long Passes,Open Play Passes,Interceptions,Unsuccessful Crosses & Corners,Total Successful Passes ( Excl Crosses & Corners ) ,Ground Duels lost,Successful Short Passes,Rightside Passes,Time Played,Tackles Lost,Total Tackles,Ground Duels,Winning Goal,Times Tackled,Blocks,Substitute On,Unsuccessful lay-offs,Shots Off Target (inc woodwork),Clean Sheets,PutThrough/Blocked Distribution,Blocked Shots,Overruns,Successful Dribbles,Through balls,Total Touches In Opposition Box,Penalty Goals Conceded,PutThrough/Blocked Distribution Won,Handballs conceded,Unsuccessful Dribbles,Corners Taken (incl short corners),Successful Crosses & Corners,Yellow Cards,Total Shots,Corners Won,Total Fouls Won,Successful Lay-offs,Shots On Target ( inc goals ),Successful Crosses open play,Offsides,Unsuccessful Corners into Box,Penalties Conceded,Goals,Goals from Outside Box,Left Foot Goals,Home Goals,Away Goals,Penalties Taken,Goals from Inside Box,Headed Goals,Attempts from Set Pieces,Straight Red Cards,Total Red Cards,Assists (Intentional),Goal Assists,Right Foot Goals,Successful Corners into Box,Set Pieces Goals,Second Goal Assists,Hit Woodwork,Penalty Goals,Clearances Off the Line,Red Cards - 2nd Yellow,Foul Won Penalty,Saves from Penalty,GK Unsuccessful Distribution,Punches,Saves Made from Inside Box,Penalties Saved,Saves Made from Outside Box,Penalties Faced,Saves made - parried,Own Goal Scored,Goal Kicks,Saves Made,Saves made - caught,GK Successful Distribution,Last Player Tackle,Goalkeeper Smother,Catches,Penalties Off Target,Crosses not Claimed,Drops,Other Goals
Mexico_Liga_MX,2019-2020,Deportivo Toluca FC,dxpu5suwfn5aaw3vhdpdjg4mi,D. Abella,Forward,19,12.0,3.0,,3.0,21.0,21.0,59.0,25.0,104.0,8.0,93.0,9.0,22.0,56.0,10.0,27.0,44.0,3.0,3.0,,227.0,42.0,100.0,13.0,9.0,37.0,2.0,40.0,3.0,37.0,8.0,19.0,6.0,10.0,11.0,9.0,17.0,41.0,48.0,12.0,2.0,101.0,1.0,8.0,62.0,35.0,59.0,26.0,731.0,1.0,4.0,52.0,0.0,19.0,1.0,1.0,2.0,10.0,,7.0,2.0,1.0,9.0,,24.0,1.0,1.0,,6.0,,,1.0,17.0,5.0,6.0,2.0,7.0,,4.0,,,1.0,,,0.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Deportivo Toluca FC,b5557z8necef4bq85frnoyled,A. Canelo,Forward,25,17.0,5.0,1.0,11.0,33.0,14.0,157.0,50.0,240.0,15.0,160.0,8.0,49.0,90.0,13.0,19.0,92.0,13.0,2.0,,500.0,63.0,182.0,18.0,4.0,130.0,1.0,57.0,5.0,47.0,8.0,53.0,10.0,10.0,13.0,24.0,73.0,63.0,33.0,17.0,6.0,220.0,5.0,8.0,177.0,76.0,166.0,91.0,1132.0,7.0,12.0,149.0,1.0,46.0,,4.0,4.0,15.0,1.0,16.0,11.0,3.0,25.0,1.0,49.0,1.0,8.0,2.0,22.0,,3.0,1.0,22.0,15.0,38.0,9.0,7.0,3.0,3.0,,,2.0,,,2.0,0.0,,2.0,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Deportivo Toluca FC,qsce60rnyzjufjqdvdvnouay,K. Castañeda,Midfielder,8,5.0,1.0,,2.0,5.0,3.0,61.0,18.0,74.0,1.0,24.0,2.0,13.0,12.0,1.0,3.0,6.0,4.0,,,103.0,13.0,18.0,1.0,2.0,46.0,,12.0,,23.0,,20.0,1.0,10.0,2.0,3.0,3.0,14.0,6.0,5.0,1.0,73.0,1.0,3.0,61.0,9.0,59.0,18.0,142.0,,1.0,12.0,0.0,5.0,,3.0,,1.0,,2.0,2.0,,2.0,1.0,3.0,,,,1.0,5.0,3.0,,3.0,1.0,1.0,2.0,2.0,1.0,,3.0,,1.0,1.0,,0.0,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Deportivo Toluca FC,bux3qj934czxv2imllf9o6t3p,A. Chalá,Defender,0,16.0,11.0,15.0,4.0,62.0,12.0,219.0,94.0,296.0,16.0,166.0,24.0,31.0,49.0,17.0,10.0,42.0,7.0,86.0,,589.0,71.0,91.0,21.0,3.0,139.0,21.0,47.0,4.0,156.0,36.0,14.0,6.0,10.0,13.0,10.0,32.0,83.0,22.0,16.0,24.0,290.0,17.0,36.0,225.0,37.0,221.0,95.0,1141.0,5.0,16.0,69.0,0.0,17.0,3.0,3.0,,2.0,1.0,31.0,,4.0,10.0,,8.0,1.0,14.0,1.0,13.0,,8.0,1.0,2.0,9.0,6.0,1.0,,8.0,2.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Deportivo Toluca FC,c9r6p8hy5erieew7w2u9vlfit,R. Cruz,Defender,0,4.0,,1.0,,2.0,1.0,23.0,6.0,31.0,,18.0,2.0,7.0,10.0,,,3.0,1.0,,,47.0,8.0,13.0,,,17.0,,7.0,,9.0,1.0,13.0,1.0,10.0,,4.0,3.0,7.0,1.0,4.0,1.0,31.0,,1.0,23.0,9.0,23.0,2.0,86.0,1.0,1.0,12.0,0.0,3.0,,4.0,,,,3.0,,1.0,1.0,,1.0,,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Deportivo Toluca FC,c7t3jjwtrw1qrpr6a4nvdxat,K. Escamilla,Midfielder,20,11.0,6.0,2.0,17.0,29.0,6.0,235.0,119.0,270.0,2.0,51.0,4.0,53.0,28.0,6.0,10.0,26.0,9.0,1.0,,352.0,29.0,54.0,8.0,,126.0,,23.0,2.0,73.0,4.0,82.0,4.0,10.0,5.0,8.0,16.0,37.0,16.0,11.0,6.0,264.0,10.0,12.0,241.0,22.0,224.0,62.0,511.0,1.0,7.0,38.0,0.0,6.0,,6.0,,5.0,,6.0,3.0,,5.0,,3.0,,5.0,,1.0,14.0,4.0,,9.0,2.0,4.0,1.0,4.0,1.0,,8.0,,,,,,,,,,4.0,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Deportivo Toluca FC,binlfixspmuzid9947vx0xsyd,William,Midfielder,8,17.0,22.0,9.0,39.0,90.0,4.0,394.0,185.0,494.0,4.0,134.0,25.0,49.0,76.0,18.0,3.0,69.0,12.0,1.0,1.0,680.0,87.0,145.0,23.0,2.0,223.0,1.0,61.0,5.0,154.0,3.0,147.0,20.0,10.0,17.0,26.0,66.0,65.0,7.0,17.0,26.0,481.0,8.0,3.0,407.0,72.0,368.0,144.0,1504.0,9.0,31.0,138.0,1.0,23.0,3.0,,,5.0,3.0,21.0,6.0,1.0,19.0,1.0,4.0,1.0,11.0,,12.0,,1.0,5.0,10.0,3.0,16.0,1.0,5.0,1.0,1.0,,,2.0,2.0,2.0,1.0,1.0,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Deportivo Toluca FC,8vxhwfz07ihux3wl7w6y3akq2,J. Gamboa,Forward,199,2.0,,,,2.0,,11.0,2.0,15.0,,8.0,1.0,2.0,3.0,1.0,1.0,1.0,,,,23.0,4.0,4.0,1.0,,10.0,,4.0,,5.0,1.0,6.0,1.0,10.0,,1.0,,4.0,1.0,2.0,,15.0,,1.0,11.0,3.0,11.0,2.0,28.0,,,3.0,0.0,2.0,,2.0,,,,2.0,,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Deportivo Toluca FC,3wqx5n4oni44epl1g89j70m0a,E. García,Defender,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Deportivo Toluca FC,3lkhc5em4d8fx4cebnoaszzyt,L. García,Goalkeeper,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
