liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,GK Successful Distribution,Games Played,Goal Kicks,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Index,Interceptions,Last Player Tackle,Leftside Passes,Open Play Passes,Penalties Conceded,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Starts,Substitute Off,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Launches,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Winning Goal,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Corners Won,Goal Assists,Goals,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Headed Goals,Hit Woodwork,Key Passes (Attempt Assists),Left Foot Goals,Offsides,Overruns,Penalties Taken,Penalty Goals,Right Foot Goals,Second Goal Assists,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Successful Corners into Box,Successful Dribbles,Successful Lay-offs,Times Tackled,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Total Shots,Unsuccessful Corners into Box,Unsuccessful Dribbles,Unsuccessful lay-offs,Home Goals,Away Goals,Foul Won Penalty,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Total Big Chances Saved,Saves made - caught,Clearances Off the Line,Own Goal Scored,Red Cards - 2nd Yellow,Total Red Cards,Penalties Saved,Saves from Penalty,Set Pieces Goals,Other Goals,Crosses not Claimed,Straight Red Cards,Direct Corner Goals,Direct Setpiece Goals,Penalties Off Target
USA_MLS,2025,Vancouver Whitecaps FC,84krgh1swq0ul9b6eowjs05p1,S. Adekugbe,Defender,3,14.0,5.0,9.0,7.0,64.0,2.0,,51.0,,25.0,9.0,16.0,,65.0,3.0,,7.0,,4.0,4.0,,11.0,4.0,7.0,,10.0,3.0,,12.0,216.0,,1.0,32.0,5.0,2.0,6.0,76.0,4.0,4.0,3.0,,,,3.0,194.0,115.0,80.0,192.0,1.0,2.0,,1.0,12.0,292.0,12.0,3.0,3.0,39.0,217.0,195.0,3.0,5.0,22.0,278.0,7.0,7.0,,1.0,21.0,8.0,21.0,,0.0,,,,1.0,,2.0,2.0,2.0,,,,2.0,1.0,,,,,1.0,,1.0,2.0,,1.0,,1.0,1.0,,2.0,3.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Vancouver Whitecaps FC,9r5wts47bv195z3rm8gajztg,A. Ahmed,Defender,22,31.0,19.0,12.0,27.0,234.0,12.0,,360.0,3.0,215.0,108.0,107.0,349.0,164.0,10.0,,27.0,,16.0,13.0,3.0,184.0,89.0,95.0,3.0,10.0,10.0,,121.0,803.0,,1.0,205.0,60.0,22.0,67.0,294.0,17.0,14.0,10.0,15.0,14.0,2.0,17.0,674.0,543.0,155.0,666.0,9.0,15.0,7.0,,15.0,1686.0,11.0,21.0,40.0,275.0,813.0,683.0,24.0,135.0,130.0,1201.0,34.0,33.0,7.0,10.0,142.0,22.0,120.0,2.0,0.0,9.0,,2.0,24.0,10.0,1.0,1.0,1.0,,,1.0,35.0,,5.0,6.0,,,1.0,1.0,9.0,13.0,1.0,31.0,19.0,54.0,14.0,5.0,,22.0,1.0,31.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Vancouver Whitecaps FC,6cdhdb44atdm9b3n7swgi002y,M. Anchor,Goalkeeper,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Vancouver Whitecaps FC,bhzjqo4qidpkmh7lqqir9h4ic,J. Badwal,Midfielder,59,21.0,14.0,7.0,27.0,91.0,2.0,2.0,78.0,,100.0,48.0,52.0,69.0,63.0,3.0,,27.0,,16.0,14.0,2.0,79.0,34.0,45.0,1.0,10.0,15.0,,72.0,322.0,,1.0,30.0,12.0,7.0,37.0,101.0,9.0,6.0,18.0,2.0,2.0,,6.0,288.0,164.0,131.0,287.0,9.0,10.0,1.0,,6.0,924.0,6.0,14.0,20.0,65.0,327.0,293.0,19.0,13.0,34.0,464.0,6.0,6.0,2.0,3.0,32.0,8.0,31.0,1.0,1.0,1.0,,,2.0,2.0,1.0,1.0,1.0,,,,3.0,,,1.0,,,1.0,,,5.0,,6.0,10.0,12.0,2.0,1.0,1.0,5.0,,9.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Vancouver Whitecaps FC,em4xzelxkreypf32epcy6cnze,Belal Halbouni,Defender,12,33.0,15.0,18.0,16.0,61.0,,5.0,212.0,3.0,71.0,36.0,35.0,37.0,211.0,4.0,5.0,16.0,5.0,12.0,9.0,3.0,38.0,21.0,17.0,,10.0,7.0,,325.0,701.0,,,116.0,6.0,3.0,59.0,127.0,9.0,,7.0,2.0,2.0,2.0,44.0,655.0,294.0,385.0,633.0,4.0,5.0,,1.0,1.0,929.0,42.0,8.0,3.0,66.0,724.0,677.0,9.0,12.0,47.0,844.0,2.0,2.0,11.0,22.0,30.0,19.0,25.0,4.0,0.0,,,,3.0,,,,,,,,4.0,,,,,,,,4.0,,,5.0,,8.0,1.0,,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Vancouver Whitecaps FC,54b4j04ondrq28e4eenma1rai,S. Berhalter,Midfielder,16,57.0,29.0,28.0,34.0,313.0,19.0,11.0,324.0,8.0,286.0,134.0,152.0,321.0,603.0,34.0,,34.0,,33.0,27.0,6.0,229.0,105.0,124.0,,10.0,40.0,,506.0,1706.0,2.0,3.0,155.0,58.0,23.0,146.0,383.0,30.0,6.0,4.0,86.0,22.0,15.0,162.0,1428.0,1034.0,559.0,1345.0,36.0,42.0,6.0,,26.0,2776.0,54.0,54.0,37.0,563.0,1805.0,1507.0,78.0,42.0,298.0,2562.0,180.0,55.0,40.0,120.0,414.0,64.0,178.0,8.0,0.0,10.0,8.0,160.0,33.0,10.0,4.0,4.0,,4.0,,2.0,75.0,,1.0,,,,4.0,2.0,22.0,20.0,52.0,9.0,39.0,35.0,19.0,1.0,,42.0,88.0,7.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Vancouver Whitecaps FC,3qw81ws1dvf6ye83m2sd9vje1,T. Blackmon,Defender,33,58.0,19.0,39.0,27.0,97.0,1.0,11.0,389.0,8.0,152.0,51.0,101.0,16.0,623.0,5.0,6.0,27.0,6.0,29.0,28.0,1.0,94.0,32.0,62.0,2.0,10.0,28.0,1.0,503.0,1615.0,1.0,4.0,182.0,19.0,13.0,101.0,461.0,25.0,3.0,2.0,4.0,4.0,7.0,112.0,1477.0,658.0,889.0,1431.0,9.0,16.0,2.0,38.0,33.0,2251.0,114.0,27.0,29.0,202.0,1684.0,1543.0,25.0,31.0,141.0,2067.0,5.0,5.0,26.0,63.0,95.0,51.0,78.0,5.0,2.0,,,,5.0,1.0,2.0,,2.0,,1.0,,9.0,,1.0,,,,1.0,,8.0,3.0,,10.0,,5.0,3.0,3.0,1.0,11.0,,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
USA_MLS,2025,Vancouver Whitecaps FC,1g87lk1nglquvmvpowjfpcpre,I. Boehmer,Goalkeeper,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Vancouver Whitecaps FC,5k3ijtizx5ten8jeqlji4mvpw,G. Bovalina,Defender,27,7.0,5.0,2.0,8.0,35.0,1.0,3.0,29.0,,23.0,16.0,7.0,24.0,15.0,1.0,,8.0,,4.0,1.0,3.0,16.0,11.0,5.0,1.0,10.0,2.0,,30.0,83.0,,,17.0,4.0,3.0,8.0,4.0,2.0,1.0,6.0,,,,2.0,70.0,42.0,29.0,69.0,,3.0,,6.0,10.0,205.0,6.0,2.0,2.0,33.0,84.0,71.0,3.0,10.0,13.0,144.0,5.0,5.0,,1.0,14.0,4.0,12.0,,0.0,2.0,,,1.0,2.0,,,,,,,1.0,,1.0,,,,,,1.0,2.0,,,3.0,7.0,1.0,2.0,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Vancouver Whitecaps FC,98fc9z0bao7tnkwk7cl9dvms4,K. Cabrera,Forward,17,5.0,3.0,2.0,10.0,41.0,1.0,,43.0,,34.0,15.0,19.0,114.0,29.0,2.0,,10.0,,3.0,1.0,2.0,29.0,12.0,17.0,,10.0,2.0,,25.0,141.0,,,19.0,8.0,3.0,10.0,49.0,2.0,2.0,8.0,2.0,2.0,,4.0,121.0,99.0,27.0,120.0,3.0,5.0,,,2.0,232.0,4.0,2.0,5.0,40.0,144.0,124.0,8.0,11.0,20.0,205.0,5.0,5.0,,,24.0,1.0,20.0,,1.0,,,,,,2.0,1.0,2.0,,,2.0,3.0,1.0,,1.0,,,1.0,,2.0,2.0,,4.0,1.0,6.0,,,,4.0,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
