liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Carries,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goal Assists,Goals,Goals Conceded,Goals Conceded Outside Box,Goals Openplay,Goals from Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Overruns,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Through balls,Time Played,Times Tackled,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Passes Opposition Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Substitute On,Aerial Duels lost,Foul Won Penalty,Goals Conceded Inside Box,Goals from Inside Box,Hit Woodwork,Left Foot Goals,Other Goals,Tackles Won,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Unsuccessful Passes Own Half,Blocks,GK Successful Distribution,Goal Kicks,Handballs conceded,Interceptions,Penalties Conceded,Penalty Goals Conceded,Red Cards - 2nd Yellow,Successful Launches,Throw Ins to Opposition Player,Throw Ins to Own Player,Total Red Cards,Unsuccessful Launches,Unsuccessful Long Passes,Assists (Intentional),Clean Sheets,Total Big Chances Saved,GK Unsuccessful Distribution,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Attempts from Set Pieces,Corners Taken (incl short corners),Successful Corners into Box,Unsuccessful Corners into Box,Second Goal Assists,Catches,Goalkeeper Smother,Penalties Faced,Headed Goals,Penalties Taken,Clearances Off the Line,Last Player Tackle,Own Goal Scored,Unsuccessful lay-offs,Direct Setpiece Goals,Penalty Goals,Set Pieces Goals,Punches,Straight Red Cards,Drops,Penalties Saved,Saves from Penalty,Penalties Off Target,Saves made - caught,Direct Corner Goals,Crosses not Claimed
USA_MLS_Next_Pro,2026,Chicago Fire FC II,332egw54pmrnhlj3a1m9ntdsk,H. Berg,Midfielder,62,8.0,7.0,7.0,14.0,1.0,11.0,2.0,29.0,11.0,18.0,54.0,91.0,1.0,7.0,,,12.0,3.0,,,21.0,10.0,11.0,1.0,12.0,1.0,181.0,,2.0,9.0,3.0,8.0,,77.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,,9.0,141.0,77.0,77.0,144.0,5.0,,542.0,,14.0,6.0,1.0,61.0,194.0,3.0,153.0,9.0,9.0,41.0,284.0,5.0,5.0,,32.0,30.0,3.0,,,0.0,1.0,1.0,,9.0,,,,,4.0,,2.0,,14.0,4.0,4.0,4.0,,3.0,,,,5.0,12.0,26.0,,6.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Chicago Fire FC II,842jc9ip6cmresz7ouwhafl04,D. Boltz,Forward,28,20.0,8.0,9.0,24.0,1.0,24.0,2.0,62.0,36.0,26.0,79.0,21.0,1.0,9.0,,2.0,11.0,2.0,1.0,,42.0,24.0,18.0,2.0,18.0,2.0,78.0,,7.0,7.0,4.0,14.0,1.0,17.0,2.0,6.0,7.0,7.0,5.0,,,,2.0,,50.0,38.0,14.0,52.0,3.0,,568.0,12.0,5.0,9.0,7.0,62.0,80.0,13.0,52.0,11.0,21.0,28.0,166.0,2.0,2.0,5.0,25.0,27.0,1.0,2.0,0.0,0.0,2.0,12.0,1.0,9.0,2.0,1.0,,,8.0,,6.0,1.0,5.0,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,3.0,,1.0,,,,,,,,,,
USA_MLS_Next_Pro,2026,Chicago Fire FC II,83uri423ckm6ngfoerw6gwh04,D. Borso,Forward,27,2.0,1.0,4.0,44.0,1.0,71.0,3.0,45.0,18.0,27.0,102.0,54.0,2.0,4.0,2.0,,2.0,,,,43.0,17.0,26.0,5.0,83.0,,176.0,,37.0,5.0,2.0,24.0,,7.0,7.0,2.0,2.0,4.0,2.0,5.0,4.0,8.0,1.0,6.0,146.0,81.0,81.0,151.0,4.0,1.0,336.0,7.0,8.0,5.0,7.0,63.0,188.0,4.0,157.0,11.0,8.0,31.0,307.0,10.0,9.0,6.0,32.0,23.0,,,,0.0,,1.0,,2.0,,1.0,,,7.0,3.0,,,9.0,,,,,2.0,,,,,4.0,34.0,,3.0,8.0,2.0,2.0,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Chicago Fire FC II,5ha3stzo3awryxh7cxtw2tjo,E. Chavez,Defender,54,2.0,1.0,2.0,11.0,1.0,2.0,,9.0,4.0,5.0,12.0,11.0,,2.0,,,2.0,,,,7.0,3.0,4.0,,5.0,,42.0,,1.0,2.0,1.0,1.0,,15.0,,,,1.0,1.0,,,,,3.0,35.0,17.0,18.0,32.0,,,82.0,1.0,4.0,1.0,1.0,10.0,42.0,,35.0,3.0,1.0,7.0,60.0,1.0,1.0,1.0,4.0,4.0,,,,0.0,1.0,1.0,,2.0,,,,,3.0,,,,4.0,,,,,1.0,,,,1.0,1.0,4.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Chicago Fire FC II,2mdvkj8gcfmn6wve50ewfi7mc,M. Clark,Midfielder,45,,,5.0,4.0,,2.0,,5.0,2.0,3.0,16.0,5.0,1.0,5.0,,,3.0,1.0,,,5.0,2.0,3.0,,5.0,,17.0,,1.0,2.0,2.0,3.0,,3.0,,1.0,,,,,,,,,13.0,11.0,2.0,13.0,,,65.0,,1.0,1.0,1.0,7.0,17.0,1.0,13.0,2.0,1.0,4.0,33.0,3.0,3.0,,6.0,4.0,2.0,,,0.0,5.0,,,2.0,,,,,2.0,,1.0,,1.0,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Chicago Fire FC II,b3xoqrbmua9uzr0tw8kmnw9as,C. Cupps,Defender,38,25.0,16.0,8.0,24.0,,89.0,1.0,55.0,20.0,35.0,17.0,186.0,2.0,8.0,,,12.0,3.0,,,30.0,11.0,19.0,1.0,217.0,1.0,496.0,,34.0,4.0,2.0,22.0,,104.0,1.0,5.0,1.0,8.0,,,,,,29.0,438.0,144.0,321.0,436.0,5.0,,720.0,1.0,33.0,8.0,4.0,71.0,531.0,6.0,465.0,15.0,8.0,66.0,611.0,,,,44.0,29.0,,,,0.0,,9.0,,9.0,,,,,10.0,,1.0,,22.0,7.0,8.0,9.0,,6.0,,,,5.0,,1.0,,23.0,37.0,,2.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Chicago Fire FC II,dgg7p77rms6h6d1fc4g3i3k0k,T. Diawara,Forward,41,7.0,,4.0,5.0,1.0,5.0,,12.0,11.0,1.0,18.0,2.0,1.0,4.0,,1.0,1.0,,1.0,,5.0,4.0,1.0,,2.0,1.0,14.0,,1.0,,,2.0,,5.0,,2.0,1.0,,,,,1.0,2.0,,13.0,9.0,4.0,13.0,,,94.0,2.0,,2.0,,6.0,14.0,3.0,13.0,,6.0,1.0,25.0,,,2.0,1.0,1.0,,1.0,0.0,2.0,4.0,7.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Chicago Fire FC II,55m0mky1hal5hyuy5sjz4hrmc,P. Dithejane,Forward,12,,,2.0,19.0,2.0,30.0,2.0,17.0,7.0,10.0,43.0,13.0,1.0,2.0,,,1.0,,,,17.0,7.0,10.0,1.0,5.0,,59.0,1.0,12.0,5.0,3.0,15.0,,23.0,1.0,,,2.0,2.0,,,3.0,1.0,3.0,49.0,33.0,17.0,47.0,,,162.0,6.0,,1.0,4.0,23.0,60.0,,50.0,3.0,10.0,10.0,94.0,2.0,2.0,3.0,12.0,10.0,,,,0.0,,,,1.0,,,,,3.0,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Chicago Fire FC II,4rnong5uhpqn323bqfthsbyay,R. Fleming,Midfielder,48,7.0,5.0,4.0,31.0,2.0,45.0,3.0,29.0,9.0,20.0,61.0,55.0,,4.0,,1.0,4.0,,1.0,1.0,22.0,7.0,15.0,2.0,62.0,,200.0,,16.0,6.0,2.0,14.0,1.0,55.0,2.0,2.0,2.0,4.0,,,,1.0,6.0,6.0,168.0,97.0,74.0,165.0,,,360.0,4.0,11.0,2.0,8.0,43.0,203.0,4.0,171.0,6.0,4.0,32.0,260.0,3.0,3.0,1.0,28.0,24.0,,0.0,1.0,0.0,,2.0,,4.0,,,,,6.0,,,,7.0,2.0,,,,3.0,,,,,,2.0,,3.0,8.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Chicago Fire FC II,281wp4apv4dmgdzcrdvu9t34k,Gongadze,Midfielder,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
