liga,temporada,equipo,id,nombre,posicion,dorsal,Open Play Passes,Substitute On,Successful Open Play Passes,Successful Short Passes,Games Played,Successful Passes Opposition Half,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Time Played,Forward Passes,Appearances,Index,Touches,Home Goals,Away Goals,Winning Goal,Duels lost,Ground Duels,Ground Duels won,Total Shots,Unsuccessful Short Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Launches,Recoveries,Unsuccessful Long Passes,Clean Sheets,Times Tackled,Unsuccessful Passes Own Half,Total Touches In Opposition Box,Aerial Duels won,Blocks,Successful Passes Own Half,Goals Conceded Outside Box,Interceptions,Ground Duels lost,Total Clearances,Foul Attempted Tackle,Leftside Passes,Backward Passes,Rightside Passes,PutThrough/Blocked Distribution,Aerial Duels,Tackles Won,Unsuccessful Passes Opposition Half,Unsuccessful Dribbles,Duels,Goals Conceded,Successful Dribbles,Total Fouls Conceded,Goals Conceded Inside Box,Starts,Total Tackles,Shots Off Target (inc woodwork),Successful Long Passes,Duels won,Total Losses Of Possession,Total Fouls Won,PutThrough/Blocked Distribution Won,Shots On Target ( inc goals ),Blocked Shots,Yellow Cards,Offsides,Unsuccessful Crosses & Corners,Aerial Duels lost,Goals,Attempts from Set Pieces,Unsuccessful Crosses open play,Substitute Off,Goals from Inside Box,Tackles Lost,Key Passes (Attempt Assists),Left Foot Goals,GK Unsuccessful Distribution,Saves Made from Inside Box,Saves Made,GK Successful Distribution,Through balls,Corners Won,Goal Assists,Assists (Intentional),Successful Lay-offs,Throw Ins to Own Player,Right Foot Goals,Corners Taken (incl short corners),Goals from Outside Box,Unsuccessful Corners into Box,Second Goal Assists,Successful Launches,Successful Crosses & Corners,Successful Crosses open play,Foul Won Penalty,Handballs conceded,Successful Corners into Box,Penalties Taken,Penalty Goals,Throw Ins to Opposition Player,Saves made - parried,Punches,Catches,Goalkeeper Smother,Saves Made from Outside Box,Clearances Off the Line,Hit Woodwork,Penalty Goals Conceded,Drops,Penalties Faced,Penalties Conceded,Straight Red Cards,Total Red Cards,Unsuccessful lay-offs,Headed Goals
Concacaf_Leagues_Cup_2019_2022,2021,Club Universidad Nacional,rzuit988ertpy1ah8wwlma96,J. Barragán,Defender,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Universidad Nacional,6cm81d82manuun8t76dy7snh1,C. Battocchio,Midfielder,22,5.0,1.0,4.0,4.0,1.0,2.0,5.0,4.0,45.0,3.0,1.0,10.0,11.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,1.0,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,2.0,1.0,,1.0,1.0,,4.0,1.0,,1.0,1.0,,2.0,,,3.0,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Universidad Nacional,ca5ldsa3p3iacyyu5uhjkoo9,W. Corozo,Midfielder,31,13.0,2.0,9.0,8.0,2.0,7.0,13.0,9.0,43.0,2.0,2.0,10.0,21.0,0.0,0.0,0.0,3.0,5.0,4.0,,4.0,4.0,,1.0,,,,1.0,3.0,1.0,,2.0,,,1.0,,1.0,,3.0,8.0,2.0,3.0,1.0,3.0,,8.0,1.0,2.0,1.0,1.0,,1.0,,1.0,5.0,6.0,1.0,,,1.0,,,,2.0,,,,,,,1.0,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Universidad Nacional,1ufneb2htj56ng3i8n2e6o9n9,J. Dinenno,Forward,9,19.0,,7.0,9.0,2.0,6.0,22.0,10.0,135.0,7.0,2.0,10.0,42.0,0.0,0.0,0.0,9.0,12.0,7.0,2.0,11.0,12.0,,2.0,1.0,,2.0,,2.0,2.0,,4.0,,1.0,5.0,2.0,3.0,5.0,5.0,5.0,2.0,6.0,,13.0,,18.0,2.0,3.0,3.0,2.0,2.0,,2.0,1.0,9.0,19.0,4.0,,,,,,1.0,4.0,,,1.0,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Universidad Nacional,3ndpqn2snwrmb51rbadhrroph,N. Freire,Defender,23,21.0,,11.0,10.0,1.0,5.0,22.0,12.0,90.0,13.0,1.0,10.0,30.0,0.0,0.0,0.0,1.0,1.0,,,7.0,10.0,1.0,1.0,3.0,,,4.0,1.0,2.0,1.0,7.0,,,1.0,5.0,,2.0,4.0,3.0,,2.0,,6.0,,3.0,2.0,,1.0,2.0,1.0,,,2.0,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Universidad Nacional,3fy0iphvltx8ujfyvm87tno16,R. Galindo,Midfielder,47,43.0,,29.0,25.0,2.0,15.0,44.0,30.0,180.0,26.0,2.0,10.0,68.0,0.0,0.0,0.0,10.0,17.0,9.0,,7.0,14.0,5.0,9.0,7.0,,1.0,7.0,,1.0,1.0,15.0,,3.0,8.0,4.0,3.0,6.0,3.0,9.0,1.0,3.0,5.0,7.0,,20.0,3.0,,3.0,3.0,2.0,8.0,,5.0,10.0,16.0,1.0,,,,,,,2.0,,,,,,3.0,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Universidad Nacional,5yc9y7f8aoxptz1o4ieu22ezu,A. García,Midfielder,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Universidad Nacional,ecy5lwznvuav2k9lu504r5b3e,Marco García,Midfielder,48,5.0,1.0,5.0,6.0,1.0,5.0,6.0,6.0,11.0,2.0,1.0,10.0,10.0,0.0,0.0,0.0,,3.0,3.0,1.0,,,,1.0,,,,,1.0,,,1.0,,,,,,2.0,,2.0,,,,,,3.0,,2.0,,,,,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Universidad Nacional,c1145cq8xqwj59vug45bcvu5m,Ángel García,Midfielder,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2021,Club Universidad Nacional,d97w83jxuf5xhyeb9oiy375xx,J. González,Goalkeeper,20,8.0,,5.0,6.0,1.0,4.0,23.0,12.0,90.0,16.0,1.0,10.0,31.0,0.0,0.0,0.0,,,,,1.0,11.0,1.0,8.0,10.0,,,4.0,,,,8.0,,,,,,4.0,,3.0,,,,7.0,,,1.0,,,1.0,1.0,,,6.0,,11.0,,,,,,,,,,,,,,,,,4.0,2.0,3.0,9.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,
