liga,temporada,equipo,id,nombre,posicion,dorsal,Goal Assists,Yellow Cards,Goals Conceded Inside Box,Duels won,Unsuccessful Launches,Successful Short Passes,Leftside Passes,Times Tackled,Foul Attempted Tackle,Through balls,Unsuccessful Passes Opposition Half,Time Played,Games Played,Ground Duels won,Total Clearances,Substitute On,Backward Passes,Unsuccessful Crosses open play,Penalty Goals Conceded,Unsuccessful Passes Own Half,Index,Total Fouls Conceded,Total Passes,Open Play Passes,Duels,PutThrough/Blocked Distribution Won,Aerial Duels,Right Foot Goals,Rightside Passes,Total Losses Of Possession,Unsuccessful Dribbles,Corners Won,Throw Ins to Opposition Player,Successful Open Play Passes,Key Passes (Attempt Assists),Successful Passes Opposition Half,Substitute Off,Unsuccessful Crosses & Corners,Goals,Tackles Won,Total Successful Passes ( Excl Crosses & Corners ) ,Goals Conceded Outside Box,Unsuccessful Long Passes,Ground Duels,Goals from Inside Box,Assists (Intentional),Duels lost,Interceptions,Blocked Shots,Forward Passes,Successful Dribbles,Touches,Goals Conceded,PutThrough/Blocked Distribution,Successful Passes Own Half,Total Touches In Opposition Box,Penalties Conceded,Successful Long Passes,Recoveries,Appearances,Tackles Lost,Successful Crosses & Corners,Shots On Target ( inc goals ),Total Tackles,Successful Crosses open play,Starts,Ground Duels lost,Total Fouls Won,Throw Ins to Own Player,Clean Sheets,Unsuccessful Short Passes,Total Shots,Blocks,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Launches,Aerial Duels won,Aerial Duels lost,Home Goals,Away Goals,Winning Goal,Goals from Outside Box,Corners Taken (incl short corners),Successful Lay-offs,Left Foot Goals,Offsides,Shots Off Target (inc woodwork),Successful Corners into Box,Unsuccessful Corners into Box,Handballs conceded,Second Goal Assists,Clearances Off the Line,Foul Won Penalty,Penalty Goals,Set Pieces Goals,Attempts from Set Pieces,Penalties Taken,Total Red Cards,Straight Red Cards,GK Unsuccessful Distribution,Red Cards - 2nd Yellow,Hit Woodwork,Unsuccessful lay-offs,Drops,Last Man Tackle,GK Successful Distribution,Saves Made from Inside Box,Penalties Faced,Crosses not Claimed,Saves made - parried,Catches,Saves Made from Outside Box,Saves Made,Punches,Goalkeeper Smother,Saves made - caught,Headed Goals,Other Goals,Own Goal Scored,Saves from Penalty,Penalties Saved
Canada_Canadian_Premier_League,2022,Forge FC,8ad2vcq9xcul0kkfms8qo0wk5,A. Achinioti-Jönsson,Midfielder,13,,1.0,24.0,148.0,19.0,1892.0,782.0,17.0,10.0,1.0,112.0,2700.0,30.0,111.0,55.0,,74.0,1.0,,68.0,10.0,24.0,2190.0,2104.0,234.0,12.0,70.0,,659.0,218.0,7.0,,,1927.0,5.0,671.0,,1.0,1.0,32.0,2011.0,3.0,70.0,164.0,1.0,,86.0,32.0,3.0,675.0,9.0,2500.0,27.0,25.0,1340.0,24.0,,119.0,156.0,30.0,20.0,,3.0,52.0,,30.0,53.0,50.0,4.0,10.0,109.0,8.0,9.0,179.0,11.0,37.0,33.0,0.0,1.0,0.0,,,,,,5.0,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,1.0,,
Canada_Canadian_Premier_League,2022,Forge FC,2zedqkn15thv6wx5xmgv48gd1,K. Bekker,Midfielder,10,6.0,5.0,18.0,43.0,7.0,1059.0,279.0,20.0,7.0,7.0,252.0,2148.0,27.0,39.0,6.0,1.0,243.0,34.0,,42.0,10.0,14.0,1366.0,1314.0,98.0,6.0,15.0,1.0,421.0,342.0,14.0,15.0,1.0,1098.0,23.0,715.0,11.0,74.0,2.0,13.0,1146.0,3.0,64.0,83.0,1.0,5.0,55.0,17.0,12.0,423.0,6.0,1649.0,21.0,24.0,453.0,25.0,,87.0,145.0,27.0,4.0,22.0,9.0,17.0,8.0,26.0,44.0,16.0,3.0,5.0,156.0,26.0,2.0,220.0,,4.0,11.0,1.0,1.0,1.0,1.0,63.0,10.0,1.0,2.0,17.0,14.0,28.0,1.0,,,,,,7.0,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Forge FC,a3wz87ryynka0doj3tbzsx5ka,O. Benítez,Midfielder,8,,,,4.0,,18.0,6.0,3.0,1.0,,1.0,21.0,3.0,4.0,,3.0,4.0,,,1.0,10.0,1.0,22.0,22.0,10.0,1.0,1.0,,5.0,6.0,2.0,,,20.0,,14.0,,,,2.0,20.0,,,9.0,,,6.0,,,7.0,,33.0,,1.0,6.0,3.0,,2.0,2.0,3.0,,,,2.0,,,5.0,2.0,,,2.0,1.0,,2.0,,,1.0,0.0,0.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Forge FC,3w4755k36xb5u0rdvweqcu6wa,D. Bontis,Goalkeeper,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Forge FC,6d56vy4w9i65ye4c5t5txgkix,T. Borges,Forward,19,8.0,7.0,17.0,100.0,10.0,502.0,116.0,104.0,20.0,4.0,193.0,2066.0,26.0,98.0,6.0,2.0,227.0,33.0,,21.0,10.0,29.0,661.0,623.0,261.0,22.0,9.0,3.0,158.0,395.0,58.0,29.0,1.0,484.0,35.0,380.0,17.0,75.0,6.0,21.0,522.0,2.0,26.0,252.0,6.0,7.0,161.0,15.0,9.0,160.0,32.0,1179.0,19.0,43.0,171.0,99.0,,20.0,117.0,26.0,16.0,29.0,15.0,37.0,11.0,24.0,154.0,29.0,9.0,3.0,113.0,29.0,1.0,139.0,1.0,2.0,7.0,3.0,3.0,1.0,,79.0,15.0,3.0,10.0,14.0,16.0,34.0,3.0,,,2.0,1.0,,7.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Forge FC,3zqd0tpfkwf3ijib2agyo4rv8,M. Caldeira,Forward,27,1.0,,,2.0,,15.0,6.0,3.0,,,3.0,41.0,3.0,1.0,,3.0,7.0,1.0,,1.0,10.0,1.0,18.0,18.0,6.0,,1.0,,4.0,7.0,2.0,,,15.0,2.0,11.0,,1.0,,,15.0,,,5.0,,,4.0,,,1.0,1.0,26.0,,1.0,4.0,8.0,,,,3.0,,,1.0,,,,4.0,,,,3.0,1.0,,3.0,,1.0,,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Forge FC,3hebpt7rddccp0powpyfwri7d,T. Campbell,Forward,9,4.0,2.0,12.0,54.0,1.0,339.0,109.0,43.0,11.0,1.0,72.0,1428.0,29.0,45.0,6.0,13.0,155.0,6.0,,9.0,10.0,18.0,425.0,415.0,146.0,10.0,28.0,1.0,74.0,187.0,20.0,12.0,,340.0,15.0,259.0,12.0,6.0,6.0,12.0,350.0,2.0,4.0,118.0,6.0,2.0,92.0,7.0,8.0,87.0,11.0,678.0,14.0,22.0,95.0,72.0,,11.0,60.0,29.0,5.0,4.0,13.0,17.0,4.0,16.0,73.0,17.0,2.0,,71.0,19.0,,75.0,2.0,9.0,19.0,4.0,2.0,2.0,,,10.0,4.0,12.0,6.0,,,,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,
Canada_Canadian_Premier_League,2022,Forge FC,26vigipuztwet4ykvtjienvo4,S. Castello,Midfielder,12,,,1.0,13.0,1.0,33.0,2.0,,1.0,,3.0,70.0,6.0,13.0,,6.0,14.0,,,1.0,10.0,1.0,37.0,36.0,14.0,,,,12.0,10.0,,1.0,1.0,32.0,1.0,28.0,,,,2.0,33.0,,1.0,14.0,,,1.0,1.0,1.0,9.0,2.0,65.0,1.0,1.0,6.0,3.0,,,6.0,6.0,3.0,1.0,1.0,5.0,,,1.0,6.0,3.0,,3.0,1.0,,4.0,,,,0.0,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Forge FC,6r8emgp7oeom6yyibdb4g77c9,D. Choinière,Forward,7,4.0,2.0,16.0,116.0,4.0,706.0,275.0,84.0,11.0,3.0,174.0,1944.0,29.0,113.0,4.0,6.0,315.0,58.0,,21.0,10.0,18.0,850.0,843.0,241.0,23.0,6.0,3.0,100.0,354.0,47.0,37.0,1.0,712.0,27.0,551.0,17.0,64.0,6.0,26.0,719.0,1.0,16.0,235.0,6.0,4.0,125.0,5.0,11.0,160.0,43.0,1333.0,17.0,60.0,181.0,137.0,,13.0,94.0,29.0,16.0,13.0,18.0,42.0,12.0,23.0,122.0,28.0,20.0,1.0,115.0,27.0,1.0,131.0,1.0,3.0,3.0,3.0,3.0,1.0,,13.0,8.0,2.0,8.0,9.0,1.0,6.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,
Canada_Canadian_Premier_League,2022,Forge FC,bgrez0proyjwfep6h1jkbj40k,M. Duncan,Defender,6,,,,,,7.0,2.0,,,,2.0,3.0,2.0,,,2.0,2.0,,,,10.0,,9.0,9.0,,,,,2.0,2.0,,,,7.0,,3.0,,,,,7.0,,1.0,,,,,,,3.0,,10.0,,,4.0,,,,,2.0,,,,,,,,,1.0,,1.0,,,2.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
