liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,GK Successful Distribution,Throw Ins to Own Player,Successful Lay-offs,Successful Launches,Goals,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Set Pieces Goals,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Total Fouls Won,Aerial Duels won,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Headed Goals,GK Unsuccessful Distribution,Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Successful Dribbles,Blocked Shots,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Offsides,Corners Won,Yellow Cards,Substitute Off,Throw Ins to Opposition Player,Unsuccessful Dribbles,Assists (Intentional),Goal Assists,Right Foot Goals,Handballs conceded,Saves Made,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Hit Woodwork,Unsuccessful lay-offs,Successful Corners into Box,Corners Taken (incl short corners),Unsuccessful Corners into Box,Through balls,Goals Conceded Outside Box,Foul Won Penalty,Penalties Taken,Penalty Goals,Penalties Faced,Saves made - caught,Penalties Conceded,Own Goal Scored,Total Red Cards,Red Cards - 2nd Yellow,Last Man Tackle
Concacaf_Concacaf_Champions_Cup,2018,New York Red Bulls,7dbzcwyph2xoljyhaogjo7mcp,T. Adams,Midfielder,4,1.0,530.0,,5.0,,1.0,1.0,239.0,22.0,117.0,2.0,8.0,5.0,,11.0,77.0,65.0,13.0,,54.0,244.0,12.0,171.0,2.0,1.0,62.0,56.0,2.0,50.0,37.0,6.0,8.0,13.0,323.0,6.0,6.0,,47.0,,119.0,7.0,48.0,45.0,1.0,,11.0,8.0,20.0,78.0,4.0,3.0,1.0,1.0,6.0,,,22.0,47.0,1.0,177.0,182.0,31.0,2.0,7.0,33.0,6.0,15.0,25.0,5.0,,,,,,2.0,1.0,1.0,1.0,3.0,,1.0,,3.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,New York Red Bulls,3b0qlsm91qrzskc5n9hgiqpcl,V. Bezecourt,Midfielder,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,New York Red Bulls,6p163a141a95x53qat9wers2d,A. Collin,Defender,78,,343.0,,6.0,,6.0,,146.0,12.0,47.0,20.0,37.0,2.0,1.0,7.0,68.0,49.0,6.0,,26.0,159.0,15.0,82.0,2.0,1.0,63.0,15.0,1.0,51.0,20.0,4.0,3.0,12.0,229.0,4.0,7.0,,27.0,,104.0,4.0,37.0,23.0,,,14.0,3.0,13.0,47.0,20.0,3.0,,,4.0,,,17.0,28.0,,89.0,96.0,20.0,1.0,3.0,24.0,3.0,25.0,10.0,1.0,,,,,,,1.0,,4.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,1.0,
Concacaf_Concacaf_Champions_Cup,2018,New York Red Bulls,4wy7kbv694s6xrm3tfsyl4hyh,S. Davis,Midfielder,27,4.0,441.0,,1.0,,3.0,1.0,180.0,20.0,118.0,4.0,16.0,8.0,2.0,9.0,92.0,37.0,13.0,,43.0,200.0,8.0,133.0,1.0,4.0,59.0,46.0,9.0,69.0,25.0,5.0,13.0,7.0,294.0,5.0,3.0,,40.0,1.0,92.0,13.0,51.0,29.0,2.0,,8.0,7.0,10.0,59.0,3.0,2.0,1.0,17.0,5.0,,,21.0,42.0,,129.0,141.0,19.0,3.0,10.0,30.0,3.0,1.0,19.0,,2.0,,14.0,1.0,,4.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,12.0,23.0,9.0,,1.0,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,New York Red Bulls,abh60zcb8agg0l5ifzzvlyymt,F. Escobar,Defender,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,New York Red Bulls,2uis9d0h87arn5ew3bg1si40l,D. Etienne,Midfielder,7,4.0,150.0,,2.0,2.0,,,40.0,16.0,23.0,,2.0,2.0,3.0,8.0,35.0,4.0,3.0,,11.0,40.0,4.0,27.0,1.0,4.0,13.0,8.0,,16.0,10.0,1.0,5.0,1.0,88.0,5.0,3.0,,25.0,,9.0,6.0,47.0,14.0,1.0,,,7.0,2.0,35.0,,1.0,,4.0,5.0,,,13.0,7.0,,27.0,27.0,10.0,,2.0,21.0,1.0,3.0,12.0,3.0,,4.0,,,,,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,New York Red Bulls,5fhps8g0dwc8a7saixxrmoic5,C. Lade,Defender,5,,10.0,,1.0,,,,3.0,,,,,1.0,,,4.0,,,,3.0,3.0,1.0,,,,3.0,,,2.0,1.0,,1.0,1.0,9.0,1.0,1.0,,3.0,,3.0,1.0,80.0,1.0,,,,1.0,,3.0,1.0,,,,1.0,,,2.0,,,,,,,,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,New York Red Bulls,ctcf8m5r0uqvzgtr0qkfbnc9h,K. Lawrence,Defender,92,10.0,540.0,,43.0,,4.0,,129.0,19.0,48.0,12.0,18.0,7.0,1.0,7.0,102.0,36.0,11.0,,41.0,136.0,6.0,69.0,2.0,3.0,59.0,42.0,6.0,57.0,21.0,6.0,12.0,13.0,309.0,6.0,3.0,1.0,25.0,,70.0,10.0,53.0,27.0,2.0,,8.0,2.0,13.0,45.0,24.0,3.0,,11.0,6.0,,,11.0,5.0,,74.0,77.0,20.0,3.0,8.0,18.0,3.0,17.0,14.0,1.0,1.0,,7.0,7.0,,3.0,1.0,,21.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,New York Red Bulls,cgq6c4c89nrl1nfucnb6x785,A. Long,Defender,33,,540.0,,1.0,,4.0,,142.0,5.0,31.0,11.0,24.0,3.0,,18.0,53.0,74.0,9.0,,27.0,156.0,5.0,96.0,2.0,2.0,51.0,33.0,,32.0,20.0,6.0,6.0,19.0,235.0,6.0,2.0,3.0,15.0,,89.0,4.0,57.0,37.0,2.0,,9.0,1.0,28.0,61.0,42.0,3.0,,,6.0,,,6.0,29.0,,97.0,105.0,46.0,3.0,6.0,24.0,3.0,10.0,9.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,New York Red Bulls,172v1833vp0m9ffu399j6l9ed,Felipe Martins,Midfielder,8,,90.0,,,,1.0,,55.0,6.0,32.0,1.0,6.0,2.0,1.0,1.0,18.0,9.0,1.0,,9.0,56.0,5.0,38.0,1.0,1.0,15.0,8.0,,13.0,10.0,1.0,2.0,2.0,76.0,1.0,3.0,1.0,12.0,,33.0,,26.0,7.0,,,3.0,3.0,1.0,14.0,,1.0,,,1.0,,,6.0,9.0,,40.0,41.0,2.0,,1.0,7.0,,3.0,6.0,3.0,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
