liga,temporada,equipo,id,nombre,posicion,dorsal,Appearances,Unsuccessful lay-offs,Successful Short Passes,Successful Crosses & Corners,Overruns,Tackles Lost,Shots Off Target (inc woodwork),Recoveries,Unsuccessful Long Passes,Corners Taken (incl short corners),Backward Passes,Unsuccessful Crosses & Corners,Throw Ins to Opposition Player,Unsuccessful Launches,Total Fouls Won,Goals,Unsuccessful Crosses open play,Yellow Cards,Blocked Shots,Foul Attempted Tackle,Unsuccessful Dribbles,PutThrough/Blocked Distribution Won,Goals Conceded Inside Box,Games Played,Total Fouls Conceded,Successful Crosses open play,Successful Lay-offs,Total Shots,Times Tackled,Key Passes (Attempt Assists),Substitute Off,Rightside Passes,Duels lost,Tackles Won,Goals Conceded,Right Foot Goals,Total Losses Of Possession,Corners Won,Unsuccessful Short Passes,Forward Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Corners into Box,Aerial Duels lost,Total Successful Passes ( Excl Crosses & Corners ) ,Throw Ins to Own Player,Ground Duels,Total Passes,Through balls,Shots On Target ( inc goals ),Aerial Duels,Unsuccessful Passes Own Half,Successful Passes Own Half,Leftside Passes,Duels,Open Play Passes,Goal Assists,Interceptions,Successful Open Play Passes,Successful Passes Opposition Half,Starts,Successful Dribbles,Goals from Inside Box,Unsuccessful Passes Opposition Half,Goals Conceded Outside Box,Total Clearances,Ground Duels won,Index,Total Touches In Opposition Box,Time Played,Ground Duels lost,Touches,PutThrough/Blocked Distribution,Duels won,Substitute On,Successful Corners into Box,Aerial Duels won,Total Tackles,Successful Long Passes,Assists (Intentional),Home Goals,Away Goals,Winning Goal,Penalty Goals Conceded,Penalties Conceded,Offsides,Blocks,Hit Woodwork,Clean Sheets,Successful Launches,Goals from Outside Box,Headed Goals,Handballs conceded,Penalty Goals,Penalties Off Target,Attempts from Set Pieces,Penalties Taken,Last Player Tackle,Goal Kicks,GK Successful Distribution,Left Foot Goals,Clearances Off the Line,Saves Made from Inside Box,Saves made - parried,Penalties Faced,Saves Made from Outside Box,Saves made - caught,Goalkeeper Smother,Catches,Drops,Punches,GK Unsuccessful Distribution,Saves Made,Foul Won Penalty,Own Goal Scored,Total Red Cards,Straight Red Cards,Second Goal Assists,Crosses not Claimed,Other Goals,Red Cards - 2nd Yellow,Saves from Penalty,Penalties Saved,Set Pieces Goals
Canada_Canadian_Premier_League,2024,Pacific FC,57rmged1g2kuhfzlg0zyjx84q,P. Amedume,Defender,4,11.0,,275.0,,,4.0,,20.0,14.0,,24.0,,,8.0,6.0,,,,,2.0,,4.0,5.0,11.0,3.0,,,,1.0,,3.0,84.0,14.0,7.0,7.0,,43.0,,23.0,103.0,37.0,,7.0,282.0,2.0,24.0,319.0,,,15.0,23.0,232.0,108.0,39.0,308.0,,4.0,272.0,50.0,7.0,,,14.0,2.0,22.0,17.0,10.0,,587.0,7.0,392.0,8.0,25.0,4.0,,8.0,11.0,7.0,,,,0.0,1.0,,1.0,6.0,,1.0,1.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Pacific FC,4qii6ycyfpukpd538kwp1fms4,Z. Bahous,Midfielder,18,16.0,1.0,158.0,,,10.0,9.0,35.0,6.0,1.0,57.0,6.0,,2.0,11.0,1.0,4.0,3.0,8.0,6.0,8.0,6.0,4.0,16.0,9.0,,12.0,15.0,15.0,5.0,5.0,49.0,38.0,6.0,6.0,,91.0,5.0,42.0,52.0,48.0,1.0,11.0,163.0,3.0,69.0,211.0,2.0,6.0,13.0,13.0,61.0,53.0,82.0,206.0,,1.0,158.0,102.0,5.0,15.0,,41.0,2.0,2.0,42.0,10.0,21.0,466.0,27.0,344.0,16.0,44.0,11.0,,2.0,16.0,5.0,,0.0,1.0,1.0,,,3.0,1.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Pacific FC,1820vpu3qmjxa45ew9gr04ezt,K. Ceceri,Defender,25,11.0,,255.0,,,3.0,2.0,34.0,52.0,,14.0,1.0,5.0,22.0,3.0,,1.0,1.0,1.0,6.0,,5.0,11.0,11.0,7.0,,,2.0,,1.0,2.0,131.0,21.0,7.0,14.0,,109.0,1.0,44.0,182.0,96.0,,9.0,284.0,5.0,28.0,380.0,,,32.0,30.0,186.0,53.0,60.0,372.0,,12.0,278.0,98.0,9.0,3.0,,67.0,3.0,31.0,16.0,10.0,7.0,800.0,12.0,483.0,13.0,39.0,2.0,,23.0,10.0,29.0,,,,0.0,,,2.0,5.0,,1.0,6.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,
Canada_Canadian_Premier_League,2024,Pacific FC,7vn8g8wlm99npne5i8fwv3vft,K. Dada-Luke,Midfielder,13,27.0,,552.0,19.0,11.0,21.0,,101.0,47.0,,145.0,62.0,61.0,34.0,48.0,,62.0,2.0,2.0,9.0,35.0,19.0,28.0,27.0,16.0,19.0,,1.0,61.0,24.0,3.0,32.0,119.0,49.0,34.0,,397.0,17.0,106.0,289.0,153.0,,30.0,586.0,160.0,237.0,739.0,2.0,1.0,57.0,66.0,256.0,273.0,294.0,720.0,1.0,52.0,568.0,349.0,24.0,31.0,,149.0,6.0,50.0,148.0,10.0,27.0,2201.0,89.0,1482.0,41.0,175.0,3.0,,27.0,70.0,34.0,1.0,,,0.0,1.0,,1.0,5.0,,5.0,13.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Pacific FC,7xi0nnnuyyazxgpf1ap6yew9h,M. Domínguez,Midfielder,6,10.0,,249.0,1.0,2.0,13.0,4.0,66.0,28.0,,40.0,1.0,,8.0,13.0,,1.0,7.0,,9.0,2.0,10.0,10.0,10.0,18.0,1.0,1.0,4.0,10.0,7.0,6.0,112.0,38.0,23.0,12.0,,89.0,1.0,37.0,106.0,65.0,,3.0,284.0,1.0,89.0,349.0,1.0,,12.0,17.0,144.0,91.0,101.0,329.0,,15.0,266.0,141.0,9.0,5.0,,49.0,2.0,16.0,54.0,10.0,3.0,741.0,35.0,486.0,14.0,63.0,1.0,,9.0,36.0,35.0,,,,0.0,,,2.0,2.0,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Pacific FC,bwozu57m3yt2hypmbqe1hlbyt,M. Dyer,Forward,23,24.0,6.0,250.0,3.0,2.0,4.0,27.0,46.0,8.0,,118.0,11.0,,2.0,50.0,8.0,11.0,8.0,13.0,12.0,23.0,7.0,30.0,24.0,32.0,3.0,11.0,47.0,55.0,21.0,12.0,86.0,155.0,10.0,34.0,4.0,249.0,17.0,99.0,93.0,107.0,,62.0,261.0,4.0,175.0,368.0,3.0,20.0,112.0,10.0,72.0,71.0,287.0,336.0,1.0,5.0,229.0,192.0,22.0,18.0,8.0,108.0,4.0,10.0,82.0,10.0,120.0,1964.0,93.0,720.0,22.0,132.0,2.0,,50.0,14.0,11.0,,4.0,4.0,0.0,4.0,,10.0,2.0,3.0,1.0,1.0,,2.0,,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Pacific FC,7dfcfaazbxla16jrf8obs3e5m,E. Gazdov,Goalkeeper,1,21.0,,204.0,,,,,118.0,163.0,,,,,80.0,3.0,,,3.0,,,,,15.0,21.0,1.0,,,,,2.0,,72.0,2.0,,18.0,,169.0,1.0,3.0,287.0,166.0,,1.0,291.0,,5.0,457.0,,,9.0,29.0,239.0,98.0,14.0,222.0,,,160.0,52.0,20.0,1.0,,137.0,3.0,29.0,4.0,10.0,,1729.0,1.0,631.0,,12.0,1.0,,8.0,,87.0,,,,0.0,1.0,,,,,7.0,30.0,,,1.0,,,,,,155.0,170.0,,,24.0,17.0,2.0,23.0,,3.0,14.0,3.0,12.0,52.0,48.0,,,1.0,1.0,,,,,,,
Canada_Canadian_Premier_League,2024,Pacific FC,c7iepmqewf1dnc7zl36iskdn8,C. Greco-Taylor,Midfielder,15,15.0,,295.0,14.0,3.0,14.0,2.0,52.0,59.0,8.0,60.0,45.0,26.0,44.0,16.0,,37.0,5.0,2.0,10.0,8.0,9.0,13.0,15.0,14.0,10.0,,2.0,15.0,14.0,1.0,161.0,47.0,27.0,16.0,,239.0,6.0,73.0,232.0,132.0,4.0,9.0,329.0,73.0,102.0,461.0,,,17.0,46.0,147.0,8.0,119.0,445.0,,16.0,315.0,196.0,10.0,7.0,,131.0,3.0,14.0,64.0,10.0,5.0,1013.0,38.0,785.0,27.0,72.0,5.0,3.0,8.0,41.0,34.0,,,,0.0,,,,5.0,,2.0,6.0,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Pacific FC,7i19hu44byapft1lpm3okbb3d,J. Heard,Forward,11,18.0,3.0,167.0,3.0,5.0,4.0,8.0,34.0,8.0,,84.0,24.0,,6.0,30.0,1.0,24.0,5.0,3.0,9.0,13.0,5.0,13.0,18.0,19.0,3.0,7.0,13.0,27.0,6.0,10.0,55.0,66.0,8.0,15.0,,130.0,4.0,41.0,49.0,49.0,,12.0,169.0,1.0,107.0,218.0,,5.0,17.0,13.0,58.0,30.0,124.0,214.0,,4.0,165.0,114.0,13.0,11.0,1.0,60.0,2.0,5.0,53.0,10.0,40.0,1138.0,54.0,410.0,21.0,58.0,5.0,,5.0,12.0,2.0,,1.0,0.0,1.0,,,11.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,
Canada_Canadian_Premier_League,2024,Pacific FC,es69vnoj6d7p1ae26jl1fj5lg,S. Keshavarz,Midfielder,34,8.0,,77.0,2.0,,8.0,,17.0,8.0,2.0,34.0,2.0,,4.0,3.0,,1.0,,1.0,1.0,3.0,5.0,3.0,8.0,2.0,1.0,4.0,2.0,10.0,4.0,2.0,21.0,30.0,7.0,3.0,,43.0,1.0,16.0,30.0,24.0,1.0,11.0,83.0,,39.0,107.0,,2.0,17.0,7.0,30.0,22.0,56.0,103.0,,1.0,79.0,55.0,4.0,2.0,,19.0,,3.0,20.0,10.0,6.0,375.0,19.0,171.0,9.0,26.0,4.0,1.0,6.0,15.0,6.0,,,,0.0,,,2.0,3.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
