liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Open Play Passes,Time Played,Recoveries,Unsuccessful Passes Own Half,Successful Passes Opposition Half,Successful Passes Own Half,Total Passes,Ground Duels won,Starts,Throw Ins to Own Player,Unsuccessful Launches,Ground Duels lost,Aerial Duels lost,Successful Dribbles,Aerial Duels won,Unsuccessful Short Passes,Goals Conceded Inside Box,Unsuccessful Long Passes,Games Played,Aerial Duels,Ground Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Short Passes,Substitute Off,Duels lost,Total Losses Of Possession,Backward Passes,Appearances,Index,Open Play Passes,Successful Long Passes,PutThrough/Blocked Distribution Won,PutThrough/Blocked Distribution,Rightside Passes,Unsuccessful Passes Opposition Half,Overruns,Throw Ins to Opposition Player,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Duels,Unsuccessful Crosses open play,Forward Passes,Duels won,Winning Goal,Times Tackled,Foul Attempted Tackle,Tackles Won,Total Fouls Conceded,Leftside Passes,Total Tackles,Successful Launches,Blocks,Interceptions,Unsuccessful Dribbles,Handballs conceded,Substitute On,Total Shots,Total Fouls Won,Shots On Target ( inc goals ),Yellow Cards,Key Passes (Attempt Assists),Successful Lay-offs,Saves Made,Goal Kicks,GK Successful Distribution,Saves Made from Inside Box,GK Unsuccessful Distribution,Offsides,Shots Off Target (inc woodwork),Through balls,Total Touches In Opposition Box,Tackles Lost,Total Red Cards,Straight Red Cards,Attempts from Set Pieces,Saves Made from Outside Box,Punches,Goals from Outside Box,Goals,Right Foot Goals,Home Goals,Away Goals,Successful Crosses & Corners,Corners Won,Unsuccessful Corners into Box,Successful Crosses open play,Corners Taken (incl short corners),Goal Assists,Successful Corners into Box,Blocked Shots,Saves made - parried,Goalkeeper Smother,Assists (Intentional),Red Cards - 2nd Yellow,Goals from Inside Box,Headed Goals,Own Goal Scored,Catches,Clean Sheets,Hit Woodwork,Unsuccessful lay-offs,Penalty Goals Conceded,Left Foot Goals,Foul Won Penalty,Penalties Taken,Penalty Goals,Clearances Off the Line,Other Goals,Penalties Faced,Penalties Conceded,Goals Conceded Outside Box,Saves made - caught,Carries,Final Third Touches,Progressive Carries,Total Big Chances Saved,Total Big Chances Missed,Goals Openplay,Total Big Chances Created,Total Big Chances Scored,Direct Setpiece Goals,Set Pieces Goals,Penalties Off Target,Drops,Second Goal Assists,Penalties Saved,Saves from Penalty
USA_US_Open_Cup,2024,FC Dallas,lvbnk881mde943xx8nrr1nmd,E. Ansah,Forward,31,8.0,38.0,3.0,3.0,5.0,3.0,12.0,1.0,,,,3.0,,,1.0,4.0,1.0,,1.0,1.0,4.0,8.0,8.0,,3.0,6.0,5.0,1.0,10.0,12.0,,,,2.0,2.0,,,4.0,15.0,,1.0,1.0,5.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,FC Dallas,6glxg9gvqn1uc1jmwisnml68l,P. Arriola,Forward,7,40.0,120.0,8.0,5.0,20.0,22.0,56.0,6.0,1.0,8.0,4.0,3.0,1.0,,1.0,8.0,2.0,6.0,1.0,2.0,9.0,42.0,38.0,,4.0,21.0,10.0,1.0,10.0,54.0,4.0,,3.0,3.0,10.0,,1.0,14.0,89.0,7.0,2.0,1.0,11.0,1.0,23.0,7.0,0.0,2.0,,3.0,1.0,20.0,3.0,,,2.0,2.0,,,1.0,3.0,,,4.0,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,FC Dallas,9kjmp5eg60q8bt1na23vs67ai,N. Tafari,Defender,17,137.0,300.0,9.0,7.0,26.0,117.0,176.0,3.0,3.0,,5.0,6.0,5.0,,2.0,11.0,3.0,22.0,3.0,7.0,9.0,143.0,135.0,,11.0,34.0,6.0,3.0,10.0,169.0,8.0,2.0,2.0,74.0,26.0,,,33.0,210.0,21.0,3.0,,16.0,,59.0,5.0,0.0,1.0,5.0,1.0,5.0,37.0,2.0,3.0,,5.0,1.0,,,1.0,1.0,1.0,1.0,,,,2.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,FC Dallas,cxu054j55uj2s3p34rqfthch6,P. Delgado,Midfielder,6,65.0,105.0,2.0,2.0,26.0,42.0,74.0,2.0,2.0,,2.0,2.0,1.0,1.0,1.0,4.0,,3.0,2.0,2.0,4.0,67.0,64.0,2.0,3.0,14.0,13.0,2.0,10.0,72.0,3.0,1.0,1.0,21.0,8.0,1.0,,7.0,93.0,2.0,,3.0,6.0,,16.0,3.0,0.0,,1.0,1.0,1.0,24.0,1.0,,1.0,2.0,,,,1.0,,1.0,2.0,4.0,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,,0.0,1.0,1.0,,3.0,1.0,4.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,FC Dallas,rtca480n5ehey5ffvt8nudck,H. Endeley,Defender,27,44.0,167.0,7.0,4.0,23.0,22.0,60.0,17.0,2.0,18.0,1.0,7.0,1.0,5.0,3.0,13.0,1.0,2.0,3.0,4.0,24.0,45.0,44.0,2.0,8.0,27.0,21.0,3.0,10.0,59.0,1.0,,3.0,5.0,14.0,,1.0,15.0,115.0,3.0,1.0,3.0,28.0,3.0,16.0,20.0,0.0,4.0,1.0,5.0,3.0,18.0,6.0,,,2.0,1.0,,1.0,1.0,6.0,,,1.0,2.0,,,,,,,1.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,FC Dallas,4w21suigchse7vkzgbl98dt61,M. Farfan,Defender,4,75.0,298.0,15.0,3.0,33.0,43.0,87.0,10.0,3.0,20.0,,8.0,5.0,1.0,1.0,10.0,3.0,1.0,3.0,6.0,18.0,76.0,75.0,1.0,13.0,23.0,26.0,3.0,10.0,86.0,1.0,3.0,7.0,36.0,12.0,,5.0,11.0,147.0,7.0,3.0,4.0,24.0,4.0,21.0,11.0,0.0,1.0,2.0,4.0,5.0,4.0,8.0,,2.0,2.0,,,,,1.0,,2.0,2.0,,,,,,,1.0,,,3.0,4.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,FC Dallas,bijyc7qlb2849vos6kn7kd0yc,L. Farrington,Forward,23,40.0,197.0,7.0,,25.0,17.0,53.0,6.0,2.0,,,10.0,2.0,3.0,4.0,11.0,2.0,,3.0,6.0,16.0,42.0,42.0,1.0,12.0,21.0,15.0,3.0,10.0,51.0,,4.0,6.0,19.0,12.0,,1.0,11.0,85.0,3.0,2.0,1.0,22.0,1.0,10.0,10.0,2.0,7.0,,,2.0,9.0,,,1.0,,2.0,,1.0,6.0,3.0,5.0,,1.0,3.0,,,,,,,1.0,1.0,8.0,,,,,,,,2.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,FC Dallas,5wttdjpftd57c2t5959sm2yg9,J. Ferreira,Forward,10,35.0,116.0,2.0,1.0,36.0,10.0,52.0,3.0,2.0,3.0,1.0,4.0,,1.0,,7.0,,3.0,2.0,,7.0,42.0,40.0,2.0,4.0,20.0,21.0,2.0,10.0,44.0,2.0,,3.0,5.0,14.0,,1.0,10.0,75.0,,,5.0,7.0,4.0,12.0,3.0,0.0,3.0,,,,14.0,,,,,1.0,,,,2.0,,,4.0,2.0,,,,,,1.0,,,2.0,,,,,,,,,,,,4.0,4.0,,1.0,7.0,2.0,3.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,FC Dallas,5y8srw7hc5nlu0efcq710if3d,L. Fraser,Midfielder,18,29.0,45.0,3.0,1.0,15.0,14.0,33.0,,,,,,,,,4.0,,,1.0,,,29.0,26.0,,,5.0,6.0,1.0,10.0,33.0,3.0,,,10.0,3.0,,,4.0,34.0,,,,,,9.0,,0.0,,,,,8.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,FC Dallas,5ywmuj75fpflsqyne41dsgpg5,O. González,Defender,3,3.0,12.0,,,,3.0,3.0,,,,,1.0,1.0,,1.0,,1.0,,1.0,2.0,1.0,3.0,3.0,,2.0,,,1.0,10.0,3.0,,,,1.0,,,,,6.0,3.0,1.0,,3.0,,1.0,1.0,0.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
