liga,temporada,equipo,id,nombre,posicion,dorsal,Shots Off Target (inc woodwork),Unsuccessful Short Passes,Starts,Recoveries,Successful Corners into Box,Tackles Won,Successful Passes Own Half,Aerial Duels lost,Aerial Duels,Right Foot Goals,Unsuccessful Crosses & Corners,Goals from Outside Box,Leftside Passes,Unsuccessful Passes Opposition Half,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Fifty Fifty,PutThrough/Blocked Distribution,Assists (Intentional),Total Unsuccessful Passes ( Excl Crosses & Corners ),Second Goal Assists,Open Play Passes,Blocked Shots,Successful Short Passes,Ground Duels lost,Clean Sheets,Time Played,Duels,Throw Ins to Own Player,Total Fouls Conceded,Goal Assists,Total Fouls Won,Corners Won,Handballs conceded,Unsuccessful lay-offs,Unsuccessful Passes Own Half,Rightside Passes,Total Tackles,Total Clearances,Unsuccessful Dribbles,Unsuccessful Corners into Box,Successful Passes Opposition Half,Appearances,Corners Taken (incl short corners),Successful Dribbles,Hit Woodwork,Goals Conceded Inside Box,Forward Passes,Aerial Duels won,Straight Red Cards,Key Passes (Attempt Assists),Goals,Total Touches In Opposition Box,Times Tackled,Index,Penalty Goals Conceded,Goals Conceded,Goals Conceded Outside Box,Unsuccessful Long Passes,Successful Crosses & Corners,Substitute Off,Total Red Cards,Unsuccessful Launches,Successful Long Passes,Successful Crosses open play,Goals from Inside Box,Attempts from Set Pieces,Successful Lay-offs,Touches,Tackles Lost,Yellow Cards,Substitute On,Interceptions,PutThrough/Blocked Distribution Won,Backward Passes,Ground Duels won,Successful Open Play Passes,Ground Duels,Duels lost,Unsuccessful Crosses open play,Games Played,Through balls,Total Losses Of Possession,Fifty Fifty,Duels won,Total Passes,Total Shots,Foul Attempted Tackle,Shots On Target ( inc goals ),Home Goals,Away Goals,Winning Goal,Blocks,Successful Launches,GK Successful Distribution,Clearances Off the Line,Offsides,Left Foot Goals,Throw Ins to Opposition Player,Headed Goals,GK Unsuccessful Distribution,Last Man Tackle,Saves Made from Outside Box,Drops,Penalties Faced,Penalties Conceded,Saves Made,Punches,Saves made - parried,Catches,Saves Made from Inside Box,Goalkeeper Smother,Saves made - caught,Set Pieces Goals,Foul Won Penalty,Penalties Taken,Penalty Goals,Red Cards - 2nd Yellow,Own Goal Scored,Crosses not Claimed,Penalties Saved,Saves from Penalty,Goal Kicks,Overruns,Last Player Tackle,Goals Openplay,Penalties Off Target,Other Goals,Carries,Progressive Carries,Final Third Touches,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Total Big Chances Saved
USA_MLS,2022,Houston Dynamo FC,cqmvrx028gh19yh8qh7w01y0a,R. Avila,Forward,14,1.0,1.0,2.0,9.0,,2.0,7.0,8.0,10.0,,1.0,,6.0,2.0,24.0,3.0,2.0,,2.0,,25.0,2.0,22.0,13.0,,154.0,34.0,,6.0,,7.0,,,1.0,1.0,12.0,2.0,2.0,3.0,,17.0,8.0,,2.0,,2.0,2.0,2.0,,,,4.0,4.0,48.0,,2.0,,1.0,,2.0,,1.0,2.0,,,,1.0,69.0,,3.0,6.0,1.0,2.0,6.0,11.0,23.0,24.0,21.0,1.0,8.0,,17.0,8.0,13.0,26.0,2.0,4.0,1.0,,,0.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,Houston Dynamo FC,bi8r4u9lcwsdv044kkxr1fbh1,C. Baird,Midfielder,11,6.0,70.0,17.0,55.0,,8.0,98.0,14.0,21.0,2.0,17.0,,128.0,79.0,259.0,11.0,24.0,4.0,79.0,,338.0,3.0,256.0,54.0,,1353.0,117.0,8.0,10.0,4.0,14.0,6.0,1.0,3.0,17.0,34.0,23.0,9.0,16.0,,164.0,23.0,,5.0,,21.0,70.0,7.0,,10.0,2.0,35.0,29.0,20.0,4.0,21.0,,9.0,3.0,15.0,,1.0,3.0,3.0,2.0,,6.0,539.0,15.0,1.0,6.0,7.0,11.0,106.0,42.0,259.0,96.0,68.0,17.0,23.0,2.0,151.0,30.0,49.0,338.0,13.0,4.0,7.0,0.0,2.0,0.0,1.0,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,Houston Dynamo FC,7wm373zusaqqi6mwcmvfhmep5,E. Bartlow,Defender,13,,23.0,9.0,26.0,,4.0,305.0,7.0,17.0,,,,144.0,41.0,412.0,5.0,4.0,,58.0,,453.0,,383.0,13.0,1.0,902.0,39.0,2.0,5.0,,2.0,1.0,,,17.0,135.0,7.0,45.0,2.0,,107.0,15.0,,,,19.0,162.0,10.0,,2.0,,1.0,3.0,97.0,2.0,19.0,,35.0,,1.0,,10.0,29.0,,,,,572.0,3.0,2.0,6.0,7.0,3.0,29.0,9.0,400.0,22.0,20.0,,15.0,1.0,71.0,13.0,19.0,470.0,1.0,4.0,1.0,,,0.0,17.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,Houston Dynamo FC,6knzu4ywl5yag1h8ij16g2rqh,A. Carrasquilla,Midfielder,20,13.0,163.0,27.0,207.0,1.0,21.0,417.0,11.0,24.0,2.0,21.0,,329.0,200.0,1024.0,37.0,44.0,1.0,228.0,1.0,1232.0,10.0,913.0,125.0,3.0,2395.0,279.0,2.0,47.0,3.0,43.0,3.0,1.0,,49.0,361.0,34.0,22.0,21.0,6.0,612.0,32.0,9.0,53.0,1.0,45.0,377.0,13.0,,33.0,2.0,22.0,41.0,77.0,5.0,48.0,3.0,65.0,5.0,10.0,1.0,11.0,111.0,4.0,2.0,,11.0,1661.0,13.0,7.0,5.0,35.0,25.0,185.0,130.0,1006.0,255.0,136.0,15.0,32.0,14.0,349.0,65.0,143.0,1252.0,19.0,28.0,6.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
USA_MLS,2022,Houston Dynamo FC,4i0iq31lu0vvjfgk8kqyec72t,D. Cerén,Midfielder,24,5.0,43.0,11.0,76.0,,16.0,238.0,18.0,24.0,,6.0,,147.0,48.0,465.0,15.0,11.0,,62.0,1.0,514.0,2.0,414.0,40.0,3.0,1119.0,110.0,5.0,21.0,,11.0,1.0,3.0,,20.0,167.0,27.0,16.0,1.0,,228.0,27.0,,8.0,,18.0,139.0,6.0,,12.0,,11.0,10.0,43.0,2.0,19.0,1.0,19.0,1.0,4.0,1.0,2.0,51.0,1.0,,,6.0,701.0,11.0,7.0,16.0,19.0,8.0,74.0,46.0,453.0,86.0,58.0,6.0,27.0,2.0,101.0,31.0,52.0,527.0,7.0,13.0,2.0,,,0.0,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
USA_MLS,2022,Houston Dynamo FC,2064tn0xmtvyqn799kddgrnpx,S. Clark,Goalkeeper,12,,7.0,33.0,248.0,,1.0,697.0,1.0,11.0,,,,293.0,205.0,784.0,,,,251.0,,623.0,,590.0,5.0,6.0,2906.0,20.0,2.0,2.0,,6.0,,,1.0,46.0,200.0,1.0,25.0,,,87.0,33.0,,,,46.0,542.0,10.0,,,,,1.0,67.0,6.0,48.0,2.0,244.0,,1.0,,69.0,194.0,,,,,1373.0,,2.0,,,,,4.0,529.0,9.0,6.0,,33.0,,253.0,,14.0,1035.0,,2.0,,,,0.0,,28.0,368.0,,,,,,106.0,1.0,38.0,2.0,8.0,2.0,105.0,13.0,28.0,23.0,66.0,3.0,3.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,
USA_MLS,2022,Houston Dynamo FC,92wxcb73do40mhpf7co0n1az9,Zeca,Defender,37,2.0,74.0,12.0,64.0,1.0,15.0,211.0,11.0,16.0,,42.0,,194.0,107.0,502.0,7.0,30.0,1.0,101.0,,597.0,1.0,486.0,32.0,1.0,1129.0,95.0,103.0,6.0,1.0,9.0,6.0,2.0,,36.0,49.0,30.0,19.0,12.0,2.0,309.0,20.0,4.0,8.0,,22.0,236.0,5.0,,14.0,,12.0,20.0,92.0,1.0,25.0,3.0,27.0,18.0,6.0,,9.0,16.0,17.0,,,,919.0,15.0,3.0,8.0,8.0,14.0,124.0,47.0,496.0,79.0,43.0,40.0,20.0,1.0,178.0,16.0,52.0,603.0,4.0,3.0,2.0,,,0.0,6.0,4.0,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,Houston Dynamo FC,1y25f0qsrctfq6wjckzzrl1m2,G. Dorsey,Midfielder,25,2.0,73.0,19.0,88.0,,22.0,291.0,25.0,38.0,,38.0,,254.0,110.0,501.0,24.0,30.0,1.0,110.0,2.0,602.0,4.0,476.0,62.0,,1644.0,164.0,97.0,19.0,1.0,13.0,11.0,1.0,,38.0,27.0,35.0,41.0,23.0,,219.0,27.0,,16.0,1.0,30.0,199.0,13.0,,7.0,1.0,22.0,31.0,52.0,4.0,31.0,1.0,37.0,9.0,7.0,,17.0,25.0,9.0,1.0,,,1033.0,13.0,7.0,8.0,19.0,11.0,131.0,64.0,493.0,126.0,87.0,38.0,27.0,1.0,224.0,36.0,77.0,611.0,6.0,6.0,4.0,1.0,0.0,1.0,4.0,8.0,,1.0,,1.0,13.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,Houston Dynamo FC,auy0y0tkv6uczp6ekk5802zxm,Thiaguinho,Forward,7,,5.0,,2.0,,,3.0,,,,,,5.0,5.0,7.0,1.0,2.0,,6.0,,13.0,,7.0,1.0,,19.0,1.0,,,,,,,,1.0,2.0,,,,,4.0,3.0,,,,,3.0,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,14.0,,,3.0,,,3.0,,7.0,1.0,1.0,,3.0,,7.0,1.0,,13.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,Houston Dynamo FC,62gy76vhmyxy2hfuql8cu7kdl,S. Ferreira,Forward,9,27.0,115.0,29.0,57.0,,10.0,119.0,42.0,65.0,8.0,4.0,2.0,112.0,107.0,344.0,16.0,28.0,,127.0,,424.0,15.0,330.0,105.0,2.0,2337.0,241.0,,38.0,3.0,28.0,13.0,1.0,3.0,24.0,130.0,19.0,11.0,23.0,,226.0,31.0,,25.0,3.0,36.0,73.0,23.0,,23.0,13.0,99.0,49.0,47.0,6.0,38.0,2.0,12.0,1.0,20.0,,3.0,14.0,1.0,11.0,,30.0,802.0,9.0,2.0,2.0,7.0,12.0,156.0,71.0,297.0,176.0,147.0,4.0,31.0,6.0,242.0,59.0,94.0,471.0,53.0,14.0,26.0,6.0,7.0,3.0,,,,,9.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,
