liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Short Passes,Successful Launches,Goals Conceded,Goal Kicks,Games Played,Saves Made from Inside Box,Appearances,Starts,Unsuccessful Passes Own Half,Successful Long Passes,Total Losses Of Possession,GK Unsuccessful Distribution,Time Played,Successful Passes Opposition Half,Forward Passes,Unsuccessful Long Passes,Total Clearances,Goals Conceded Outside Box,Saves Made,Duels won,Open Play Passes,Successful Open Play Passes,Recoveries,Rightside Passes,Touches,Index,Total Successful Passes ( Excl Crosses & Corners ) ,Duels,Ground Duels won,Unsuccessful Passes Opposition Half,Successful Passes Own Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),GK Successful Distribution,Total Passes,Goalkeeper Smother,Leftside Passes,Goals Conceded Inside Box,Ground Duels,Saves Made from Outside Box,Winning Goal,Duels lost,Aerial Duels lost,Unsuccessful Launches,Penalties Conceded,Foul Attempted Tackle,Unsuccessful Short Passes,PutThrough/Blocked Distribution,Aerial Duels,Yellow Cards,Interceptions,Throw Ins to Own Player,Total Fouls Conceded,Total Fouls Won,Throw Ins to Opposition Player,Backward Passes,Penalty Goals Conceded,Ground Duels lost,Handballs conceded,Substitute Off,PutThrough/Blocked Distribution Won,Times Tackled,Own Goal Scored,Blocks,Goals,Aerial Duels won,Total Shots,Unsuccessful Crosses & Corners,Blocked Shots,Successful Dribbles,Right Foot Goals,Unsuccessful Dribbles,Total Touches In Opposition Box,Unsuccessful Crosses open play,Shots On Target ( inc goals ),Key Passes (Attempt Assists),Goals from Outside Box,Home Goals,Away Goals,Corners Taken (incl short corners),Total Tackles,Substitute On,Successful Corners into Box,Attempts from Set Pieces,Successful Crosses & Corners,Tackles Won,Corners Won,Saves made - parried,Penalties Faced,Successful Crosses open play,Tackles Lost,Overruns,Shots Off Target (inc woodwork),Successful Lay-offs,Offsides,Goals from Inside Box,Unsuccessful lay-offs,Headed Goals,Catches,Punches,Through balls,Penalty Goals,Left Foot Goals,Penalties Taken,Assists (Intentional),Goal Assists,Foul Won Penalty,Unsuccessful Corners into Box,Clean Sheets,Hit Woodwork,Last Player Tackle,Second Goal Assists,Drops,Straight Red Cards,Total Red Cards,Saves made - caught
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Martinique,3yw03476ij7nw7u37mjky6l4a,L. Ardennes,Defender,3,40.0,,2.0,,2.0,,2.0,2.0,4.0,2.0,15.0,,155.0,15.0,12.0,1.0,,,,6.0,52.0,41.0,7.0,20.0,69.0,10.0,42.0,14.0,6.0,7.0,27.0,11.0,,53.0,,11.0,2.0,13.0,,0.0,8.0,1.0,1.0,,2.0,10.0,2.0,1.0,,2.0,2.0,2.0,,,10.0,,7.0,,1.0,,3.0,,1.0,,,,,,1.0,,3.0,2.0,,,,,,,,5.0,,,,,4.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Martinique,cgzm8hjgul1kcd6m9l5sh8yne,M. Bellance,Defender,4,4.0,,,,1.0,,1.0,,1.0,,2.0,,25.0,1.0,1.0,2.0,1.0,,,,6.0,4.0,1.0,2.0,8.0,10.0,4.0,1.0,,1.0,3.0,2.0,,6.0,,2.0,,1.0,,0.0,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Martinique,cpp8uq3yuxs9dmiz2fejg1016,A. Boulois,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Martinique,blkq1t8y0wnos6jxb0uwowwk5,P. Burner,Defender,15,8.0,,1.0,,1.0,,1.0,1.0,,1.0,6.0,,65.0,6.0,4.0,,,,,4.0,11.0,9.0,1.0,1.0,21.0,10.0,9.0,8.0,4.0,3.0,4.0,2.0,,11.0,,3.0,1.0,8.0,,0.0,4.0,,,1.0,3.0,2.0,,,,1.0,,3.0,2.0,,3.0,,4.0,,1.0,,1.0,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Martinique,2ew8k7nz9fl7ixzh115cfqtck,T. Cavelan,Midfielder,6,7.0,,1.0,,2.0,,2.0,,,3.0,13.0,,38.0,9.0,9.0,3.0,2.0,,,,17.0,10.0,2.0,3.0,26.0,10.0,10.0,1.0,,11.0,1.0,7.0,,17.0,,3.0,1.0,,,0.0,1.0,1.0,,,,4.0,,1.0,,,1.0,,,1.0,2.0,,,,,,,,,,,,4.0,,,,,,1.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Martinique,crenloh45q27bykbk9ps5qor9,Y. Clémentia,Goalkeeper,16,32.0,4.0,2.0,9.0,2.0,2.0,2.0,2.0,1.0,9.0,18.0,3.0,180.0,6.0,34.0,18.0,,,6.0,,38.0,28.0,18.0,11.0,78.0,10.0,41.0,,,17.0,35.0,18.0,16.0,59.0,,14.0,2.0,,4.0,0.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Martinique,f3v4o4y40sneia39a5ap9d4gl,D. Dussaut,Defender,19,18.0,,1.0,,1.0,,1.0,1.0,2.0,1.0,15.0,,85.0,8.0,10.0,4.0,2.0,,,4.0,24.0,17.0,3.0,,54.0,10.0,19.0,10.0,4.0,6.0,11.0,7.0,,26.0,,12.0,1.0,9.0,,0.0,6.0,1.0,2.0,,2.0,3.0,3.0,1.0,1.0,4.0,6.0,3.0,,2.0,4.0,,5.0,,1.0,2.0,1.0,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,4.0,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Martinique,cq7q6m40el06ca2dsomzggga2,A. Genteuil,Defender,2,7.0,2.0,,,2.0,,2.0,1.0,,3.0,9.0,,59.0,4.0,8.0,1.0,6.0,,,2.0,13.0,10.0,2.0,,30.0,10.0,10.0,3.0,2.0,4.0,6.0,3.0,,13.0,,4.0,,3.0,,0.0,1.0,,1.0,,,2.0,,,,1.0,2.0,,,2.0,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,2.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Martinique,3yky3svpa7hv4j7y6lbi803my,F. Goma,Defender,7,4.0,,1.0,,1.0,,1.0,,,,3.0,,21.0,2.0,3.0,,1.0,,,4.0,6.0,4.0,2.0,2.0,13.0,10.0,4.0,5.0,3.0,2.0,2.0,2.0,,6.0,,1.0,1.0,4.0,,0.0,1.0,,,,,2.0,,1.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,3.0,1.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup_Qualification,2025 USA - Canada,Martinique,bvw2dsfqohoq9dypgdgt6d1w5,B. Labeau,Forward,10,22.0,,1.0,,2.0,,2.0,2.0,,,16.0,,147.0,19.0,6.0,1.0,2.0,,,10.0,24.0,20.0,1.0,4.0,51.0,10.0,22.0,24.0,4.0,4.0,4.0,4.0,,26.0,,7.0,1.0,13.0,,0.0,14.0,5.0,1.0,,1.0,3.0,,11.0,,1.0,,2.0,4.0,,9.0,,9.0,,1.0,,5.0,,,,6.0,2.0,,,,,3.0,4.0,,1.0,,,,,,,,,,1.0,,,,,1.0,,,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,
