liga,temporada,equipo,id,nombre,posicion,dorsal,Leftside Passes,Duels won,Ground Duels,Total Clearances,Touches,Index,Substitute On,Goals Conceded,Unsuccessful Passes Own Half,Aerial Duels lost,Successful Short Passes,Aerial Duels,Time Played,Successful Passes Own Half,Unsuccessful Dribbles,Rightside Passes,Unsuccessful Short Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Successful Passes ( Excl Crosses & Corners ) ,Appearances,Duels lost,Duels,Forward Passes,Foul Attempted Tackle,Successful Passes Opposition Half,Unsuccessful Passes Opposition Half,Total Fouls Conceded,Goals Conceded Inside Box,Total Passes,Total Losses Of Possession,Total Touches In Opposition Box,Successful Lay-offs,Times Tackled,Aerial Duels won,Open Play Passes,Backward Passes,Games Played,Ground Duels lost,Corners Won,Successful Open Play Passes,Winning Goal,Goal Kicks,Unsuccessful Launches,Starts,GK Successful Distribution,Recoveries,Successful Long Passes,Successful Launches,Unsuccessful Long Passes,Blocks,Throw Ins to Opposition Player,Interceptions,Throw Ins to Own Player,Blocked Shots,Total Tackles,Unsuccessful Crosses open play,Offsides,Ground Duels won,Unsuccessful Crosses & Corners,PutThrough/Blocked Distribution,Tackles Won,Substitute Off,Tackles Lost,Left Foot Goals,Shots On Target ( inc goals ),Goals from Inside Box,Total Shots,Total Fouls Won,Goals,Home Goals,Away Goals,Through balls,Successful Crosses open play,Key Passes (Attempt Assists),PutThrough/Blocked Distribution Won,Successful Dribbles,Goal Assists,Successful Crosses & Corners,Assists (Intentional),Saves Made,Saves Made from Outside Box,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves made - parried,Attempts from Set Pieces,Corners Taken (incl short corners),Unsuccessful Corners into Box,Overruns,Shots Off Target (inc woodwork),Right Foot Goals,Handballs conceded,Successful Corners into Box,Second Goal Assists,Yellow Cards
Concacaf_Campeones_Cup,2024,Columbus Crew,7e6yfbpspg1vzcaa7rw5dameh,M. Amundsen,Defender,18,7.0,8.0,12.0,1.0,79.0,10.0,,1.0,1.0,,56.0,,90.0,37.0,1.0,22.0,2.0,8.0,57.0,1.0,4.0,12.0,28.0,2.0,20.0,7.0,2.0,1.0,65.0,9.0,1.0,,1.0,,62.0,8.0,1.0,4.0,,55.0,0.0,,4.0,1.0,,6.0,1.0,,6.0,,,1.0,1.0,,7.0,,,8.0,,,6.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,1.0,,,,
Concacaf_Campeones_Cup,2024,Columbus Crew,48x7ll37uv2jck8ibaenqk3ro,M. Arfsten,Midfielder,27,,6.0,10.0,,43.0,10.0,,1.0,2.0,,23.0,,87.0,16.0,1.0,5.0,2.0,2.0,24.0,1.0,4.0,10.0,7.0,1.0,8.0,1.0,1.0,1.0,26.0,7.0,,1.0,1.0,,26.0,14.0,1.0,4.0,1.0,24.0,0.0,,,1.0,,6.0,1.0,,,,1.0,,4.0,1.0,4.0,1.0,,6.0,1.0,1.0,3.0,1.0,1.0,,,,,1.0,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,Columbus Crew,4bjmhb55kv6xfixdff153gudx,R. Camacho,Defender,4,23.0,7.0,10.0,1.0,89.0,10.0,,1.0,5.0,,67.0,2.0,90.0,53.0,,22.0,6.0,11.0,70.0,1.0,5.0,12.0,29.0,3.0,17.0,6.0,3.0,1.0,81.0,11.0,,,,2.0,78.0,7.0,1.0,5.0,,67.0,0.0,,3.0,1.0,,2.0,3.0,1.0,5.0,,,1.0,,,4.0,,,5.0,,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,Columbus Crew,5dtht84403e1u5nnm9kjrjpwp,D. Chambost,Midfielder,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,Columbus Crew,a487dmcrtdak032ab6slynlxx,Y. Cheberko,Defender,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,Columbus Crew,49rr75teem0kobuhr4cesh756,M. Farsi,Defender,23,8.0,1.0,5.0,1.0,42.0,10.0,,1.0,,1.0,24.0,1.0,88.0,13.0,2.0,3.0,2.0,2.0,26.0,1.0,5.0,6.0,5.0,1.0,14.0,2.0,2.0,1.0,28.0,7.0,2.0,,2.0,,28.0,12.0,1.0,4.0,1.0,26.0,0.0,,,1.0,,7.0,2.0,,,,1.0,,4.0,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,Columbus Crew,aggjh662fgl2me6slzt0ll8t1,N. Hagen,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,Columbus Crew,8aao79b1g77c5jhp1n0w60xrd,C. Hernández,Forward,9,8.0,2.0,3.0,,43.0,10.0,,1.0,1.0,5.0,19.0,6.0,90.0,6.0,1.0,6.0,6.0,8.0,23.0,1.0,7.0,9.0,14.0,,19.0,7.0,2.0,1.0,31.0,12.0,1.0,,2.0,1.0,29.0,3.0,1.0,2.0,,21.0,0.0,,,1.0,,1.0,4.0,,2.0,,,,,1.0,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,,2.0,3.0,,,,2.0,,,,,,,,,,,1.0,,1.0,,,
Concacaf_Campeones_Cup,2024,Columbus Crew,djkuhn3q1q78zwuj0xybxvgiy,A. Herrera,Defender,2,1.0,1.0,1.0,,4.0,10.0,1.0,,,,1.0,,2.0,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,2.0,1.0,1.0,,,,2.0,1.0,1.0,,,1.0,0.0,,,,,,,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,Columbus Crew,2u05snfruohp5sqhdpy5vvlnu,A. Jackson,Midfielder,13,,,,,6.0,10.0,1.0,,,,4.0,,4.0,,,1.0,1.0,1.0,4.0,1.0,,,2.0,,4.0,1.0,,,5.0,1.0,,,,,5.0,2.0,1.0,,1.0,4.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,Columbus Crew,bqve6k75eu81dheqxec2l9lka,D. Jones,Defender,12,,,,,,10.0,1.0,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,Columbus Crew,9n403vt63i8sxmbpu1vp0kcmh,D. Jones,Midfielder,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,Columbus Crew,8m434r9gz4dowd88hqwhfnox5,A. Mățan,Midfielder,20,,,2.0,,12.0,10.0,1.0,,,,7.0,,12.0,2.0,1.0,5.0,,,7.0,1.0,2.0,2.0,,,5.0,2.0,,,7.0,4.0,1.0,,2.0,,7.0,2.0,1.0,2.0,1.0,7.0,0.0,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,
Concacaf_Campeones_Cup,2024,Columbus Crew,6yvnraewyl2f5mx6imq1mh9lh,Steven Moreira,Defender,31,20.0,2.0,3.0,,59.0,10.0,,1.0,1.0,1.0,45.0,2.0,90.0,30.0,,2.0,2.0,4.0,47.0,1.0,3.0,5.0,16.0,1.0,17.0,4.0,1.0,1.0,51.0,7.0,,,1.0,1.0,49.0,13.0,1.0,2.0,1.0,46.0,0.0,,2.0,1.0,,7.0,2.0,1.0,2.0,,,,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,Columbus Crew,d38mrccgoud3qomh3supk202d,D. Nagbe,Midfielder,6,12.0,5.0,5.0,,55.0,10.0,,1.0,1.0,,41.0,,90.0,27.0,,13.0,1.0,2.0,44.0,1.0,,5.0,5.0,,17.0,1.0,,1.0,46.0,2.0,,1.0,,,43.0,16.0,1.0,,,41.0,0.0,,1.0,1.0,,5.0,3.0,1.0,1.0,1.0,,,,,2.0,,,5.0,,,1.0,,1.0,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2024,Columbus Crew,dnv51o5kbp3627cjdl5yxks7p,C. Ramirez,Forward,17,11.0,2.0,3.0,2.0,39.0,10.0,,1.0,2.0,,21.0,2.0,78.0,9.0,,4.0,6.0,7.0,22.0,1.0,3.0,5.0,8.0,,13.0,5.0,1.0,1.0,29.0,8.0,3.0,,1.0,2.0,28.0,6.0,1.0,3.0,1.0,21.0,0.0,,,1.0,,2.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,1.0,,3.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,2.0,,,,,
