liga,temporada,equipo,id,nombre,posicion,dorsal,Duels,Total Fouls Won,Goals Conceded Outside Box,Total Clearances,PutThrough/Blocked Distribution Won,Throw Ins to Own Player,Throw Ins to Opposition Player,Unsuccessful Passes Opposition Half,Substitute On,Total Unsuccessful Passes ( Excl Crosses & Corners ),Tackles Lost,Total Passes,Unsuccessful Launches,Total Tackles,Unsuccessful Long Passes,Time Played,Successful Passes Own Half,Ground Duels lost,Goals Conceded Inside Box,Ground Duels won,Games Played,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Leftside Passes,Starts,Successful Short Passes,Total Fouls Conceded,Total Losses Of Possession,Foul Attempted Tackle,Unsuccessful Short Passes,Duels won,Ground Duels,Tackles Won,Times Tackled,Substitute Off,Recoveries,Index,Successful Open Play Passes,Touches,Appearances,Duels lost,Forward Passes,Goals Conceded,Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Winning Goal,Successful Dribbles,Aerial Duels lost,Successful Lay-offs,Shots On Target ( inc goals ),Interceptions,Aerial Duels,Backward Passes,Successful Passes Opposition Half,Unsuccessful Dribbles,Blocks,Blocked Shots,Rightside Passes,Overruns,Total Touches In Opposition Box,Foul Won Penalty,Total Shots,Aerial Duels won,Saves made - parried,Punches,Crosses not Claimed,Drops,GK Successful Distribution,Successful Long Passes,Goalkeeper Smother,Saves Made,Saves Made from Inside Box,GK Unsuccessful Distribution,Goal Kicks,Catches,Successful Launches,Saves Made from Outside Box,Handballs conceded,Key Passes (Attempt Assists),Yellow Cards,Shots Off Target (inc woodwork),Unsuccessful Crosses & Corners,Successful Crosses & Corners,Offsides,Assists (Intentional),Goal Assists,Unsuccessful Corners into Box,Successful Crosses open play,Corners Taken (incl short corners),Successful Corners into Box,Corners Won,Unsuccessful lay-offs,Clearances Off the Line,Unsuccessful Crosses open play,Goals,Left Foot Goals,Goals from Inside Box,Home Goals,Away Goals,Penalties Taken,Penalties Off Target,Headed Goals,Hit Woodwork,Penalty Goals Conceded,Penalties Faced,Penalties Saved,Saves from Penalty,Attempts from Set Pieces,Right Foot Goals,Saves made - caught,Last Player Tackle,Penalties Conceded,Red Cards - 2nd Yellow,Total Red Cards,Through balls,Penalty Goals,Clean Sheets,Own Goal Scored,Other Goals,Goals from Outside Box,Second Goal Assists,Set Pieces Goals,Straight Red Cards
Concacaf_Concacaf_U17,2025,Barbados Under 17,6q76z2kmy02lji4kgp8ehhd78,N. Banton,Midfielder,8,8.0,1.0,2.0,1.0,1.0,,,7.0,1.0,9.0,1.0,35.0,,2.0,1.0,100.0,12.0,3.0,2.0,3.0,3.0,1.0,2.0,10.0,2.0,24.0,,16.0,,8.0,3.0,6.0,1.0,2.0,2.0,8.0,10.0,24.0,51.0,3.0,5.0,6.0,4.0,33.0,26.0,0.0,,2.0,2.0,,1.0,2.0,5.0,15.0,,,1.0,14.0,1.0,,,1.0,,,,,,,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,Barbados Under 17,8uw5r7uqr6guv0p0sxpzxt72s,T. Barker,Defender,13,26.0,,2.0,3.0,1.0,,,14.0,1.0,22.0,3.0,92.0,1.0,9.0,4.0,262.0,27.0,10.0,9.0,11.0,4.0,4.0,9.0,24.0,3.0,66.0,2.0,28.0,1.0,18.0,15.0,21.0,6.0,3.0,2.0,11.0,10.0,70.0,128.0,4.0,11.0,38.0,11.0,92.0,70.0,0.0,2.0,1.0,1.0,3.0,1.0,5.0,8.0,43.0,3.0,,1.0,22.0,,2.0,,6.0,4.0,,,,,,4.0,,,,,,,1.0,,,,,3.0,1.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,0.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,Barbados Under 17,8efxsoqaah5bry326nafp747o,X. Bayne,Midfielder,6,14.0,1.0,,,,,,15.0,2.0,14.0,,28.0,,1.0,8.0,119.0,7.0,3.0,7.0,2.0,3.0,,,6.0,1.0,13.0,1.0,19.0,,6.0,6.0,5.0,1.0,1.0,,5.0,10.0,14.0,40.0,3.0,8.0,14.0,7.0,28.0,14.0,0.0,,5.0,,,2.0,9.0,2.0,7.0,1.0,,1.0,6.0,,1.0,,,4.0,,,,,,1.0,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,
Concacaf_Concacaf_U17,2025,Barbados Under 17,8i7cdp0dd76u01n7x36w0fnro,T. Bellamy,Midfielder,15,27.0,4.0,,1.0,1.0,1.0,1.0,22.0,2.0,15.0,2.0,43.0,,4.0,2.0,173.0,4.0,11.0,5.0,15.0,3.0,2.0,,6.0,1.0,28.0,2.0,34.0,2.0,13.0,16.0,26.0,2.0,5.0,,8.0,10.0,26.0,97.0,3.0,11.0,13.0,5.0,41.0,28.0,1.0,7.0,,,5.0,1.0,1.0,11.0,27.0,4.0,,,13.0,1.0,14.0,1.0,8.0,1.0,,,,,,,,,,,,,,,,4.0,,3.0,7.0,3.0,2.0,,,1.0,,6.0,3.0,1.0,,,4.0,2.0,,2.0,0.0,2.0,1.0,,,,,,,,,2.0,,,,,,,1.0,,,,,,,
Concacaf_Concacaf_U17,2025,Barbados Under 17,1vrpug10ketzfxwrflnkbps7o,S. Best,Midfielder,12,33.0,1.0,,,,,,16.0,2.0,14.0,2.0,38.0,1.0,9.0,2.0,186.0,1.0,16.0,7.0,14.0,4.0,,4.0,18.0,2.0,24.0,5.0,39.0,2.0,12.0,14.0,30.0,7.0,10.0,2.0,9.0,10.0,23.0,87.0,4.0,19.0,9.0,7.0,37.0,24.0,0.0,4.0,3.0,,,1.0,3.0,10.0,24.0,7.0,,,1.0,1.0,8.0,,3.0,,,,,,,,,,,,,,,,1.0,1.0,,3.0,6.0,1.0,,,,,1.0,1.0,,3.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,Barbados Under 17,alrpoe5fxvbuecs8kg4upj2tw,E. Bridgeman-Seale,Forward,11,28.0,2.0,2.0,1.0,1.0,,,12.0,1.0,10.0,1.0,49.0,2.0,8.0,2.0,250.0,15.0,10.0,9.0,13.0,4.0,3.0,3.0,2.0,3.0,38.0,,32.0,,8.0,15.0,23.0,7.0,6.0,2.0,11.0,10.0,39.0,100.0,4.0,13.0,5.0,11.0,49.0,39.0,0.0,3.0,3.0,,1.0,7.0,5.0,11.0,24.0,2.0,,,31.0,2.0,6.0,,1.0,2.0,,,,,,1.0,,,,,,,,,,2.0,,,5.0,,3.0,,,2.0,,2.0,,2.0,,,3.0,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,
Concacaf_Concacaf_U17,2025,Barbados Under 17,a4frsbnk19s1hr4yoz9euor9w,J. Clarke,Defender,3,15.0,,2.0,14.0,,,,10.0,,19.0,4.0,74.0,2.0,6.0,9.0,244.0,44.0,8.0,11.0,6.0,3.0,3.0,9.0,21.0,3.0,47.0,3.0,24.0,3.0,10.0,7.0,14.0,2.0,4.0,2.0,10.0,10.0,54.0,114.0,3.0,8.0,43.0,13.0,72.0,55.0,0.0,,,,,4.0,1.0,1.0,11.0,,5.0,,9.0,,,,,1.0,,,,,,8.0,,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,Barbados Under 17,4nt78aorw2buvn45rjdvu7pck,T. Francis,Forward,10,16.0,2.0,2.0,1.0,1.0,,,7.0,1.0,7.0,1.0,19.0,1.0,2.0,3.0,149.0,6.0,10.0,5.0,6.0,3.0,4.0,,2.0,2.0,12.0,,17.0,,4.0,6.0,16.0,1.0,6.0,2.0,2.0,10.0,12.0,43.0,3.0,10.0,6.0,7.0,19.0,12.0,0.0,2.0,,1.0,1.0,,,3.0,6.0,3.0,,,8.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,Barbados Under 17,90cwr5vxe1jiz8o4g2os86qz8,J. Gollop,Defender,4,14.0,,,10.0,1.0,10.0,3.0,26.0,1.0,27.0,1.0,94.0,12.0,4.0,17.0,255.0,41.0,5.0,7.0,6.0,4.0,4.0,4.0,24.0,3.0,57.0,3.0,37.0,1.0,10.0,6.0,11.0,3.0,2.0,1.0,9.0,10.0,62.0,148.0,4.0,8.0,57.0,7.0,87.0,67.0,0.0,2.0,3.0,,,8.0,3.0,2.0,29.0,1.0,,1.0,11.0,1.0,1.0,,2.0,,,,,,,10.0,,,,,,,2.0,,2.0,5.0,,2.0,3.0,3.0,,,,1.0,2.0,2.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,2.0,,,,2.0,,,,,1.0,,,,,,
Concacaf_Concacaf_U17,2025,Barbados Under 17,pd0gnmgqq9829rw544muhn9w,D. Harewood,Goalkeeper,18,,,,2.0,,,,38.0,,41.0,,68.0,7.0,,40.0,180.0,16.0,,9.0,,2.0,1.0,3.0,7.0,2.0,16.0,,41.0,,1.0,,,,,,29.0,10.0,12.0,91.0,2.0,,54.0,9.0,15.0,27.0,0.0,,,,,,,,11.0,,,,7.0,,,,,,2.0,1.0,,,21.0,11.0,1.0,9.0,7.0,22.0,34.0,2.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
