liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Clearances Off the Line,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,GK Successful Distribution,Games Played,Goal Kicks,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals from Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Headed Goals,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Other Goals,Overruns,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Successful Dribbles,Successful Launches,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Saved,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Unsuccessful lay-offs,Yellow Cards,Home Goals,Away Goals,Winning Goal,Attempts from Set Pieces,Corners Taken (incl short corners),Goals Openplay,Handballs conceded,Penalties Taken,Penalty Goals,Right Foot Goals,Second Goal Assists,Substitute Off,Substitute On,Successful Lay-offs,Through balls,Unsuccessful Corners into Box,Foul Won Penalty,Goal Assists,Penalties Conceded,Successful Crosses & Corners,Successful Crosses open play,Throw Ins to Opposition Player,Assists (Intentional),Hit Woodwork,Successful Corners into Box,Left Foot Goals,Direct Setpiece Goals,Goals from Outside Box,Set Pieces Goals,Last Player Tackle,Own Goal Scored,Straight Red Cards,Total Red Cards,Red Cards - 2nd Yellow,GK Unsuccessful Distribution,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Catches,Drops,Goalkeeper Smother,Penalties Faced,Penalties Saved,Punches,Saves from Penalty,Saves made - caught,Saves made - parried,Penalties Off Target
Mexico_Liga_MX,2025-2026,FC Juárez,3e9svasemtenwlwxqda3o9jvt,S. Jurado,Goalkeeper,1,5.0,,5.0,17.0,,,,89.0,,,1.0,10.0,2.0,8.0,1.0,343.0,1.0,135.0,17.0,144.0,,32.0,28.0,4.0,,5.0,2.0,3.0,,,,119.0,,345.0,,,4.0,27.0,,,137.0,97.0,,,,17.0,1.0,41.0,112.0,269.0,80.0,300.0,268.0,,1.0,,1530.0,,,,10.0,,6.0,2.0,1.0,179.0,559.0,,380.0,1.0,,179.0,675.0,,,,78.0,176.0,159.0,20.0,3.0,,2.0,,,0.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,56.0,52.0,33.0,19.0,5.0,1.0,,6.0,1.0,3.0,1.0,,17.0,
Mexico_Liga_MX,2025-2026,FC Juárez,1zsbaccrvbuxisb8ipu00aqs4,R. Juárez,Defender,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,FC Juárez,gb0n69fb9wkq9pob0jkwlzbo,I. Larios,Forward,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,FC Juárez,ezfw7vs921h4cd5vcawqcnz84,E. López,Midfielder,237,4.0,3.0,1.0,5.0,19.0,,1.0,43.0,,,,27.0,13.0,14.0,36.0,43.0,2.0,,5.0,,,2.0,2.0,,,23.0,10.0,13.0,,3.0,4.0,13.0,,111.0,,,,26.0,5.0,1.0,7.0,41.0,5.0,2.0,,3.0,,,8.0,91.0,52.0,49.0,88.0,3.0,7.0,14.0,240.0,5.0,2.0,,1.0,,7.0,5.0,3.0,45.0,116.0,2.0,96.0,10.0,2.0,20.0,192.0,9.0,9.0,2.0,4.0,10.0,21.0,8.0,10.0,,,,,0.0,,,,,,,,,1.0,2.0,,,,,1.0,,5.0,5.0,7.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,FC Juárez,a7v4ux70y4r0s1douvd6bvf1l,Madson,Forward,9,11.0,7.0,4.0,7.0,19.0,2.0,,51.0,,,2.0,46.0,21.0,25.0,94.0,32.0,2.0,,7.0,,1.0,5.0,5.0,,1.0,35.0,14.0,21.0,,4.0,3.0,29.0,,92.0,,1.0,1.0,29.0,4.0,2.0,20.0,13.0,4.0,3.0,4.0,4.0,5.0,,3.0,68.0,50.0,20.0,66.0,2.0,3.0,1.0,342.0,7.0,,,,1.0,1.0,7.0,11.0,56.0,93.0,7.0,69.0,5.0,10.0,24.0,172.0,10.0,10.0,3.0,2.0,4.0,32.0,2.0,20.0,,1.0,0.0,1.0,0.0,,,1.0,,,,,,4.0,3.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,FC Juárez,44fvhyvg4yk3zgqvf8kb1ywic,L. Martínez Dupuy,Forward,17,33.0,22.0,11.0,14.0,14.0,5.0,,17.0,,,6.0,56.0,30.0,26.0,72.0,9.0,,,14.0,,,12.0,10.0,2.0,,23.0,8.0,15.0,,,2.0,11.0,3.0,34.0,,,,7.0,10.0,5.0,9.0,7.0,3.0,15.0,8.0,2.0,1.0,,,22.0,18.0,11.0,29.0,1.0,1.0,2.0,479.0,4.0,3.0,12.0,,,3.0,4.0,13.0,38.0,41.0,23.0,29.0,2.0,33.0,12.0,131.0,2.0,2.0,2.0,,,13.0,1.0,12.0,,,,,0.0,,,,1.0,,,,,2.0,12.0,4.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,FC Juárez,2ahccffg9dpdklzb3v62lcr1l,H. Martínez,Midfielder,18,11.0,7.0,4.0,14.0,23.0,1.0,2.0,67.0,,,1.0,51.0,29.0,22.0,57.0,67.0,5.0,,14.0,,,15.0,14.0,1.0,,40.0,22.0,18.0,,5.0,5.0,82.0,,253.0,,,1.0,30.0,9.0,7.0,21.0,88.0,5.0,2.0,4.0,8.0,,2.0,20.0,214.0,112.0,110.0,201.0,4.0,9.0,1.0,611.0,5.0,1.0,,,,12.0,11.0,5.0,54.0,260.0,6.0,221.0,13.0,6.0,39.0,335.0,4.0,4.0,1.0,9.0,12.0,33.0,10.0,27.0,,4.0,,,0.0,,,,,,,,,7.0,6.0,3.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,FC Juárez,33fq51ts09wjaxmp5w4710kr8,K. Martínez,Midfielder,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,FC Juárez,c7l6c6gphs8amkcwomtrku7e1,A. Mayorga,Defender,4,25.0,12.0,13.0,15.0,45.0,3.0,12.0,197.0,,,6.0,106.0,55.0,51.0,206.0,304.0,7.0,3.0,15.0,3.0,,27.0,23.0,4.0,,81.0,43.0,38.0,,17.0,11.0,48.0,,493.0,,,4.0,137.0,30.0,11.0,52.0,128.0,11.0,4.0,1.0,13.0,8.0,7.0,36.0,367.0,229.0,179.0,362.0,5.0,13.0,116.0,1201.0,18.0,3.0,,,,32.0,14.0,12.0,254.0,525.0,5.0,398.0,18.0,13.0,127.0,938.0,37.0,37.0,11.0,18.0,53.0,128.0,36.0,74.0,,2.0,,,0.0,,,,,,,,1.0,2.0,2.0,,3.0,,,,,10.0,10.0,50.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,FC Juárez,234yd91ki5snm5wipuxzogkp,Monchu,Midfielder,6,11.0,5.0,6.0,12.0,46.0,1.0,4.0,78.0,,,5.0,61.0,30.0,31.0,125.0,110.0,7.0,,12.0,,1.0,14.0,14.0,,,50.0,25.0,25.0,,6.0,17.0,88.0,,333.0,,,4.0,39.0,10.0,5.0,33.0,109.0,17.0,6.0,3.0,11.0,3.0,2.0,25.0,271.0,186.0,116.0,263.0,8.0,11.0,1.0,870.0,4.0,5.0,,,,21.0,20.0,4.0,102.0,353.0,9.0,288.0,19.0,6.0,65.0,485.0,23.0,3.0,2.0,6.0,29.0,76.0,12.0,36.0,,1.0,1.0,0.0,1.0,2.0,26.0,,2.0,,,1.0,,4.0,1.0,4.0,1.0,17.0,,,,14.0,,,,,9.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
