liga,temporada,equipo,id,nombre,posicion,dorsal,Key Passes (Attempt Assists),Substitute Off,Interceptions,Aerial Duels lost,Foul Attempted Tackle,PutThrough/Blocked Distribution,Successful Launches,Unsuccessful Launches,Headed Goals,Forward Passes,Penalty Goals Conceded,Successful Crosses open play,Successful Passes Own Half,Aerial Duels,Ground Duels lost,Successful Crosses & Corners,Total Passes,Unsuccessful Dribbles,Duels lost,Total Touches In Opposition Box,Games Played,Shots On Target ( inc goals ),Blocked Shots,Unsuccessful Long Passes,Backward Passes,Unsuccessful Crosses & Corners,Unsuccessful Passes Opposition Half,Ground Duels won,Starts,Goals Conceded Inside Box,Total Successful Passes ( Excl Crosses & Corners ) ,Total Losses Of Possession,Times Tackled,Time Played,Successful Open Play Passes,Goals,Unsuccessful Short Passes,Successful Short Passes,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Successful Lay-offs,Tackles Lost,Total Clearances,Successful Long Passes,Goals Conceded,Touches,Appearances,Leftside Passes,Unsuccessful Passes Own Half,Total Shots,Recoveries,Hit Woodwork,Rightside Passes,Successful Dribbles,Total Tackles,Duels,Corners Won,Open Play Passes,PutThrough/Blocked Distribution Won,Through balls,Index,Duels won,Aerial Duels won,Yellow Cards,Goals from Inside Box,Successful Passes Opposition Half,Tackles Won,Total Fouls Won,Unsuccessful Crosses open play,Substitute On,Total Unsuccessful Passes ( Excl Crosses & Corners ),Ground Duels,Total Fouls Conceded,Clean Sheets,Home Goals,Away Goals,Winning Goal,Assists (Intentional),Corners Taken (incl short corners),Unsuccessful Corners into Box,Attempts from Set Pieces,Blocks,Offsides,Throw Ins to Own Player,Throw Ins to Opposition Player,Successful Corners into Box,Goal Assists,GK Successful Distribution,Penalties Conceded,GK Unsuccessful Distribution,Handballs conceded,Straight Red Cards,Right Foot Goals,Penalties Taken,Total Red Cards,Unsuccessful lay-offs,Goals from Outside Box,Penalty Goals,Foul Won Penalty,Other Goals,Left Foot Goals,Red Cards - 2nd Yellow,Clearances Off the Line,Penalties Saved,Saves Made,Catches,Saves from Penalty,Saves Made from Outside Box,Saves Made from Inside Box,Punches,Penalties Faced,Saves made - parried,Goalkeeper Smother,Set Pieces Goals,Drops,Saves made - caught,Crosses not Claimed,Own Goal Scored,Last Man Tackle,Second Goal Assists,Successful Fifty Fifty,Fifty Fifty,Penalties Off Target
USA_USL_Championship,2021,Sporting Kansas City II,dq6datcirhjvuslw4d3xbxzhl,G. Barber,Midfielder,19,11.0,7.0,7.0,11.0,2.0,14.0,,3.0,,42.0,2.0,4.0,39.0,18.0,33.0,4.0,181.0,11.0,44.0,23.0,10.0,1.0,,3.0,52.0,14.0,54.0,30.0,10.0,10.0,132.0,113.0,21.0,708.0,132.0,1.0,46.0,127.0,2.0,,3.0,,2.0,5.0,10.0,312.0,10.0,51.0,9.0,3.0,25.0,1.0,36.0,5.0,9.0,81.0,5.0,180.0,5.0,1.0,10.0,37.0,7.0,1.0,1.0,97.0,9.0,16.0,14.0,,49.0,63.0,10.0,,1.0,0.0,1.0,2.0,,,,,4.0,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Sporting Kansas City II,rtercnq9nn7y0814ghe7wo2x,D. Barbir,Defender,33,9.0,,27.0,30.0,6.0,21.0,8.0,63.0,2.0,534.0,2.0,1.0,690.0,49.0,41.0,1.0,1214.0,4.0,71.0,16.0,24.0,3.0,1.0,152.0,87.0,2.0,169.0,40.0,21.0,36.0,971.0,280.0,9.0,1970.0,947.0,2.0,91.0,871.0,6.0,4.0,,7.0,76.0,100.0,40.0,1493.0,24.0,122.0,76.0,9.0,121.0,,471.0,8.0,25.0,130.0,,1185.0,12.0,1.0,10.0,59.0,19.0,3.0,2.0,282.0,18.0,7.0,2.0,3.0,243.0,81.0,14.0,5.0,1.0,1.0,1.0,,,,,12.0,,34.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Sporting Kansas City II,5lwarg9t4o7hxcq5exe8gwydw,M. Bunbury,Midfielder,47,1.0,5.0,4.0,5.0,2.0,10.0,,1.0,,7.0,1.0,,26.0,12.0,25.0,,84.0,12.0,30.0,16.0,7.0,3.0,3.0,1.0,35.0,,17.0,20.0,5.0,8.0,60.0,56.0,16.0,399.0,60.0,,23.0,60.0,3.0,,,6.0,1.0,,8.0,167.0,7.0,34.0,7.0,6.0,8.0,,8.0,3.0,13.0,57.0,6.0,84.0,2.0,,10.0,27.0,7.0,,,34.0,7.0,4.0,,2.0,24.0,45.0,5.0,,0.0,0.0,0.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Sporting Kansas City II,1nnd0b4qwlni7tqot2n2st4yy,O. Cisneros,Midfielder,25,14.0,12.0,6.0,12.0,6.0,21.0,1.0,1.0,,74.0,5.0,1.0,140.0,18.0,53.0,1.0,386.0,9.0,65.0,14.0,21.0,4.0,8.0,7.0,105.0,2.0,37.0,80.0,16.0,24.0,331.0,108.0,24.0,1254.0,318.0,3.0,48.0,315.0,3.0,1.0,3.0,13.0,4.0,16.0,25.0,576.0,21.0,97.0,20.0,7.0,63.0,,110.0,21.0,25.0,151.0,5.0,371.0,11.0,2.0,10.0,86.0,6.0,4.0,3.0,192.0,12.0,34.0,1.0,5.0,55.0,133.0,17.0,,3.0,0.0,2.0,,2.0,1.0,,,2.0,1.0,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Sporting Kansas City II,cqyc17gvem5xasp2zowoqkup6,M. Constant,Defender,98,1.0,2.0,8.0,10.0,,4.0,3.0,18.0,,147.0,2.0,,249.0,30.0,10.0,,382.0,1.0,20.0,8.0,10.0,1.0,,44.0,21.0,,50.0,9.0,9.0,17.0,307.0,79.0,2.0,743.0,297.0,,31.0,275.0,2.0,2.0,,2.0,37.0,32.0,19.0,461.0,10.0,165.0,25.0,3.0,31.0,,49.0,,3.0,49.0,1.0,370.0,1.0,,10.0,29.0,20.0,,,58.0,1.0,10.0,,1.0,75.0,19.0,6.0,1.0,0.0,0.0,0.0,,,,,3.0,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Sporting Kansas City II,6itkesydmlipx41qqb5r5pjop,P. Čuić,Defender,39,24.0,14.0,43.0,18.0,27.0,34.0,6.0,18.0,,345.0,5.0,1.0,687.0,33.0,103.0,4.0,1291.0,11.0,121.0,12.0,29.0,5.0,8.0,81.0,199.0,12.0,174.0,63.0,25.0,37.0,1052.0,314.0,34.0,2076.0,987.0,1.0,158.0,928.0,5.0,4.0,10.0,17.0,21.0,124.0,41.0,1570.0,29.0,359.0,77.0,10.0,192.0,,388.0,9.0,46.0,199.0,6.0,1221.0,18.0,3.0,10.0,78.0,15.0,7.0,1.0,369.0,29.0,8.0,7.0,4.0,239.0,166.0,43.0,3.0,0.0,1.0,0.0,,6.0,3.0,1.0,4.0,,1.0,,2.0,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Sporting Kansas City II,7fow2xwajxenikljzfaixqkbu,J. Davis,Midfielder,46,35.0,8.0,25.0,28.0,19.0,59.0,6.0,22.0,,316.0,6.0,6.0,289.0,42.0,98.0,28.0,873.0,14.0,126.0,17.0,26.0,7.0,7.0,68.0,165.0,77.0,221.0,94.0,21.0,40.0,675.0,360.0,36.0,1825.0,643.0,2.0,130.0,627.0,13.0,3.0,,30.0,25.0,48.0,43.0,1364.0,26.0,244.0,54.0,20.0,111.0,1.0,148.0,5.0,68.0,234.0,19.0,835.0,35.0,3.0,10.0,108.0,14.0,10.0,,414.0,38.0,21.0,23.0,5.0,198.0,192.0,32.0,3.0,0.0,2.0,0.0,5.0,69.0,43.0,5.0,3.0,1.0,47.0,13.0,19.0,6.0,,,,1.0,,2.0,,,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Sporting Kansas City II,7f1q3d59u9n16v9xrskfxqsq1,A. Dia,Defender,13,13.0,1.0,16.0,10.0,9.0,15.0,3.0,2.0,,138.0,2.0,6.0,166.0,32.0,27.0,11.0,377.0,8.0,37.0,14.0,9.0,,3.0,17.0,60.0,27.0,80.0,29.0,9.0,10.0,307.0,131.0,13.0,781.0,294.0,,53.0,281.0,2.0,,,7.0,26.0,26.0,10.0,602.0,9.0,7.0,17.0,2.0,48.0,,172.0,8.0,14.0,88.0,11.0,364.0,3.0,1.0,10.0,51.0,22.0,3.0,,152.0,7.0,7.0,21.0,,70.0,56.0,13.0,3.0,0.0,0.0,0.0,,10.0,5.0,,1.0,1.0,62.0,11.0,4.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Sporting Kansas City II,9qhpi9y9iujvkbocafhgrj04q,C. Duke,Midfielder,28,3.0,2.0,6.0,1.0,2.0,5.0,,,,25.0,,,29.0,3.0,16.0,,98.0,5.0,17.0,10.0,4.0,3.0,,4.0,28.0,1.0,19.0,16.0,4.0,1.0,77.0,43.0,8.0,326.0,77.0,1.0,17.0,71.0,,,,3.0,,6.0,1.0,152.0,4.0,19.0,3.0,3.0,16.0,,26.0,2.0,5.0,35.0,2.0,98.0,3.0,,10.0,18.0,2.0,1.0,1.0,48.0,2.0,9.0,1.0,,21.0,32.0,3.0,1.0,1.0,0.0,0.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Sporting Kansas City II,6cetznd9bk65n2ebxscywa5zp,C. Duke,Midfielder,32,16.0,8.0,28.0,30.0,20.0,19.0,3.0,13.0,,224.0,2.0,,313.0,64.0,75.0,,698.0,13.0,105.0,14.0,28.0,2.0,2.0,33.0,161.0,5.0,104.0,88.0,22.0,39.0,559.0,199.0,24.0,1968.0,541.0,,106.0,527.0,6.0,4.0,22.0,8.0,21.0,32.0,43.0,990.0,28.0,124.0,40.0,8.0,95.0,,189.0,4.0,35.0,227.0,2.0,677.0,7.0,,10.0,122.0,34.0,7.0,,246.0,27.0,49.0,4.0,6.0,139.0,163.0,36.0,2.0,0.0,0.0,0.0,,2.0,1.0,,1.0,1.0,45.0,6.0,,1.0,,1.0,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
