liga,temporada,equipo,id,nombre,posicion,dorsal,PutThrough/Blocked Distribution,Successful Lay-offs,Successful Passes Own Half,Starts,Successful Short Passes,Touches,Total Fouls Conceded,Duels won,Duels lost,Tackles Won,Total Tackles,Total Unsuccessful Passes ( Excl Crosses & Corners ),Shots Off Target (inc woodwork),Interceptions,Shots On Target ( inc goals ),Successful Long Passes,PutThrough/Blocked Distribution Won,Unsuccessful Passes Own Half,Total Clearances,Goals,Successful Crosses open play,Total Losses Of Possession,Substitute Off,Offsides,Aerial Duels won,Clean Sheets,Blocked Shots,Goals from Inside Box,Unsuccessful Crosses & Corners,Ground Duels won,Backward Passes,Tackles Lost,Handballs conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Unsuccessful Dribbles,Total Shots,Unsuccessful Passes Opposition Half,Goals Conceded Outside Box,Aerial Duels lost,Successful Passes Opposition Half,Unsuccessful lay-offs,Throw Ins to Own Player,Leftside Passes,Goals Conceded Inside Box,Key Passes (Attempt Assists),Goals Conceded,Total Touches In Opposition Box,Unsuccessful Crosses open play,Appearances,Blocks,GK Successful Distribution,Yellow Cards,Open Play Passes,Times Tackled,Ground Duels lost,Right Foot Goals,Rightside Passes,Unsuccessful Long Passes,Forward Passes,Successful Crosses & Corners,Successful Dribbles,Unsuccessful Launches,Successful Open Play Passes,Headed Goals,Time Played,Goal Kicks,Duels,Recoveries,Unsuccessful Short Passes,Substitute On,Total Fouls Won,Foul Attempted Tackle,Total Passes,Corners Won,Games Played,Penalty Goals Conceded,Index,Aerial Duels,Ground Duels,Home Goals,Away Goals,Winning Goal,Foul Won Penalty,Throw Ins to Opposition Player,Total Red Cards,Red Cards - 2nd Yellow,Successful Launches,Straight Red Cards,Overruns,Hit Woodwork,Penalties Conceded,Attempts from Set Pieces,Corners Taken (incl short corners),Unsuccessful Corners into Box,Successful Corners into Box,Assists (Intentional),Goal Assists,Goals from Outside Box,Penalties Faced,Saves Made,Catches,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves Made from Outside Box,Left Foot Goals,Through balls,Last Player Tackle,Second Goal Assists,Penalties Taken,Penalty Goals,Goalkeeper Smother,Saves from Penalty,Penalties Saved,Saves made - parried,Punches,Drops,Clearances Off the Line,Own Goal Scored,Saves made - caught,Crosses not Claimed,Penalties Off Target,Set Pieces Goals
Mexico_Liga_MX,2024-2025,Atlas FC,cb6oodfu9rk751khbomxg2yuh,E. Aguirre,Forward,19,26,14,64,17,150,475,15,83,137,5,9,68,16,1,12,9,11,9,8,4,1,178,14,5,40,1,6,4,9,43,89,4,1,159,12,28,68,6,66,96,6,2,39,17,7,23,54,9,19,2,1,2,188,49,71,2,60,4,39,1,5,1,122,2,1397,1,220,23,64,2,31,6,227,9,19,3,10,106,114,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,Atlas FC,ancqubjqqf22bdzlposz8okbt,G. Aguirre,Defender,13,8,,71,4,110,303,13,33,29,7,8,46,4,5,2,13,3,13,21,,1,86,1,,19,,1,,4,14,25,1,,123,2,6,37,3,7,53,,30,60,6,,9,8,4,13,7,,2,167,2,22,,6,23,78,1,2,14,121,,421,,62,23,23,9,5,6,169,1,13,1,10,26,36,,,0,1,27,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,Atlas FC,bq2k2eljw2kf5rppuksl15jbo,A. Bass,Midfielder,30,,,1,,1,4,1,1,2,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,1,1,,,1,,2,,,,,,,,1,,9,,3,,,1,1,,1,,1,,10,,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,Atlas FC,9c0nn4eotrbbbsje9t82fd8t1,U. Đurđević,Forward,32,7,1,9,1,26,76,2,11,11,,1,11,5,,,2,3,1,,,,29,,2,3,,1,,,8,13,1,,28,3,5,10,1,2,19,1,1,9,2,1,3,11,,10,,,2,34,6,9,,11,1,6,,2,,23,,217,,22,10,10,9,5,,39,1,10,,10,5,17,,,0,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,Atlas FC,1kggpaz4j0ttrjavw0z6tzjhm,I. Domínguez,Defender,3,6,1,26,3,42,136,,15,16,6,9,14,,1,,4,3,7,6,,1,44,2,,3,,,,2,12,11,3,,46,2,,9,,3,21,,14,2,6,1,6,1,2,3,1,,,57,8,13,,27,4,20,1,1,3,44,,235,,31,5,10,,2,,60,,3,,10,6,25,,,0,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,Atlas FC,3hspnklskppmobi4ihyg5a09h,Matheus Dória,Defender,5,12,,384,15,490,813,15,56,38,11,15,130,9,14,2,42,5,34,47,,1,140,1,,31,5,5,,1,25,53,4,1,532,,11,97,6,17,149,,1,139,17,3,23,13,1,16,12,3,5,641,1,21,,191,87,279,1,,50,516,,1339,3,94,58,43,1,11,7,662,1,16,2,10,48,46,,,0,,,,,13,,,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,Atlas FC,b04uukw5ec0mngnwqjih7oqac,L. Flores,Forward,25,4,,5,,21,77,7,22,30,2,6,20,2,,,,3,1,2,,,34,,,13,,,,2,9,11,4,1,21,1,2,21,,15,16,1,1,11,2,2,2,5,2,9,,,1,39,6,15,,12,,7,,1,,19,,131,,52,4,20,9,2,1,41,,9,,10,28,24,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,Atlas FC,c6mn8nsx1djyybi6vs3wvd6qy,R. Fulgencio,Midfielder,7,21,6,149,15,342,752,7,43,62,9,15,88,11,6,4,27,11,11,3,1,9,233,9,1,1,3,3,,76,42,102,6,,369,17,15,153,3,7,266,1,7,112,16,42,19,14,28,19,,,2,442,37,55,1,108,18,135,46,21,5,359,,1232,,105,66,70,4,6,2,457,16,19,2,10,8,97,1,0,0,,1,,,3,,3,,,2,60,26,27,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,Atlas FC,7ryaeixwywl05esrvzbm5bjkl,M. García,Midfielder,8,19,2,66,3,164,310,5,39,43,8,13,26,2,5,1,3,12,7,3,,,70,3,,7,,1,,10,32,40,5,1,167,8,3,29,1,7,102,,1,35,5,6,6,7,5,13,,,,192,20,36,,70,3,48,1,10,1,166,,460,,82,40,23,10,9,3,193,2,13,2,10,14,68,,,0,,,,,,,1,,,,5,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,Atlas FC,549dc7g9a3jeklnex9sqlj97u,C. Guillen,Forward,198,6,2,21,3,109,203,8,18,25,7,8,18,2,,,3,2,4,1,,2,49,3,,3,,1,,9,15,32,1,,112,7,2,23,1,3,96,1,2,43,1,7,2,11,6,8,1,,2,124,11,22,,20,4,35,5,4,,107,,298,,43,14,14,5,3,6,130,3,8,1,10,6,37,,,0,,,,,1,,,,,,7,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,Atlas FC,clwmxzpf6n5nwka2y51phrqxg,S. Hernández,Midfielder,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2024-2025,Atlas FC,2hlfqnms7bs6eiy9gibc4fvft,José Hernández,Goalkeeper,1,,,43,3,39,84,,1,,,,19,,,,13,,7,,,,19,,,1,1,,,,,,,,52,,,12,1,,9,,,20,2,,3,,,3,,20,,50,,,,10,17,41,,,9,37,,270,14,1,14,2,,,,71,,3,1,10,1,,,,0,,,,,5,,,,,,,,,,,,1,3,1,1,3,2,,,,,,,,,,,,,,,,,,
