liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Successful Lay-offs,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Set Pieces Goals,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Headed Goals,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Penalties Taken,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Successful Launches,Throw Ins to Opposition Player,Left Foot Goals,Foul Won Penalty,Clearances Off the Line,Second Goal Assists,Successful Corners into Box,Corners Taken (incl short corners),Unsuccessful Corners into Box,Penalty Goals,Penalties Conceded,Saves Made,GK Successful Distribution,Crosses not Claimed,Own Goal Scored,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Last Man Tackle,Penalties Saved,Saves from Penalty,Penalties Off Target
USA_MLS,2015,New York City Football Club,3c6wehei7yzqs80q3g6x652ad,R. Allen,Defender,27.0,14.0,,5.0,1.0,1.0,,1.0,2.0,23.0,,1054.0,90.0,1.0,,398.0,7.0,55.0,8.0,173.0,8.0,25.0,19.0,1.0,1.0,17.0,171.0,165.0,44.0,,52.0,,407.0,19.0,12.0,308.0,16.0,2.0,77.0,31.0,9.0,82.0,2.0,70.0,13.0,30.0,18.0,773.0,14.0,10.0,6.0,126.0,,164.0,1.0,95.0,79.0,1.0,,22.0,8.0,10.0,13.0,21.0,156.0,34.0,17.0,23.0,,1.0,,2.0,60.0,157.0,,,323.0,330.0,30.0,2.0,,2.0,2.0,40.0,77.0,4.0,33.0,66.0,4.0,25.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_MLS,2015,New York City Football Club,8z8rcfku9ahd0e13iku81y311,Pablo Álvarez,Midfielder,22.0,8.0,,,,,,5.0,2.0,11.0,,244.0,4.0,3.0,,98.0,2.0,17.0,3.0,51.0,1.0,4.0,5.0,3.0,,2.0,75.0,24.0,4.0,,27.0,,103.0,3.0,3.0,66.0,8.0,4.0,31.0,13.0,4.0,43.0,1.0,15.0,3.0,11.0,6.0,189.0,8.0,2.0,,33.0,,42.0,,10.0,17.0,1.0,,6.0,1.0,9.0,1.0,6.0,36.0,,8.0,18.0,,1.0,,,17.0,31.0,,,69.0,72.0,3.0,,,,2.0,2.0,19.0,2.0,5.0,16.0,,1.0,,,,,2.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,
USA_MLS,2015,New York City Football Club,8nm049qk766x4uylmtbtwmtw5,M. Ballouchy,Midfielder,20.0,19.0,3.0,5.0,,,,3.0,13.0,16.0,1.0,1259.0,10.0,27.0,1.0,635.0,5.0,146.0,13.0,341.0,5.0,27.0,13.0,5.0,,12.0,212.0,197.0,34.0,,110.0,,662.0,28.0,4.0,506.0,18.0,12.0,137.0,154.0,25.0,153.0,1.0,78.0,16.0,31.0,17.0,893.0,19.0,16.0,3.0,132.0,,204.0,1.0,59.0,69.0,7.0,,19.0,3.0,27.0,4.0,3.0,148.0,17.0,18.0,33.0,,,,2.0,67.0,158.0,3.0,,499.0,525.0,16.0,,,2.0,1.0,26.0,79.0,8.0,12.0,65.0,1.0,1.0,2.0,,,,7.0,26.0,14.0,,1.0,,,,,,,,,,,,,,,,,,
USA_MLS,2015,New York City Football Club,bvo3leqgf9bieqgriyucd3qad,C. Brandt,Midfielder,16.0,1.0,,,,,,1.0,,,,9.0,2.0,,,4.0,,,,3.0,,1.0,1.0,,,,2.0,,3.0,,,,4.0,,,3.0,,,1.0,,,1.0,,,,1.0,,13.0,1.0,,,4.0,,4.0,,68.0,3.0,,,,,,,,4.0,1.0,,,,,,,1.0,,,,3.0,3.0,,,,,,3.0,1.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2015,New York City Football Club,el1ts4ek1oww3u0bylaxu8fyt,J. Brovsky,Defender,5.0,15.0,,2.0,,,,3.0,3.0,24.0,,1132.0,128.0,4.0,,544.0,5.0,83.0,5.0,206.0,17.0,33.0,9.0,6.0,1.0,12.0,193.0,219.0,33.0,,99.0,,552.0,14.0,7.0,386.0,18.0,7.0,132.0,142.0,13.0,108.0,4.0,67.0,12.0,31.0,48.0,916.0,15.0,8.0,4.0,77.0,,222.0,3.0,49.0,68.0,1.0,,34.0,5.0,7.0,24.0,3.0,113.0,46.0,19.0,24.0,,,1.0,,33.0,105.0,,,412.0,420.0,36.0,2.0,,1.0,,26.0,45.0,7.0,34.0,44.0,9.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2015,New York City Football Club,5o5o41zfj4qumy9ibinuabv85,J. Calle,Midfielder,30.0,12.0,1.0,2.0,,,,5.0,6.0,19.0,,542.0,35.0,6.0,1.0,276.0,4.0,40.0,6.0,129.0,6.0,25.0,9.0,5.0,1.0,4.0,128.0,89.0,25.0,,45.0,,282.0,7.0,6.0,181.0,12.0,9.0,70.0,95.0,4.0,72.0,3.0,35.0,7.0,17.0,22.0,459.0,12.0,6.0,,60.0,,111.0,1.0,100.0,34.0,4.0,,31.0,2.0,2.0,1.0,5.0,65.0,7.0,13.0,24.0,,,,,27.0,36.0,1.0,,208.0,212.0,5.0,,1.0,,1.0,22.0,31.0,3.0,13.0,33.0,2.0,11.0,,,,,3.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,
USA_MLS,2015,New York City Football Club,4qfbdzqjyis1zvznohtb084id,M. Diskerud,Midfielder,10.0,27.0,3.0,3.0,,,,4.0,8.0,23.0,2.0,2073.0,20.0,28.0,3.0,1048.0,16.0,195.0,8.0,497.0,8.0,26.0,39.0,7.0,,32.0,310.0,400.0,55.0,,168.0,,1083.0,32.0,19.0,847.0,35.0,19.0,194.0,230.0,30.0,185.0,13.0,179.0,23.0,68.0,33.0,1483.0,27.0,21.0,7.0,210.0,,367.0,6.0,50.0,134.0,12.0,,42.0,8.0,32.0,31.0,18.0,273.0,21.0,35.0,24.0,,3.0,1.0,,107.0,291.0,3.0,,856.0,889.0,63.0,3.0,2.0,,6.0,50.0,139.0,5.0,30.0,103.0,5.0,3.0,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,
USA_MLS,2015,New York City Football Club,6h6e2r85c38r2b3o041tmu311,M. Dunn,Midfielder,23.0,1.0,,,,,,1.0,,,,52.0,3.0,,,16.0,,,,5.0,1.0,2.0,,,,,13.0,4.0,2.0,,6.0,,17.0,,,8.0,,,8.0,1.0,,7.0,,5.0,,2.0,1.0,34.0,1.0,,,7.0,,8.0,,52.0,4.0,,,1.0,,2.0,,,7.0,2.0,,,,,,,3.0,8.0,,,9.0,9.0,,,,,,2.0,3.0,,2.0,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2015,New York City Football Club,9uthj64y9f77y63tq7did539x,Angeliño,Defender,69.0,14.0,,,,,,4.0,1.0,18.0,3.0,992.0,78.0,3.0,,453.0,5.0,91.0,7.0,175.0,21.0,45.0,12.0,4.0,1.0,10.0,185.0,184.0,29.0,,64.0,,461.0,10.0,6.0,328.0,26.0,6.0,109.0,179.0,12.0,110.0,2.0,56.0,10.0,22.0,20.0,743.0,14.0,3.0,2.0,74.0,,177.0,,68.0,57.0,2.0,1.0,24.0,6.0,15.0,9.0,6.0,93.0,28.0,27.0,21.0,,1.0,,4.0,26.0,14.0,,,344.0,352.0,19.0,,1.0,4.0,,25.0,36.0,4.0,22.0,48.0,7.0,9.0,,,,,1.0,5.0,3.0,,2.0,,,,,,,,,,,,,,,1.0,,,
USA_MLS,2015,New York City Football Club,dbtoxmvks65f43ssecmvrrn4l,S. Facey,Defender,24.0,23.0,,5.0,1.0,,1.0,3.0,2.0,5.0,,1818.0,23.0,,,815.0,,88.0,,150.0,41.0,66.0,6.0,,1.0,21.0,176.0,557.0,47.0,,68.0,,841.0,28.0,1.0,648.0,35.0,,134.0,166.0,1.0,90.0,,105.0,20.0,10.0,49.0,1182.0,23.0,18.0,14.0,96.0,,327.0,,100.0,77.0,,,59.0,,9.0,22.0,,139.0,112.0,36.0,5.0,,1.0,,,41.0,260.0,,,686.0,707.0,43.0,2.0,1.0,,1.0,43.0,62.0,4.0,87.0,55.0,13.0,7.0,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
