temporada,link,liga_url,cod_liga,folder,url_match,url_standings
2026,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2026/ekq4gipt7p6wxd2x45ygkx3x0/fixtures,concacaf-u20-2026,ekq4gipt7p6wxd2x45ygkx3x0,Concacaf_Concacaf_U20,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=ekq4gipt7p6wxd2x45ygkx3x0&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W30fe16b29ea878872ea510e759e1a9a54d0c38448,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=ekq4gipt7p6wxd2x45ygkx3x0&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W308f756af70cdaee1cb4141134684f38565d4159e
2024 Mexico,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2024-mexico/2ikrtgtzxbsu2y47gr7a01no4/results,concacaf-u20-2024-mexico,2ikrtgtzxbsu2y47gr7a01no4,Concacaf_Concacaf_U20,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2ikrtgtzxbsu2y47gr7a01no4&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W397d06dbe432ca941c956202808726d8e6273f10c,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2ikrtgtzxbsu2y47gr7a01no4&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3fdeb55f6e13cf2db8abb968fa0dc1edeb9b4c2e7
2022 Honduras,https://www.scoresway.com/en_GB/soccer/concacaf-u20-2022-honduras/4zgnayjehgv2s60hrxwj7i6tw/results,concacaf-u20-2022-honduras,4zgnayjehgv2s60hrxwj7i6tw,Concacaf_Concacaf_U20,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=4zgnayjehgv2s60hrxwj7i6tw&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3aa7a2b26168930233092ca088fa25642e5c32e06,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=4zgnayjehgv2s60hrxwj7i6tw&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W36e4afac941bb4176c36a82e67b19030d60cd8721
