temporada,link,liga_url,cod_liga,folder
2026,https://www.scoresway.com/en_GB/soccer/mls-2026/6i6n0jkbh9zzij6s8htfjh2j8/fixtures,mls-2026,6i6n0jkbh9zzij6s8htfjh2j8,USA_MLS
2025,https://www.scoresway.com/en_GB/soccer/mls-2025/2p9ipxt6ftkdphe5afitgd0/fixtures,mls-2025,2p9ipxt6ftkdphe5afitgd0,USA_MLS
2024,https://www.scoresway.com/en_GB/soccer/mls-2024/929cd2ue4bpcebvx91rx9e3h0/results,mls-2024,929cd2ue4bpcebvx91rx9e3h0,USA_MLS
2023,https://www.scoresway.com/en_GB/soccer/mls-2023/7a5umgwn0v0mbrtadxnnp9b84/results,mls-2023,7a5umgwn0v0mbrtadxnnp9b84,USA_MLS
2022,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/results,mls-2022,8xix0odg0gckp6uu1eg05mnmc,USA_MLS
2021,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/results,mls-2021,9l8ccwksjy5tueunha080o36c,USA_MLS
2020,https://www.scoresway.com/en_GB/soccer/mls-2020/4vg1rldzyr8uev96z173gkxgq/results,mls-2020,4vg1rldzyr8uev96z173gkxgq,USA_MLS
2019,https://www.scoresway.com/en_GB/soccer/mls-2019/5h2zqy1f45zb5dx265prvs1nu/results,mls-2019,5h2zqy1f45zb5dx265prvs1nu,USA_MLS
2018,https://www.scoresway.com/en_GB/soccer/mls-2018/5j62ihkecx2ytoy6r3vopf5gq/results,mls-2018,5j62ihkecx2ytoy6r3vopf5gq,USA_MLS
2017,https://www.scoresway.com/en_GB/soccer/mls-2017/42nlpusb30ckupwvpbzexxr6x/results,mls-2017,42nlpusb30ckupwvpbzexxr6x,USA_MLS
2016,https://www.scoresway.com/en_GB/soccer/mls-2016/wla7tc6nmkee4xo8ob4fi9rd/results,mls-2016,wla7tc6nmkee4xo8ob4fi9rd,USA_MLS
2015,https://www.scoresway.com/en_GB/soccer/mls-2015/e0akegpfsftkb3towdlt9fap5/results,mls-2015,e0akegpfsftkb3towdlt9fap5,USA_MLS
2014,https://www.scoresway.com/en_GB/soccer/mls-2014/3o2ygcni993kowcc67jtjw29k/results,mls-2014,3o2ygcni993kowcc67jtjw29k,USA_MLS
2013,https://www.scoresway.com/en_GB/soccer/mls-2013/32ujs5n3t0k1kbqdwy63tabxu/results,mls-2013,32ujs5n3t0k1kbqdwy63tabxu,USA_MLS
2012,https://www.scoresway.com/en_GB/soccer/mls-2012/ecc7y3peo1z75brii4bxlrw7p/results,mls-2012,ecc7y3peo1z75brii4bxlrw7p,USA_MLS
2011,https://www.scoresway.com/en_GB/soccer/mls-2011/ap4zfhyq0ulkspvycgsy9xal1/results,mls-2011,ap4zfhyq0ulkspvycgsy9xal1,USA_MLS
2010,https://www.scoresway.com/en_GB/soccer/mls-2010/e5ewwa0jlwjnan80k5lrgtgid/results,mls-2010,e5ewwa0jlwjnan80k5lrgtgid,USA_MLS
