temporada,link,liga_url,cod_liga,folder,url_match,url_standings,url_squads,url_rankings
2026,https://www.scoresway.com/en_GB/soccer/mls-2026/6i6n0jkbh9zzij6s8htfjh2j8/fixtures,mls-2026,6i6n0jkbh9zzij6s8htfjh2j8,USA_MLS,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6i6n0jkbh9zzij6s8htfjh2j8&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W36a74d7aca734e281cc893f915e0f4b5b8f05fdf7,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6i6n0jkbh9zzij6s8htfjh2j8&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3e01804dd1d8891fd047f856ae1afd789ec0b38ce,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6i6n0jkbh9zzij6s8htfjh2j8&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3615b8580cc751ad755f20b032165e2d292adc875,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=6i6n0jkbh9zzij6s8htfjh2j8&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W34c02426e7b1bf056ec5e2be7a755fa672f8671f6
2025,https://www.scoresway.com/en_GB/soccer/mls-2025/2p9ipxt6ftkdphe5afitgd0/fixtures,mls-2025,2p9ipxt6ftkdphe5afitgd0,USA_MLS,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2p9ipxt6ftkdphe5afitgd0&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W33cede273f51319b49a3ad582a39cd384b9f10602,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2p9ipxt6ftkdphe5afitgd0&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W372a586d829f2d7af0160a39d3e6fb299c30deaf3,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2p9ipxt6ftkdphe5afitgd0&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3b9a0e4724b185981368a254f2b9a83935bd359cc,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=2p9ipxt6ftkdphe5afitgd0&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W39fe6697ab619e38cd82e5217904be1502169effa
2024,https://www.scoresway.com/en_GB/soccer/mls-2024/929cd2ue4bpcebvx91rx9e3h0/results,mls-2024,929cd2ue4bpcebvx91rx9e3h0,USA_MLS,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=929cd2ue4bpcebvx91rx9e3h0&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W386f71c8333c2467f4920f2cc08123ff0a992afba,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=929cd2ue4bpcebvx91rx9e3h0&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3cc22c3c4ed8e7f3fa6413837e9972a48a750f09b,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=929cd2ue4bpcebvx91rx9e3h0&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3c818a98403e7f2e5498e529149452e36809695ef,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=929cd2ue4bpcebvx91rx9e3h0&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3b436ca09614e4adea36f58abe5ea1336518a8ca2
2023,https://www.scoresway.com/en_GB/soccer/mls-2023/7a5umgwn0v0mbrtadxnnp9b84/results,mls-2023,7a5umgwn0v0mbrtadxnnp9b84,USA_MLS,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7a5umgwn0v0mbrtadxnnp9b84&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W385aabeaf80d7d6ea8c96299a6e35f0ed3300dde5,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7a5umgwn0v0mbrtadxnnp9b84&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3f23170f353e66daeeb349f57ef0e3812310f41cb,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7a5umgwn0v0mbrtadxnnp9b84&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W386d01d44e8198113b25510ef8de9137b09a8600e,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=7a5umgwn0v0mbrtadxnnp9b84&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W34fd9a4079bb091fbe61fa5c16faf47ca98bd94b5
2022,https://www.scoresway.com/en_GB/soccer/mls-2022/8xix0odg0gckp6uu1eg05mnmc/results,mls-2022,8xix0odg0gckp6uu1eg05mnmc,USA_MLS,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=8xix0odg0gckp6uu1eg05mnmc&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W320c45c5861618f8a8f226bd60acbf263c96cf03c,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=8xix0odg0gckp6uu1eg05mnmc&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W356e0bb0facc400279d61cd202f1d098d4eef39f0,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=8xix0odg0gckp6uu1eg05mnmc&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W32fb57b51407608cebac09e6a42e9e624293a0704,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=8xix0odg0gckp6uu1eg05mnmc&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3823e4e935daac65012f4c4ba2218be4aff2e6294
2021,https://www.scoresway.com/en_GB/soccer/mls-2021/9l8ccwksjy5tueunha080o36c/results,mls-2021,9l8ccwksjy5tueunha080o36c,USA_MLS,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=9l8ccwksjy5tueunha080o36c&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W315f6481937021bba1d942a61188ea23547384681,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=9l8ccwksjy5tueunha080o36c&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3daae9fceb55e20ab99ec03f7fbfc76120b27a54a,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=9l8ccwksjy5tueunha080o36c&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W30554e9c8087f68c888595e47ecc5abf121b9ab39,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=9l8ccwksjy5tueunha080o36c&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W360d920f9ead2bc666924f1fa74097f643217e95f
2020,https://www.scoresway.com/en_GB/soccer/mls-2020/4vg1rldzyr8uev96z173gkxgq/results,mls-2020,4vg1rldzyr8uev96z173gkxgq,USA_MLS,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=4vg1rldzyr8uev96z173gkxgq&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W35961985ae69da63e327e2f3507bacbb4cc1b6dd7,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=4vg1rldzyr8uev96z173gkxgq&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W343345c1d9633adc8d1bb93b732afd87ea64c5c1a,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=4vg1rldzyr8uev96z173gkxgq&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W34d9685694f6fbbd432dfee2cde1ae5cfcb07faef,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=4vg1rldzyr8uev96z173gkxgq&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W383b8dc066bff0588fc045333f4b9c103971a5973
2019,https://www.scoresway.com/en_GB/soccer/mls-2019/5h2zqy1f45zb5dx265prvs1nu/results,mls-2019,5h2zqy1f45zb5dx265prvs1nu,USA_MLS,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5h2zqy1f45zb5dx265prvs1nu&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W357abad10c12524e0d886962d5db56d9341fe483f,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5h2zqy1f45zb5dx265prvs1nu&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d3ed18d8f53e47b7cbe7b2f45ae5e491039340b8,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5h2zqy1f45zb5dx265prvs1nu&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W30bd8e1c1346fb6041229e8782e11cdebfb751d23,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5h2zqy1f45zb5dx265prvs1nu&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3ec6d29ea8c5d592da2ecfd8fb8068e36df93122f
2018,https://www.scoresway.com/en_GB/soccer/mls-2018/5j62ihkecx2ytoy6r3vopf5gq/results,mls-2018,5j62ihkecx2ytoy6r3vopf5gq,USA_MLS,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5j62ihkecx2ytoy6r3vopf5gq&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W383c88e008655f688fac9a4cff428b90bf1f7b487,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5j62ihkecx2ytoy6r3vopf5gq&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3c68f5fe6794b41cd51520fe5a1134f54d2767323,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5j62ihkecx2ytoy6r3vopf5gq&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W32ea14153767dad786730af51aed7a6f742c282af,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5j62ihkecx2ytoy6r3vopf5gq&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W36b19b9e2b25868837420815f9d53aa5acf082100
2017,https://www.scoresway.com/en_GB/soccer/mls-2017/42nlpusb30ckupwvpbzexxr6x/results,mls-2017,42nlpusb30ckupwvpbzexxr6x,USA_MLS,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=42nlpusb30ckupwvpbzexxr6x&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W33b2ac21080966afba0a2c57fe08bbfc3a0799270,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=42nlpusb30ckupwvpbzexxr6x&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W385873a064df9254e3aff0cf46eddf81ca555a72c,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=42nlpusb30ckupwvpbzexxr6x&_pgSz=200&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W36bf23c2fb2d03f27a47c5e791c2361e242b4e82d,https://api.performfeeds.com/soccerdata/rankings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=42nlpusb30ckupwvpbzexxr6x&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W313183f8888b9bd69f230e7d6e959db55f821dacf
