liga,temporada,equipo,id,nombre,posicion,dorsal,Tackles Won,Unsuccessful Crosses open play,Total Losses Of Possession,Duels lost,Forward Passes,Total Touches In Opposition Box,Goals Conceded Inside Box,Aerial Duels,Successful Passes Opposition Half,Rightside Passes,Touches,Unsuccessful Crosses & Corners,Leftside Passes,Tackles Lost,Duels,Backward Passes,Total Fouls Won,PutThrough/Blocked Distribution,Successful Short Passes,Unsuccessful Passes Opposition Half,Throw Ins to Own Player,Unsuccessful Passes Own Half,Unsuccessful Long Passes,Total Fouls Conceded,Substitute Off,Games Played,Ground Duels lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Ground Duels won,Total Successful Passes ( Excl Crosses & Corners ) ,Total Clearances,Unsuccessful Short Passes,Ground Duels,Open Play Passes,Index,Successful Long Passes,Recoveries,Successful Passes Own Half,Yellow Cards,Aerial Duels lost,Appearances,Total Passes,Starts,Time Played,Successful Open Play Passes,Duels won,Total Tackles,Goals Conceded,Aerial Duels won,Home Goals,Away Goals,Winning Goal,Corners Taken (incl short corners),Blocks,Key Passes (Attempt Assists),PutThrough/Blocked Distribution Won,Substitute On,Unsuccessful Corners into Box,Successful Dribbles,Total Shots,Times Tackled,Shots On Target ( inc goals ),Own Goal Scored,Foul Attempted Tackle,Interceptions,Unsuccessful Launches,Saves Made from Inside Box,Saves Made,Corners Won,GK Successful Distribution,Shots Off Target (inc woodwork),Hit Woodwork,Successful Crosses & Corners,Successful Crosses open play,Unsuccessful Dribbles,Successful Corners into Box,Blocked Shots,Attempts from Set Pieces,Successful Launches,Throw Ins to Opposition Player,Catches,Drops,Clean Sheets,Saves Made from Outside Box,GK Unsuccessful Distribution,Saves made - parried,Handballs conceded,Goals,Headed Goals,Goals from Inside Box,Goal Assists,Assists (Intentional)
Concacaf_Campeones_Cup,2021,CF Cruz Azul,14bw0a2azjioiorlbhhhbul05,P. Aguilar,Defender,23,1.0,1.0,4.0,3.0,9.0,1.0,1.0,2.0,9.0,21.0,54.0,1.0,12.0,1.0,6.0,5.0,1.0,1.0,37.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,44.0,1.0,2.0,4.0,46.0,10.0,7.0,2.0,35.0,1.0,1.0,1.0,47.0,1.0,45.0,43.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2021,CF Cruz Azul,bd9ov8z9402i9cceuu4dv4nv9,A. Aldrete,Defender,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2021,CF Cruz Azul,9vvleh9yqqcm955432lsl8c7p,R. Alvarado,Forward,25,1.0,2.0,7.0,1.0,11.0,1.0,1.0,,15.0,6.0,31.0,3.0,,1.0,4.0,2.0,,1.0,16.0,5.0,1.0,1.0,1.0,,,1.0,1.0,3.0,3.0,16.0,,2.0,4.0,19.0,10.0,,,1.0,,,1.0,19.0,,22.0,16.0,3.0,2.0,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2021,CF Cruz Azul,1sgnb6jzur8xdz6z2zel2luqd,B. Angulo,Forward,17,,1.0,2.0,6.0,3.0,2.0,2.0,5.0,9.0,3.0,21.0,1.0,5.0,,8.0,5.0,1.0,,15.0,2.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,15.0,1.0,1.0,3.0,14.0,10.0,,1.0,6.0,,4.0,1.0,16.0,1.0,76.0,13.0,2.0,,2.0,1.0,0.0,0.0,0.0,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2021,CF Cruz Azul,f47fwbxgm35jx628hwpmfdrrp,R. Baca,Midfielder,22,1.0,,4.0,4.0,6.0,,1.0,1.0,10.0,7.0,28.0,,8.0,,6.0,,1.0,,18.0,3.0,,,2.0,2.0,1.0,1.0,3.0,3.0,2.0,18.0,,1.0,5.0,21.0,10.0,,,8.0,1.0,1.0,1.0,21.0,1.0,45.0,18.0,2.0,1.0,1.0,,0.0,0.0,0.0,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2021,CF Cruz Azul,2lsqo8x3mbz4shb8nuv5catp1,Jesús Corona,Goalkeeper,1,,,3.0,,7.0,,2.0,,1.0,1.0,23.0,,10.0,,,,,,12.0,3.0,,,3.0,,,1.0,,3.0,,15.0,,,,14.0,10.0,3.0,4.0,14.0,1.0,,1.0,18.0,1.0,90.0,12.0,,,2.0,,0.0,0.0,0.0,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2021,CF Cruz Azul,dmqmxkyprphad4zlbcv0igcet,J. Domínguez,Defender,4,2.0,,6.0,2.0,18.0,2.0,2.0,1.0,26.0,33.0,70.0,,9.0,,5.0,2.0,,1.0,50.0,2.0,,2.0,2.0,2.0,,1.0,2.0,4.0,2.0,58.0,,2.0,4.0,60.0,10.0,8.0,6.0,32.0,1.0,,1.0,62.0,1.0,90.0,56.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,,1.0,,1.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2021,CF Cruz Azul,64d0bjnplywbybkge20roti39,J. Escobar,Defender,24,,6.0,18.0,7.0,18.0,5.0,2.0,4.0,32.0,3.0,92.0,6.0,35.0,,10.0,8.0,,2.0,50.0,13.0,8.0,,4.0,2.0,,1.0,4.0,7.0,2.0,57.0,,3.0,6.0,64.0,10.0,7.0,3.0,26.0,1.0,3.0,1.0,64.0,1.0,90.0,57.0,3.0,,2.0,1.0,0.0,0.0,0.0,,,,1.0,,,2.0,2.0,3.0,1.0,,1.0,,2.0,,,3.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2021,CF Cruz Azul,51xhmu9q14hlqc1zei83dum6t,G. Fernández,Midfielder,28,,2.0,13.0,4.0,18.0,1.0,2.0,,42.0,27.0,78.0,4.0,18.0,,6.0,4.0,2.0,3.0,49.0,11.0,2.0,2.0,4.0,2.0,,1.0,4.0,9.0,2.0,58.0,,5.0,6.0,66.0,10.0,9.0,7.0,17.0,1.0,,1.0,67.0,1.0,90.0,57.0,2.0,,2.0,,0.0,0.0,0.0,3.0,,2.0,1.0,,2.0,,1.0,,1.0,,1.0,,1.0,,,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2021,CF Cruz Azul,aboxil79ulfa73pckzsdnwp62,S. Giménez,Forward,29,,,3.0,2.0,5.0,1.0,1.0,,6.0,,14.0,,2.0,,3.0,2.0,,,7.0,2.0,,,,,,1.0,2.0,2.0,1.0,7.0,,2.0,3.0,9.0,10.0,,2.0,1.0,,,1.0,9.0,,45.0,7.0,1.0,,1.0,,0.0,0.0,0.0,,,,,1.0,,1.0,2.0,1.0,,,,,,,,1.0,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,
