liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Crosses open play,Rightside Passes,Penalties Conceded,Blocked Shots,Ground Duels won,Total Shots,Goal Assists,Unsuccessful Crosses open play,Successful Corners into Box,Goals Conceded,Overruns,Foul Attempted Tackle,Clearances Off the Line,Aerial Duels lost,Successful Launches,Goals Conceded Inside Box,Second Goal Assists,Total Losses Of Possession,Yellow Cards,Unsuccessful Corners into Box,Starts,Unsuccessful Passes Own Half,Total Clearances,Corners Taken (incl short corners),Times Tackled,Games Played,Through balls,Successful Lay-offs,PutThrough/Blocked Distribution Won,Unsuccessful Long Passes,Right Foot Goals,Leftside Passes,Penalties Taken,Tackles Won,Successful Short Passes,Successful Long Passes,Blocks,Successful Passes Opposition Half,Backward Passes,Successful Open Play Passes,Index,Penalty Goals Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Open Play Passes,Attempts from Set Pieces,Corners Won,GK Successful Distribution,Unsuccessful Dribbles,Recoveries,Goals Conceded Outside Box,Throw Ins to Own Player,Offsides,Key Passes (Attempt Assists),Goals from Inside Box,Shots On Target ( inc goals ),Total Tackles,Total Fouls Won,Appearances,Ground Duels lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Goals from Outside Box,Duels won,Assists (Intentional),Aerial Duels won,Total Fouls Conceded,Duels lost,Unsuccessful Short Passes,Forward Passes,Touches,Aerial Duels,Goals,Interceptions,Penalty Goals,PutThrough/Blocked Distribution,Total Passes,Unsuccessful Passes Opposition Half,Total Touches In Opposition Box,Successful Dribbles,Successful Passes Own Half,Clean Sheets,Unsuccessful Launches,Time Played,Duels,Tackles Lost,Shots Off Target (inc woodwork),Successful Crosses & Corners,Goal Kicks,Handballs conceded,Set Pieces Goals,Ground Duels,Unsuccessful Crosses & Corners,Home Goals,Away Goals,Winning Goal,Saves Made from Outside Box,Goalkeeper Smother,GK Unsuccessful Distribution,Punches,Saves made - parried,Saves Made,Saves Made from Inside Box,Drops,Catches,Penalties Faced,Foul Won Penalty,Headed Goals,Hit Woodwork,Substitute Off,Substitute On,Throw Ins to Opposition Player,Last Player Tackle,Left Foot Goals,Own Goal Scored,Unsuccessful lay-offs,Penalties Saved,Saves made - caught,Saves from Penalty,Total Red Cards,Red Cards - 2nd Yellow,Straight Red Cards,Other Goals,Crosses not Claimed,Penalties Off Target
USA_MLS_Next_Pro,2024,Crown Legacy FC (Charlotte FC II),8texi81doeqhy7eu6fnhrstbe,J. Assi,Forward,47,2.0,16.0,,,23.0,,,5.0,,2.0,,,,2.0,,2.0,,60.0,1.0,,4.0,9.0,3.0,,11.0,7.0,,,2.0,2.0,,65.0,,7.0,126.0,10.0,,87.0,27.0,130.0,10.0,,136.0,156.0,,1.0,,8.0,18.0,,31.0,,,,,10.0,3.0,7.0,22.0,26.0,,29.0,,6.0,4.0,24.0,24.0,54.0,266.0,8.0,,5.0,,5.0,162.0,22.0,5.0,10.0,51.0,,1.0,360.0,53.0,3.0,,2.0,,,,45.0,5.0,,,0.0,,,,,,,,,,,,,,3.0,3.0,5.0,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Crown Legacy FC (Charlotte FC II),1dk0bdadfdnycriqp8u21ulpm,B. Bender,Midfielder,15,1.0,12.0,,2.0,,3.0,1.0,3.0,,1.0,,,,2.0,,,,15.0,,,2.0,1.0,,,5.0,2.0,1.0,5.0,1.0,1.0,1.0,17.0,,,42.0,4.0,,31.0,13.0,44.0,10.0,,46.0,49.0,,2.0,,4.0,6.0,1.0,,,3.0,2.0,3.0,,,2.0,6.0,5.0,,,1.0,,1.0,8.0,4.0,9.0,72.0,2.0,2.0,,,2.0,51.0,7.0,7.0,,16.0,,,124.0,8.0,,,1.0,,,,6.0,3.0,2.0,0.0,0.0,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Crown Legacy FC (Charlotte FC II),9ohy24mxhsqao5kymh0lbxxck,N. Berchimas,Forward,27,2.0,97.0,,22.0,66.0,26.0,,15.0,1.0,27.0,8.0,21.0,,17.0,3.0,25.0,,270.0,,,19.0,28.0,5.0,1.0,89.0,23.0,,13.0,19.0,12.0,5.0,46.0,1.0,19.0,238.0,8.0,,170.0,102.0,245.0,10.0,4.0,246.0,339.0,,17.0,,46.0,59.0,2.0,3.0,11.0,13.0,4.0,19.0,22.0,17.0,23.0,145.0,94.0,2.0,69.0,,3.0,35.0,162.0,82.0,95.0,714.0,20.0,6.0,11.0,,41.0,340.0,81.0,89.0,27.0,79.0,2.0,5.0,1523.0,231.0,3.0,7.0,3.0,,,,211.0,15.0,4.0,2.0,1.0,,,,,,,,,,,,,,13.0,4.0,,,1.0,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Crown Legacy FC (Charlotte FC II),aaac8z97ph1h1xlym2utjb21g,S. Bourget,Forward,87,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,,4.0,,,,,1.0,,1.0,2.0,,,,,,,,1.0,1.0,,,,2.0,1.0,10.0,,1.0,2.0,,,,1.0,2.0,,,,,,1.0,1.0,,2.0,1.0,1.0,,2.0,,1.0,,2.0,1.0,,11.0,2.0,,2.0,,,2.0,1.0,2.0,,1.0,,,10.0,4.0,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Crown Legacy FC (Charlotte FC II),3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,Defender,44,3.0,298.0,1.0,5.0,64.0,11.0,,17.0,,27.0,1.0,15.0,,21.0,8.0,22.0,,263.0,4.0,,16.0,56.0,57.0,,13.0,23.0,1.0,,10.0,78.0,1.0,58.0,,30.0,655.0,55.0,9.0,299.0,155.0,687.0,10.0,3.0,710.0,867.0,1.0,7.0,,6.0,72.0,5.0,93.0,,13.0,1.0,4.0,47.0,10.0,23.0,46.0,185.0,1.0,104.0,,40.0,25.0,67.0,107.0,384.0,1284.0,61.0,2.0,14.0,,29.0,895.0,146.0,28.0,8.0,414.0,2.0,31.0,1578.0,171.0,17.0,7.0,3.0,,1.0,,110.0,17.0,0.0,2.0,0.0,,,,,,,,,,,,,,1.0,7.0,22.0,,1.0,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Crown Legacy FC (Charlotte FC II),603sxl8xsij9kep03px6s85m2,B. Cambridge,Forward,36,4.0,14.0,,15.0,39.0,19.0,1.0,22.0,,14.0,4.0,5.0,,22.0,1.0,10.0,,115.0,4.0,,9.0,9.0,5.0,,28.0,10.0,1.0,2.0,5.0,8.0,2.0,55.0,2.0,7.0,89.0,4.0,1.0,68.0,41.0,90.0,10.0,2.0,93.0,135.0,,18.0,,14.0,19.0,4.0,7.0,2.0,7.0,2.0,10.0,7.0,27.0,10.0,39.0,45.0,,47.0,1.0,8.0,11.0,61.0,37.0,28.0,324.0,30.0,2.0,2.0,2.0,20.0,138.0,58.0,50.0,5.0,29.0,,6.0,765.0,108.0,,9.0,4.0,,,,78.0,22.0,1.0,1.0,2.0,,,,,,,,,,,2.0,,1.0,5.0,1.0,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Crown Legacy FC (Charlotte FC II),6fjpwiqcuvkedo3hhpj4341zo,H. Diop,Defender,32,,42.0,1.0,1.0,2.0,2.0,,,,5.0,,2.0,,2.0,,5.0,,25.0,,,2.0,12.0,5.0,,2.0,2.0,,,,9.0,,28.0,,,94.0,4.0,,22.0,11.0,93.0,10.0,1.0,98.0,113.0,1.0,1.0,,,6.0,,,,,,,,2.0,2.0,5.0,20.0,,6.0,,4.0,2.0,7.0,11.0,37.0,138.0,6.0,,,,1.0,118.0,8.0,3.0,,76.0,,8.0,157.0,13.0,,2.0,,,,,7.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Crown Legacy FC (Charlotte FC II),9qhpi9y9iujvkbocafhgrj04q,C. Duke,Midfielder,60,2.0,125.0,1.0,5.0,80.0,10.0,3.0,11.0,,30.0,2.0,28.0,,12.0,2.0,24.0,1.0,204.0,9.0,,20.0,17.0,3.0,1.0,41.0,28.0,2.0,19.0,15.0,9.0,1.0,104.0,,17.0,386.0,13.0,1.0,270.0,131.0,384.0,10.0,4.0,399.0,480.0,,8.0,,19.0,68.0,6.0,12.0,3.0,24.0,1.0,5.0,26.0,41.0,28.0,107.0,96.0,,84.0,2.0,4.0,50.0,119.0,87.0,135.0,770.0,16.0,1.0,12.0,,30.0,495.0,90.0,60.0,14.0,131.0,,3.0,1753.0,203.0,9.0,5.0,2.0,,4.0,,187.0,11.0,0.0,1.0,0.0,,,,,,,,,,,,,1.0,12.0,8.0,,,,,3.0,,,,1.0,1.0,,,,
USA_MLS_Next_Pro,2024,Crown Legacy FC (Charlotte FC II),bjzbbdfbyt4lkwjxjiir4tyxg,I. Elizalde,Midfielder,93,,,,,,,,,,,1.0,1.0,,,,,,5.0,,,,,,,3.0,1.0,,,,,,1.0,,,2.0,,,2.0,1.0,2.0,10.0,,2.0,3.0,,1.0,,1.0,1.0,,,,,,,,,1.0,4.0,1.0,,1.0,,1.0,1.0,4.0,1.0,1.0,7.0,1.0,,,,,3.0,1.0,4.0,,,,,12.0,5.0,,,,,,,4.0,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Crown Legacy FC (Charlotte FC II),d47ks2lj1bgbm1x11qil2352i,M. Filipovic,Forward,80,,2.0,,1.0,2.0,,,,,1.0,,1.0,,2.0,,1.0,,6.0,,,,,,,3.0,2.0,1.0,,1.0,,,2.0,,,9.0,,,3.0,4.0,9.0,10.0,,9.0,10.0,,,,1.0,,,,,,,,1.0,1.0,2.0,5.0,1.0,,2.0,,,2.0,7.0,1.0,2.0,21.0,2.0,,1.0,,1.0,10.0,1.0,1.0,,6.0,,,37.0,9.0,1.0,,,,,,7.0,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
