liga,temporada,equipo,id,nombre,posicion,dorsal,Appearances,Games Played,Index,Substitute On,Time Played,Winning Goal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Assists (Intentional),Backward Passes,Blocks,Carries,Corners Taken (incl short corners),Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Goal Assists,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Off Target (inc woodwork),Starts,Substitute Off,Successful Corners into Box,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Throw Ins to Own Player,Times Tackled,Total Big Chances Created,Total Big Chances Missed,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Clean Sheets,Goals,Goals Openplay,Goals from Inside Box,Headed Goals,Overruns,Shots On Target ( inc goals ),Successful Launches,Through balls,Total Big Chances Scored,Home Goals,Away Goals,Blocked Shots,Goals from Outside Box,Handballs conceded,Hit Woodwork,Left Foot Goals,Offsides,Penalties Taken,Penalty Goals,Right Foot Goals,Successful Lay-offs,Unsuccessful lay-offs,Catches,Drops,GK Successful Distribution,GK Unsuccessful Distribution,Goal Kicks,Goalkeeper Smother,Last Player Tackle,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Second Goal Assists,Attempts from Set Pieces,Set Pieces Goals,Penalties Conceded,Clearances Off the Line,Straight Red Cards,Total Big Chances Saved,Total Red Cards,Other Goals,Red Cards - 2nd Yellow,Foul Won Penalty,Crosses not Claimed,Direct Setpiece Goals,Penalties Off Target,Own Goal Scored,Penalties Saved,Saves from Penalty
USA_USL_Championship,2025,Tampa Bay Rowdies,6mrzod8fbjpv5s30eyypfyv2t,M. Arteaga,Forward,9,30.0,30.0,10.0,8.0,2001.0,1.0,132.0,66.0,66.0,3.0,130.0,6.0,154.0,,9.0,303.0,167.0,136.0,160.0,97.0,26.0,3.0,35.0,27.0,8.0,171.0,101.0,70.0,6.0,14.0,83.0,385.0,5.0,67.0,32.0,20.0,51.0,113.0,28.0,22.0,11.0,,3.0,3.0,7.0,2.0,287.0,216.0,112.0,323.0,5.0,18.0,9.0,11.0,51.0,4.0,5.0,16.0,44.0,41.0,256.0,423.0,47.0,325.0,23.0,92.0,98.0,815.0,,16.0,15.0,13.0,2.0,14.0,99.0,15.0,84.0,8.0,1.0,9.0,6.0,7.0,3.0,2.0,19.0,,1.0,5.0,5.0,4.0,14.0,2.0,,1.0,,8.0,2.0,1.0,6.0,28.0,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,
USA_USL_Championship,2025,Tampa Bay Rowdies,2wi0zqtz6ke3yueass4vy7l5h,J. Azócar,Forward,15,14.0,14.0,10.0,3.0,936.0,0.0,22.0,15.0,7.0,,60.0,3.0,153.0,,3.0,100.0,59.0,41.0,129.0,120.0,5.0,,18.0,15.0,3.0,78.0,44.0,34.0,4.0,4.0,111.0,301.0,2.0,65.0,17.0,6.0,33.0,12.0,5.0,11.0,5.0,,6.0,6.0,12.0,8.0,240.0,145.0,103.0,234.0,3.0,8.0,11.0,45.0,29.0,2.0,,23.0,12.0,11.0,138.0,303.0,9.0,242.0,11.0,22.0,61.0,535.0,,17.0,17.0,21.0,7.0,14.0,58.0,20.0,47.0,1.0,1.0,,,,,2.0,4.0,3.0,,,,,4.0,,2.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
USA_USL_Championship,2025,Tampa Bay Rowdies,3gzatxlefe9axcrqyllbtrzmc,E. Bandré,Goalkeeper,41,13.0,13.0,10.0,,1170.0,0.0,2.0,,2.0,,,,27.0,,,8.0,3.0,5.0,,173.0,,,17.0,13.0,4.0,6.0,3.0,3.0,,,62.0,139.0,1.0,7.0,,,83.0,65.0,,13.0,,,,,,43.0,110.0,26.0,191.0,174.0,,,,,1.0,,,15.0,,3.0,86.0,300.0,,217.0,,,83.0,427.0,,,,,41.0,79.0,59.0,24.0,4.0,,1.0,,,,,,,14.0,,,,,,,,,,,,,,,,13.0,2.0,142.0,24.0,105.0,2.0,,1.0,6.0,27.0,17.0,10.0,1.0,6.0,,,,,,,,,,,,,,,,,
USA_USL_Championship,2025,Tampa Bay Rowdies,7ao58e6608lb8eu3dmk17jisp,O. Bassett,Midfielder,8,19.0,19.0,10.0,4.0,1308.0,0.0,3.0,2.0,1.0,3.0,138.0,2.0,205.0,19.0,12.0,97.0,66.0,31.0,,171.0,14.0,3.0,23.0,18.0,5.0,94.0,64.0,30.0,7.0,22.0,95.0,538.0,3.0,92.0,30.0,14.0,49.0,145.0,5.0,15.0,6.0,4.0,10.0,5.0,10.0,20.0,450.0,318.0,152.0,440.0,5.0,6.0,,7.0,31.0,3.0,2.0,8.0,21.0,9.0,200.0,549.0,14.0,460.0,11.0,25.0,89.0,796.0,13.0,47.0,31.0,15.0,6.0,10.0,107.0,29.0,79.0,6.0,,1.0,1.0,,,3.0,9.0,3.0,2.0,,1.0,0.0,11.0,1.0,1.0,,,1.0,,,1.0,6.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
USA_USL_Championship,2025,Tampa Bay Rowdies,8vcytrkvxzki08gxqpulol3hl,B. Bodily,Midfielder,11,24.0,24.0,10.0,,1862.0,0.0,55.0,31.0,24.0,1.0,176.0,4.0,260.0,2.0,14.0,185.0,88.0,97.0,95.0,211.0,10.0,2.0,30.0,24.0,6.0,130.0,57.0,73.0,17.0,20.0,22.0,643.0,3.0,139.0,29.0,14.0,71.0,243.0,9.0,24.0,13.0,1.0,16.0,15.0,13.0,19.0,507.0,255.0,277.0,497.0,10.0,20.0,10.0,84.0,25.0,2.0,1.0,46.0,23.0,30.0,257.0,652.0,14.0,516.0,30.0,44.0,136.0,1087.0,1.0,57.0,56.0,13.0,23.0,37.0,146.0,47.0,99.0,3.0,2.0,1.0,1.0,1.0,,,5.0,4.0,,,1.0,0.0,3.0,,,1.0,,2.0,,,1.0,10.0,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,
USA_USL_Championship,2025,Tampa Bay Rowdies,dp8j7znd4eavuoy3faqpamoa2,N. Campisi,Goalkeeper,1,18.0,18.0,10.0,,1553.0,0.0,2.0,,2.0,,1.0,,42.0,,,6.0,3.0,3.0,1.0,232.0,1.0,,29.0,22.0,7.0,4.0,3.0,1.0,,,90.0,228.0,5.0,14.0,,,135.0,83.0,,18.0,,,,,,72.0,180.0,40.0,262.0,230.0,,,,,1.0,,,23.0,1.0,1.0,109.0,406.0,,302.0,,1.0,104.0,581.0,,,,,50.0,100.0,90.0,14.0,4.0,1.0,1.0,,,,,,,24.0,,,,,,,,,,,,,,,,12.0,,176.0,35.0,128.0,3.0,,6.0,8.0,49.0,30.0,18.0,1.0,16.0,,,,,,1.0,3.0,1.0,,,,1.0,,,,,
USA_USL_Championship,2025,Tampa Bay Rowdies,du5dg5x7as3ub1iemjuwdd6uh,R. Castellanos,Defender,2,25.0,25.0,10.0,2.0,2040.0,0.0,109.0,40.0,69.0,,34.0,16.0,356.0,,2.0,170.0,68.0,102.0,4.0,548.0,5.0,,35.0,28.0,7.0,61.0,28.0,33.0,21.0,3.0,471.0,1227.0,3.0,140.0,17.0,9.0,92.0,217.0,8.0,23.0,3.0,,,,6.0,98.0,1017.0,336.0,718.0,956.0,6.0,7.0,5.0,9.0,4.0,,1.0,167.0,17.0,14.0,235.0,1270.0,9.0,1054.0,13.0,19.0,216.0,1595.0,,,,2.0,70.0,127.0,133.0,83.0,89.0,3.0,1.0,1.0,,1.0,1.0,,1.0,22.0,,1.0,1.0,0.0,2.0,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2025,Tampa Bay Rowdies,5s5sc7zxuw8cr7vyzeofb8hnu,D. Crisostomo,Midfielder,17,28.0,28.0,10.0,2.0,2250.0,1.0,45.0,28.0,17.0,,196.0,2.0,380.0,1.0,2.0,230.0,113.0,117.0,73.0,378.0,30.0,1.0,41.0,34.0,7.0,185.0,85.0,100.0,29.0,12.0,281.0,1141.0,5.0,142.0,48.0,32.0,108.0,332.0,6.0,26.0,10.0,,2.0,1.0,18.0,32.0,997.0,495.0,550.0,1011.0,20.0,44.0,,4.0,23.0,,,24.0,45.0,18.0,211.0,1187.0,11.0,1043.0,64.0,9.0,144.0,1508.0,1.0,11.0,8.0,6.0,22.0,39.0,102.0,53.0,105.0,6.0,1.0,2.0,,2.0,,3.0,5.0,6.0,1.0,1.0,1.0,1.0,2.0,,1.0,,,1.0,,,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2025,Tampa Bay Rowdies,5eptcbetmcxxwzhed6i5rl0r8,M. De Jesus,Defender,34,1.0,1.0,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2025,Tampa Bay Rowdies,4ua2bfowedufy5hilbxb3cul1,Leo Fernandes,Midfielder,10,11.0,11.0,10.0,5.0,555.0,0.0,24.0,12.0,12.0,1.0,53.0,3.0,98.0,13.0,3.0,84.0,49.0,35.0,11.0,61.0,12.0,1.0,14.0,10.0,4.0,60.0,37.0,23.0,4.0,9.0,52.0,196.0,1.0,38.0,14.0,5.0,25.0,37.0,5.0,6.0,5.0,5.0,8.0,2.0,2.0,9.0,153.0,102.0,65.0,150.0,3.0,8.0,,10.0,16.0,3.0,1.0,11.0,14.0,10.0,98.0,203.0,9.0,159.0,11.0,16.0,44.0,339.0,7.0,18.0,10.0,10.0,2.0,8.0,49.0,13.0,36.0,1.0,,1.0,,1.0,,1.0,4.0,,,1.0,1.0,0.0,2.0,,,,1.0,,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,
USA_USL_Championship,2025,Tampa Bay Rowdies,bpkzxcqtmvei7lqkqzuvzelsl,A. Guillén,Defender,33,29.0,29.0,10.0,3.0,2418.0,0.0,60.0,20.0,40.0,,126.0,13.0,387.0,1.0,3.0,197.0,75.0,122.0,29.0,608.0,16.0,,46.0,36.0,10.0,137.0,55.0,82.0,23.0,8.0,130.0,1365.0,5.0,146.0,28.0,13.0,95.0,566.0,3.0,26.0,3.0,,8.0,8.0,8.0,62.0,1141.0,467.0,742.0,1139.0,11.0,19.0,21.0,115.0,11.0,1.0,,113.0,34.0,49.0,287.0,1430.0,6.0,1201.0,30.0,12.0,229.0,1911.0,,11.0,11.0,5.0,42.0,101.0,165.0,75.0,128.0,6.0,2.0,1.0,,1.0,1.0,,3.0,11.0,,,1.0,0.0,1.0,,,2.0,,,,,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,
USA_USL_Championship,2025,Tampa Bay Rowdies,9q3w4j10qfsq94svbmyxa879x,B. Hamid,Goalkeeper,24,23.0,23.0,10.0,,2025.0,0.0,7.0,,7.0,,,,27.0,,,13.0,2.0,11.0,,298.0,,,35.0,32.0,3.0,6.0,2.0,4.0,,,95.0,187.0,6.0,9.0,,,193.0,111.0,,23.0,1.0,,,,,88.0,130.0,55.0,273.0,240.0,,,,,,,,20.0,,6.0,180.0,504.0,,328.0,,,176.0,708.0,,,,,72.0,174.0,142.0,34.0,2.0,1.0,4.0,,,,,,,19.0,,,,,,,,,,,,,,,,22.0,4.0,230.0,41.0,181.0,1.0,,7.0,4.0,57.0,37.0,20.0,,19.0,,,,,,,4.0,,,,,,,,,1.0,1.0
