liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels won,Total Clearances,Successful Passes Own Half,Successful Launches,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Passes Opposition Half,Interceptions,PutThrough/Blocked Distribution,Open Play Passes,Times Tackled,Total Fouls Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Throw Ins to Own Player,Duels,Time Played,Rightside Passes,Total Tackles,Unsuccessful Crosses open play,Unsuccessful Corners into Box,Total Touches In Opposition Box,PutThrough/Blocked Distribution Won,Unsuccessful Launches,Total Passes,Successful Crosses open play,Substitute Off,Ground Duels,Shots Off Target (inc woodwork),Successful Dribbles,Aerial Duels,Goals Conceded,Corners Won,Total Losses Of Possession,GK Successful Distribution,Throw Ins to Opposition Player,Games Played,Ground Duels won,Unsuccessful Dribbles,Total Fouls Won,Blocks,Forward Passes,Unsuccessful Long Passes,Ground Duels lost,Tackles Lost,Assists (Intentional),Touches,Goals Conceded Inside Box,Duels lost,Total Shots,Unsuccessful Passes Own Half,Successful Short Passes,Unsuccessful Short Passes,Goals Conceded Outside Box,Backward Passes,Successful Long Passes,Yellow Cards,Key Passes (Attempt Assists),Recoveries,Corners Taken (incl short corners),Appearances,Tackles Won,Shots On Target ( inc goals ),Leftside Passes,Successful Open Play Passes,Aerial Duels lost,Successful Passes Opposition Half,Foul Attempted Tackle,Goal Assists,Duels won,Successful Crosses & Corners,Unsuccessful Crosses & Corners,Index,Starts,Home Goals,Away Goals,Winning Goal,Hit Woodwork,Headed Goals,Goals from Inside Box,Penalty Goals Conceded,Goals,Offsides,Blocked Shots,Right Foot Goals,Substitute On,Through balls,Fifty Fifty,Successful Fifty Fifty,Successful Lay-offs,Saves made - parried,Saves Made,Saves Made from Inside Box,Goalkeeper Smother,GK Unsuccessful Distribution,Catches,Saves Made from Outside Box,Successful Corners into Box,Handballs conceded,Red Cards - 2nd Yellow,Clean Sheets,Straight Red Cards,Own Goal Scored,Total Red Cards,Left Foot Goals,Unsuccessful lay-offs,Attempts from Set Pieces,Punches,Saves from Penalty,Penalties Faced,Penalties Saved,Last Man Tackle,Clearances Off the Line,Penalties Conceded,Second Goal Assists,Foul Won Penalty,Drops,Saves made - caught,Penalty Goals,Penalties Taken,Goals from Outside Box,Crosses not Claimed,Other Goals,Set Pieces Goals,Penalties Off Target
USA_USL_Championship,2022,Phoenix Rising FC,9vw8izvdgvl9afa5cjwrrx2lm,C. Anguiano,Midfielder,13,1.0,,45.0,1.0,22.0,17.0,3.0,6.0,114.0,8.0,4.0,97.0,2.0,24.0,272.0,35.0,2.0,1.0,,1.0,2.0,1.0,119.0,,,23.0,1.0,2.0,1.0,9.0,,41.0,,,10.0,9.0,2.0,5.0,,40.0,3.0,14.0,,,164.0,8.0,14.0,1.0,8.0,88.0,19.0,1.0,14.0,9.0,1.0,2.0,15.0,,10.0,2.0,,30.0,92.0,,53.0,3.0,,10.0,1.0,3.0,10.0,2.0,0.0,0.0,0.0,,,,2.0,,,,,8.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Phoenix Rising FC,bwex753m0udqdv5r4zfh7t7h0,R. Antwi,Forward,33,3.0,1.0,18.0,,19.0,18.0,2.0,2.0,77.0,16.0,13.0,70.0,,66.0,482.0,14.0,6.0,1.0,,29.0,1.0,,89.0,,5.0,53.0,6.0,11.0,13.0,10.0,3.0,54.0,,,21.0,23.0,11.0,6.0,,12.0,2.0,30.0,2.0,,182.0,7.0,40.0,17.0,2.0,66.0,17.0,3.0,33.0,4.0,4.0,7.0,10.0,,21.0,4.0,11.0,30.0,58.0,10.0,52.0,7.0,,26.0,,1.0,10.0,5.0,4.0,0.0,0.0,1.0,,3.0,2.0,4.0,,1.0,1.0,16.0,,,,2.0,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,1.0,,,,
USA_USL_Championship,2022,Phoenix Rising FC,89zecg16i2qx6sfid3ec4ckd0,J. Baker,Goalkeeper,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Phoenix Rising FC,58wqz8jo721s9y66j604x41d5,J. Calistri,Midfielder,21,18.0,19.0,174.0,6.0,163.0,176.0,28.0,38.0,588.0,28.0,20.0,441.0,65.0,146.0,1743.0,57.0,21.0,43.0,1.0,51.0,10.0,19.0,604.0,14.0,5.0,112.0,11.0,16.0,34.0,31.0,21.0,276.0,,12.0,32.0,55.0,19.0,19.0,6.0,239.0,56.0,57.0,5.0,2.0,992.0,26.0,73.0,21.0,31.0,406.0,107.0,5.0,118.0,35.0,4.0,24.0,92.0,3.0,32.0,16.0,10.0,190.0,426.0,16.0,283.0,7.0,3.0,73.0,16.0,44.0,10.0,17.0,0.0,0.0,0.0,,,,,,4.0,9.0,,15.0,3.0,,,5.0,,,,,,,,1.0,2.0,,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
USA_USL_Championship,2022,Phoenix Rising FC,a24xundegz2mhke2pb24pewpg,C. Chasten,Defender,12,,1.0,7.0,2.0,7.0,6.0,1.0,1.0,22.0,,,16.0,8.0,9.0,76.0,,2.0,3.0,,,,1.0,23.0,,1.0,7.0,,2.0,2.0,4.0,,13.0,,1.0,5.0,5.0,,1.0,,14.0,2.0,2.0,,,45.0,3.0,4.0,,4.0,13.0,5.0,1.0,3.0,3.0,,1.0,5.0,,5.0,2.0,,6.0,15.0,2.0,9.0,,,5.0,,3.0,10.0,1.0,0.0,0.0,0.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Phoenix Rising FC,bzk7l6u5bvun1zt11ouvzp7ft,E. Delgado,Goalkeeper,26,1.0,3.0,3.0,,15.0,13.0,,,7.0,,,9.0,,1.0,90.0,2.0,,,,,,,24.0,,,,,,1.0,7.0,,15.0,12.0,,1.0,,,,,22.0,15.0,,,,41.0,6.0,,,2.0,3.0,,1.0,,6.0,,,11.0,,1.0,,,,3.0,,6.0,,,1.0,,,10.0,1.0,0.0,0.0,0.0,,,,2.0,,,,,,,,,,,3.0,1.0,,9.0,2.0,2.0,,,,,,,,,,,1.0,,2.0,,,,,,,,1.0,,,,,,,
USA_USL_Championship,2022,Phoenix Rising FC,93o6uiunyviyp2wajs526a4bu,I. Donasiyano,Midfielder,8,7.0,1.0,117.0,,47.0,36.0,15.0,13.0,288.0,25.0,11.0,253.0,5.0,119.0,723.0,60.0,31.0,3.0,,15.0,8.0,1.0,300.0,1.0,5.0,105.0,6.0,8.0,14.0,11.0,3.0,101.0,,,14.0,60.0,17.0,22.0,,82.0,7.0,45.0,13.0,,483.0,8.0,52.0,6.0,14.0,247.0,40.0,3.0,66.0,6.0,1.0,5.0,66.0,,14.0,18.0,,92.0,241.0,7.0,137.0,9.0,,67.0,1.0,3.0,10.0,8.0,0.0,0.0,0.0,,,,1.0,,,3.0,,6.0,,,,3.0,,,,,,,,,,,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Phoenix Rising FC,4ijc4kyuzt8e34oo6bv8fvn6c,N. Dunn,Defender,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Phoenix Rising FC,csx9pmpibyblftludnkd6j36x,M. Epps,Midfielder,20,31.0,14.0,141.0,1.0,122.0,147.0,14.0,21.0,557.0,59.0,10.0,437.0,30.0,204.0,1657.0,103.0,32.0,48.0,,95.0,7.0,6.0,559.0,15.0,15.0,156.0,17.0,19.0,48.0,28.0,18.0,283.0,,2.0,28.0,70.0,31.0,19.0,1.0,145.0,23.0,86.0,16.0,2.0,941.0,24.0,103.0,28.0,23.0,409.0,99.0,4.0,141.0,28.0,2.0,34.0,91.0,,28.0,16.0,11.0,170.0,435.0,17.0,311.0,3.0,2.0,101.0,15.0,48.0,10.0,18.0,3.0,1.0,0.0,,,4.0,3.0,4.0,4.0,13.0,3.0,10.0,2.0,,,8.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2022,Phoenix Rising FC,dqvxmefhimxvxstvlz5yd7ysp,J. Farrell,Defender,15,80.0,100.0,709.0,12.0,226.0,145.0,58.0,24.0,1262.0,12.0,33.0,1094.0,24.0,247.0,2607.0,207.0,39.0,,,38.0,9.0,42.0,1320.0,2.0,1.0,132.0,15.0,3.0,115.0,40.0,6.0,262.0,12.0,3.0,31.0,66.0,4.0,24.0,17.0,649.0,102.0,66.0,11.0,,1701.0,35.0,101.0,24.0,81.0,974.0,124.0,5.0,72.0,120.0,10.0,7.0,155.0,,31.0,28.0,9.0,392.0,1040.0,35.0,387.0,14.0,1.0,146.0,2.0,,10.0,29.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,4.0,4.0,,2.0,,,,,,,,,,,,,,1.0,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
