liga,temporada,equipo,id,nombre,posicion,dorsal,Total Tackles,Throw Ins to Own Player,Total Clearances,Successful Short Passes,Tackles Won,Corners Won,Ground Duels won,Aerial Duels,Unsuccessful Passes Own Half,Games Played,Successful Open Play Passes,Rightside Passes,Forward Passes,Tackles Lost,Substitute Off,Successful Passes Own Half,Overruns,Through balls,Backward Passes,PutThrough/Blocked Distribution Won,Time Played,Appearances,Goal Assists,Unsuccessful Passes Opposition Half,Duels won,Open Play Passes,Unsuccessful Short Passes,Ground Duels,Unsuccessful Crosses open play,Shots Off Target (inc woodwork),Aerial Duels won,Leftside Passes,Unsuccessful Dribbles,Total Successful Passes ( Excl Crosses & Corners ) ,Total Touches In Opposition Box,Successful Lay-offs,Clean Sheets,Recoveries,Starts,Total Losses Of Possession,PutThrough/Blocked Distribution,Touches,Total Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Aerial Duels lost,Successful Dribbles,Ground Duels lost,Duels,Successful Passes Opposition Half,Index,Duels lost,Shots On Target ( inc goals ),Substitute On,Unsuccessful Crosses & Corners,Total Shots,Times Tackled,Total Fouls Won,Winning Goal,Goals Conceded Inside Box,Unsuccessful Long Passes,Successful Long Passes,Goals Conceded,Interceptions,Unsuccessful Launches,Throw Ins to Opposition Player,Key Passes (Attempt Assists),Successful Launches,Goals from Inside Box,Right Foot Goals,Left Foot Goals,Offsides,Total Fouls Conceded,Unsuccessful lay-offs,Goals,Home Goals,Away Goals,Successful Crosses & Corners,Unsuccessful Corners into Box,Assists (Intentional),Foul Attempted Tackle,Blocks,Successful Corners into Box,Corners Taken (incl short corners),Successful Crosses open play,Blocked Shots,GK Successful Distribution,Goal Kicks,Penalty Goals,Penalties Taken,Yellow Cards,Handballs conceded,Clearances Off the Line,Second Goal Assists,Foul Won Penalty,Goals from Outside Box,Red Cards - 2nd Yellow,Total Red Cards,Punches,Saves Made,GK Unsuccessful Distribution,Saves Made from Inside Box,Last Player Tackle,Saves Made from Outside Box,Goals Conceded Outside Box,Hit Woodwork,Attempts from Set Pieces,Goalkeeper Smother,Drops,Penalties Faced,Penalties Saved,Saves made - parried,Saves from Penalty,Straight Red Cards,Penalties Conceded
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Curaçao,ix6hcbfujuw3mgefzpsnp2zu,J. Antonisse,Forward,11,1.0,,,31.0,,2.0,4.0,,4.0,3.0,34.0,16.0,10.0,1.0,,19.0,1.0,,13.0,2.0,138.0,3.0,,10.0,4.0,42.0,6.0,11.0,1.0,,,4.0,5.0,34.0,1.0,1.0,,7.0,1.0,21.0,2.0,70.0,43.0,9.0,,2.0,7.0,11.0,16.0,10.0,7.0,2.0,2.0,5.0,2.0,5.0,1.0,0.0,1.0,3.0,3.0,2.0,3.0,1.0,,2.0,,1.0,1.0,,,2.0,,1.0,1.0,0.0,1.0,3.0,,2.0,,1.0,4.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Curaçao,6svx5u21jrcch3ewpqqbxukmh,J. Bacuna,Midfielder,7,7.0,,2.0,34.0,4.0,,13.0,7.0,2.0,2.0,34.0,11.0,18.0,3.0,,13.0,,,8.0,4.0,180.0,2.0,,11.0,16.0,43.0,4.0,29.0,1.0,,3.0,8.0,4.0,36.0,3.0,2.0,1.0,10.0,2.0,36.0,5.0,102.0,45.0,9.0,4.0,2.0,16.0,36.0,27.0,10.0,20.0,,,4.0,,9.0,4.0,0.0,1.0,5.0,2.0,1.0,,3.0,1.0,3.0,1.0,,,,,7.0,,,,,4.0,1.0,,4.0,,2.0,3.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Curaçao,9080840ngisugqraum27d0us5,L. Bacuna,Defender,10,1.0,,2.0,86.0,,2.0,3.0,1.0,8.0,2.0,83.0,33.0,31.0,1.0,1.0,49.0,,1.0,15.0,2.0,150.0,2.0,,14.0,4.0,100.0,11.0,7.0,,,1.0,30.0,,90.0,2.0,2.0,1.0,7.0,2.0,24.0,4.0,128.0,109.0,19.0,,,4.0,8.0,41.0,10.0,4.0,2.0,,3.0,2.0,1.0,2.0,0.0,1.0,8.0,4.0,1.0,2.0,4.0,,,,,,,,2.0,,,,,,2.0,,1.0,1.0,,3.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Curaçao,eola3wwbcxl6yeigrj16a3otm,T. Bodak,Goalkeeper,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Curaçao,6p4fs5rivwt0e45twlsf6ajth,J. Brenet,Defender,20,2.0,16.0,4.0,39.0,,,5.0,3.0,7.0,2.0,41.0,2.0,28.0,2.0,,28.0,,,6.0,1.0,180.0,2.0,,20.0,7.0,65.0,11.0,7.0,3.0,1.0,2.0,33.0,1.0,45.0,2.0,1.0,,12.0,2.0,31.0,4.0,105.0,69.0,24.0,1.0,1.0,2.0,10.0,18.0,10.0,3.0,,,3.0,1.0,1.0,2.0,0.0,2.0,13.0,6.0,3.0,,8.0,1.0,,4.0,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Curaçao,d9ewnngnsfc0s4hcs282hayhg,L. Comenencia,Defender,8,11.0,,2.0,56.0,5.0,1.0,15.0,15.0,6.0,3.0,59.0,14.0,28.0,6.0,1.0,38.0,,,16.0,4.0,264.0,3.0,,17.0,24.0,82.0,18.0,30.0,,3.0,9.0,24.0,2.0,59.0,1.0,5.0,,15.0,3.0,41.0,8.0,137.0,82.0,23.0,6.0,1.0,15.0,45.0,21.0,10.0,21.0,,,,3.0,6.0,3.0,0.0,2.0,5.0,3.0,3.0,5.0,,,1.0,,,,,,7.0,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Curaçao,1evsz02au0pu4a1tmzn5s27hm,T. Doornbusch,Goalkeeper,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Curaçao,5cvstzkb7l1zxapx0dt4zjkoa,K. Felida,Midfielder,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Curaçao,4phgw75cred5p93hjq8hiou6t,S. Floranus,Defender,5,6.0,12.0,11.0,97.0,3.0,1.0,10.0,6.0,7.0,3.0,110.0,54.0,62.0,3.0,,74.0,,1.0,14.0,3.0,270.0,3.0,,16.0,13.0,129.0,12.0,19.0,4.0,,3.0,7.0,3.0,118.0,,,1.0,12.0,3.0,44.0,3.0,209.0,137.0,19.0,3.0,3.0,9.0,25.0,44.0,10.0,12.0,,,4.0,,4.0,1.0,0.0,2.0,7.0,21.0,3.0,6.0,4.0,13.0,2.0,1.0,,,,,4.0,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2025 USA - Canada,Curaçao,9787nemt11c372uird332d13p,J. Gaari,Defender,3,4.0,10.0,11.0,124.0,2.0,,10.0,9.0,8.0,3.0,135.0,6.0,83.0,2.0,2.0,92.0,,,16.0,5.0,263.0,3.0,,22.0,16.0,164.0,23.0,17.0,1.0,,6.0,63.0,3.0,139.0,4.0,,1.0,18.0,3.0,37.0,7.0,226.0,168.0,29.0,3.0,3.0,7.0,26.0,47.0,10.0,10.0,1.0,,1.0,1.0,3.0,3.0,0.0,1.0,6.0,15.0,2.0,8.0,2.0,,,2.0,,,,,3.0,,,,,,,,1.0,2.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
