root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Total Touches In Opposition Box,Unsuccessful Launches,Ground Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Total Passes,Substitute On,Unsuccessful Crosses & Corners,Open Play Passes,Total Tackles,Goals Conceded,Successful Dribbles,Successful Crosses open play,Index,Successful Open Play Passes,Rightside Passes,Shots On Target ( inc goals ),Time Played,PutThrough/Blocked Distribution Won,Ground Duels won,Throw Ins to Opposition Player,Foul Attempted Tackle,Successful Passes Opposition Half,Total Losses Of Possession,Duels,Times Tackled,Forward Passes,Tackles Lost,Unsuccessful Short Passes,Leftside Passes,Unsuccessful lay-offs,Duels lost,Tackles Won,Touches,Unsuccessful Passes Own Half,Shots Off Target (inc woodwork),Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Shots,Appearances,Total Fouls Won,Starts,Unsuccessful Long Passes,Throw Ins to Own Player,Successful Launches,Unsuccessful Dribbles,PutThrough/Blocked Distribution,Unsuccessful Crosses open play,Hit Woodwork,Goals Conceded Inside Box,Games Played,Duels won,Unsuccessful Passes Opposition Half,Substitute Off,Successful Long Passes,Successful Lay-offs,Total Clearances,Successful Short Passes,Successful Crosses & Corners,Goals Conceded Outside Box,Aerial Duels lost,Aerial Duels won,Recoveries,Ground Duels lost,Aerial Duels,Total Fouls Conceded,Backward Passes,Overruns,Corners Won,Successful Passes Own Half,Winning Goal,Offsides,Red Cards - 2nd Yellow,Total Red Cards,Key Passes (Attempt Assists),Through balls,Goal Kicks,GK Successful Distribution,Interceptions,Yellow Cards,Second Goal Assists,Successful Corners into Box,Corners Taken (incl short corners),Blocked Shots,Handballs conceded,Clean Sheets,Unsuccessful Corners into Box,Goal Assists,Goals,Assists (Intentional),Goals from Inside Box,Penalty Goals,Left Foot Goals,Penalties Taken,Home Goals,Away Goals,Blocks,Attempts from Set Pieces,Foul Won Penalty,Straight Red Cards,Right Foot Goals,Last Player Tackle,Clearances Off the Line,Goals from Outside Box,Headed Goals,Saves made - parried,Saves Made from Outside Box,Saves made - caught,Drops,Catches,Saves Made from Inside Box,Saves Made,GK Unsuccessful Distribution,Crosses not Claimed,Punches,Set Pieces Goals,Goalkeeper Smother,Penalties Conceded,Penalties Saved,Saves from Penalty,Penalties Faced,Penalty Goals Conceded,Other Goals,Own Goal Scored
testeo_ligas_norteamerica,USA_USL_Cup,2024,Central Valley Fuego FC,Central_Valley_Fuego_FC,14mioehew12zyrf4ncpzbqe3t,A. Apollon,Defender,3,9.0,2.0,35.0,67.0,88.0,3.0,11.0,88.0,3.0,7.0,11.0,5.0,10.0,67.0,28.0,1.0,387.0,4.0,16.0,6.0,4.0,37.0,61.0,50.0,14.0,23.0,1.0,18.0,8.0,1.0,30.0,2.0,186.0,6.0,1.0,21.0,2.0,8.0,2.0,5.0,3.0,20.0,1.0,6.0,7.0,11.0,1.0,5.0,8.0,20.0,26.0,5.0,5.0,3.0,7.0,62.0,5.0,2.0,11.0,4.0,16.0,19.0,15.0,4.0,29.0,2.0,3.0,35.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Central Valley Fuego FC,Central_Valley_Fuego_FC,6oo4nkcr7cny8udddlpy4nkr9,D. Benson,Forward,0,13.0,1.0,5.0,19.0,28.0,1.0,,24.0,,2.0,,,10.0,15.0,5.0,2.0,219.0,,1.0,,,10.0,16.0,35.0,1.0,9.0,,8.0,4.0,1.0,19.0,,48.0,1.0,4.0,9.0,6.0,3.0,1.0,2.0,1.0,1.0,,1.0,,,,1.0,3.0,16.0,8.0,1.0,,1.0,3.0,19.0,,1.0,15.0,15.0,1.0,4.0,30.0,3.0,10.0,1.0,1.0,9.0,0.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Central Valley Fuego FC,Central_Valley_Fuego_FC,b5pudmctr0v4lqa2ezg6gxld6,B. Bustamante,Defender,24,1.0,6.0,8.0,107.0,126.0,1.0,,115.0,2.0,3.0,,,10.0,97.0,49.0,1.0,195.0,,4.0,,,20.0,19.0,19.0,,42.0,1.0,7.0,25.0,,7.0,1.0,148.0,6.0,,19.0,1.0,4.0,2.0,3.0,12.0,,1.0,,2.0,,,2.0,4.0,12.0,13.0,3.0,10.0,,11.0,97.0,,1.0,3.0,8.0,10.0,4.0,11.0,4.0,10.0,,,87.0,0.0,,,,1.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Central Valley Fuego FC,Central_Valley_Fuego_FC,eecchw0xji02pxoauns30bm5l,J. Carrera,Midfielder,10,7.0,4.0,23.0,130.0,164.0,4.0,7.0,156.0,3.0,7.0,1.0,1.0,10.0,124.0,48.0,1.0,351.0,3.0,11.0,,2.0,87.0,48.0,31.0,3.0,58.0,,24.0,30.0,,17.0,3.0,213.0,8.0,1.0,34.0,2.0,7.0,7.0,3.0,10.0,,2.0,3.0,10.0,1.0,,6.0,7.0,14.0,33.0,2.0,6.0,5.0,,124.0,6.0,1.0,5.0,3.0,11.0,12.0,8.0,5.0,28.0,,,49.0,0.0,,,,12.0,1.0,,,4.0,1.0,1.0,4.0,10.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Central Valley Fuego FC,Central_Valley_Fuego_FC,4q7bu47s9f4g4jksuq5x74sus,T. Chalmers,Midfielder,26,,,,,,1.0,,,,,,,10.0,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Central Valley Fuego FC,Central_Valley_Fuego_FC,c4g35kho1qirnu4q420knnl9m,R. Coronado,Defender,21,6.0,,32.0,108.0,132.0,,8.0,127.0,5.0,8.0,6.0,,10.0,103.0,30.0,6.0,378.0,,20.0,,2.0,55.0,44.0,34.0,8.0,30.0,1.0,20.0,46.0,1.0,13.0,4.0,194.0,7.0,6.0,24.0,12.0,5.0,9.0,5.0,4.0,,,4.0,5.0,3.0,,5.0,5.0,21.0,25.0,2.0,4.0,1.0,3.0,104.0,2.0,3.0,1.0,1.0,17.0,12.0,2.0,3.0,26.0,,3.0,55.0,0.0,,,,2.0,,,,2.0,1.0,,2.0,5.0,,,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Central Valley Fuego FC,Central_Valley_Fuego_FC,8apse4x8vm0e139szr8n1ntka,A. Cromwell,Defender,4,7.0,17.0,32.0,162.0,220.0,4.0,6.0,208.0,8.0,7.0,3.0,,10.0,153.0,62.0,4.0,428.0,3.0,18.0,4.0,4.0,61.0,81.0,40.0,5.0,125.0,3.0,21.0,6.0,,16.0,5.0,311.0,19.0,2.0,58.0,6.0,8.0,7.0,4.0,37.0,12.0,6.0,3.0,8.0,6.0,,6.0,8.0,24.0,45.0,,25.0,,9.0,137.0,,1.0,2.0,6.0,34.0,14.0,8.0,6.0,27.0,1.0,2.0,101.0,0.0,1.0,,,,,1.0,1.0,4.0,2.0,,,,2.0,,1.0,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Central Valley Fuego FC,Central_Valley_Fuego_FC,4mrcwdc6kac651lpgxt14g44p,M. Dabo,Midfielder,6,,1.0,12.0,116.0,132.0,4.0,,130.0,3.0,2.0,2.0,,10.0,114.0,38.0,,191.0,1.0,7.0,,1.0,46.0,18.0,19.0,2.0,42.0,2.0,13.0,34.0,,9.0,1.0,158.0,2.0,,16.0,,5.0,2.0,1.0,3.0,,2.0,,1.0,,,2.0,5.0,10.0,14.0,,8.0,1.0,8.0,108.0,,,4.0,3.0,14.0,5.0,7.0,3.0,18.0,,,70.0,0.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Central Valley Fuego FC,Central_Valley_Fuego_FC,5vx2i1evxiyhn6uckep9b5no4,K. Garcia,Midfielder,34,,,3.0,7.0,9.0,1.0,,9.0,2.0,,,,10.0,7.0,4.0,,16.0,,2.0,,,7.0,4.0,3.0,1.0,4.0,1.0,2.0,1.0,,1.0,1.0,14.0,,,2.0,,1.0,,,,,,,,,,,1.0,2.0,2.0,,,,,7.0,,,,,,1.0,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Central Valley Fuego FC,Central_Valley_Fuego_FC,agb5ejb8r7v610orc1gunaq96,E. Gómez,Defender,16,3.0,1.0,13.0,24.0,34.0,,7.0,31.0,5.0,1.0,,,10.0,21.0,12.0,,128.0,,6.0,,1.0,14.0,21.0,14.0,2.0,12.0,3.0,7.0,3.0,,8.0,2.0,62.0,2.0,1.0,10.0,1.0,2.0,1.0,2.0,3.0,5.0,,,3.0,4.0,,,2.0,6.0,15.0,2.0,1.0,,1.0,23.0,1.0,1.0,1.0,,7.0,7.0,1.0,1.0,7.0,,,11.0,0.0,,,,2.0,,,,1.0,,,1.0,3.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
