matchday,id,equipo_local,link_local,equipo_visitante,link_visitante,link_partido,date,season,liga,source
Matchday 1,dkjtx58p1grx46g8nl86m4p3o,Atlético,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/dn8tjhuq0bax4dgixqvluhzze,Wanderers,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/5gmx3o5y2oc0i6rowjwtu7jvu,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/match/view/dkjtx58p1grx46g8nl86m4p3o,05/04/2025,2025,Canada_Canadian_Premier_League,results
Matchday 1,dl6jo0hjgkbyhknuzkvcw48wk,Forge,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/c2pdzdl3dgf5b0siidn2ay5ii,Cavalry,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/41ewt71n8fqwy6trsqta1bjvu,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/match/view/dl6jo0hjgkbyhknuzkvcw48wk,05/04/2025,2025,Canada_Canadian_Premier_League,results
Matchday 1,dlpw1dfmxth8tzgdri7nn9bmc,Pacific,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/b3436h8h14zw7f1uv6w9vqf6y,Valour,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/dd2vf0yzjm7jm7cak9tf11sa2,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/match/view/dlpw1dfmxth8tzgdri7nn9bmc,06/04/2025,2025,Canada_Canadian_Premier_League,results
Matchday 1,dm93pzr79ukj0tddx052wxses,Vancouver,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/634fcc7n5o5gzu05biddx8yl0,Inter Toronto,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/cqthcpums3aas2tdy0qhlkuwa,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/match/view/dm93pzr79ukj0tddx052wxses,07/04/2025,2025,Canada_Canadian_Premier_League,results
Matchday 2,1fp3h2zxu5fav9zqyh9awlo9g,Pacific,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/b3436h8h14zw7f1uv6w9vqf6y,Forge,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/c2pdzdl3dgf5b0siidn2ay5ii,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/match/view/1fp3h2zxu5fav9zqyh9awlo9g,12/04/2025,2025,Canada_Canadian_Premier_League,results
Matchday 2,dmp7gockvs8a4ubsz3js7yeqc,Inter Toronto,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/cqthcpums3aas2tdy0qhlkuwa,Wanderers,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/5gmx3o5y2oc0i6rowjwtu7jvu,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/match/view/dmp7gockvs8a4ubsz3js7yeqc,13/04/2025,2025,Canada_Canadian_Premier_League,results
Matchday 2,1g9g7m91xxu7we4cj2vxocs9g,Vancouver,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/634fcc7n5o5gzu05biddx8yl0,Atlético,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/dn8tjhuq0bax4dgixqvluhzze,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/match/view/1g9g7m91xxu7we4cj2vxocs9g,14/04/2025,2025,Canada_Canadian_Premier_League,results
Matchday 3,1gpnfeuxnqpdn56l350ql6jo4,Atlético,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/dn8tjhuq0bax4dgixqvluhzze,Inter Toronto,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/cqthcpums3aas2tdy0qhlkuwa,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/match/view/1gpnfeuxnqpdn56l350ql6jo4,19/04/2025,2025,Canada_Canadian_Premier_League,results
Matchday 3,dn5hphgk6uhp9s6isvsa6e6fo,Cavalry,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/41ewt71n8fqwy6trsqta1bjvu,Vancouver,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/634fcc7n5o5gzu05biddx8yl0,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/match/view/dn5hphgk6uhp9s6isvsa6e6fo,19/04/2025,2025,Canada_Canadian_Premier_League,results
Matchday 3,dnlvyrviuymxvlo7tv9kgyj9w,Wanderers,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/5gmx3o5y2oc0i6rowjwtu7jvu,Pacific,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/b3436h8h14zw7f1uv6w9vqf6y,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/match/view/dnlvyrviuymxvlo7tv9kgyj9w,19/04/2025,2025,Canada_Canadian_Premier_League,results
Matchday 3,1h5c75ryg7iga9c9jz7zqm7mc,Forge,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/c2pdzdl3dgf5b0siidn2ay5ii,Valour,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/dd2vf0yzjm7jm7cak9tf11sa2,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/match/view/1h5c75ryg7iga9c9jz7zqm7mc,20/04/2025,2025,Canada_Canadian_Premier_League,results
Matchday 4,1hlnbziaznawdhm6z6r2ftbf8,Cavalry,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/41ewt71n8fqwy6trsqta1bjvu,Atlético,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/dn8tjhuq0bax4dgixqvluhzze,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/match/view/1hlnbziaznawdhm6z6r2ftbf8,26/04/2025,2025,Canada_Canadian_Premier_League,results
Matchday 4,do3hqdml126t896jt2dfxfl78,Valour,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/dd2vf0yzjm7jm7cak9tf11sa2,Wanderers,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/teams/view/5gmx3o5y2oc0i6rowjwtu7jvu,https://www.scoresway.com/en_GB/soccer/canadian-premier-league-2025/110qulr80h8ail8rgwi0o7x0/match/view/do3hqdml126t896jt2dfxfl78,26/04/2025,2025,Canada_Canadian_Premier_League,results
