liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,GK Successful Distribution,Games Played,Goal Kicks,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Index,Interceptions,Last Player Tackle,Leftside Passes,Open Play Passes,Penalties Conceded,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Starts,Substitute Off,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Launches,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Winning Goal,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Corners Won,Goal Assists,Goals,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Headed Goals,Hit Woodwork,Key Passes (Attempt Assists),Left Foot Goals,Offsides,Overruns,Penalties Taken,Penalty Goals,Right Foot Goals,Second Goal Assists,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Successful Corners into Box,Successful Dribbles,Successful Lay-offs,Times Tackled,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Total Shots,Unsuccessful Corners into Box,Unsuccessful Dribbles,Unsuccessful lay-offs,Home Goals,Away Goals,Foul Won Penalty,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Total Big Chances Saved,Saves made - caught,Clearances Off the Line,Own Goal Scored,Red Cards - 2nd Yellow,Total Red Cards,Penalties Saved,Saves from Penalty,Set Pieces Goals,Other Goals,Crosses not Claimed,Straight Red Cards,Direct Corner Goals,Direct Setpiece Goals,Penalties Off Target
USA_MLS,2025,Charlotte FC,czazwj4nt23bydpdi67i0wga2,L. Abada,Forward,11,18.0,16.0,2.0,34.0,158.0,10.0,2.0,214.0,1.0,150.0,92.0,58.0,66.0,122.0,4.0,,34.0,,25.0,22.0,3.0,132.0,76.0,56.0,3.0,10.0,5.0,,122.0,463.0,1.0,2.0,122.0,29.0,11.0,69.0,61.0,18.0,17.0,16.0,6.0,6.0,,10.0,367.0,271.0,102.0,357.0,12.0,17.0,,,4.0,1560.0,7.0,12.0,17.0,201.0,463.0,367.0,29.0,82.0,96.0,730.0,25.0,25.0,2.0,6.0,101.0,20.0,90.0,1.0,2.0,1.0,,,13.0,1.0,5.0,5.0,5.0,,,,26.0,,4.0,1.0,,,5.0,1.0,20.0,16.0,,10.0,4.0,50.0,6.0,8.0,4.0,36.0,,24.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Charlotte FC,8vzvcjbccc5skj9e7n5f6vd3o,P. Agyemang,Forward,33,40.0,21.0,19.0,16.0,90.0,5.0,,104.0,1.0,164.0,90.0,74.0,,30.0,7.0,,16.0,,21.0,20.0,1.0,124.0,69.0,55.0,,10.0,2.0,,37.0,181.0,,3.0,65.0,10.0,5.0,22.0,53.0,15.0,13.0,1.0,,,,4.0,133.0,107.0,55.0,158.0,2.0,4.0,1.0,,,1238.0,15.0,25.0,35.0,133.0,210.0,162.0,6.0,88.0,48.0,435.0,1.0,1.0,,,43.0,6.0,48.0,3.0,0.0,,,,11.0,1.0,6.0,4.0,6.0,,1.0,,18.0,1.0,7.0,4.0,1.0,1.0,4.0,,12.0,18.0,,14.0,12.0,41.0,6.0,6.0,5.0,30.0,,19.0,4.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Charlotte FC,6f2f519kxin4bqo4gco4lby1g,A. Goodwin,Forward,7,10.0,7.0,3.0,9.0,2.0,,,6.0,,16.0,11.0,5.0,18.0,10.0,1.0,,9.0,,2.0,2.0,,6.0,4.0,2.0,,10.0,,,4.0,22.0,,,6.0,1.0,,1.0,6.0,,,9.0,,,,,12.0,8.0,4.0,12.0,1.0,1.0,,,,92.0,,3.0,,21.0,22.0,12.0,2.0,8.0,10.0,41.0,,,1.0,1.0,8.0,2.0,9.0,1.0,0.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,2.0,,,,1.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Charlotte FC,9ohy24mxhsqao5kymh0lbxxck,N. Berchimas,Forward,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Charlotte FC,240d7z6v0gx52zf59ntaa2aqd,Pep Biel,Midfielder,16,27.0,21.0,6.0,26.0,176.0,8.0,,221.0,,194.0,137.0,57.0,18.0,198.0,13.0,,26.0,,33.0,29.0,4.0,167.0,116.0,51.0,,10.0,16.0,,172.0,630.0,,4.0,92.0,31.0,13.0,60.0,114.0,24.0,14.0,2.0,17.0,4.0,1.0,33.0,505.0,387.0,162.0,499.0,3.0,15.0,16.0,2.0,4.0,2018.0,8.0,27.0,14.0,314.0,660.0,532.0,18.0,69.0,128.0,1039.0,62.0,21.0,2.0,15.0,169.0,21.0,113.0,4.0,6.0,11.0,4.0,51.0,10.0,11.0,10.0,10.0,9.0,1.0,,1.0,37.0,8.0,1.0,2.0,,,2.0,1.0,24.0,23.0,11.0,19.0,23.0,75.0,25.0,4.0,4.0,47.0,34.0,35.0,6.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Charlotte FC,cqx2x7351ie20giqha8hd5djp,D. Bingham,Goalkeeper,22,,,,2.0,,,,9.0,1.0,,,,,26.0,,18.0,2.0,14.0,2.0,1.0,1.0,,,,,10.0,,,14.0,34.0,,,4.0,,,17.0,14.0,2.0,,,,,1.0,5.0,26.0,2.0,37.0,34.0,,,,,,180.0,1.0,,,15.0,54.0,39.0,,,15.0,76.0,,,7.0,15.0,12.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,4.0,,,,9.0,6.0,3.0,1.0,,,,,,,,,,,,,,,
USA_MLS,2025,Charlotte FC,ahsgqqn4mjj7isq2x0fdkl49,B. Bronico,Midfielder,13,38.0,22.0,16.0,34.0,200.0,4.0,12.0,206.0,5.0,213.0,128.0,85.0,84.0,272.0,25.0,,34.0,,34.0,31.0,3.0,175.0,106.0,69.0,,10.0,31.0,,203.0,889.0,,4.0,97.0,36.0,18.0,81.0,231.0,31.0,21.0,3.0,8.0,8.0,4.0,31.0,733.0,444.0,313.0,718.0,13.0,32.0,,1.0,,2554.0,39.0,54.0,12.0,235.0,906.0,749.0,45.0,56.0,157.0,1220.0,14.0,14.0,27.0,41.0,130.0,41.0,116.0,10.0,0.0,2.0,,,9.0,3.0,2.0,2.0,1.0,1.0,,1.0,10.0,,5.0,,,,1.0,1.0,12.0,5.0,,12.0,28.0,33.0,4.0,4.0,2.0,17.0,,14.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,
USA_MLS,2025,Charlotte FC,2q032302ebdlpcuytftf5vpp1,N. Byrne,Defender,14,25.0,12.0,13.0,20.0,180.0,,7.0,179.0,9.0,129.0,57.0,72.0,144.0,343.0,5.0,,20.0,,18.0,17.0,1.0,104.0,45.0,59.0,,10.0,10.0,,212.0,860.0,,4.0,100.0,30.0,8.0,61.0,156.0,20.0,1.0,,10.0,10.0,8.0,62.0,714.0,372.0,380.0,680.0,11.0,19.0,,26.0,163.0,1798.0,55.0,10.0,20.0,267.0,891.0,742.0,30.0,7.0,149.0,1367.0,47.0,47.0,35.0,62.0,160.0,36.0,87.0,4.0,1.0,,,,5.0,,,,,,,,8.0,,,1.0,,,,,,,,9.0,1.0,18.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Charlotte FC,29rxabx4plofa06zgwuxlejca,D. Callender,Goalkeeper,12,,,,3.0,,,,8.0,,,,,,34.0,,18.0,3.0,9.0,5.0,5.0,,,,,,10.0,,,13.0,42.0,,,1.0,,,19.0,9.0,2.0,,1.0,,,4.0,16.0,31.0,4.0,37.0,25.0,,,,,,184.0,3.0,,,15.0,56.0,41.0,,,15.0,78.0,,,7.0,11.0,5.0,10.0,4.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,8.0,7.0,1.0,1.0,,,,,,,,,,,,,,,
USA_MLS,2025,Charlotte FC,603sxl8xsij9kep03px6s85m2,B. Cambridge,Forward,36,2.0,2.0,,2.0,1.0,,,2.0,,2.0,2.0,,8.0,,,,2.0,,,,,,,,,10.0,,,3.0,4.0,,,2.0,,,,,,,2.0,1.0,1.0,,,4.0,5.0,,4.0,,,,,1.0,5.0,,,,3.0,4.0,4.0,,1.0,,10.0,1.0,1.0,,,1.0,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
