liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Appearances,Leftside Passes,Total Passes,Unsuccessful Short Passes,Total Losses Of Possession,Forward Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Open Play Passes,Rightside Passes,Successful Passes Own Half,Unsuccessful Long Passes,Open Play Passes,Starts,Total Successful Passes ( Excl Crosses & Corners ) ,Time Played,Saves Made from Inside Box,Total Clearances,Touches,Index,Penalties Faced,Punches,Recoveries,Unsuccessful Passes Own Half,Goals Conceded,Saves Made from Outside Box,Successful Short Passes,Goals Conceded Inside Box,Saves Made,Unsuccessful Passes Opposition Half,GK Successful Distribution,Unsuccessful Launches,Penalty Goals Conceded,Saves made - parried,Home Goals,Away Goals,Winning Goal,Total Tackles,Foul Attempted Tackle,Ground Duels,Duels,Successful Passes Opposition Half,Times Tackled,Unsuccessful Dribbles,PutThrough/Blocked Distribution Won,Duels won,Ground Duels won,Duels lost,Successful Dribbles,Tackles Won,Total Fouls Won,Total Fouls Conceded,Ground Duels lost,Backward Passes,PutThrough/Blocked Distribution,Successful Long Passes,Aerial Duels,Interceptions,Aerial Duels lost,Throw Ins to Own Player,Aerial Duels won,Handballs conceded,Unsuccessful lay-offs,Throw Ins to Opposition Player,Tackles Lost,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Total Touches In Opposition Box,Successful Launches,Blocks,Penalties Conceded,Offsides,Blocked Shots,Key Passes (Attempt Assists),Right Foot Goals,Total Shots,Shots On Target ( inc goals ),Goals from Inside Box,GK Unsuccessful Distribution,Successful Crosses & Corners,Successful Lay-offs,Successful Crosses open play,Shots Off Target (inc woodwork),Goals from Outside Box,Assists (Intentional),Attempts from Set Pieces,Corners Won,Left Foot Goals,Overruns,Goal Assists,Clean Sheets,Goalkeeper Smother,Saves made - caught,Goal Kicks,Drops,Catches,Unsuccessful Corners into Box,Corners Taken (incl short corners),Headed Goals,Hit Woodwork,Foul Won Penalty,Successful Corners into Box,Penalties Taken,Penalty Goals,Through balls,Second Goal Assists,Saves from Penalty,Penalties Saved,Goals Conceded Outside Box,Own Goal Scored,Clearances Off the Line,Penalties Off Target,Set Pieces Goals
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Panama,dg2scgqi9fb7fa7bjhm8kq21,A. Andrade,Defender,0.0,11.0,1.0,,,,,,1.0,11.0,86.0,582.0,49.0,115.0,261.0,101.0,459.0,200.0,322.0,52.0,555.0,11.0,481.0,938.0,,26.0,701.0,52.0,,,48.0,41.0,13.0,,418.0,13.0,,60.0,,29.0,3.0,,0.0,1.0,1.0,15.0,6.0,51.0,92.0,159.0,3.0,1.0,3.0,55.0,28.0,37.0,6.0,6.0,7.0,13.0,23.0,35.0,6.0,63.0,41.0,18.0,14.0,3.0,27.0,,,1.0,9.0,,,4.0,10.0,4.0,,,1.0,1.0,,3.0,1.0,,,,,,2.0,1.0,,,2.0,1.0,,1.0,3.0,,,,,,,,,,,,,,1.0,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Panama,bggytx486pqcpjadyeck32qc5,A. Ariano,Defender,0.0,2.0,1.0,,,,,2.0,,2.0,7.0,31.0,3.0,5.0,12.0,4.0,26.0,8.0,21.0,1.0,29.0,,27.0,59.0,,5.0,47.0,92.0,,,4.0,1.0,1.0,,25.0,1.0,,3.0,,1.0,,,1.0,0.0,1.0,,,3.0,11.0,6.0,1.0,,,8.0,2.0,3.0,,,2.0,1.0,1.0,4.0,,2.0,8.0,3.0,2.0,4.0,6.0,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Panama,ezylib4dbjl18dxa8nj7djso9,A. Ayarza,Midfielder,0.0,10.0,,,,,,9.0,1.0,10.0,24.0,74.0,14.0,39.0,27.0,19.0,54.0,13.0,24.0,5.0,73.0,1.0,55.0,238.0,,7.0,127.0,52.0,,,18.0,5.0,4.0,,52.0,4.0,,16.0,,2.0,1.0,,0.0,0.0,0.0,7.0,7.0,31.0,45.0,32.0,8.0,2.0,1.0,18.0,11.0,27.0,1.0,4.0,3.0,8.0,20.0,10.0,3.0,3.0,14.0,2.0,7.0,,7.0,,1.0,,3.0,2.0,2.0,5.0,,2.0,1.0,,1.0,3.0,,2.0,,,,1.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Panama,2qgum5tkljfe4v74p2iu9fzyt,R. Blackburn,Forward,0.0,14.0,4.0,1.0,,,,3.0,9.0,14.0,18.0,119.0,33.0,59.0,30.0,37.0,60.0,24.0,40.0,4.0,97.0,11.0,82.0,799.0,,7.0,187.0,77.0,,,13.0,8.0,11.0,,81.0,11.0,,29.0,,3.0,3.0,,2.0,2.0,0.0,4.0,2.0,40.0,97.0,42.0,11.0,7.0,1.0,44.0,18.0,53.0,3.0,3.0,13.0,12.0,22.0,47.0,4.0,1.0,57.0,1.0,31.0,,26.0,1.0,,,1.0,,,23.0,,,,5.0,3.0,4.0,2.0,8.0,5.0,4.0,,,2.0,,3.0,,1.0,,2.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Panama,78rxvyelnj7orbbzs4u1fghrd,C. Blackman,Defender,0.0,3.0,,,,,,3.0,,3.0,11.0,27.0,3.0,8.0,7.0,3.0,24.0,1.0,9.0,,27.0,,24.0,94.0,,,41.0,22.0,,,4.0,1.0,3.0,,24.0,3.0,,3.0,,,,,0.0,0.0,0.0,2.0,,10.0,14.0,16.0,4.0,2.0,1.0,6.0,4.0,8.0,1.0,2.0,1.0,2.0,6.0,8.0,1.0,,4.0,1.0,2.0,1.0,2.0,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Panama,2ox9r6ckrkehlocymzgik5o0l,O. Browne,Midfielder,0.0,2.0,,,,,,1.0,1.0,2.0,18.0,38.0,6.0,11.0,10.0,7.0,31.0,4.0,5.0,1.0,38.0,1.0,31.0,90.0,,,58.0,80.0,,,7.0,2.0,2.0,,29.0,2.0,,5.0,,1.0,,,0.0,0.0,0.0,1.0,1.0,8.0,9.0,26.0,3.0,2.0,3.0,5.0,4.0,4.0,1.0,1.0,2.0,1.0,4.0,6.0,5.0,2.0,1.0,1.0,,2.0,1.0,,,,,,,6.0,1.0,,,,1.0,,,3.0,2.0,,,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Panama,1fz6kqbr8i7sunii6wymjkonp,Y. Bárcenas,Forward,0.0,14.0,,,,,,1.0,7.0,14.0,78.0,363.0,57.0,194.0,114.0,72.0,282.0,80.0,71.0,15.0,354.0,13.0,291.0,1057.0,,2.0,599.0,42.0,,,50.0,9.0,14.0,,278.0,14.0,,107.0,,7.0,4.0,,0.0,0.0,0.0,11.0,9.0,107.0,137.0,227.0,32.0,14.0,5.0,62.0,49.0,75.0,12.0,9.0,27.0,15.0,58.0,91.0,15.0,13.0,30.0,5.0,17.0,6.0,13.0,,,1.0,2.0,44.0,23.0,23.0,,,,4.0,8.0,8.0,,17.0,11.0,,,7.0,4.0,3.0,6.0,,,2.0,17.0,,,,2.0,,,,,,17.0,22.0,,,,2.0,1.0,,1.0,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Panama,c21xh2oxjdfa87y0gevaumqc5,J. Calderón,Goalkeeper,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Panama,6qfn3y69qpd9vvyr069ry8n2t,M. Camargo,Midfielder,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2022 Qatar,Panama,6knzu4ywl5yag1h8ij16g2rqh,A. Carrasquilla,Midfielder,0.0,13.0,,2.0,,,,1.0,8.0,13.0,97.0,433.0,68.0,129.0,163.0,94.0,333.0,115.0,123.0,26.0,425.0,12.0,339.0,936.0,,7.0,554.0,29.0,,,66.0,15.0,11.0,,308.0,11.0,,84.0,,7.0,4.0,,0.0,0.0,0.0,10.0,12.0,69.0,80.0,218.0,12.0,5.0,5.0,40.0,33.0,40.0,8.0,9.0,15.0,20.0,36.0,58.0,13.0,31.0,11.0,9.0,4.0,2.0,7.0,,,,1.0,5.0,4.0,6.0,5.0,1.0,,,3.0,6.0,,12.0,1.0,,,2.0,1.0,1.0,11.0,,1.0,,1.0,,,1.0,2.0,,,,,,1.0,2.0,,1.0,,1.0,,,3.0,,,,,,,,
