liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Forward Passes,Unsuccessful Passes Opposition Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Time Played,Successful Short Passes,Unsuccessful Passes Own Half,Duels,Touches,Duels won,Corners Won,Unsuccessful Long Passes,Successful Passes Opposition Half,Ground Duels won,Times Tackled,Duels lost,Recoveries,Unsuccessful Short Passes,Total Tackles,Tackles Won,Total Passes,Leftside Passes,Ground Duels,Throw Ins to Own Player,Ground Duels lost,Total Losses Of Possession,Index,Total Successful Passes ( Excl Crosses & Corners ) ,Appearances,Home Goals,Away Goals,Winning Goal,Aerial Duels lost,Shots On Target ( inc goals ),Foul Won Penalty,Successful Lay-offs,Unsuccessful Crosses open play,Successful Passes Own Half,Unsuccessful Crosses & Corners,Unsuccessful Dribbles,Successful Open Play Passes,Goals Conceded,Right Foot Goals,Rightside Passes,Unsuccessful lay-offs,Interceptions,Offsides,Successful Dribbles,Shots Off Target (inc woodwork),Penalty Goals Conceded,Goals from Inside Box,Total Fouls Won,Goals Conceded Inside Box,Open Play Passes,Through balls,Starts,Aerial Duels won,Blocked Shots,Key Passes (Attempt Assists),Goals Conceded Outside Box,Total Shots,Successful Long Passes,Total Clearances,Total Fouls Conceded,Backward Passes,Aerial Duels,Handballs conceded,Attempts from Set Pieces,Successful Crosses & Corners,Corners Taken (incl short corners),Unsuccessful Launches,Second Goal Assists,Successful Crosses open play,Penalties Taken,Throw Ins to Opposition Player,Penalty Goals,Tackles Lost,Headed Goals,Goals from Outside Box,Left Foot Goals,Clean Sheets,Successful Launches,Blocks,Goal Assists,Assists (Intentional),Hit Woodwork,Total Touches In Opposition Box,Unsuccessful Corners into Box,Penalties Conceded,Successful Corners into Box,Set Pieces Goals,Last Man Tackle,Own Goal Scored,Catches,Saves made - parried,Goalkeeper Smother,Saves Made from Outside Box,GK Successful Distribution,GK Unsuccessful Distribution,Drops,Saves Made from Inside Box,Saves Made,Crosses not Claimed,Punches,Penalties Faced,Saves made - caught,Clearances Off the Line,Penalties Off Target,Other Goals,Saves from Penalty,Penalties Saved
USA_MLS,2011,New York Red Bulls,4695nvcz8lcrklltxvalcizmd,J. Agudelo,Forward,17.0,28.0,6.0,1.0,,,,16.0,2.0,90.0,107.0,97.0,1390.0,350.0,9.0,174.0,740.0,61.0,10.0,3.0,261.0,47.0,74.0,113.0,41.0,94.0,16.0,15.0,459.0,100.0,145.0,2.0,98.0,259.0,43.0,362.0,28.0,5.0,1.0,1.0,15.0,17.0,1.0,17.0,19.0,104.0,19.0,16.0,25.0,19.0,5.0,113.0,6.0,7.0,7.0,9.0,21.0,4.0,6.0,22.0,18.0,36.0,5.0,12.0,14.0,7.0,13.0,1.0,38.0,12.0,8.0,26.0,156.0,29.0,3.0,,3.0,,,,3.0,,,,1.0,1.0,,,3.0,,,2.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,New York Red Bulls,adrwukbnoyoui8wacm52iepxx,C. Albright,Defender,3.0,8.0,,,,,,2.0,2.0,121.0,52.0,51.0,482.0,190.0,9.0,30.0,375.0,19.0,1.0,11.0,93.0,16.0,4.0,11.0,21.0,40.0,7.0,4.0,258.0,71.0,27.0,59.0,11.0,75.0,82.0,207.0,8.0,0.0,0.0,0.0,,,,,10.0,116.0,10.0,,5.0,10.0,,41.0,,9.0,1.0,1.0,1.0,1.0,,8.0,9.0,6.0,1.0,6.0,3.0,,4.0,1.0,1.0,17.0,5.0,4.0,25.0,3.0,,,2.0,,6.0,,2.0,,3.0,,3.0,,,,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,New York Red Bulls,3b1fs1na8bc2u2xm5srqcfget,S. Auvray,Midfielder,25.0,13.0,,,,,,9.0,3.0,63.0,26.0,35.0,523.0,223.0,12.0,41.0,356.0,20.0,,7.0,99.0,18.0,11.0,21.0,48.0,28.0,11.0,8.0,280.0,72.0,38.0,,20.0,63.0,29.0,245.0,13.0,0.0,0.0,0.0,1.0,,,5.0,3.0,147.0,3.0,2.0,,15.0,,83.0,,11.0,,1.0,2.0,3.0,,6.0,13.0,,,4.0,2.0,5.0,3.0,2.0,2.0,22.0,11.0,8.0,62.0,3.0,1.0,,1.0,,6.0,,1.0,,,,3.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,New York Red Bulls,8nm049qk766x4uylmtbtwmtw5,M. Ballouchy,Midfielder,10.0,32.0,2.0,4.0,,,,15.0,7.0,239.0,154.0,141.0,1563.0,600.0,16.0,160.0,1027.0,76.0,7.0,26.0,372.0,68.0,36.0,84.0,105.0,115.0,40.0,36.0,787.0,155.0,145.0,4.0,77.0,250.0,37.0,646.0,32.0,1.0,1.0,0.0,7.0,7.0,,21.0,26.0,281.0,29.0,5.0,27.0,30.0,1.0,227.0,,14.0,5.0,3.0,11.0,1.0,2.0,25.0,25.0,31.0,9.0,17.0,8.0,5.0,23.0,5.0,18.0,46.0,11.0,34.0,166.0,15.0,,,7.0,2.0,12.0,1.0,6.0,,,,4.0,1.0,,,1.0,,2.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,New York Red Bulls,7ri3zk6bncmv36mwkh14tkrf9,Marcos Paullo,Midfielder,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,New York Red Bulls,3pz2ch61dwfhmyp5768l99ivp,D. Borman,Midfielder,11.0,24.0,,4.0,,,,5.0,3.0,384.0,228.0,224.0,1697.0,464.0,45.0,130.0,1229.0,74.0,3.0,107.0,302.0,60.0,23.0,56.0,91.0,117.0,47.0,35.0,737.0,28.0,113.0,131.0,53.0,400.0,100.0,513.0,24.0,0.0,0.0,0.0,3.0,,,3.0,44.0,225.0,49.0,8.0,117.0,26.0,,245.0,,36.0,1.0,3.0,3.0,2.0,,10.0,23.0,167.0,4.0,19.0,14.0,,15.0,3.0,3.0,49.0,52.0,19.0,80.0,17.0,3.0,,14.0,3.0,56.0,,11.0,,51.0,,12.0,,,,6.0,10.0,2.0,3.0,3.0,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,New York Red Bulls,6gpk90lnrqwpkqgqul6rpeead,B. Coundoul,Goalkeeper,18.0,12.0,,,,,,1.0,,106.0,44.0,67.0,1035.0,73.0,23.0,5.0,411.0,4.0,1.0,54.0,15.0,4.0,,1.0,115.0,13.0,,,169.0,31.0,5.0,,1.0,101.0,65.0,102.0,12.0,0.0,0.0,0.0,,,,,,87.0,,,,13.0,,32.0,,,,,,1.0,,4.0,11.0,,,11.0,,,,2.0,,29.0,15.0,,,,,,,,50.0,,,,,,,,,,3.0,15.0,,,,,,,,,,,,14.0,7.0,,17.0,149.0,29.0,2.0,19.0,37.0,2.0,9.0,1.0,14.0,,,,,
USA_MLS,2011,New York Red Bulls,4qoq1fk9yht9nztamkc5ee8k5,D. De Rosario,Midfielder,11.0,33.0,16.0,3.0,,,,2.0,7.0,298.0,307.0,277.0,2781.0,814.0,36.0,287.0,1835.0,111.0,28.0,40.0,547.0,96.0,111.0,176.0,163.0,237.0,30.0,27.0,1230.0,274.0,249.0,25.0,153.0,586.0,81.0,953.0,33.0,10.0,6.0,1.0,23.0,44.0,3.0,43.0,49.0,417.0,66.0,24.0,85.0,44.0,10.0,360.0,6.0,15.0,45.0,20.0,48.0,2.0,12.0,46.0,36.0,110.0,28.0,31.0,15.0,20.0,48.0,8.0,92.0,139.0,11.0,57.0,298.0,38.0,17.0,15.0,11.0,16.0,11.0,2.0,7.0,5.0,1.0,4.0,3.0,3.0,4.0,3.0,7.0,4.0,4.0,10.0,10.0,1.0,8.0,11.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,New York Red Bulls,6hmjcbm9pixf3uha71knizlcl,T. Henry,Forward,14.0,29.0,15.0,5.0,2.0,2.0,,,2.0,332.0,250.0,232.0,2535.0,673.0,18.0,186.0,1293.0,94.0,30.0,17.0,557.0,81.0,46.0,92.0,59.0,215.0,27.0,23.0,957.0,172.0,164.0,,83.0,389.0,68.0,725.0,29.0,8.0,7.0,3.0,9.0,34.0,,51.0,36.0,170.0,36.0,9.0,40.0,34.0,9.0,321.0,9.0,7.0,16.0,23.0,30.0,2.0,12.0,31.0,29.0,56.0,43.0,29.0,13.0,13.0,34.0,5.0,64.0,52.0,22.0,36.0,132.0,22.0,2.0,4.0,2.0,,1.0,2.0,2.0,1.0,,,4.0,2.0,3.0,4.0,8.0,,1.0,3.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,New York Red Bulls,cp3xobpfectu6mnvm7jveoafp,C. Hertzog,Forward,21.0,5.0,,,,,,5.0,,1.0,3.0,2.0,35.0,3.0,,5.0,10.0,3.0,,,2.0,3.0,2.0,2.0,2.0,2.0,,,5.0,1.0,5.0,,2.0,5.0,69.0,3.0,5.0,0.0,0.0,0.0,,1.0,,,1.0,1.0,1.0,1.0,,,,3.0,,,,1.0,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
