liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,GK Successful Distribution,Throw Ins to Own Player,Successful Lay-offs,Successful Launches,Goals,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Set Pieces Goals,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Total Fouls Won,Aerial Duels won,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Headed Goals,GK Unsuccessful Distribution,Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Successful Dribbles,Blocked Shots,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Offsides,Corners Won,Yellow Cards,Substitute Off,Throw Ins to Opposition Player,Unsuccessful Dribbles,Assists (Intentional),Goal Assists,Right Foot Goals,Handballs conceded,Saves Made,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Hit Woodwork,Unsuccessful lay-offs,Successful Corners into Box,Corners Taken (incl short corners),Unsuccessful Corners into Box,Through balls,Goals Conceded Outside Box,Foul Won Penalty,Penalties Taken,Penalty Goals,Penalties Faced,Saves made - caught,Penalties Conceded,Own Goal Scored,Total Red Cards,Red Cards - 2nd Yellow,Last Man Tackle
Concacaf_Concacaf_Champions_Cup,2018,Club Tigres UANL,eb5bqq1qjpi4by5jz69yezglx,A. Acosta,Midfielder,27,3.0,80.0,,9.0,1.0,,,71.0,25.0,31.0,3.0,5.0,1.0,,,14.0,32.0,8.0,,3.0,71.0,2.0,60.0,3.0,,8.0,11.0,1.0,8.0,10.0,1.0,3.0,3.0,100.0,3.0,1.0,,14.0,,17.0,,85.0,9.0,,,3.0,1.0,,14.0,1.0,3.0,,3.0,3.0,,,5.0,18.0,,63.0,63.0,,,5.0,5.0,3.0,2.0,9.0,,,2.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Club Tigres UANL,8f8h57y9u27itkkdehbdss4b9,J. Aquino,Midfielder,20,8.0,180.0,,6.0,,2.0,,96.0,25.0,44.0,3.0,5.0,3.0,1.0,1.0,43.0,34.0,7.0,,15.0,96.0,1.0,67.0,3.0,1.0,20.0,45.0,1.0,27.0,12.0,2.0,6.0,3.0,153.0,2.0,1.0,,22.0,,25.0,7.0,51.0,12.0,,,9.0,2.0,1.0,24.0,1.0,4.0,,10.0,2.0,,,11.0,1.0,,76.0,76.0,2.0,,6.0,12.0,1.0,6.0,11.0,2.0,1.0,,2.0,2.0,,2.0,1.0,,2.0,4.0,,,,,,,,,,,,,,,,2.0,2.0,,1.0,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Club Tigres UANL,6stnu5c38qqzze7xbyrfwb74l,H. Ayala,Defender,4,,360.0,,4.0,,2.0,,221.0,15.0,55.0,12.0,21.0,,1.0,2.0,30.0,157.0,5.0,,5.0,238.0,8.0,180.0,6.0,1.0,26.0,51.0,,20.0,12.0,4.0,1.0,6.0,287.0,4.0,5.0,6.0,25.0,,71.0,1.0,699.0,22.0,,,32.0,9.0,8.0,35.0,13.0,7.0,,,4.0,,,11.0,101.0,,197.0,212.0,10.0,,2.0,13.0,3.0,4.0,14.0,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Club Tigres UANL,evk0esdocrzt5zxqmv4ostdcl,J. Damm,Midfielder,25,19.0,198.0,,8.0,1.0,1.0,,80.0,26.0,50.0,4.0,6.0,,1.0,1.0,44.0,20.0,3.0,,12.0,82.0,3.0,62.0,2.0,1.0,18.0,3.0,7.0,33.0,9.0,2.0,5.0,4.0,138.0,3.0,2.0,,18.0,,18.0,16.0,71.0,20.0,,,2.0,4.0,8.0,27.0,,3.0,,19.0,3.0,,,6.0,35.0,,62.0,64.0,9.0,,2.0,7.0,1.0,2.0,12.0,6.0,,1.0,6.0,6.0,,3.0,,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Club Tigres UANL,d9y2nzwk6kkcejglaa4kxeuvp,Rafael Carioca,Midfielder,5,2.0,252.0,,,14.0,1.0,,169.0,43.0,81.0,,5.0,1.0,,1.0,20.0,81.0,7.0,,9.0,176.0,7.0,157.0,4.0,,14.0,47.0,2.0,14.0,18.0,3.0,2.0,2.0,206.0,3.0,5.0,,27.0,,38.0,1.0,46.0,18.0,,,5.0,10.0,,28.0,2.0,4.0,,2.0,3.0,,,9.0,48.0,,156.0,162.0,1.0,,6.0,10.0,1.0,,18.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,
Concacaf_Concacaf_Champions_Cup,2018,Club Tigres UANL,ebd087qhfyhs6i8k2442xgb11,J. Dueñas,Midfielder,29,4.0,270.0,,5.0,4.0,2.0,,196.0,42.0,100.0,2.0,9.0,,3.0,2.0,36.0,76.0,4.0,,15.0,199.0,1.0,150.0,4.0,3.0,24.0,32.0,5.0,21.0,13.0,3.0,2.0,7.0,238.0,3.0,,,16.0,,54.0,10.0,73.0,8.0,,,25.0,2.0,1.0,19.0,2.0,5.0,,4.0,3.0,,,9.0,71.0,,172.0,175.0,3.0,,3.0,11.0,1.0,5.0,7.0,1.0,3.0,,1.0,1.0,2.0,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Club Tigres UANL,bhforubddmdvwp9r508bsdoet,J. Estrada,Defender,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Club Tigres UANL,cpwrke87vea6lm457ub6w8251,E. Fernández,Goalkeeper,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Club Tigres UANL,4zjhf8g09in1aj4k6c7x485at,A. Gignac,Forward,10,1.0,135.0,,1.0,2.0,,2.0,17.0,6.0,12.0,1.0,1.0,,4.0,4.0,14.0,4.0,1.0,,4.0,20.0,1.0,14.0,3.0,8.0,5.0,10.0,2.0,4.0,6.0,1.0,,2.0,45.0,2.0,,1.0,10.0,,4.0,8.0,91.0,6.0,4.0,1.0,1.0,1.0,2.0,16.0,,4.0,1.0,1.0,2.0,,,6.0,,2.0,12.0,15.0,6.0,,1.0,10.0,,,4.0,2.0,,1.0,1.0,1.0,5.0,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Club Tigres UANL,7uuli7jqi66bkkotgkypsignp,N. Guzmán,Goalkeeper,1,,360.0,27.0,,,14.0,,71.0,,13.0,11.0,23.0,,,,26.0,73.0,,,3.0,112.0,,48.0,6.0,,26.0,23.0,,14.0,26.0,4.0,,12.0,135.0,4.0,,,,,59.0,,33.0,2.0,,,38.0,,2.0,2.0,2.0,7.0,,,4.0,,6.0,,30.0,,55.0,86.0,2.0,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,,,1.0,4.0,1.0,5.0,,,,,,,1.0,,,,1.0,2.0,,,,,
