root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Open Play Passes,Corners Won,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Throw Ins to Opposition Player,Recoveries,Starts,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Aerial Duels won,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Tackles Won,Duels lost,Interceptions,Ground Duels won,Substitute On,Blocks,Successful Lay-offs,Goals,Successful Crosses & Corners,Yellow Cards,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Successful Dribbles,Total Shots,Successful Corners into Box,Blocked Shots,PutThrough/Blocked Distribution,Corners Taken (incl short corners),Goals from Outside Box,Total Touches In Opposition Box,Shots On Target ( inc goals ),Attempts from Set Pieces,Total Fouls Won,Unsuccessful Dribbles,Left Foot Goals,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Goal Assists,Through balls,Tackles Lost,Shots Off Target (inc woodwork),Substitute Off,Saves Made,GK Successful Distribution,Successful Launches,Punches,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Offsides,Unsuccessful lay-offs,Successful Crosses open play,Goals from Inside Box,Right Foot Goals,Other Goals,Clearances Off the Line,Hit Woodwork,Headed Goals,Penalties Taken,Goalkeeper Smother,Penalty Goals Conceded,Crosses not Claimed,Penalties Saved,Penalties Faced,Saves from Penalty,Penalties Conceded,Total Red Cards,Straight Red Cards,Set Pieces Goals,Penalty Goals,Red Cards - 2nd Yellow,Own Goal Scored,Second Goal Assists,Foul Won Penalty
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Nicaragua,Nicaragua,9d8t7wj24hlck4o3v5r4qbaol,J. Barrera,Midfielder,11,,180.0,,40.0,1.0,15.0,15.0,,,8.0,20.0,18.0,3.0,11.0,43.0,1.0,30.0,5.0,11.0,10.0,2.0,8.0,,8.0,2.0,3.0,69.0,2.0,,18.0,3.0,10.0,13.0,2.0,2.0,28.0,,5.0,,2.0,7.0,15.0,29.0,32.0,10.0,,2.0,15.0,1.0,11.0,,,,,1.0,,,,5.0,3.0,,1.0,1.0,,,3.0,1.0,,3.0,2.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Nicaragua,Nicaragua,78e87odirre9mnxo4rkqkklat,D. Cadena,Forward,9,1.0,180.0,,89.0,1.0,22.0,20.0,1.0,6.0,2.0,28.0,63.0,3.0,9.0,98.0,5.0,73.0,5.0,15.0,17.0,1.0,12.0,,12.0,2.0,6.0,131.0,2.0,4.0,24.0,21.0,10.0,13.0,10.0,1.0,27.0,3.0,5.0,3.0,2.0,12.0,38.0,75.0,83.0,3.0,,3.0,14.0,2.0,12.0,,,2.0,,,,,,1.0,1.0,,,2.0,1.0,,,,,8.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Nicaragua,Nicaragua,77htikhl2t1wakh17uk6hkiqd,C. Chavarría,Forward,7,5.0,180.0,,43.0,3.0,13.0,17.0,,3.0,,39.0,15.0,3.0,13.0,47.0,6.0,29.0,4.0,16.0,9.0,3.0,22.0,,7.0,2.0,5.0,93.0,2.0,5.0,20.0,8.0,10.0,8.0,2.0,1.0,21.0,2.0,4.0,11.0,2.0,13.0,17.0,27.0,31.0,1.0,,2.0,13.0,3.0,7.0,,,2.0,1.0,1.0,2.0,2.0,,3.0,4.0,,,4.0,9.0,1.0,6.0,1.0,,2.0,4.0,,6.0,,,,,1.0,3.0,,,,,,,,,,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Nicaragua,Nicaragua,7f0xnhmw1px8x612rf7oiwbmd,L. Copete,Defender,6,,265.0,,146.0,,6.0,20.0,9.0,23.0,5.0,34.0,107.0,9.0,8.0,158.0,5.0,102.0,6.0,31.0,45.0,,21.0,,17.0,3.0,10.0,204.0,3.0,1.0,20.0,62.0,10.0,20.0,25.0,9.0,34.0,11.0,6.0,,3.0,9.0,45.0,119.0,127.0,14.0,,6.0,14.0,10.0,11.0,,4.0,,,,,2.0,,,3.0,,,4.0,,,1.0,1.0,1.0,3.0,,,,,,,,3.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Nicaragua,Nicaragua,a1bd6uh5keeewp0ymagrtar55,C. Errington,Defender,22,,110.0,4.0,36.0,,7.0,5.0,4.0,6.0,1.0,11.0,26.0,,1.0,38.0,,29.0,3.0,7.0,6.0,,3.0,3.0,2.0,1.0,4.0,58.0,2.0,,,13.0,10.0,1.0,2.0,1.0,2.0,7.0,3.0,,2.0,,12.0,29.0,31.0,2.0,,,1.0,3.0,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Nicaragua,Nicaragua,13o2vakkik8hv6cxieg5hkd79,E. Figueroa,Midfielder,16,,58.0,,20.0,,9.0,8.0,,,1.0,9.0,7.0,1.0,5.0,20.0,,15.0,1.0,5.0,6.0,3.0,4.0,,4.0,1.0,1.0,29.0,1.0,,5.0,4.0,10.0,2.0,,,6.0,,1.0,,1.0,3.0,1.0,15.0,15.0,1.0,,1.0,4.0,,2.0,,,1.0,,,,1.0,,,,,1.0,2.0,,,2.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Nicaragua,Nicaragua,6js2rz7uysep3ahwgyizl542d,L. Galeano,Forward,10,1.0,270.0,,48.0,1.0,14.0,17.0,1.0,5.0,6.0,36.0,20.0,5.0,14.0,56.0,2.0,35.0,7.0,19.0,17.0,,16.0,1.0,6.0,3.0,4.0,100.0,3.0,2.0,23.0,16.0,10.0,12.0,2.0,1.0,30.0,1.0,7.0,1.0,3.0,12.0,9.0,34.0,37.0,7.0,,4.0,18.0,,11.0,,,1.0,,,,5.0,,2.0,5.0,,2.0,7.0,1.0,,1.0,3.0,1.0,4.0,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Nicaragua,Nicaragua,7kapiv9ke9vvuzenht845ybpx,B. García,Midfielder,13,,110.0,,21.0,2.0,7.0,5.0,1.0,1.0,4.0,14.0,12.0,1.0,3.0,21.0,1.0,16.0,3.0,4.0,2.0,1.0,2.0,,4.0,1.0,2.0,37.0,3.0,1.0,9.0,5.0,10.0,5.0,1.0,1.0,14.0,,3.0,,3.0,5.0,7.0,17.0,17.0,5.0,,1.0,9.0,,4.0,2.0,,2.0,,,,,,1.0,,,1.0,,,,2.0,,,3.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Nicaragua,Nicaragua,dt7rplarxegizhhw3p3s0ipd5,J. García,Midfielder,21,1.0,90.0,,6.0,,4.0,3.0,,,1.0,10.0,2.0,,2.0,7.0,,5.0,3.0,2.0,2.0,,2.0,,1.0,1.0,1.0,21.0,2.0,,8.0,1.0,10.0,4.0,,,9.0,,3.0,1.0,2.0,4.0,,4.0,5.0,1.0,,,5.0,,4.0,1.0,,,,,,,,1.0,1.0,,,,,,2.0,1.0,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Nicaragua,Nicaragua,8b2e92e03k5j7tn365lupn0t1,J. Llorente,Goalkeeper,1,,270.0,,38.0,,,8.0,14.0,28.0,,32.0,33.0,1.0,1.0,70.0,,27.0,7.0,29.0,8.0,,22.0,,26.0,3.0,7.0,109.0,3.0,,3.0,50.0,10.0,3.0,14.0,,3.0,5.0,7.0,,3.0,,12.0,23.0,41.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,19.0,19.0,4.0,2.0,,2.0,4.0,10.0,15.0,3.0,8.0,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,
