liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Successful Lay-offs,Successful Launches,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,Unsuccessful Passes Own Half,Touches,Appearances,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Penalties Conceded,Successful Corners into Box,Corners Taken (incl short corners),Attempts from Set Pieces,Unsuccessful Corners into Box,Clearances Off the Line,Goals from Inside Box,Penalties Taken,Penalty Goals,Saves Made,GK Successful Distribution,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Left Foot Goals,Last Man Tackle,Total Touches In Opposition Box,Foul Won Penalty,Headed Goals,Own Goal Scored,Punches,Goalkeeper Smother,Drops,Penalties Faced,Other Goals,Crosses not Claimed,Penalties Saved,Saves from Penalty,Penalties Off Target,Set Pieces Goals
USA_MLS,2013,Sporting Kansas City,3zvj76iwkxqp853t8sjt58t1,M. Besler,Defender,5.0,28.0,,2.0,,,,,,4.0,1.0,2580.0,59.0,42.0,30.0,,1415.0,7.0,79.0,5.0,407.0,61.0,121.0,5.0,4.0,61.0,483.0,776.0,47.0,168.0,1467.0,25.0,9.0,987.0,24.0,5.0,289.0,503.0,26.0,239.0,2.0,69.0,179.0,28.0,54.0,2108.0,28.0,8.0,123.0,,683.0,75.0,164.0,,191.0,5.0,18.0,90.0,7.0,274.0,256.0,28.0,4.0,3.0,,1.0,49.0,202.0,1138.0,1178.0,151.0,9.0,,1.0,1.0,37.0,110.0,10.0,86.0,74.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_MLS,2013,Sporting Kansas City,6qwnnioyc7huikq0uxyutfjdh,F. Bessone,Defender,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2013,Sporting Kansas City,eo6l41k1jxgca7hljrwvqxm8l,C. Bieler,Forward,16.0,31.0,11.0,4.0,,,,6.0,13.0,3.0,12.0,2194.0,7.0,115.0,1.0,7.0,571.0,12.0,169.0,,335.0,2.0,11.0,32.0,3.0,40.0,234.0,100.0,14.0,126.0,572.0,37.0,6.0,398.0,19.0,60.0,137.0,180.0,25.0,130.0,14.0,3.0,66.0,25.0,10.0,849.0,31.0,2.0,139.0,1.0,88.0,49.0,67.0,28.0,37.0,,33.0,14.0,10.0,193.0,16.0,22.0,3.0,3.0,,2.0,86.0,135.0,434.0,435.0,54.0,5.0,22.0,4.0,6.0,9.0,126.0,5.0,11.0,53.0,,,,4.0,,,10.0,3.0,3.0,,,,,,,,,4.0,,8.0,1.0,,,,,,,,,,,,
USA_MLS,2013,Sporting Kansas City,250r77nvu1exeyurchatnqnkl,T. Bunbury,Forward,9.0,14.0,,2.0,,,,11.0,3.0,4.0,6.0,367.0,,16.0,,,102.0,4.0,36.0,,49.0,1.0,1.0,5.0,1.0,17.0,60.0,29.0,6.0,23.0,102.0,7.0,2.0,76.0,6.0,10.0,24.0,34.0,1.0,25.0,4.0,,19.0,3.0,3.0,174.0,14.0,,36.0,,17.0,78.0,23.0,5.0,2.0,,5.0,10.0,6.0,63.0,2.0,7.0,4.0,1.0,,1.0,23.0,15.0,78.0,78.0,27.0,,2.0,1.0,,4.0,40.0,2.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
USA_MLS,2013,Sporting Kansas City,6p163a141a95x53qat9wers2d,A. Collin,Defender,78.0,34.0,6.0,15.0,,,,,1.0,2.0,6.0,3075.0,3.0,43.0,31.0,1.0,1538.0,5.0,78.0,1.0,330.0,100.0,160.0,22.0,6.0,87.0,577.0,884.0,94.0,216.0,1589.0,65.0,5.0,981.0,25.0,34.0,376.0,270.0,7.0,277.0,5.0,,231.0,34.0,101.0,2380.0,34.0,14.0,225.0,,636.0,76.0,296.0,12.0,232.0,1.0,33.0,164.0,2.0,476.0,347.0,31.0,2.0,3.0,,1.0,93.0,605.0,1177.0,1213.0,251.0,12.0,1.0,1.0,,73.0,180.0,21.0,153.0,132.0,,,,,,1.0,6.0,,,,,,,,,,,2.0,1.0,13.0,1.0,3.0,,,,,,,,,,,
USA_MLS,2013,Sporting Kansas City,1l0bvne5nx86m194cr5nsg4wl,B. Convey,Midfielder,11.0,24.0,1.0,4.0,,,,2.0,9.0,49.0,4.0,1908.0,39.0,45.0,5.0,,764.0,11.0,204.0,39.0,453.0,11.0,34.0,10.0,8.0,14.0,349.0,222.0,26.0,138.0,808.0,22.0,15.0,591.0,18.0,13.0,172.0,214.0,33.0,234.0,4.0,2.0,111.0,22.0,26.0,1206.0,24.0,1.0,163.0,,259.0,20.0,85.0,3.0,45.0,12.0,32.0,12.0,24.0,189.0,3.0,26.0,88.0,2.0,,2.0,90.0,131.0,609.0,636.0,26.0,2.0,2.0,3.0,9.0,22.0,104.0,4.0,13.0,73.0,,24.0,52.0,2.0,24.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_MLS,2013,Sporting Kansas City,6cetznd9bk65n2ebxscywa5zp,C. Duke,Midfielder,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2013,Sporting Kansas City,4e3ftvuylhjgw7bxo9dljlo7p,D. Dwyer,Forward,14.0,21.0,3.0,,,,,11.0,10.0,4.0,6.0,946.0,1.0,23.0,1.0,,162.0,9.0,33.0,3.0,103.0,1.0,2.0,20.0,2.0,30.0,153.0,12.0,10.0,48.0,162.0,22.0,9.0,106.0,4.0,35.0,50.0,50.0,9.0,52.0,9.0,,40.0,10.0,3.0,387.0,21.0,2.0,108.0,,38.0,51.0,62.0,15.0,6.0,3.0,22.0,21.0,17.0,159.0,5.0,6.0,5.0,,3.0,1.0,67.0,41.0,112.0,112.0,51.0,,4.0,2.0,,7.0,97.0,3.0,3.0,41.0,,,,1.0,,,3.0,,,,,,,,,,,2.0,,37.0,,1.0,,,,,,,,,,,
USA_MLS,2013,Sporting Kansas City,drg3v7974zszuaaltfys5teqd,K. Ellis,Defender,4.0,2.0,,,,,,1.0,1.0,,,113.0,10.0,,,,36.0,,6.0,,9.0,5.0,,1.0,1.0,1.0,20.0,14.0,3.0,13.0,36.0,4.0,,22.0,,1.0,13.0,12.0,1.0,7.0,,1.0,5.0,1.0,6.0,71.0,2.0,,12.0,,17.0,10.0,10.0,,1.0,,2.0,5.0,1.0,18.0,7.0,1.0,,,,,7.0,1.0,23.0,23.0,6.0,,,,,2.0,8.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2013,Sporting Kansas City,em7zqutnzh6mvbpc2gbs84jpx,B. Feilhaber,Midfielder,10.0,31.0,3.0,5.0,,,,5.0,22.0,22.0,3.0,2168.0,3.0,109.0,1.0,3.0,1083.0,11.0,174.0,13.0,604.0,6.0,36.0,17.0,4.0,21.0,343.0,339.0,85.0,163.0,1129.0,31.0,25.0,845.0,17.0,30.0,199.0,365.0,43.0,204.0,17.0,,176.0,26.0,33.0,1604.0,31.0,4.0,287.0,2.0,332.0,64.0,187.0,13.0,85.0,4.0,57.0,20.0,27.0,328.0,8.0,21.0,38.0,,,5.0,120.0,258.0,894.0,930.0,41.0,3.0,7.0,5.0,13.0,69.0,141.0,16.0,34.0,167.0,,10.0,20.0,4.0,7.0,,1.0,,,,,,,,,,,,,13.0,1.0,,,,,,,,,,,,1.0
