liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Unsuccessful Crosses open play,Time Played,Successful Lay-offs,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Touches,Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Goals Conceded,Unsuccessful Crosses & Corners,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Goal Assists,Duels lost,Interceptions,Ground Duels won,Offsides,Throw Ins to Own Player,Shots Off Target (inc woodwork),Key Passes (Attempt Assists),Unsuccessful Passes Own Half,Corners Taken (incl short corners),Attempts from Set Pieces,Unsuccessful Corners into Box,Unsuccessful lay-offs,Through balls,Unsuccessful Launches,Total Tackles,Successful Dribbles,Successful Corners into Box,Throw Ins to Opposition Player,Total Clearances,Tackles Won,Successful Launches,Saves Made,GK Successful Distribution,Saves Made from Outside Box,Saves made - parried,Saves made - caught,Goals from Outside Box,Left Foot Goals,Foul Won Penalty,Handballs conceded,Penalties Taken,Penalty Goals,Blocks,Headed Goals,Tackles Lost,Second Goal Assists,Own Goal Scored,Other Goals,Set Pieces Goals,Punches,Catches,Saves Made from Inside Box,Penalties Faced,GK Unsuccessful Distribution,Penalties Conceded,Hit Woodwork
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,9itqlx2szl05io551q62s1l1x,J. Garro,Midfielder,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,e6g5jqhc9cngqed9gyky745p1,G. Gómez,Midfielder,28.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,3m6byyqx4abd37yto3er98v6d,E. Granados,Midfielder,5.0,8.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,dpq5nf4p6ug2fdtkuurelvnbp,J. Hansen,Attacker,16.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,7pyt4lm0k3yeqd9s8le4yjf11,B. Hay,Attacker,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,4s8gph0067zb15w2uky7c6nkl,Luis Omar Hernández,Defender,53.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,bkx76y8shwgrcf7ipb6gpqehh,C. Lagos,Attacker,9.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,9k6pgi7u3rj2dqzt8n2nbu0gl,A. Larín,Defender,33.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,7ncrbrti46kdhreyjvos3nmj9,C. Montero,Defender,4.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,8k3z7zd8xy0rhyvxzhmygiuvp,L. Moreira,Goalkeeper,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,buwbwuz3dse0ucp3mzsudl2hh,D. Myrie,Defender,18.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,33l2u29h9ftdvla2bqhwrxi39,E. Nelson,Defender,17.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,2emuf0auhtlbsspdnidl0whjp,V. Núñez,Attacker,23.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,58fxms4t0v6bfvcvot59kcmhh,M. Obando,Defender,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,1u6dtfg0ed3p48qszldus9u51,A. Pedroza,Attacker,14.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,b6sufokgj0y598jgmfgosh2vp,E. Ramírez,Midfielder,29.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,bw5nmhfsk534ocb9yzo0yh80l,Y. Ruiz,Attacker,7.0,7.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,4crjoytjjci86rkcinolf3vf9,P. Salazar,Defender,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,33ddekot7rvy9mbwifna8h8et,J. Sánchez,Midfielder,11.0,3.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,19xb6exkrygyj1l9al7sfyvv9,H. Saravia,Defender,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2014-2015,CS Herediano,1u4ao8jmsjp8fxd4t765rop91,V. Scott,Midfielder,77.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
