liga,temporada,equipo,id,nombre,posicion,dorsal,PutThrough/Blocked Distribution,Tackles Won,Duels,Total Shots,Unsuccessful Launches,Goals Conceded Inside Box,Blocked Shots,Successful Passes Own Half,Handballs conceded,Goals Conceded Outside Box,Unsuccessful Dribbles,Duels lost,Index,Unsuccessful Short Passes,Substitute Off,Total Losses Of Possession,Successful Long Passes,Time Played,Aerial Duels won,Successful Open Play Passes,Aerial Duels,Duels won,Ground Duels lost,Leftside Passes,Corners Won,Total Fouls Conceded,Unsuccessful Crosses open play,Open Play Passes,Touches,Total Successful Passes ( Excl Crosses & Corners ) ,Total Clearances,Shots On Target ( inc goals ),Forward Passes,Offsides,Total Tackles,Successful Short Passes,Rightside Passes,Key Passes (Attempt Assists),Foul Attempted Tackle,Ground Duels,Total Fouls Won,Successful Dribbles,Games Played,Appearances,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Crosses & Corners,Starts,Successful Lay-offs,Recoveries,Backward Passes,Throw Ins to Own Player,Unsuccessful Passes Own Half,Total Passes,Yellow Cards,Successful Passes Opposition Half,Goals Conceded,Unsuccessful Passes Opposition Half,Ground Duels won,Times Tackled,Aerial Duels lost,Unsuccessful Long Passes,Total Touches In Opposition Box,Winning Goal,Interceptions,Blocks,Goals,Goals from Inside Box,Substitute On,Tackles Lost,Shots Off Target (inc woodwork),Headed Goals,Home Goals,Away Goals,Goals from Outside Box,Right Foot Goals,Goals Openplay,Successful Launches,Goal Assists,Assists (Intentional),Overruns,Corners Taken (incl short corners),Unsuccessful Corners into Box,Successful Crosses & Corners,Successful Crosses open play,PutThrough/Blocked Distribution Won,Attempts from Set Pieces,Goal Kicks,GK Successful Distribution,Unsuccessful lay-offs,Other Goals,Successful Corners into Box,Throw Ins to Opposition Player,Punches,Saves Made from Inside Box,Saves made - parried,GK Unsuccessful Distribution,Saves Made,Saves Made from Outside Box,Catches,Foul Won Penalty,Penalty Goals,Penalties Taken,Left Foot Goals,Goalkeeper Smother,Penalties Conceded,Penalty Goals Conceded,Straight Red Cards,Through balls,Total Red Cards,Clearances Off the Line,Set Pieces Goals,Last Player Tackle,Hit Woodwork,Penalties Saved,Saves from Penalty,Penalties Faced,Clean Sheets,Saves made - caught,Second Goal Assists,Drops,Own Goal Scored,Red Cards - 2nd Yellow,Penalties Off Target,Crosses not Claimed
USA_USL_Cup,2025,Oakland Roots SC,2j9i9ersvndkywcgqx9pzc9ka,E. Johnson,Forward,22,1.0,2.0,20.0,2.0,,1.0,,2.0,,1.0,3.0,10.0,10.0,7.0,1.0,18.0,,113.0,2.0,6.0,4.0,10.0,8.0,1.0,,3.0,,13.0,37.0,6.0,,2.0,4.0,1.0,2.0,6.0,4.0,,1.0,16.0,5.0,1.0,3.0,3.0,7.0,,1.0,1.0,1.0,4.0,,2.0,13.0,1.0,4.0,2.0,5.0,8.0,4.0,2.0,,4.0,0.0,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,ei30dsbb51ri88sr7aku2t13p,G. Margvelashvili,Defender,4,3.0,2.0,36.0,3.0,1.0,3.0,,109.0,,2.0,1.0,17.0,10.0,16.0,2.0,25.0,7.0,310.0,10.0,168.0,15.0,19.0,12.0,28.0,1.0,10.0,,185.0,256.0,174.0,21.0,3.0,107.0,,3.0,167.0,50.0,,4.0,21.0,6.0,,4.0,4.0,21.0,,4.0,1.0,12.0,10.0,9.0,7.0,195.0,1.0,65.0,5.0,14.0,9.0,2.0,5.0,5.0,3.0,0.0,8.0,2.0,1.0,1.0,,1.0,,,0.0,1.0,,1.0,,,,,,,,,,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,69sca67jomry9e2gn8cynhy50,J. Martinez,Forward,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,6j38lv6xa3gnzzsn5x2i35rdh,K. McIntosh,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,3apux7dih2628a7b7q0dt6bu2,A. Mohamed,Defender,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,69j92vzo1swgodk0g9g2ksqqy,B. Njie,Defender,2,4.0,1.0,10.0,3.0,1.0,3.0,1.0,8.0,,,,2.0,10.0,4.0,1.0,20.0,,92.0,2.0,28.0,3.0,8.0,1.0,2.0,2.0,1.0,4.0,35.0,72.0,28.0,2.0,1.0,7.0,,4.0,28.0,19.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,7.0,5.0,1.0,,3.0,7.0,5.0,1.0,35.0,,21.0,3.0,11.0,6.0,,1.0,3.0,1.0,0.0,3.0,,,,1.0,3.0,2.0,,,,,,,,,,,2.0,1.0,1.0,,3.0,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,6g7v93m80xq6x38o9u3t8y3je,W. Prentice,Forward,7,4.0,4.0,29.0,1.0,,3.0,,11.0,,1.0,1.0,16.0,10.0,11.0,2.0,29.0,1.0,233.0,3.0,52.0,9.0,13.0,10.0,10.0,1.0,6.0,9.0,65.0,99.0,52.0,,1.0,14.0,,4.0,51.0,20.0,2.0,5.0,20.0,5.0,2.0,4.0,4.0,13.0,9.0,3.0,1.0,8.0,21.0,1.0,2.0,65.0,,44.0,4.0,20.0,10.0,4.0,6.0,2.0,9.0,0.0,1.0,,,,1.0,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,cqhpjp9q1pl5gy4nfrpd7m3h0,J. Rasmussen,Defender,14,,,1.0,,1.0,,,1.0,1.0,,,1.0,10.0,1.0,,6.0,,23.0,,6.0,1.0,,,,,1.0,1.0,10.0,15.0,6.0,,,3.0,,,6.0,5.0,,,,,,1.0,1.0,4.0,1.0,,,1.0,2.0,3.0,,10.0,,5.0,,5.0,,,1.0,3.0,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,777irocsl9y6fja05sevniy95,C. Riley,Defender,5,3.0,4.0,20.0,2.0,5.0,1.0,,41.0,,1.0,,8.0,10.0,4.0,2.0,12.0,8.0,143.0,2.0,74.0,2.0,12.0,8.0,14.0,,6.0,,83.0,122.0,81.0,6.0,1.0,38.0,,6.0,73.0,32.0,,3.0,18.0,3.0,1.0,3.0,3.0,9.0,,2.0,,6.0,6.0,6.0,6.0,90.0,1.0,40.0,2.0,3.0,10.0,,,5.0,1.0,0.0,2.0,,,,1.0,2.0,1.0,,,,,,,2.0,,,,,,,,1.0,,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,97rzxcaw3u0qqov2uci1m4ges,L. Saldana,Forward,48,,,1.0,,,,,,,,,,10.0,1.0,,1.0,,7.0,1.0,,1.0,1.0,,1.0,,,,1.0,3.0,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,2.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,doseo9fbdr1a1srm0jhdqmr55,J. Sinisterra,Forward,11,2.0,1.0,21.0,1.0,,3.0,4.0,6.0,,,3.0,13.0,10.0,15.0,3.0,31.0,1.0,211.0,1.0,29.0,4.0,8.0,10.0,8.0,1.0,4.0,1.0,44.0,85.0,34.0,,,17.0,1.0,1.0,33.0,7.0,2.0,4.0,17.0,2.0,4.0,3.0,3.0,15.0,4.0,3.0,1.0,6.0,17.0,,4.0,49.0,1.0,28.0,3.0,15.0,7.0,5.0,3.0,,10.0,0.0,2.0,,,,,,1.0,,,,,,,,,,1.0,4.0,3.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,c8lbffulrhpc7tcyfsg38jevo,E. Sorrosa,Midfielder,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,629pbkngxk7ucy0qt9mngvkd1,R. Spiegel,Goalkeeper,35,,,3.0,,9.0,4.0,,47.0,,2.0,,1.0,10.0,1.0,,27.0,7.0,360.0,1.0,37.0,2.0,2.0,,10.0,,,,50.0,116.0,52.0,8.0,,52.0,,,45.0,16.0,,,1.0,1.0,,4.0,4.0,26.0,,4.0,,35.0,,,4.0,78.0,1.0,5.0,6.0,22.0,1.0,,1.0,25.0,,0.0,,,,,,,,,,,,,,3.0,,,,,,,,,,17.0,27.0,,,,,4.0,6.0,2.0,6.0,11.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,aa8wxd6orgx3wa187n63htjpw,T. Syrel,Goalkeeper,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,Oakland Roots SC,cclpvd1z3yyruciida1q3x4o9,P. Wilson,Forward,9,1.0,1.0,19.0,2.0,,3.0,,6.0,,1.0,3.0,14.0,10.0,6.0,,15.0,,152.0,1.0,29.0,4.0,5.0,11.0,11.0,,5.0,,35.0,54.0,30.0,1.0,1.0,4.0,,3.0,30.0,8.0,,2.0,15.0,1.0,,3.0,3.0,6.0,,1.0,,4.0,13.0,,1.0,36.0,,24.0,4.0,5.0,4.0,5.0,3.0,,3.0,0.0,,,1.0,1.0,2.0,2.0,1.0,,0.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
