liga,temporada,equipo,id,nombre,posicion,dorsal,Total Losses Of Possession,Time Played,Total Unsuccessful Passes ( Excl Crosses & Corners ),Open Play Passes,Successful Open Play Passes,Unsuccessful Short Passes,Duels,Forward Passes,Corners Won,Throw Ins to Own Player,Goals Conceded Inside Box,Ground Duels lost,Unsuccessful Passes Own Half,Touches,Successful Passes Own Half,Substitute On,Penalty Goals Conceded,Index,Goals Conceded,Recoveries,Duels lost,Total Passes,Unsuccessful Crosses open play,Total Fouls Conceded,Yellow Cards,Unsuccessful Passes Opposition Half,Total Successful Passes ( Excl Crosses & Corners ) ,Leftside Passes,Appearances,Games Played,Unsuccessful Dribbles,Times Tackled,PutThrough/Blocked Distribution,Unsuccessful Crosses & Corners,Ground Duels,Successful Passes Opposition Half,Successful Short Passes,Home Goals,Away Goals,Winning Goal,Rightside Passes,Successful Long Passes,Goals Conceded Outside Box,Successful Launches,Total Tackles,Aerial Duels,Aerial Duels lost,Blocked Shots,Starts,Substitute Off,Total Touches In Opposition Box,Backward Passes,Unsuccessful Long Passes,Tackles Lost,Interceptions,Total Clearances,Unsuccessful Launches,Total Fouls Won,Aerial Duels won,Duels won,Tackles Won,Ground Duels won,Through balls,Successful Crosses & Corners,Handballs conceded,Last Man Tackle,Successful Crosses open play,Successful Dribbles,Key Passes (Attempt Assists),Foul Attempted Tackle,Blocks,Shots Off Target (inc woodwork),PutThrough/Blocked Distribution Won,Clean Sheets,Shots On Target ( inc goals ),Corners Taken (incl short corners),Throw Ins to Opposition Player,Unsuccessful Corners into Box,Total Shots,Left Foot Goals,Offsides,Goal Assists,Goals from Inside Box,Goals,Goals from Outside Box,Assists (Intentional),Hit Woodwork,Right Foot Goals,Penalties Taken,Successful Lay-offs,Unsuccessful lay-offs,Headed Goals,Penalty Goals,Foul Won Penalty,Second Goal Assists,GK Successful Distribution,Attempts from Set Pieces,Successful Corners into Box,Red Cards - 2nd Yellow,Penalties Conceded,Total Red Cards,Saves Made from Outside Box,Catches,Penalties Saved,Saves from Penalty,Saves made - parried,Punches,Saves Made,Penalties Faced,Saves Made from Inside Box,GK Unsuccessful Distribution,Drops,Overruns,Saves made - caught,Goal Kicks,Straight Red Cards,Penalties Off Target,Clearances Off the Line,Own Goal Scored,Goalkeeper Smother,Set Pieces Goals,Last Player Tackle,Crosses not Claimed
Mexico_Liga_MX,2021-2022,CF Cruz Azul,14bw0a2azjioiorlbhhhbul05,P. Aguilar,Defender,23,130.0,1229.0,118.0,611.0,498.0,56.0,129.0,225.0,2.0,10.0,13.0,33.0,35.0,811.0,389.0,2.0,2.0,10.0,14.0,51.0,56.0,639.0,1.0,21.0,5.0,84.0,521.0,231.0,15.0,15.0,,,9.0,1.0,60.0,132.0,438.0,,,0.0,153.0,83.0,1.0,4.0,16.0,69.0,23.0,,13.0,,16.0,30.0,62.0,7.0,19.0,68.0,20.0,10.0,46.0,73.0,9.0,27.0,,,,,,1.0,3.0,7.0,1.0,5.0,4.0,3.0,2.0,,3.0,,7.0,,1.0,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,
Mexico_Liga_MX,2021-2022,CF Cruz Azul,bd9ov8z9402i9cceuu4dv4nv9,A. Aldrete,Defender,16,58.0,361.0,45.0,216.0,171.0,29.0,31.0,112.0,1.0,16.0,2.0,5.0,14.0,289.0,99.0,3.0,,10.0,3.0,17.0,8.0,217.0,4.0,1.0,,35.0,172.0,24.0,7.0,7.0,,1.0,7.0,4.0,21.0,75.0,149.0,,,0.0,66.0,23.0,1.0,11.0,11.0,10.0,3.0,1.0,4.0,3.0,4.0,15.0,16.0,5.0,2.0,8.0,6.0,5.0,7.0,23.0,6.0,16.0,,2.0,,,2.0,,2.0,,,2.0,3.0,1.0,,,6.0,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Mexico_Liga_MX,2021-2022,CF Cruz Azul,9vvleh9yqqcm955432lsl8c7p,R. Alvarado,Forward,25,149.0,971.0,82.0,468.0,387.0,60.0,129.0,147.0,1.0,33.0,7.0,61.0,29.0,692.0,143.0,3.0,,10.0,9.0,61.0,74.0,480.0,15.0,22.0,4.0,71.0,398.0,74.0,15.0,15.0,11.0,23.0,24.0,18.0,102.0,257.0,381.0,1.0,3.0,0.0,156.0,17.0,2.0,1.0,20.0,27.0,13.0,1.0,12.0,9.0,13.0,103.0,22.0,7.0,16.0,9.0,14.0,11.0,14.0,55.0,13.0,41.0,,2.0,1.0,,1.0,10.0,9.0,10.0,,3.0,11.0,1.0,6.0,5.0,4.0,3.0,9.0,2.0,,1.0,3.0,4.0,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,
Mexico_Liga_MX,2021-2022,CF Cruz Azul,1sgnb6jzur8xdz6z2zel2luqd,B. Angulo,Forward,17,86.0,785.0,45.0,183.0,138.0,41.0,94.0,35.0,3.0,,7.0,23.0,4.0,317.0,49.0,7.0,1.0,10.0,7.0,23.0,50.0,198.0,3.0,9.0,2.0,44.0,153.0,40.0,17.0,17.0,6.0,12.0,13.0,3.0,48.0,104.0,149.0,3.0,1.0,2.0,60.0,4.0,,,5.0,46.0,27.0,3.0,10.0,10.0,33.0,63.0,4.0,,3.0,8.0,1.0,15.0,19.0,44.0,5.0,25.0,1.0,,,,,8.0,10.0,4.0,1.0,9.0,8.0,,5.0,,,,14.0,,3.0,,4.0,4.0,,,1.0,4.0,,14.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,CF Cruz Azul,4051hgvu9v8jnu9rbbd0pr9bd,U. Antuna,Forward,7,141.0,874.0,45.0,223.0,178.0,41.0,102.0,45.0,7.0,10.0,5.0,37.0,8.0,450.0,53.0,6.0,1.0,10.0,5.0,31.0,47.0,227.0,31.0,5.0,2.0,68.0,182.0,82.0,15.0,15.0,13.0,25.0,10.0,31.0,84.0,139.0,174.0,,,0.0,28.0,8.0,,2.0,12.0,18.0,10.0,3.0,9.0,5.0,28.0,72.0,4.0,6.0,7.0,1.0,2.0,24.0,8.0,55.0,6.0,47.0,,10.0,,,10.0,11.0,12.0,2.0,,4.0,6.0,2.0,11.0,,2.0,,15.0,,5.0,,,,,,2.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,
Mexico_Liga_MX,2021-2022,CF Cruz Azul,f47fwbxgm35jx628hwpmfdrrp,R. Baca,Midfielder,22,117.0,1074.0,95.0,569.0,475.0,67.0,73.0,192.0,,6.0,14.0,26.0,26.0,682.0,235.0,5.0,3.0,10.0,17.0,74.0,38.0,573.0,3.0,11.0,1.0,72.0,478.0,169.0,18.0,18.0,2.0,8.0,11.0,3.0,47.0,243.0,438.0,,,0.0,158.0,40.0,3.0,4.0,14.0,26.0,12.0,1.0,13.0,7.0,2.0,54.0,28.0,5.0,8.0,17.0,9.0,6.0,14.0,35.0,9.0,21.0,3.0,,,,,1.0,4.0,8.0,3.0,3.0,5.0,1.0,,,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Mexico_Liga_MX,2021-2022,CF Cruz Azul,aze2ese2wkxf86vv41d295ams,C. Benítez,Midfielder,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,CF Cruz Azul,bwt2bwbltrqe5bpzlcr2vli50,A. Cabañas,Goalkeeper,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,CF Cruz Azul,2lsqo8x3mbz4shb8nuv5catp1,Jesús Corona,Goalkeeper,1,80.0,810.0,80.0,120.0,82.0,3.0,2.0,141.0,,,10.0,,12.0,295.0,123.0,,1.0,10.0,13.0,70.0,,226.0,,,1.0,68.0,146.0,48.0,9.0,9.0,,,,,,23.0,103.0,,,0.0,37.0,43.0,3.0,9.0,,2.0,,,9.0,,,,77.0,,,5.0,34.0,,2.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,9.0,6.0,,,3.0,4.0,21.0,1.0,12.0,21.0,,,,67.0,,,,,,,,
Mexico_Liga_MX,2021-2022,CF Cruz Azul,dmqmxkyprphad4zlbcv0igcet,J. Domínguez,Defender,4,138.0,1376.0,122.0,788.0,672.0,60.0,102.0,310.0,,16.0,15.0,18.0,52.0,961.0,485.0,3.0,3.0,10.0,18.0,77.0,47.0,808.0,1.0,10.0,,71.0,686.0,157.0,18.0,18.0,2.0,6.0,5.0,1.0,48.0,201.0,616.0,,,0.0,295.0,70.0,3.0,8.0,10.0,54.0,29.0,1.0,15.0,1.0,3.0,46.0,62.0,6.0,18.0,37.0,31.0,14.0,25.0,55.0,4.0,30.0,1.0,,1.0,,,7.0,,4.0,11.0,1.0,2.0,3.0,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
