root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Unsuccessful Short Passes,Duels,Goals Conceded,Total Tackles,Rightside Passes,Total Losses Of Possession,Unsuccessful Passes Own Half,Successful Passes Own Half,Goals Conceded Inside Box,Shots On Target ( inc goals ),Unsuccessful Long Passes,Recoveries,PutThrough/Blocked Distribution,Touches,Total Shots,Total Passes,Aerial Duels,Starts,Ground Duels lost,Interceptions,Appearances,Leftside Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Open Play Passes,Aerial Duels won,Time Played,Throw Ins to Own Player,Backward Passes,Successful Passes Opposition Half,Successful Open Play Passes,Successful Short Passes,Index,Tackles Won,Ground Duels won,Ground Duels,Total Touches In Opposition Box,Aerial Duels lost,Successful Long Passes,Forward Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Clearances,Unsuccessful Passes Opposition Half,Duels won,Corners Won,Games Played,Duels lost,Winning Goal,Unsuccessful Crosses & Corners,Right Foot Goals,Throw Ins to Opposition Player,Penalties Taken,Unsuccessful lay-offs,Goals,Successful Lay-offs,Successful Corners into Box,Total Fouls Won,Corners Taken (incl short corners),Total Fouls Conceded,Unsuccessful Corners into Box,Times Tackled,Blocked Shots,Key Passes (Attempt Assists),Unsuccessful Dribbles,Successful Dribbles,Through balls,Goals from Outside Box,Attempts from Set Pieces,Shots Off Target (inc woodwork),Successful Crosses & Corners,Home Goals,Away Goals,PutThrough/Blocked Distribution Won,Substitute On,Tackles Lost,Foul Attempted Tackle,Foul Won Penalty,Unsuccessful Crosses open play,Yellow Cards,Substitute Off,Offsides,Goal Kicks,Saves Made from Inside Box,Saves Made,Saves Made from Outside Box,Saves made - parried,GK Successful Distribution,GK Unsuccessful Distribution,Blocks,Successful Crosses open play,Hit Woodwork,Unsuccessful Launches,Clean Sheets,Successful Launches,Overruns,Handballs conceded,Goals from Inside Box,Headed Goals,Left Foot Goals,Second Goal Assists,Goal Assists,Assists (Intentional),Penalties Conceded,Red Cards - 2nd Yellow,Clearances Off the Line,Total Red Cards,Penalties Saved,Saves from Penalty,Catches,Punches,Penalties Faced,Goalkeeper Smother,Own Goal Scored,Goals Conceded Outside Box,Penalty Goals,Straight Red Cards,Penalty Goals Conceded,Saves made - caught,Crosses not Claimed,Other Goals,Last Man Tackle,Drops,Set Pieces Goals
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Los Angeles FC,Los_Angeles_FC,6k22ppzw6wv0c4gskzxk28fyt,K. Acosta,Midfielder,23,18.0,24.0,4.0,4.0,17.0,30.0,2.0,26.0,4.0,,,8.0,4.0,116.0,,86.0,6.0,3.0,13.0,1.0,3.0,26.0,68.0,85.0,3.0,269.0,2.0,11.0,42.0,67.0,67.0,10.0,2.0,5.0,18.0,5.0,3.0,1.0,32.0,18.0,2.0,23.0,8.0,2.0,3.0,16.0,0.0,7.0,,,,,,,,1.0,6.0,8.0,6.0,2.0,2.0,3.0,,,,,,,,,,2.0,,2.0,8.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Los Angeles FC,Los_Angeles_FC,eoxsyfrsq1x9xa2zxvw8ui0ru,S. Biuk,Forward,7,10.0,24.0,1.0,3.0,5.0,25.0,7.0,14.0,1.0,1.0,2.0,14.0,4.0,86.0,1.0,52.0,3.0,3.0,11.0,4.0,3.0,22.0,40.0,52.0,,191.0,,16.0,26.0,40.0,39.0,10.0,1.0,10.0,21.0,9.0,3.0,1.0,9.0,12.0,1.0,7.0,10.0,2.0,3.0,14.0,0.0,2.0,,,,,,,,3.0,,2.0,,4.0,2.0,,3.0,4.0,,,,,,,,2.0,,2.0,,,2.0,,3.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Los Angeles FC,Los_Angeles_FC,399pgumsrvtb9kcx58vw5cmlm,M. Bogusz,Midfielder,19,14.0,35.0,4.0,4.0,28.0,39.0,4.0,14.0,4.0,3.0,4.0,19.0,5.0,154.0,7.0,94.0,3.0,3.0,16.0,2.0,3.0,21.0,76.0,93.0,,269.0,,17.0,67.0,75.0,72.0,10.0,3.0,16.0,32.0,7.0,3.0,4.0,28.0,18.0,1.0,22.0,16.0,2.0,3.0,19.0,0.0,8.0,1.0,,,,1.0,,5.0,7.0,11.0,6.0,6.0,8.0,4.0,7.0,4.0,5.0,2.0,,,4.0,5.0,1.0,0.0,1.0,,1.0,3.0,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Los Angeles FC,Los_Angeles_FC,9bsl9l00l69qc7odmqzez5xp1,D. Bouanga,Forward,99,17.0,45.0,4.0,3.0,33.0,49.0,4.0,11.0,4.0,12.0,1.0,22.0,3.0,141.0,15.0,64.0,6.0,3.0,26.0,1.0,3.0,6.0,46.0,62.0,3.0,256.0,2.0,11.0,35.0,44.0,45.0,10.0,2.0,13.0,39.0,35.0,3.0,1.0,14.0,18.0,,19.0,16.0,8.0,3.0,29.0,1.0,5.0,5.0,,2.0,,6.0,,,3.0,,7.0,,17.0,3.0,4.0,14.0,7.0,1.0,,,3.0,,6.0,0.0,1.0,,1.0,1.0,1.0,5.0,,1.0,1.0,,,,,,,,1.0,,,,,,3.0,,6.0,,1.0,,3.0,2.0,,,,,,,,,,,,,2.0,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Los Angeles FC,Los_Angeles_FC,6jbob98hqg50s3fg4hug5oel1,G. Chiellini,Defender,14,17.0,18.0,4.0,2.0,52.0,27.0,10.0,48.0,4.0,,10.0,6.0,1.0,143.0,1.0,114.0,9.0,3.0,5.0,3.0,3.0,7.0,87.0,108.0,9.0,219.0,1.0,5.0,39.0,81.0,71.0,10.0,1.0,4.0,9.0,1.0,,16.0,50.0,27.0,16.0,17.0,13.0,1.0,3.0,5.0,0.0,,,,,,,,,2.0,,4.0,,,1.0,2.0,,,,,,1.0,,,,,,1.0,3.0,,,1.0,2.0,,,,,,,,,3.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Los Angeles FC,Los_Angeles_FC,5s5sc7zxuw8cr7vyzeofb8hnu,D. Crisostomo,Midfielder,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Los Angeles FC,Los_Angeles_FC,6nmcuw8asxh6k3l5khx5atmfp,M. Crépeau,Goalkeeper,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Los Angeles FC,Los_Angeles_FC,er0xm9k5zv8kcvcy7bnwp086i,E. Dueñas,Defender,18,2.0,7.0,,1.0,3.0,3.0,,7.0,,,,3.0,1.0,21.0,,13.0,1.0,,2.0,,2.0,4.0,11.0,13.0,1.0,40.0,,4.0,4.0,11.0,11.0,10.0,,4.0,6.0,,,,2.0,2.0,,2.0,5.0,,2.0,2.0,0.0,,,,,,,,,1.0,,,,1.0,,,,2.0,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Los Angeles FC,Los_Angeles_FC,2axpdlm1cc3n8zi8rvwonjx90,M. Fall,Defender,5,2.0,1.0,,,,3.0,,2.0,,1.0,1.0,1.0,,8.0,1.0,6.0,1.0,,,,2.0,4.0,3.0,6.0,1.0,10.0,,,2.0,3.0,3.0,10.0,,,,1.0,,,2.0,3.0,,3.0,1.0,,2.0,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Leagues_Cup,2023,Los Angeles FC,Los_Angeles_FC,cinzr4hnryu433l6z40j5x49h,Mario González,Forward,0,6.0,7.0,1.0,,4.0,10.0,,3.0,1.0,2.0,,1.0,1.0,25.0,3.0,14.0,5.0,1.0,1.0,,1.0,3.0,8.0,12.0,4.0,79.0,,6.0,5.0,6.0,8.0,10.0,,1.0,2.0,4.0,1.0,,1.0,6.0,,6.0,5.0,1.0,1.0,2.0,0.0,,,,,1.0,,2.0,,1.0,,,,1.0,,2.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
