root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Corners Taken (incl short corners),Successful Dribbles,Duels lost,PutThrough/Blocked Distribution,Touches,Time Played,Ground Duels lost,Backward Passes,Total Fouls Won,Successful Crosses & Corners,Successful Passes Own Half,Successful Short Passes,Unsuccessful Short Passes,Tackles Lost,Goals Conceded Inside Box,Penalty Goals Conceded,Starts,Key Passes (Attempt Assists),Total Touches In Opposition Box,Ground Duels won,Total Tackles,Successful Crosses open play,Tackles Won,Unsuccessful Passes Opposition Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Substitute Off,Forward Passes,Unsuccessful Long Passes,Total Clearances,Total Passes,Throw Ins to Own Player,Unsuccessful Passes Own Half,Successful Lay-offs,Aerial Duels,Index,Successful Passes Opposition Half,Total Losses Of Possession,Blocked Shots,Goals Conceded,Aerial Duels lost,Ground Duels,Interceptions,Duels won,Unsuccessful Crosses open play,Unsuccessful Dribbles,Leftside Passes,Aerial Duels won,Unsuccessful Launches,Total Shots,Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Times Tackled,Recoveries,Unsuccessful Crosses & Corners,Appearances,Games Played,Blocks,Total Fouls Conceded,PutThrough/Blocked Distribution Won,Duels,Successful Open Play Passes,Successful Long Passes,Corners Won,Shots Off Target (inc woodwork),Rightside Passes,Winning Goal,Successful Launches,Clean Sheets,Saves Made from Outside Box,Saves made - parried,Saves Made,GK Successful Distribution,Goal Kicks,Catches,Punches,GK Unsuccessful Distribution,Saves Made from Inside Box,Substitute On,Foul Attempted Tackle,Shots On Target ( inc goals ),Goals from Inside Box,Handballs conceded,Right Foot Goals,Goals,Assists (Intentional),Yellow Cards,Goal Assists,Attempts from Set Pieces,Home Goals,Away Goals,Unsuccessful Corners into Box,Penalty Goals,Offsides,Penalties Taken,Successful Corners into Box,Throw Ins to Opposition Player,Own Goal Scored,Headed Goals,Second Goal Assists,Left Foot Goals,Penalties Conceded,Penalties Faced,Goals Conceded Outside Box,Through balls,Goalkeeper Smother,Foul Won Penalty,Clearances Off the Line,Saves from Penalty,Penalties Saved,Unsuccessful lay-offs,Last Man Tackle,Total Red Cards,Straight Red Cards,Drops,Saves made - caught,Goals from Outside Box,Hit Woodwork,Red Cards - 2nd Yellow,Fifty Fifty,Successful Fifty Fifty,Overruns,Crosses not Claimed,Set Pieces Goals
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Honduras,Honduras,1yhtzq33ssznnl1pkg6fjz26t,B. Acosta,Midfielder,6,,,5.0,3.0,71.0,95.0,4.0,5.0,2.0,,22.0,41.0,9.0,2.0,1.0,,1.0,,1.0,4.0,2.0,,,14.0,12.0,1.0,18.0,3.0,2.0,59.0,,,,2.0,10.0,25.0,15.0,,1.0,1.0,8.0,,5.0,2.0,,17.0,1.0,,,57.0,47.0,1.0,8.0,2.0,3.0,3.0,,2.0,2.0,10.0,45.0,6.0,,,19.0,0.0,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Honduras,Honduras,6bh7tqzaroapduxnax1hdbyl1,C. Altamirano,Midfielder,5,,,,,10.0,9.0,,1.0,,,2.0,6.0,,,,,,,,1.0,1.0,,1.0,2.0,,,1.0,,,6.0,,,,,10.0,4.0,2.0,1.0,,,1.0,,1.0,2.0,,,,,,6.0,6.0,,1.0,2.0,1.0,1.0,,,,1.0,6.0,,,,4.0,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Honduras,Honduras,2y6kfz5hnxko88564nhbslo0l,J. Bengtson,Forward,11,,1.0,5.0,1.0,57.0,174.0,3.0,17.0,2.0,,15.0,28.0,11.0,,3.0,,2.0,,8.0,3.0,,,,12.0,12.0,2.0,10.0,1.0,3.0,41.0,,,,9.0,10.0,14.0,13.0,1.0,3.0,2.0,6.0,,10.0,,,7.0,7.0,,5.0,36.0,29.0,1.0,,,3.0,3.0,,2.0,,15.0,24.0,1.0,1.0,2.0,7.0,0.0,,,,,,,,,,,,1.0,1.0,3.0,1.0,,,1.0,,,,,1.0,0.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Honduras,Honduras,7cjlewnhcjtycqfbj8mkc9rs9,J. Benguché,Forward,12,,7.0,13.0,2.0,59.0,149.0,10.0,9.0,4.0,,3.0,14.0,10.0,,3.0,,2.0,,7.0,11.0,,,,10.0,10.0,1.0,10.0,,,24.0,,1.0,,9.0,10.0,11.0,23.0,3.0,4.0,3.0,21.0,,17.0,1.0,4.0,2.0,6.0,,4.0,22.0,14.0,7.0,4.0,1.0,2.0,2.0,,3.0,1.0,30.0,12.0,,,2.0,3.0,0.0,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Honduras,Honduras,80jh6qz31xli246tgd2oze8d1,R. Castillo,Forward,9,,,5.0,1.0,24.0,58.0,3.0,2.0,3.0,,4.0,10.0,2.0,,,,,,3.0,6.0,3.0,,3.0,3.0,2.0,,1.0,,,12.0,,,1.0,4.0,10.0,6.0,5.0,1.0,,2.0,9.0,,8.0,1.0,,3.0,2.0,,1.0,12.0,10.0,,5.0,1.0,2.0,2.0,,2.0,,13.0,10.0,,,1.0,6.0,0.0,,,,,,,,,,,,2.0,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Honduras,Honduras,f3sg4uf5o93fju935tixltgbt,W. Decas,Defender,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Honduras,Honduras,aoe90w0oopw8h5ipktpmme9cl,A. Elis,Forward,7,,3.0,22.0,4.0,75.0,166.0,18.0,7.0,7.0,,5.0,24.0,9.0,,4.0,,2.0,2.0,10.0,10.0,,,,11.0,10.0,1.0,8.0,1.0,2.0,35.0,,1.0,3.0,8.0,10.0,20.0,31.0,,5.0,4.0,28.0,,14.0,2.0,9.0,11.0,4.0,,2.0,35.0,25.0,12.0,9.0,2.0,2.0,2.0,,6.0,1.0,36.0,25.0,1.0,3.0,1.0,9.0,0.0,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,0.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,1.0,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Honduras,Honduras,95a3nej1bfuhho7bth2ybyv2t,O. Elvir,Defender,19,,1.0,7.0,1.0,150.0,211.0,5.0,23.0,,1.0,59.0,90.0,11.0,1.0,3.0,,2.0,4.0,2.0,2.0,1.0,1.0,,18.0,12.0,,28.0,1.0,2.0,109.0,12.0,2.0,,2.0,10.0,39.0,27.0,1.0,3.0,2.0,7.0,3.0,2.0,8.0,3.0,6.0,,,,105.0,97.0,4.0,9.0,8.0,3.0,3.0,,1.0,1.0,9.0,94.0,7.0,,,52.0,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Honduras,Honduras,202fppogvtu6vm32hr1gvy6l1,D. Flores,Midfielder,20,,2.0,15.0,6.0,243.0,270.0,13.0,29.0,8.0,,82.0,155.0,9.0,2.0,5.0,,3.0,3.0,,21.0,11.0,,9.0,22.0,25.0,,61.0,16.0,1.0,196.0,1.0,3.0,2.0,7.0,10.0,89.0,30.0,,6.0,2.0,34.0,6.0,26.0,,2.0,50.0,5.0,2.0,4.0,188.0,171.0,3.0,29.0,,3.0,3.0,,5.0,5.0,41.0,164.0,16.0,,4.0,56.0,0.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,4.0,2.0,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2023 USA,Honduras,Honduras,2wp1nfc3m2u5zzmwbot9lgq21,F. Flores,Defender,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
