liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Successful Passes Own Half,Backward Passes,Tackles Lost,Total Fouls Conceded,Ground Duels lost,PutThrough/Blocked Distribution Won,Time Played,Aerial Duels,Corners Won,Total Successful Passes ( Excl Crosses & Corners ) ,Total Losses Of Possession,Assists (Intentional),Times Tackled,Goal Assists,Goals Conceded Inside Box,Goals Conceded,Total Fouls Won,Blocks,Rightside Passes,Starts,Goals from Outside Box,Unsuccessful Passes Opposition Half,Successful Launches,Unsuccessful Passes Own Half,Duels,Total Touches In Opposition Box,Unsuccessful Short Passes,PutThrough/Blocked Distribution,Recoveries,Ground Duels won,Ground Duels,Index,Duels lost,Foul Attempted Tackle,Total Passes,Unsuccessful Dribbles,Total Tackles,Clean Sheets,Tackles Won,Shots On Target ( inc goals ),Blocked Shots,Unsuccessful Long Passes,Duels won,Successful Dribbles,Successful Open Play Passes,Leftside Passes,Total Shots,Goals Conceded Outside Box,Total Clearances,Key Passes (Attempt Assists),Open Play Passes,Touches,Aerial Duels lost,Forward Passes,Appearances,Successful Long Passes,Successful Short Passes,Aerial Duels won,Interceptions,Right Foot Goals,Successful Passes Opposition Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Home Goals,Away Goals,Winning Goal,Shots Off Target (inc woodwork),Saves Made from Outside Box,Unsuccessful Launches,Saves Made,Saves made - parried,Punches,Saves Made from Inside Box,GK Successful Distribution,GK Unsuccessful Distribution,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful lay-offs,Successful Lay-offs,Unsuccessful Corners into Box,Corners Taken (incl short corners),Attempts from Set Pieces,Throw Ins to Opposition Player,Successful Crosses & Corners,Throw Ins to Own Player,Successful Corners into Box,Goals from Inside Box,Headed Goals,Offsides,Catches,Drops,Penalties Faced,Penalties Saved,Saves from Penalty,Penalties Conceded,Saves made - caught,Clearances Off the Line,Through balls,Successful Crosses open play,Penalty Goals Conceded,Handballs conceded,Hit Woodwork,Second Goal Assists,Left Foot Goals,Penalties Taken,Foul Won Penalty,Penalty Goals
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,United States Under 23,5rslwexx17p7hqwp9p3vgcxuy,J. Araujo,Defender,2.0,3.0,,,,,,1.0,,50.0,19.0,4.0,6.0,8.0,3.0,187.0,8.0,2.0,83.0,37.0,,1.0,,,1.0,4.0,,2.0,2.0,,27.0,,3.0,29.0,1.0,17.0,12.0,10.0,13.0,21.0,10.0,10.0,3.0,107.0,1.0,7.0,1.0,3.0,,1.0,7.0,19.0,3.0,80.0,42.0,,1.0,2.0,2.0,104.0,170.0,2.0,44.0,3.0,3.0,80.0,6.0,4.0,,35.0,24.0,0.0,0.0,0.0,,,,,,,,,,6.0,6.0,,,,,,1.0,2.0,18.0,,,,,,,,,,,,,,2.0,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,United States Under 23,f2sspwt1mtyf9y3z4xe1csgh6,H. Dotson,Midfielder,18.0,4.0,2.0,,,,,1.0,3.0,30.0,14.0,3.0,1.0,11.0,2.0,258.0,2.0,,75.0,33.0,,8.0,,2.0,3.0,6.0,2.0,22.0,3.0,,17.0,,6.0,32.0,5.0,17.0,7.0,14.0,19.0,30.0,10.0,11.0,1.0,95.0,3.0,10.0,,7.0,2.0,,3.0,21.0,3.0,74.0,29.0,3.0,1.0,3.0,2.0,94.0,146.0,,30.0,4.0,5.0,70.0,2.0,3.0,2.0,46.0,20.0,0.0,2.0,0.0,1.0,,,,,,,,,3.0,3.0,,1.0,,,,,1.0,,,2.0,,,,,,,,,,,1.0,1.0,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,United States Under 23,5wttdjpftd57c2t5959sm2yg9,J. Ferreira,Forward,9.0,4.0,1.0,1.0,,,,1.0,2.0,18.0,13.0,,5.0,10.0,,231.0,2.0,,37.0,13.0,,2.0,,2.0,2.0,2.0,,14.0,3.0,,8.0,,2.0,18.0,5.0,9.0,1.0,7.0,6.0,16.0,10.0,12.0,3.0,46.0,1.0,4.0,,4.0,2.0,1.0,,6.0,,34.0,12.0,5.0,,1.0,2.0,42.0,67.0,2.0,7.0,4.0,3.0,34.0,,2.0,1.0,19.0,9.0,1.0,0.0,1.0,3.0,,,,,,,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,United States Under 23,8jcyfhvczj2dw1gmxrmna2609,M. Freese,Goalkeeper,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,United States Under 23,bkgs0bu84fid8674okqo4r7x1,J. Glad,Defender,4.0,3.0,,1.0,,,,,,127.0,8.0,1.0,2.0,6.0,,270.0,12.0,1.0,222.0,30.0,,1.0,,2.0,2.0,1.0,2.0,54.0,3.0,,15.0,,12.0,21.0,2.0,16.0,,20.0,3.0,9.0,10.0,11.0,1.0,249.0,1.0,2.0,2.0,1.0,1.0,,11.0,10.0,,216.0,88.0,2.0,,7.0,,242.0,276.0,5.0,99.0,3.0,16.0,206.0,7.0,5.0,,95.0,27.0,0.0,0.0,0.0,1.0,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,United States Under 23,4eaw6l0418q57ktjma0k5lnt,A. Herrera,Defender,17.0,3.0,,1.0,,,,,,52.0,17.0,2.0,3.0,12.0,2.0,270.0,7.0,4.0,89.0,52.0,,8.0,,2.0,3.0,4.0,1.0,23.0,3.0,,22.0,,7.0,31.0,3.0,17.0,4.0,13.0,12.0,24.0,10.0,16.0,2.0,111.0,5.0,5.0,1.0,3.0,,,5.0,15.0,3.0,81.0,33.0,1.0,1.0,9.0,1.0,103.0,208.0,4.0,38.0,3.0,12.0,77.0,3.0,6.0,,38.0,22.0,0.0,0.0,0.0,1.0,,2.0,,,,,,,7.0,7.0,,,,,,3.0,1.0,28.0,,,,,,,,,,,,,,1.0,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,United States Under 23,1s1fyh1gza8ll4aeenib2vmcp,J. Lewis,Forward,7.0,4.0,,,,,,1.0,3.0,3.0,17.0,,3.0,19.0,2.0,270.0,3.0,2.0,35.0,42.0,,14.0,,2.0,2.0,4.0,,13.0,3.0,,21.0,,2.0,40.0,12.0,18.0,5.0,12.0,18.0,37.0,10.0,21.0,,54.0,5.0,5.0,,5.0,,1.0,1.0,19.0,9.0,35.0,13.0,4.0,,,,54.0,109.0,2.0,11.0,4.0,1.0,34.0,1.0,,,33.0,19.0,0.0,0.0,0.0,4.0,,,,,,,,,4.0,4.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,United States Under 23,4mca2qok2asjbj10hjwil0a95,J. Marcinkowski,Goalkeeper,1.0,1.0,,,,,,,,20.0,,,,,,90.0,,,21.0,1.0,,,,,,,,4.0,1.0,,1.0,,,,,,,4.0,,,10.0,,,22.0,,,1.0,,,,1.0,,,16.0,10.0,,,1.0,,17.0,27.0,,8.0,1.0,3.0,18.0,,,,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,1.0,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,United States Under 23,b8vbhw29ucubzzmgv0nge1omh,D. Mihailović,Midfielder,8.0,4.0,1.0,,,,,1.0,2.0,16.0,15.0,2.0,5.0,11.0,6.0,222.0,2.0,3.0,43.0,39.0,1.0,5.0,2.0,1.0,2.0,6.0,,19.0,3.0,,26.0,,1.0,24.0,6.0,13.0,7.0,7.0,11.0,22.0,10.0,12.0,4.0,58.0,1.0,3.0,,1.0,1.0,,2.0,12.0,2.0,41.0,11.0,3.0,1.0,,3.0,55.0,114.0,1.0,13.0,4.0,4.0,39.0,1.0,2.0,1.0,30.0,15.0,0.0,1.0,0.0,2.0,,,,,,,,,12.0,,,2.0,4.0,8.0,1.0,,3.0,,3.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,
Concacaf_Olympic_Qualifying_Concacaf,2020 Tokyo,United States Under 23,d4xd9fxqjwfe7x46byn60dx49,D. Ochoa,Goalkeeper,20.0,3.0,,1.0,,,,,,63.0,,,,,,270.0,1.0,,65.0,15.0,,,,2.0,3.0,1.0,,18.0,3.0,,5.0,2.0,10.0,2.0,,3.0,,28.0,1.0,1.0,10.0,,,80.0,,,1.0,,,,12.0,2.0,,40.0,33.0,,1.0,2.0,,49.0,119.0,,29.0,3.0,14.0,51.0,1.0,,,2.0,15.0,0.0,0.0,0.0,,7.0,5.0,14.0,2.0,1.0,7.0,39.0,3.0,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,
