liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Throw Ins to Own Player,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Own Goal Scored,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Unsuccessful Passes Opposition Half,Recoveries,Starts,Unsuccessful Passes Own Half,Touches,Appearances,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Total Fouls Won,Aerial Duels won,Duels,Total Clearances,Goals Conceded,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Successful Launches,Shots Off Target (inc woodwork),Total Fouls Conceded,Total Shots,PutThrough/Blocked Distribution,Foul Attempted Tackle,Blocks,Total Touches In Opposition Box,Shots On Target ( inc goals ),Attempts from Set Pieces,Substitute On,Goals,Right Foot Goals,Yellow Cards,Goals from Inside Box,Assists (Intentional),Goal Assists,Unsuccessful Crosses open play,PutThrough/Blocked Distribution Won,Substitute Off,Key Passes (Attempt Assists),Unsuccessful Dribbles,Unsuccessful Crosses & Corners,Corners Won,Goals from Outside Box,Penalties Taken,Penalty Goals,Corners Taken (incl short corners),Unsuccessful Corners into Box,Saves Made,GK Successful Distribution,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Goalkeeper Smother,Successful Lay-offs,Total Red Cards,Blocked Shots,Straight Red Cards,Foul Won Penalty,Throw Ins to Opposition Player,Goals Conceded Outside Box,Clean Sheets,Successful Crosses & Corners,Successful Crosses open play,Left Foot Goals,Offsides,Handballs conceded,Hit Woodwork,Unsuccessful lay-offs,Punches,Catches,Saves Made from Outside Box,Through balls,Successful Corners into Box,Saves made - parried,Penalty Goals Conceded,Drops,Penalties Faced,Headed Goals,Penalties Conceded,Second Goal Assists,Red Cards - 2nd Yellow
Concacaf_Leagues_Cup_2019_2022,2019,CF América,9l8qfxmpixwldis1pfua1fs2d,P. Aguilar,Defender,22,189.0,5.0,69.0,7.0,20.0,3.0,6.0,1.0,2.0,16.0,36.0,5.0,9.0,71.0,1.0,51.0,3.0,15.0,8.0,10.0,4.0,2.0,5.0,96.0,2.0,9.0,32.0,10.0,12.0,5.0,1.0,6.0,17.0,6.0,3.0,2.0,3.0,24.0,55.0,56.0,8.0,2.0,5.0,3.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,CF América,6l5na1ucaovnml3tqjdyysbth,E. Aguilera,Defender,19,90.0,2.0,56.0,2.0,12.0,1.0,1.0,,1.0,5.0,40.0,1.0,4.0,57.0,,48.0,1.0,5.0,22.0,2.0,3.0,1.0,3.0,69.0,1.0,5.0,18.0,10.0,3.0,4.0,2.0,,6.0,3.0,1.0,1.0,2.0,15.0,51.0,52.0,1.0,1.0,3.0,,,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,CF América,3l0ic1vk57ensflic4gb7tu5l,N. Benedetti,Midfielder,14,24.0,,25.0,5.0,17.0,,,,,2.0,7.0,,2.0,26.0,2.0,24.0,1.0,2.0,12.0,2.0,3.0,,,30.0,1.0,3.0,4.0,10.0,2.0,,,,3.0,1.0,1.0,1.0,1.0,5.0,23.0,24.0,,,1.0,,,2.0,,,1.0,1.0,,,,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,CF América,bmjt6z99hy98ov718aiwfaaxh,N. Castillo,Forward,15,90.0,,10.0,8.0,6.0,,,,1.0,7.0,2.0,2.0,4.0,12.0,,8.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,22.0,1.0,8.0,,10.0,4.0,,2.0,1.0,10.0,,1.0,1.0,5.0,2.0,6.0,8.0,2.0,1.0,6.0,1.0,,3.0,,2.0,1.0,3.0,,1.0,,2.0,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,CF América,dta2hcu8sq62dx9diax5shk9,S. Córdova,Midfielder,17,133.0,,28.0,7.0,15.0,1.0,1.0,,1.0,19.0,9.0,1.0,4.0,29.0,3.0,24.0,1.0,5.0,3.0,8.0,5.0,2.0,2.0,54.0,2.0,17.0,8.0,10.0,9.0,,3.0,2.0,20.0,,1.0,2.0,10.0,11.0,23.0,24.0,3.0,,11.0,1.0,,7.0,,2.0,3.0,2.0,2.0,1.0,,2.0,,,,,,,,,,4.0,2.0,2.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,CF América,jhbalw35m9nb9o9l5uqi7omi,I. García,Forward,187,23.0,,,,,,,,,2.0,,,,,1.0,,1.0,,,,1.0,,,5.0,1.0,4.0,,10.0,2.0,,1.0,,4.0,,1.0,1.0,2.0,,,,,,2.0,,,2.0,,,1.0,,,1.0,,2.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,CF América,evsi15yzlgsbn8fj4phrhi39,R. González,Midfielder,25,165.0,,65.0,10.0,29.0,1.0,4.0,,1.0,16.0,28.0,3.0,7.0,68.0,,54.0,2.0,11.0,19.0,7.0,14.0,2.0,4.0,81.0,2.0,11.0,18.0,10.0,5.0,3.0,2.0,,12.0,,2.0,2.0,6.0,21.0,54.0,57.0,1.0,3.0,7.0,,1.0,5.0,,,4.0,,3.0,3.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,CF América,elow2avgk966z580pispq374l,A. Ibargüen,Midfielder,11,118.0,,38.0,13.0,22.0,,1.0,,,20.0,8.0,,7.0,38.0,5.0,30.0,3.0,8.0,11.0,5.0,8.0,1.0,4.0,66.0,2.0,16.0,5.0,10.0,8.0,,2.0,1.0,17.0,,3.0,2.0,9.0,9.0,30.0,30.0,1.0,,9.0,,,7.0,,,,2.0,2.0,,1.0,3.0,2.0,,1.0,2.0,2.0,,1.0,,,1.0,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,CF América,9gj6mqxbpu23prwdw5c6h3b9x,Renato Ibarra,Midfielder,30,86.0,1.0,15.0,8.0,8.0,,,,,9.0,7.0,1.0,1.0,16.0,,14.0,1.0,1.0,,3.0,5.0,1.0,,33.0,1.0,8.0,4.0,10.0,4.0,1.0,2.0,1.0,9.0,1.0,1.0,1.0,5.0,4.0,14.0,15.0,1.0,,5.0,1.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,CF América,eunmtkojftvpeiiwdz5x8klat,Ó. Jiménez,Goalkeeper,27,99.0,,9.0,,2.0,2.0,6.0,,,6.0,7.0,,,15.0,,7.0,2.0,6.0,4.0,4.0,12.0,1.0,2.0,26.0,1.0,,9.0,10.0,1.0,2.0,,1.0,1.0,3.0,2.0,1.0,,2.0,7.0,9.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
