liga,temporada,equipo,id,nombre,posicion,dorsal,Goal Assists,Yellow Cards,Goals Conceded Inside Box,Duels won,Unsuccessful Launches,Successful Short Passes,Leftside Passes,Times Tackled,Foul Attempted Tackle,Through balls,Unsuccessful Passes Opposition Half,Time Played,Games Played,Ground Duels won,Total Clearances,Substitute On,Backward Passes,Unsuccessful Crosses open play,Penalty Goals Conceded,Unsuccessful Passes Own Half,Index,Total Fouls Conceded,Total Passes,Open Play Passes,Duels,PutThrough/Blocked Distribution Won,Aerial Duels,Right Foot Goals,Rightside Passes,Total Losses Of Possession,Unsuccessful Dribbles,Corners Won,Throw Ins to Opposition Player,Successful Open Play Passes,Key Passes (Attempt Assists),Successful Passes Opposition Half,Substitute Off,Unsuccessful Crosses & Corners,Goals,Tackles Won,Total Successful Passes ( Excl Crosses & Corners ) ,Goals Conceded Outside Box,Unsuccessful Long Passes,Ground Duels,Goals from Inside Box,Assists (Intentional),Duels lost,Interceptions,Blocked Shots,Forward Passes,Successful Dribbles,Touches,Goals Conceded,PutThrough/Blocked Distribution,Successful Passes Own Half,Total Touches In Opposition Box,Penalties Conceded,Successful Long Passes,Recoveries,Appearances,Tackles Lost,Successful Crosses & Corners,Shots On Target ( inc goals ),Total Tackles,Successful Crosses open play,Starts,Ground Duels lost,Total Fouls Won,Throw Ins to Own Player,Clean Sheets,Unsuccessful Short Passes,Total Shots,Blocks,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Launches,Aerial Duels won,Aerial Duels lost,Home Goals,Away Goals,Winning Goal,Goals from Outside Box,Corners Taken (incl short corners),Successful Lay-offs,Left Foot Goals,Offsides,Shots Off Target (inc woodwork),Successful Corners into Box,Unsuccessful Corners into Box,Handballs conceded,Second Goal Assists,Clearances Off the Line,Foul Won Penalty,Penalty Goals,Set Pieces Goals,Attempts from Set Pieces,Penalties Taken,Total Red Cards,Straight Red Cards,GK Unsuccessful Distribution,Red Cards - 2nd Yellow,Hit Woodwork,Unsuccessful lay-offs,Drops,Last Man Tackle,GK Successful Distribution,Saves Made from Inside Box,Penalties Faced,Crosses not Claimed,Saves made - parried,Catches,Saves Made from Outside Box,Saves Made,Punches,Goalkeeper Smother,Saves made - caught,Headed Goals,Other Goals,Own Goal Scored,Saves from Penalty,Penalties Saved
Canada_Canadian_Premier_League,2022,FC Edmonton,32j84vpf75baas096m6dnurmy,B. Bissainthe,Midfielder,25,,5.0,34.0,91.0,42.0,687.0,377.0,9.0,14.0,1.0,124.0,1784.0,21.0,72.0,69.0,1.0,60.0,3.0,6.0,49.0,10.0,22.0,939.0,903.0,154.0,16.0,34.0,,132.0,200.0,3.0,2.0,3.0,739.0,6.0,282.0,3.0,3.0,2.0,33.0,769.0,2.0,95.0,120.0,2.0,,63.0,39.0,,370.0,6.0,1216.0,36.0,23.0,487.0,21.0,,82.0,123.0,21.0,20.0,,3.0,53.0,,20.0,48.0,13.0,5.0,1.0,75.0,9.0,6.0,170.0,6.0,19.0,15.0,2.0,0.0,2.0,,,1.0,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,
Canada_Canadian_Premier_League,2022,FC Edmonton,2bwli6laejcfs9eb6euey2lbe,Gabriel Bitar,Forward,30,1.0,2.0,32.0,124.0,4.0,274.0,80.0,68.0,8.0,3.0,104.0,1695.0,21.0,119.0,9.0,2.0,85.0,2.0,5.0,21.0,10.0,18.0,428.0,414.0,244.0,12.0,18.0,5.0,119.0,246.0,37.0,8.0,1.0,293.0,10.0,177.0,6.0,4.0,5.0,29.0,307.0,5.0,43.0,226.0,1.0,1.0,120.0,15.0,9.0,144.0,42.0,779.0,37.0,18.0,130.0,35.0,,33.0,103.0,21.0,18.0,,15.0,47.0,,19.0,107.0,30.0,3.0,2.0,78.0,26.0,4.0,121.0,1.0,5.0,13.0,3.0,2.0,0.0,4.0,2.0,1.0,,1.0,11.0,,1.0,,,,,,1.0,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,FC Edmonton,6cd1hn16e1opa0gzfkefmpnu,M. Camara,Midfielder,6,1.0,5.0,37.0,97.0,6.0,351.0,128.0,43.0,9.0,,83.0,2001.0,26.0,74.0,6.0,1.0,131.0,,7.0,22.0,10.0,27.0,475.0,456.0,234.0,13.0,78.0,3.0,107.0,208.0,18.0,8.0,,353.0,17.0,195.0,13.0,,4.0,23.0,370.0,2.0,19.0,156.0,4.0,,137.0,11.0,5.0,109.0,15.0,742.0,39.0,23.0,175.0,50.0,,19.0,93.0,26.0,11.0,,9.0,34.0,,25.0,82.0,25.0,1.0,3.0,86.0,16.0,4.0,105.0,1.0,23.0,55.0,3.0,1.0,0.0,,,16.0,1.0,12.0,7.0,,,1.0,,,1.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,FC Edmonton,2slqh5f14ohalcoabv7cy6cd0,K. Coore,Forward,45,,,7.0,8.0,1.0,20.0,4.0,5.0,1.0,,9.0,324.0,10.0,5.0,2.0,7.0,14.0,1.0,2.0,4.0,10.0,4.0,32.0,27.0,28.0,1.0,14.0,,6.0,32.0,2.0,,,15.0,,12.0,3.0,1.0,2.0,,20.0,2.0,2.0,14.0,2.0,,20.0,,1.0,8.0,,75.0,9.0,1.0,8.0,12.0,,,8.0,10.0,,,3.0,,,3.0,9.0,5.0,,,10.0,7.0,,12.0,,3.0,11.0,1.0,1.0,0.0,,,2.0,1.0,3.0,4.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,
Canada_Canadian_Premier_League,2022,FC Edmonton,4psxp4uu3y57nklhw6n3ow1zo,K. Egwu,Defender,2,,,2.0,5.0,2.0,26.0,9.0,,,,7.0,90.0,1.0,4.0,3.0,,4.0,,,4.0,10.0,1.0,44.0,43.0,9.0,,2.0,,16.0,12.0,,,,32.0,,12.0,,,,3.0,33.0,,6.0,7.0,,,4.0,3.0,,15.0,,58.0,2.0,,21.0,2.0,,7.0,3.0,1.0,,,,3.0,,1.0,3.0,1.0,,,5.0,,,11.0,,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,FC Edmonton,9g6clvx09d2ou7dlk3rnnmdt6,T. Fayia,Defender,19,1.0,,21.0,54.0,16.0,263.0,95.0,11.0,8.0,,44.0,1165.0,22.0,50.0,27.0,7.0,94.0,15.0,4.0,26.0,10.0,15.0,330.0,323.0,104.0,14.0,20.0,,21.0,106.0,7.0,4.0,14.0,268.0,9.0,143.0,12.0,15.0,,23.0,275.0,2.0,22.0,84.0,,1.0,50.0,17.0,,120.0,3.0,631.0,23.0,20.0,142.0,15.0,,12.0,58.0,22.0,7.0,10.0,2.0,30.0,10.0,15.0,34.0,17.0,103.0,1.0,33.0,2.0,2.0,55.0,5.0,4.0,16.0,,,0.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,FC Edmonton,69kkn2i96sg564fexcheqbo4p,A. González,Midfielder,11,2.0,2.0,20.0,43.0,4.0,211.0,25.0,28.0,2.0,1.0,84.0,1307.0,23.0,42.0,2.0,10.0,94.0,14.0,5.0,8.0,10.0,11.0,290.0,274.0,89.0,13.0,5.0,1.0,96.0,144.0,15.0,16.0,,215.0,9.0,163.0,12.0,33.0,3.0,7.0,231.0,1.0,10.0,84.0,3.0,1.0,46.0,8.0,8.0,75.0,9.0,503.0,21.0,19.0,78.0,24.0,1.0,20.0,49.0,23.0,5.0,10.0,10.0,12.0,3.0,13.0,42.0,21.0,1.0,,49.0,22.0,,59.0,,1.0,4.0,1.0,2.0,0.0,,24.0,3.0,1.0,9.0,12.0,6.0,15.0,1.0,,,,,,5.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,
Canada_Canadian_Premier_League,2022,FC Edmonton,8e1nhx9eytr8now1kr0088auh,N. Higgins,Defender,18,1.0,4.0,39.0,80.0,33.0,547.0,256.0,6.0,23.0,1.0,118.0,2082.0,24.0,49.0,77.0,1.0,75.0,9.0,8.0,55.0,10.0,37.0,778.0,742.0,159.0,9.0,55.0,,132.0,217.0,,8.0,19.0,584.0,2.0,183.0,2.0,9.0,,19.0,614.0,5.0,85.0,104.0,,1.0,79.0,41.0,1.0,315.0,5.0,1088.0,44.0,15.0,432.0,18.0,1.0,67.0,92.0,24.0,16.0,1.0,4.0,35.0,1.0,23.0,55.0,9.0,25.0,4.0,79.0,6.0,19.0,164.0,9.0,31.0,24.0,,,0.0,,,,,2.0,2.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,
Canada_Canadian_Premier_League,2022,FC Edmonton,20nun88umv5313rqiqfilzyfo,J. Holliday,Goalkeeper,90,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,FC Edmonton,4g57cr61ps0y0w29dv3f5s3c9,M. Kacher,Midfielder,7,,,19.0,22.0,3.0,167.0,42.0,24.0,4.0,,55.0,870.0,23.0,19.0,2.0,14.0,66.0,10.0,2.0,17.0,10.0,11.0,231.0,224.0,72.0,3.0,12.0,1.0,58.0,117.0,10.0,8.0,,177.0,10.0,122.0,7.0,25.0,1.0,8.0,184.0,1.0,7.0,60.0,1.0,,50.0,3.0,6.0,65.0,4.0,368.0,20.0,10.0,70.0,17.0,,17.0,37.0,23.0,2.0,8.0,3.0,10.0,2.0,9.0,41.0,5.0,1.0,,40.0,12.0,1.0,47.0,1.0,3.0,9.0,1.0,0.0,0.0,,17.0,2.0,,,9.0,5.0,12.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,FC Edmonton,b8ng5b590ybwu58v2388psrca,M. Kane,Forward,9,,1.0,5.0,22.0,,65.0,24.0,6.0,3.0,,30.0,368.0,18.0,18.0,4.0,16.0,28.0,2.0,1.0,4.0,10.0,3.0,104.0,104.0,47.0,4.0,14.0,,22.0,52.0,3.0,,,72.0,5.0,49.0,3.0,2.0,,7.0,72.0,1.0,3.0,33.0,,,25.0,,2.0,30.0,2.0,168.0,6.0,11.0,27.0,5.0,,7.0,15.0,18.0,5.0,4.0,,12.0,4.0,2.0,15.0,5.0,3.0,,29.0,2.0,,32.0,,4.0,10.0,,,0.0,,,3.0,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,FC Edmonton,2gd6p7oi29nml06jp1fk9o1ec,C. Loughrey,Defender,14,1.0,5.0,24.0,45.0,21.0,311.0,115.0,5.0,11.0,1.0,83.0,1297.0,24.0,26.0,32.0,12.0,28.0,,2.0,47.0,10.0,15.0,494.0,471.0,87.0,6.0,32.0,,138.0,150.0,1.0,1.0,,352.0,3.0,124.0,1.0,,,11.0,364.0,3.0,75.0,55.0,,1.0,42.0,21.0,,213.0,1.0,643.0,27.0,14.0,240.0,7.0,,53.0,73.0,24.0,6.0,,,17.0,,12.0,29.0,8.0,,1.0,55.0,3.0,12.0,130.0,3.0,19.0,13.0,,,0.0,,,1.0,,,3.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,
