liga,temporada,equipo,id,nombre,posicion,dorsal,Goals Conceded,Forward Passes,Interceptions,Substitute On,Total Losses Of Possession,Total Passes,Successful Launches,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Open Play Passes,Unsuccessful Passes Opposition Half,Throw Ins to Own Player,Own Goal Scored,Games Played,Unsuccessful Launches,Open Play Passes,Blocks,Goals Conceded Inside Box,Successful Long Passes,Unsuccessful Long Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Time Played,Successful Passes Opposition Half,Touches,Index,Appearances,Winning Goal,Goal Kicks,Saves made - parried,Penalties Faced,Successful Passes Own Half,Total Clearances,GK Successful Distribution,Penalty Goals Conceded,Rightside Passes,GK Unsuccessful Distribution,Recoveries,Unsuccessful Passes Own Half,Goals Conceded Outside Box,Successful Short Passes,Saves Made from Inside Box,Punches,Duels,Duels won,Aerial Duels,Starts,Saves Made,Aerial Duels won,Saves Made from Outside Box,Leftside Passes,Tackles Won,Foul Attempted Tackle,Tackles Lost,Total Tackles,Total Fouls Conceded,Handballs conceded,Duels lost,Total Touches In Opposition Box,Ground Duels lost,Ground Duels won,Substitute Off,Aerial Duels lost,Unsuccessful Short Passes,Ground Duels,Successful Lay-offs,Shots Off Target (inc woodwork),Clean Sheets,Backward Passes,Yellow Cards,Offsides,PutThrough/Blocked Distribution,Total Shots,Shots On Target ( inc goals ),PutThrough/Blocked Distribution Won,Unsuccessful Dribbles,Unsuccessful lay-offs,Times Tackled,Successful Dribbles,Unsuccessful Crosses & Corners,Corners Taken (incl short corners),Successful Crosses & Corners,Unsuccessful Crosses open play,Total Fouls Won,Successful Corners into Box,Through balls,Penalties Conceded,Blocked Shots,Penalties Taken,Throw Ins to Opposition Player,Clearances Off the Line,Overruns,Key Passes (Attempt Assists),Catches,Crosses not Claimed,Last Player Tackle,Right Foot Goals,Goals from Inside Box,Goals,Corners Won,Penalty Goals,Home Goals,Away Goals,Assists (Intentional),Attempts from Set Pieces,Unsuccessful Corners into Box,Goal Assists,Successful Crosses open play,Goals from Outside Box,Saves from Penalty,Penalties Saved,Total Red Cards,Straight Red Cards,Saves made - caught,Headed Goals,Second Goal Assists,Goalkeeper Smother,Foul Won Penalty,Red Cards - 2nd Yellow,Penalties Off Target,Hit Woodwork,Left Foot Goals,Carries,Progressive Carries,Total Big Chances Created,Total Big Chances Scored,Final Third Touches,Total Big Chances Missed,Drops,Total Big Chances Saved,Goals Openplay,Set Pieces Goals,Direct Setpiece Goals
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bahamas,f1mlk26xk9kn0bm138n2vkg7o,A. Adderley,Goalkeeper,0,7.0,8.0,,,5.0,16.0,,5.0,2.0,1.0,,,1.0,2.0,5.0,,6.0,1.0,4.0,11.0,90.0,1.0,31.0,10.0,1.0,0.0,8.0,2.0,1.0,10.0,,16.0,1.0,3.0,,13.0,4.0,1.0,10.0,3.0,,2.0,2.0,1.0,1.0,4.0,1.0,1.0,5.0,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bahamas,4to1rddw8moaqvordt86xu3h0,B. Adderley,Forward,0,3.0,6.0,1.0,1.0,9.0,15.0,,4.0,9.0,4.0,1.0,,2.0,,13.0,,3.0,,,11.0,110.0,4.0,30.0,16.0,2.0,0.0,,,,7.0,,,,1.0,,4.0,,,11.0,,,10.0,3.0,6.0,1.0,,1.0,,5.0,,1.0,1.0,1.0,1.0,,7.0,2.0,2.0,2.0,1.0,5.0,4.0,4.0,1.0,1.0,,3.0,,1.0,2.0,2.0,1.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bahamas,j0i5b3n930nvupo0emi67uvo,J. Anton,Midfielder,0,1.0,,,1.0,2.0,2.0,,,2.0,,1.0,,1.0,,2.0,,,,,2.0,4.0,,5.0,10.0,1.0,0.0,,,,2.0,,,,1.0,,,,1.0,2.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bahamas,92ckven6s4xegknrhxdqiyqs4,W. Bayles,Midfielder,0,11.0,8.0,2.0,,11.0,30.0,,7.0,19.0,3.0,,,2.0,1.0,25.0,,10.0,2.0,2.0,23.0,148.0,5.0,48.0,10.0,2.0,0.0,,,,18.0,2.0,,,5.0,,2.0,4.0,1.0,21.0,,,12.0,8.0,1.0,2.0,,1.0,,6.0,2.0,,1.0,3.0,,,4.0,,4.0,7.0,1.0,,5.0,11.0,,,,11.0,,,1.0,1.0,1.0,,,,3.0,2.0,,,,,2.0,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bahamas,b43irr7xbakvx59wohreplfx1,D. Beneby,Defender,0,1.0,1.0,,1.0,,4.0,,,4.0,,,,1.0,,4.0,,1.0,,,4.0,8.0,,4.0,1.0,1.0,0.0,,,,4.0,,,,3.0,,1.0,,,4.0,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bahamas,f1oq25ezl9vo54tcc3z2k8e8k,M. Butler,Goalkeeper,0,1.0,20.0,,,16.0,37.0,,14.0,6.0,8.0,,,1.0,2.0,8.0,,1.0,3.0,13.0,23.0,90.0,,53.0,90.0,1.0,0.0,17.0,3.0,,23.0,3.0,13.0,,7.0,7.0,9.0,6.0,,20.0,6.0,1.0,2.0,1.0,1.0,1.0,8.0,,2.0,10.0,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bahamas,aulfehu0ll1pop6g78hi76ga,Q. Carey,Midfielder,0,5.0,1.0,2.0,1.0,9.0,12.0,,3.0,9.0,1.0,1.0,,2.0,,12.0,,4.0,,1.0,9.0,83.0,5.0,26.0,12.0,2.0,0.0,,,,4.0,1.0,,1.0,,,3.0,2.0,1.0,9.0,,,8.0,2.0,5.0,1.0,,1.0,,5.0,1.0,,,1.0,,,6.0,,2.0,1.0,1.0,4.0,2.0,3.0,,,,6.0,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bahamas,5txh021e8zjkrgqepqzj3xr10,L. Carroll,Forward,0,8.0,3.0,1.0,1.0,6.0,18.0,,4.0,14.0,2.0,,,2.0,,18.0,1.0,7.0,1.0,2.0,14.0,116.0,2.0,33.0,10.0,2.0,0.0,,,,12.0,3.0,,,7.0,,6.0,2.0,1.0,13.0,,,6.0,3.0,,1.0,,,,6.0,3.0,,,3.0,1.0,,3.0,,3.0,3.0,1.0,,2.0,6.0,,,,2.0,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bahamas,acesimdzod3ryl0whn0aeaz2s,A. Cartwright,Midfielder,0,7.0,15.0,2.0,,14.0,27.0,1.0,7.0,20.0,5.0,5.0,,2.0,2.0,27.0,,6.0,2.0,3.0,20.0,149.0,8.0,49.0,8.0,2.0,0.0,,,,13.0,1.0,,1.0,,,6.0,2.0,1.0,18.0,,,10.0,3.0,2.0,2.0,,,,7.0,2.0,1.0,,2.0,2.0,,7.0,,5.0,3.0,2.0,2.0,4.0,8.0,,,,5.0,1.0,,2.0,,,,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_World_Cup_Qualifiers,2026 Canada-Mexico-USA,Bahamas,5vo5kqsehtihkoiwgj58rkil0,J. Cheetham,Defender,0,15.0,60.0,,2.0,44.0,83.0,2.0,35.0,45.0,30.0,,,4.0,11.0,73.0,5.0,13.0,7.0,26.0,48.0,198.0,15.0,138.0,1.0,4.0,0.0,2.0,,,33.0,18.0,,,13.0,2.0,14.0,6.0,2.0,41.0,,,31.0,15.0,5.0,2.0,,2.0,,6.0,8.0,3.0,3.0,11.0,4.0,,16.0,,13.0,13.0,,3.0,9.0,26.0,,,,4.0,1.0,,1.0,,,,1.0,,2.0,1.0,1.0,1.0,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
