liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Passes Own Half,Successful Short Passes,Unsuccessful Crosses open play,Goal Assists,Shots Off Target (inc woodwork),Duels,Goals from Inside Box,Left Foot Goals,Ground Duels,Second Goal Assists,Successful Long Passes,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Hit Woodwork,Starts,Ground Duels won,Total Fouls Won,Clean Sheets,Aerial Duels,Goals Conceded Inside Box,Total Shots,Aerial Duels lost,Through balls,Yellow Cards,Unsuccessful Short Passes,Total Clearances,PutThrough/Blocked Distribution Won,Substitute Off,Aerial Duels won,Unsuccessful lay-offs,Total Passes,Penalty Goals Conceded,Goals from Outside Box,Total Touches In Opposition Box,Set Pieces Goals,Assists (Intentional),Foul Attempted Tackle,Interceptions,Successful Launches,PutThrough/Blocked Distribution,Foul Won Penalty,Tackles Won,Penalty Goals,Touches,Goals Conceded Outside Box,Time Played,Recoveries,Successful Corners into Box,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Lay-offs,Successful Open Play Passes,Penalties Taken,Duels won,Leftside Passes,Unsuccessful Passes Opposition Half,Goals,Successful Passes Opposition Half,Successful Passes Own Half,Total Tackles,Unsuccessful Corners into Box,Unsuccessful Long Passes,Backward Passes,Index,Blocked Shots,Times Tackled,Penalties Off Target,Total Losses Of Possession,Successful Crosses & Corners,Unsuccessful Crosses & Corners,Ground Duels lost,Duels lost,Total Fouls Conceded,Successful Dribbles,Shots On Target ( inc goals ),Unsuccessful Launches,Games Played,Successful Crosses open play,Blocks,Offsides,Throw Ins to Own Player,Attempts from Set Pieces,Open Play Passes,Key Passes (Attempt Assists),Tackles Lost,Appearances,Corners Won,Rightside Passes,Corners Taken (incl short corners),Unsuccessful Dribbles,Forward Passes,Home Goals,Away Goals,Winning Goal,Substitute On,Throw Ins to Opposition Player,Clearances Off the Line,Right Foot Goals,Penalties Conceded,GK Successful Distribution,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves Made,Handballs conceded,Straight Red Cards,Total Red Cards,Other Goals,Red Cards - 2nd Yellow,Crosses not Claimed,Last Man Tackle,Goalkeeper Smother,Saves made - caught,Penalties Saved,Penalties Faced,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves from Penalty,Punches,Headed Goals,Own Goal Scored
USA_MLS,2018,Club de Foot Montréal,9odqxkb5kucctyhjx8t337emt,Q. Amarikwa,Forward,30,7.0,121.0,4.0,2.0,11.0,148.0,1.0,,100.0,,5.0,11.0,56.0,1.0,8.0,40.0,25.0,1.0,48.0,9.0,22.0,24.0,2.0,1.0,53.0,2.0,4.0,6.0,24.0,1.0,182.0,,,54.0,,2.0,9.0,3.0,,13.0,,9.0,,355.0,2.0,913.0,24.0,,126.0,4.0,112.0,,64.0,46.0,53.0,1.0,95.0,33.0,9.0,,3.0,51.0,86.0,4.0,,,133.0,2.0,4.0,60.0,84.0,25.0,6.0,11.0,1.0,24.0,2.0,,17.0,4.0,,167.0,8.0,,24.0,8.0,51.0,,14.0,34.0,,,,16.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Club de Foot Montréal,bzry98hy5bhb4mhil7j4ccfdh,M. Azira,Midfielder,32,23.0,410.0,4.0,,3.0,85.0,1.0,1.0,60.0,,27.0,19.0,66.0,,11.0,29.0,7.0,3.0,25.0,18.0,6.0,14.0,,4.0,42.0,12.0,9.0,2.0,11.0,,503.0,2.0,,6.0,,,15.0,20.0,1.0,14.0,,13.0,,635.0,1.0,998.0,72.0,,437.0,8.0,427.0,,40.0,137.0,47.0,1.0,231.0,207.0,20.0,,24.0,68.0,100.0,3.0,,,94.0,1.0,4.0,31.0,45.0,21.0,2.0,3.0,8.0,15.0,1.0,5.0,,2.0,,491.0,2.0,7.0,15.0,1.0,120.0,,,178.0,,,,4.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Club de Foot Montréal,6kb6kwmwjh4c6oyed5upl266t,E. Bush,Goalkeeper,1,107.0,291.0,,,,23.0,,,6.0,,251.0,53.0,351.0,,34.0,4.0,5.0,10.0,17.0,46.0,,4.0,,1.0,5.0,30.0,,,13.0,1.0,893.0,6.0,,,,,,3.0,92.0,,,,,1332.0,7.0,3060.0,351.0,,542.0,,309.0,,17.0,159.0,244.0,,131.0,411.0,,,346.0,,69.0,,,,371.0,,,2.0,6.0,1.0,,,170.0,34.0,,,,,,444.0,1.0,,34.0,,128.0,,,606.0,,,,,,,,,377.0,87.0,122.0,135.0,1.0,,,,,1.0,,6.0,12.0,2.0,8.0,3.0,21.0,45.0,43.0,2.0,11.0,,
USA_MLS,2018,Club de Foot Montréal,4ux10kolns6m5lgd64wumjfth,L. Béland-Goyette,Midfielder,25,4.0,35.0,,,,11.0,,,9.0,,,4.0,10.0,,,4.0,,,2.0,4.0,,2.0,,1.0,6.0,1.0,2.0,,,,45.0,,,,,,1.0,2.0,,4.0,,2.0,,61.0,,109.0,7.0,,35.0,2.0,35.0,,4.0,11.0,6.0,,16.0,19.0,4.0,,4.0,12.0,22.0,,,,14.0,,,5.0,7.0,1.0,,,,4.0,,,,1.0,,45.0,1.0,2.0,4.0,,10.0,,1.0,12.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Club de Foot Montréal,a7ndrncluu0dtbtf80fe9sjx1,V. Cabrera,Defender,2,33.0,322.0,,,,143.0,,,98.0,,53.0,21.0,85.0,,10.0,60.0,2.0,2.0,45.0,19.0,1.0,22.0,2.0,1.0,43.0,78.0,11.0,,23.0,,460.0,3.0,,2.0,,,8.0,47.0,10.0,14.0,,28.0,,696.0,2.0,920.0,67.0,,375.0,1.0,367.0,,83.0,172.0,52.0,,119.0,256.0,47.0,,42.0,37.0,49.0,,,,101.0,,,38.0,60.0,17.0,11.0,1.0,16.0,13.0,,8.0,,10.0,,452.0,2.0,19.0,13.0,1.0,47.0,,1.0,204.0,,,,3.0,4.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
USA_MLS,2018,Club de Foot Montréal,4bjmhb55kv6xfixdff153gudx,R. Camacho,Defender,4,49.0,658.0,,,4.0,75.0,,,35.0,,73.0,29.0,103.0,,18.0,15.0,3.0,5.0,40.0,24.0,6.0,17.0,1.0,2.0,75.0,76.0,5.0,1.0,23.0,,834.0,4.0,,12.0,,,7.0,31.0,5.0,9.0,,6.0,,999.0,5.0,1566.0,89.0,,731.0,,701.0,,38.0,197.0,54.0,,207.0,524.0,7.0,,28.0,40.0,47.0,3.0,,,113.0,,,20.0,37.0,13.0,6.0,2.0,11.0,18.0,,5.0,,1.0,,801.0,2.0,1.0,18.0,1.0,264.0,,1.0,333.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0
USA_MLS,2018,Club de Foot Montréal,6r8emgp7oeom6yyibdb4g77c9,D. Choinière,Midfielder,17,,3.0,,,,4.0,,,3.0,,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,4.0,,,,,,,,,,,,,7.0,,12.0,1.0,,3.0,,3.0,,1.0,2.0,1.0,,3.0,1.0,,,,,2.0,,,,2.0,1.0,,2.0,3.0,,1.0,,,1.0,1.0,,,,,4.0,,,1.0,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Club de Foot Montréal,eb5gnc53xeybw4q02lijnamay,M. Choinière,Midfielder,29,2.0,35.0,,,1.0,13.0,,,10.0,,3.0,3.0,4.0,,,3.0,2.0,,3.0,2.0,1.0,1.0,,,4.0,,3.0,,2.0,1.0,42.0,,,4.0,,,,4.0,,3.0,,1.0,,68.0,1.0,82.0,9.0,,38.0,3.0,38.0,,5.0,4.0,2.0,,20.0,18.0,2.0,,,16.0,100.0,1.0,,,15.0,,,7.0,8.0,1.0,,,,5.0,,,,,,42.0,1.0,1.0,5.0,1.0,16.0,,5.0,6.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Club de Foot Montréal,4rfq4eq0zbkzuks6074he336d,Z. Diallo,Defender,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Club de Foot Montréal,8x7ureyddmuodp6nl4rxfudw5,C. Diop,Goalkeeper,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
