liga,temporada,equipo,id,nombre,posicion,dorsal,PutThrough/Blocked Distribution Won,Unsuccessful Dribbles,Times Tackled,Successful Launches,Open Play Passes,Backward Passes,Total Passes,Aerial Duels lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Aerial Duels,Successful Open Play Passes,Tackles Won,Goals from Inside Box,Yellow Cards,Ground Duels won,Throw Ins to Opposition Player,Corners Won,Total Fouls Conceded,Goal Assists,Games Played,Through balls,Unsuccessful Crosses open play,Successful Crosses open play,Assists (Intentional),Successful Passes Own Half,Substitute Off,Unsuccessful Passes Opposition Half,Total Losses Of Possession,Foul Attempted Tackle,Duels lost,Unsuccessful Long Passes,Time Played,Total Touches In Opposition Box,Rightside Passes,Total Shots,PutThrough/Blocked Distribution,Appearances,Total Fouls Won,Total Successful Passes ( Excl Crosses & Corners ) ,Shots On Target ( inc goals ),Right Foot Goals,Aerial Duels won,Ground Duels,Key Passes (Attempt Assists),Leftside Passes,Touches,Throw Ins to Own Player,Blocks,Interceptions,Duels,Duels won,Successful Crosses & Corners,Clean Sheets,Unsuccessful Crosses & Corners,Successful Short Passes,Goals Conceded Inside Box,Ground Duels lost,Goals Conceded,Goals Conceded Outside Box,Offsides,Successful Long Passes,Unsuccessful Launches,Total Clearances,Forward Passes,Goals,Successful Passes Opposition Half,Shots Off Target (inc woodwork),Unsuccessful Short Passes,Unsuccessful Passes Own Half,Overruns,Total Tackles,Starts,Substitute On,Handballs conceded,Recoveries,Tackles Lost,Successful Dribbles,Index,Home Goals,Away Goals,Winning Goal,Corners Taken (incl short corners),Successful Lay-offs,Successful Corners into Box,Blocked Shots,Headed Goals,Unsuccessful lay-offs,Left Foot Goals,Unsuccessful Corners into Box,Set Pieces Goals,Goals from Outside Box,Attempts from Set Pieces,Penalties Taken,Hit Woodwork,Penalty Goals,Straight Red Cards,Penalties Conceded,Total Red Cards,GK Successful Distribution,Goal Kicks,Foul Won Penalty,Penalties Faced,Saves Made from Inside Box,Catches,Penalties Saved,Saves Made,Goalkeeper Smother,Saves Made from Outside Box,Saves made - parried,Saves made - caught,Saves from Penalty,Punches,Drops,GK Unsuccessful Distribution,Own Goal Scored,Clearances Off the Line,Last Man Tackle,Second Goal Assists,Penalty Goals Conceded,Other Goals,Penalties Off Target,Red Cards - 2nd Yellow,Last Player Tackle,Crosses not Claimed
Canada_Canadian_Premier_League,2023,HFX Wanderers FC,1afcpd3lls6cqp4wuawc91gwl,L. Callegari,Midfielder,6,20.0,15.0,40.0,3.0,1975.0,380.0,2046.0,12.0,263.0,26.0,1716.0,44.0,,8.0,122.0,1.0,6.0,52.0,6.0,27.0,9.0,19.0,5.0,4.0,969.0,1.0,240.0,400.0,36.0,147.0,80.0,2415.0,16.0,584.0,15.0,45.0,27.0,32.0,1783.0,5.0,,14.0,257.0,29.0,563.0,2462.0,6.0,4.0,34.0,283.0,136.0,22.0,6.0,47.0,1627.0,22.0,135.0,29.0,7.0,1.0,156.0,4.0,11.0,519.0,,836.0,10.0,183.0,70.0,4.0,69.0,27.0,,1.0,233.0,25.0,21.0,10.0,,,0.0,49.0,24.0,15.0,1.0,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
Canada_Canadian_Premier_League,2023,HFX Wanderers FC,3prrba15wxlc1asrqih8s371m,C. Campagna,Defender,4,2.0,1.0,6.0,2.0,258.0,18.0,270.0,4.0,49.0,14.0,209.0,9.0,,4.0,27.0,8.0,,15.0,,10.0,,3.0,,,148.0,2.0,26.0,74.0,7.0,34.0,19.0,539.0,1.0,47.0,1.0,5.0,10.0,4.0,221.0,,,10.0,57.0,,64.0,395.0,33.0,3.0,7.0,71.0,37.0,,1.0,3.0,202.0,6.0,30.0,11.0,5.0,1.0,19.0,6.0,17.0,141.0,,73.0,1.0,30.0,26.0,1.0,19.0,5.0,5.0,,24.0,10.0,4.0,10.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
Canada_Canadian_Premier_League,2023,HFX Wanderers FC,artfyfgwwhlhvfvttogbtiy38,T. Coimbra,Forward,19,17.0,6.0,24.0,,144.0,34.0,154.0,36.0,64.0,73.0,80.0,6.0,3.0,6.0,24.0,,2.0,27.0,1.0,20.0,2.0,4.0,,1.0,28.0,9.0,58.0,117.0,14.0,92.0,4.0,917.0,44.0,50.0,13.0,24.0,20.0,7.0,90.0,6.0,2.0,37.0,80.0,7.0,29.0,295.0,,3.0,,153.0,61.0,,1.0,4.0,86.0,8.0,56.0,11.0,3.0,11.0,4.0,1.0,6.0,41.0,3.0,62.0,7.0,60.0,10.0,,9.0,10.0,10.0,,22.0,3.0,8.0,10.0,1.0,2.0,0.0,,4.0,,4.0,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
Canada_Canadian_Premier_League,2023,HFX Wanderers FC,erojylhkxounbordtu6h9cui2,T. Collomb,Forward,9,4.0,9.0,16.0,,137.0,54.0,146.0,17.0,57.0,32.0,80.0,2.0,4.0,1.0,22.0,,4.0,8.0,,13.0,,10.0,3.0,,40.0,7.0,54.0,98.0,7.0,45.0,4.0,586.0,28.0,40.0,9.0,14.0,13.0,13.0,89.0,5.0,2.0,15.0,50.0,8.0,17.0,261.0,,1.0,2.0,82.0,37.0,3.0,,10.0,84.0,4.0,28.0,8.0,4.0,2.0,5.0,1.0,11.0,35.0,4.0,52.0,4.0,53.0,13.0,,4.0,7.0,6.0,,19.0,2.0,6.0,10.0,3.0,1.0,1.0,,4.0,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Canada_Canadian_Premier_League,2023,HFX Wanderers FC,7e4doqzolxn7u9s2txuyclejt,A. Daniels,Forward,10,16.0,26.0,53.0,,832.0,259.0,892.0,12.0,112.0,20.0,722.0,21.0,2.0,2.0,95.0,1.0,9.0,19.0,5.0,29.0,8.0,29.0,21.0,5.0,328.0,18.0,117.0,258.0,14.0,102.0,21.0,1885.0,28.0,216.0,21.0,41.0,29.0,31.0,780.0,9.0,2.0,8.0,185.0,29.0,197.0,1281.0,26.0,1.0,9.0,205.0,103.0,25.0,1.0,36.0,735.0,16.0,90.0,22.0,6.0,,45.0,10.0,7.0,220.0,3.0,477.0,12.0,91.0,31.0,7.0,30.0,22.0,7.0,,97.0,9.0,34.0,10.0,1.0,2.0,1.0,16.0,17.0,3.0,6.0,,2.0,1.0,4.0,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
Canada_Canadian_Premier_League,2023,HFX Wanderers FC,6yyhtcimqzsoqhp2clnj5x3sa,Z. Fernandez,Midfielder,3,25.0,19.0,42.0,2.0,842.0,152.0,858.0,25.0,160.0,54.0,683.0,39.0,2.0,8.0,113.0,12.0,16.0,26.0,2.0,24.0,1.0,32.0,9.0,1.0,315.0,8.0,136.0,292.0,13.0,123.0,34.0,1947.0,62.0,118.0,10.0,60.0,24.0,46.0,698.0,6.0,3.0,29.0,211.0,20.0,292.0,1424.0,136.0,4.0,25.0,265.0,142.0,9.0,3.0,32.0,679.0,20.0,98.0,29.0,9.0,5.0,19.0,21.0,54.0,296.0,3.0,392.0,4.0,126.0,56.0,3.0,57.0,22.0,2.0,1.0,96.0,18.0,11.0,10.0,0.0,3.0,1.0,,4.0,,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,
Canada_Canadian_Premier_League,2023,HFX Wanderers FC,decwkaskhlyylqo4d0u3eeadw,R. Ferrazzo,Defender,23,16.0,12.0,23.0,3.0,635.0,134.0,643.0,15.0,127.0,25.0,509.0,24.0,,6.0,81.0,11.0,6.0,22.0,1.0,23.0,1.0,19.0,9.0,1.0,272.0,8.0,102.0,206.0,13.0,78.0,27.0,1208.0,31.0,110.0,11.0,29.0,23.0,24.0,516.0,3.0,,10.0,144.0,11.0,187.0,992.0,70.0,1.0,18.0,169.0,91.0,9.0,1.0,19.0,487.0,9.0,63.0,15.0,6.0,4.0,29.0,6.0,15.0,212.0,,253.0,8.0,100.0,44.0,5.0,41.0,14.0,9.0,,68.0,17.0,16.0,10.0,,,0.0,1.0,7.0,,9.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,2.0,,,,,
Canada_Canadian_Premier_League,2023,HFX Wanderers FC,1xta1z2f7yq8bdl2grpffecmi,M. Ferrin,Midfielder,8,35.0,47.0,91.0,2.0,769.0,260.0,787.0,33.0,127.0,60.0,643.0,16.0,3.0,2.0,152.0,1.0,16.0,27.0,3.0,26.0,5.0,21.0,10.0,3.0,215.0,6.0,136.0,340.0,12.0,168.0,7.0,2276.0,111.0,269.0,46.0,54.0,26.0,61.0,660.0,24.0,6.0,27.0,287.0,32.0,73.0,1373.0,9.0,5.0,17.0,347.0,179.0,17.0,4.0,30.0,640.0,20.0,135.0,27.0,7.0,7.0,20.0,1.0,14.0,185.0,8.0,462.0,22.0,120.0,21.0,13.0,31.0,26.0,,,100.0,15.0,60.0,10.0,5.0,3.0,1.0,12.0,15.0,6.0,19.0,1.0,2.0,1.0,6.0,,5.0,2.0,,3.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,
Canada_Canadian_Premier_League,2023,HFX Wanderers FC,donr4l8zz4x3who55mji62dwp,Y. Fillion,Goalkeeper,1,,,,13.0,399.0,,702.0,1.0,199.0,6.0,287.0,,,5.0,5.0,,,,,29.0,,,,,446.0,,155.0,206.0,,1.0,190.0,2610.0,,159.0,,1.0,29.0,4.0,503.0,,,5.0,5.0,,179.0,1006.0,,,,11.0,10.0,,7.0,,394.0,24.0,,33.0,9.0,,109.0,45.0,44.0,364.0,,57.0,,9.0,44.0,,,29.0,,,227.0,,,10.0,,,0.0,,,,,,,,,,,,,,,,,,319.0,217.0,,3.0,54.0,21.0,,73.0,4.0,19.0,28.0,2.0,,13.0,2.0,47.0,,,,,3.0,,,,,
Canada_Canadian_Premier_League,2023,HFX Wanderers FC,dney1uawdhb2lsnj00jcunn1m,T. Giraldo,Midfielder,24,9.0,18.0,37.0,3.0,208.0,51.0,211.0,15.0,64.0,19.0,144.0,15.0,2.0,2.0,36.0,,1.0,22.0,,19.0,3.0,7.0,,,53.0,8.0,54.0,145.0,14.0,77.0,12.0,814.0,17.0,52.0,12.0,22.0,19.0,9.0,147.0,5.0,,4.0,98.0,7.0,31.0,390.0,4.0,,6.0,117.0,40.0,,,7.0,141.0,7.0,62.0,9.0,2.0,1.0,6.0,1.0,5.0,77.0,2.0,94.0,7.0,52.0,17.0,4.0,22.0,10.0,9.0,1.0,41.0,7.0,5.0,10.0,2.0,0.0,1.0,1.0,7.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Canada_Canadian_Premier_League,2023,HFX Wanderers FC,4y7p59unsumcfk5trk1naums5,D. Henry,Defender,15,2.0,,1.0,,185.0,5.0,203.0,7.0,27.0,15.0,158.0,6.0,,2.0,10.0,,,3.0,,14.0,,,,,135.0,1.0,16.0,29.0,2.0,12.0,17.0,420.0,7.0,41.0,3.0,3.0,14.0,,176.0,,,8.0,15.0,,64.0,261.0,,5.0,3.0,30.0,18.0,,,,163.0,6.0,5.0,8.0,2.0,,13.0,2.0,24.0,93.0,,41.0,3.0,10.0,11.0,,9.0,3.0,11.0,,20.0,3.0,1.0,10.0,,,0.0,,,,1.0,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,1.0,,,,,
Canada_Canadian_Premier_League,2023,HFX Wanderers FC,2mqxkxtrjrt9cbeqbyncer209,R. James,Defender,7,3.0,,4.0,,230.0,31.0,240.0,7.0,37.0,13.0,194.0,5.0,,,20.0,5.0,2.0,3.0,,6.0,,3.0,1.0,,101.0,1.0,25.0,54.0,2.0,19.0,6.0,394.0,5.0,83.0,3.0,6.0,6.0,6.0,203.0,1.0,,6.0,32.0,5.0,16.0,348.0,32.0,4.0,12.0,45.0,26.0,2.0,,3.0,193.0,4.0,12.0,4.0,,,10.0,2.0,8.0,110.0,,104.0,2.0,31.0,15.0,1.0,10.0,4.0,2.0,,16.0,5.0,4.0,10.0,,,0.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2023,HFX Wanderers FC,2gd6p7oi29nml06jp1fk9o1ec,C. Loughrey,Defender,5,8.0,1.0,3.0,7.0,1175.0,35.0,1237.0,21.0,184.0,53.0,996.0,10.0,,7.0,21.0,3.0,3.0,23.0,,25.0,1.0,2.0,,,835.0,2.0,108.0,207.0,9.0,57.0,107.0,2225.0,19.0,436.0,6.0,13.0,25.0,1.0,1053.0,1.0,,32.0,57.0,4.0,265.0,1414.0,4.0,13.0,14.0,110.0,53.0,,7.0,2.0,965.0,18.0,36.0,27.0,9.0,1.0,88.0,26.0,59.0,501.0,,218.0,5.0,77.0,78.0,,17.0,25.0,,1.0,98.0,7.0,3.0,10.0,,,0.0,,,,4.0,,,,,,,,,,,,2.0,,31.0,31.0,,,,,,,,,,,,,,,,,,,3.0,,,,,
Canada_Canadian_Premier_League,2023,HFX Wanderers FC,ahyd5vf8f8cyoiefm8hsimzu1,João Morelli,Forward,11,8.0,16.0,25.0,1.0,116.0,41.0,121.0,5.0,24.0,6.0,92.0,3.0,4.0,2.0,22.0,,4.0,7.0,1.0,9.0,,3.0,,1.0,37.0,3.0,23.0,64.0,3.0,39.0,3.0,435.0,19.0,20.0,9.0,10.0,9.0,12.0,97.0,6.0,3.0,1.0,56.0,4.0,25.0,218.0,1.0,,2.0,62.0,23.0,,,3.0,88.0,6.0,34.0,7.0,1.0,1.0,9.0,,3.0,35.0,4.0,60.0,3.0,21.0,4.0,1.0,3.0,4.0,5.0,,20.0,,7.0,10.0,3.0,1.0,1.0,,4.0,,3.0,,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2023,HFX Wanderers FC,csx2n4ze07uxmjjjytp86yx62,L. Mwandwe,Forward,37,1.0,4.0,8.0,,68.0,23.0,70.0,4.0,17.0,7.0,51.0,7.0,,1.0,18.0,4.0,2.0,7.0,1.0,7.0,1.0,2.0,1.0,1.0,23.0,2.0,14.0,38.0,5.0,21.0,1.0,257.0,9.0,10.0,3.0,2.0,7.0,7.0,53.0,,,3.0,35.0,2.0,12.0,137.0,6.0,,5.0,42.0,21.0,1.0,,2.0,52.0,1.0,17.0,1.0,,,1.0,1.0,5.0,25.0,,31.0,3.0,16.0,5.0,,7.0,3.0,4.0,,16.0,,4.0,10.0,,,0.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Canada_Canadian_Premier_League,2023,HFX Wanderers FC,81tm004f7odd1h0acwfcfroyc,D. Nimick,Defender,2,12.0,5.0,12.0,4.0,1484.0,88.0,1553.0,28.0,206.0,68.0,1278.0,24.0,6.0,6.0,74.0,1.0,3.0,19.0,3.0,28.0,2.0,13.0,4.0,2.0,916.0,,133.0,246.0,8.0,76.0,87.0,2520.0,28.0,173.0,12.0,33.0,28.0,17.0,1347.0,8.0,4.0,40.0,122.0,11.0,649.0,1905.0,19.0,14.0,29.0,190.0,114.0,4.0,7.0,13.0,1168.0,23.0,48.0,32.0,9.0,1.0,179.0,14.0,104.0,643.0,6.0,435.0,4.0,119.0,86.0,1.0,37.0,28.0,,,143.0,13.0,20.0,10.0,5.0,1.0,3.0,,,,3.0,2.0,,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,2.0,,,,,
Canada_Canadian_Premier_League,2023,HFX Wanderers FC,51ww9y4k5hskfvfv5cb1jbtgp,K. Nwafornso,Forward,11,,2.0,6.0,2.0,48.0,16.0,50.0,4.0,13.0,6.0,35.0,1.0,,,8.0,,1.0,5.0,,7.0,,2.0,,,13.0,2.0,12.0,36.0,2.0,17.0,1.0,233.0,17.0,16.0,7.0,5.0,7.0,3.0,37.0,3.0,,2.0,21.0,2.0,6.0,100.0,1.0,,2.0,27.0,10.0,,,2.0,35.0,2.0,13.0,2.0,,1.0,2.0,,1.0,12.0,,24.0,4.0,12.0,3.0,1.0,1.0,2.0,5.0,,7.0,,4.0,10.0,,,0.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2023,HFX Wanderers FC,9izvs4qd03gfmqukkk5csxxxw,M. Omar,Midfielder,22,19.0,5.0,18.0,1.0,779.0,146.0,811.0,25.0,69.0,45.0,711.0,31.0,,4.0,94.0,1.0,,24.0,,26.0,,2.0,1.0,,454.0,8.0,45.0,116.0,16.0,94.0,10.0,1558.0,16.0,270.0,5.0,28.0,26.0,44.0,742.0,2.0,,20.0,163.0,5.0,215.0,1080.0,,14.0,18.0,208.0,114.0,1.0,1.0,2.0,701.0,15.0,69.0,23.0,8.0,,41.0,2.0,36.0,180.0,,289.0,3.0,59.0,26.0,3.0,45.0,18.0,8.0,1.0,109.0,14.0,5.0,10.0,,,0.0,,10.0,,3.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,
