liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Throw Ins to Own Player,Open Play Passes,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Blocks,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Total Fouls Won,Aerial Duels won,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Assists (Intentional),Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Goal Assists,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Successful Launches,Yellow Cards,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Aerial Duels lost,Total Shots,Foul Attempted Tackle,Total Touches In Opposition Box,Unsuccessful Dribbles,Unsuccessful Crosses open play,Corners Won,Blocked Shots,Throw Ins to Opposition Player,Shots On Target ( inc goals ),Through balls,Substitute On,Successful Lay-offs,Successful Crosses open play,Handballs conceded,Hit Woodwork,Saves Made,GK Successful Distribution,Punches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Foul Won Penalty,Offsides,Goals,Headed Goals,Goals from Inside Box,Right Foot Goals,Clearances Off the Line,Penalties Taken,Unsuccessful lay-offs,Penalty Goals,Penalty Goals Conceded,Goals Conceded Outside Box,Catches,Penalties Faced,Penalties Off Target,Left Foot Goals,Attempts from Set Pieces,Goals from Outside Box,Penalties Conceded,Set Pieces Goals,Total Red Cards,Red Cards - 2nd Yellow,Goalkeeper Smother,Drops,Own Goal Scored,Saves made - caught,Second Goal Assists,Other Goals,Last Man Tackle
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Honduras,1yhtzq33ssznnl1pkg6fjz26t,B. Acosta,Midfielder,6,139.0,5.0,91.0,19.0,6.0,51.0,,4.0,21.0,34.0,6.0,10.0,93.0,1.0,,,76.0,,14.0,3.0,19.0,5.0,17.0,8.0,1.0,5.0,3.0,127.0,7.0,3.0,,8.0,24.0,10.0,7.0,3.0,1.0,,9.0,,,6.0,3.0,4.0,,1.0,31.0,78.0,79.0,1.0,,,5.0,2.0,1.0,2.0,7.0,,,4.0,1.0,1.0,2.0,,1.0,,2.0,1.0,,,1.0,,2.0,,3.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Honduras,ac9ebvt008vz5mivsqkroaw2d,D. Acosta,Midfielder,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Honduras,3hqyl61z7yssettsjoqpboclx,É. Alvarado,Defender,5,90.0,7.0,37.0,5.0,,14.0,,2.0,10.0,19.0,1.0,4.0,39.0,,7.0,1.0,32.0,,6.0,,17.0,,7.0,5.0,1.0,,,60.0,,1.0,,12.0,17.0,10.0,6.0,1.0,2.0,2.0,16.0,,,1.0,1.0,,,8.0,,31.0,33.0,4.0,1.0,,1.0,10.0,,4.0,4.0,,,,,2.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Honduras,akvnlaszzemsj14oa62n39c5x,B. Beckeles,Defender,21,135.0,18.0,75.0,12.0,1.0,38.0,4.0,6.0,22.0,27.0,6.0,7.0,77.0,1.0,,2.0,57.0,4.0,13.0,,5.0,1.0,15.0,7.0,2.0,3.0,4.0,116.0,1.0,2.0,,8.0,29.0,10.0,9.0,7.0,,1.0,9.0,1.0,4.0,6.0,2.0,,,,31.0,62.0,64.0,1.0,,,6.0,,,,8.0,,,2.0,,,,,,,6.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Honduras,2b8kd5on8sewq810i8tdclcyd,H. Castellanos,Midfielder,16,101.0,,52.0,6.0,,23.0,,1.0,6.0,24.0,3.0,4.0,52.0,,,1.0,46.0,3.0,5.0,,19.0,,5.0,6.0,1.0,,,63.0,,2.0,,5.0,12.0,10.0,5.0,1.0,,1.0,8.0,,3.0,,2.0,,,1.0,15.0,47.0,47.0,3.0,,,2.0,3.0,1.0,4.0,4.0,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Honduras,80jh6qz31xli246tgd2oze8d1,R. Castillo,Forward,11,151.0,,25.0,8.0,,13.0,,,9.0,7.0,,6.0,26.0,1.0,3.0,,20.0,,6.0,,8.0,,5.0,3.0,1.0,,1.0,41.0,,3.0,,7.0,3.0,10.0,7.0,,3.0,4.0,15.0,1.0,,,3.0,,,4.0,7.0,19.0,20.0,8.0,,,,8.0,,,3.0,,,,3.0,4.0,6.0,2.0,10.0,,,1.0,1.0,,3.0,,2.0,,,1.0,1.0,,,,,,,,,1.0,2.0,1.0,2.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Honduras,6qtrfvr137xo8gmu17jn3d42d,M. Chirinos,Forward,14,184.0,3.0,69.0,27.0,4.0,44.0,,,19.0,23.0,2.0,6.0,69.0,2.0,2.0,7.0,62.0,1.0,6.0,,25.0,5.0,7.0,8.0,2.0,2.0,,116.0,,3.0,,22.0,10.0,10.0,16.0,1.0,6.0,1.0,25.0,,1.0,1.0,3.0,,,7.0,7.0,63.0,63.0,3.0,,1.0,1.0,9.0,1.0,1.0,15.0,,,2.0,1.0,2.0,3.0,1.0,15.0,2.0,1.0,2.0,3.0,,2.0,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Honduras,em31io8siplg24cxtflbmdz2t,F. Crisanto,Defender,2,90.0,4.0,38.0,13.0,1.0,10.0,1.0,3.0,12.0,19.0,,7.0,38.0,,2.0,2.0,26.0,,10.0,,2.0,1.0,8.0,4.0,1.0,2.0,2.0,53.0,,1.0,,5.0,13.0,10.0,3.0,2.0,,1.0,7.0,2.0,,,1.0,,,3.0,10.0,28.0,28.0,2.0,1.0,,,4.0,,1.0,2.0,1.0,,2.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Honduras,aoe90w0oopw8h5ipktpmme9cl,A. Elis,Forward,17,270.0,1.0,100.0,33.0,3.0,68.0,,,44.0,19.0,1.0,17.0,101.0,,4.0,3.0,82.0,4.0,17.0,,11.0,8.0,19.0,15.0,3.0,4.0,1.0,160.0,,3.0,,31.0,16.0,10.0,18.0,2.0,10.0,4.0,37.0,,4.0,3.0,3.0,,1.0,17.0,41.0,83.0,84.0,6.0,1.0,1.0,1.0,19.0,,3.0,14.0,,1.0,2.0,3.0,2.0,3.0,2.0,21.0,9.0,3.0,2.0,3.0,,,,,3.0,3.0,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Gold_Cup,2019 USA - Costa Rica - Jamaica,Honduras,bcitn8hi590d4t9abvm7rlhw5,H. Figueroa,Defender,4,270.0,1.0,161.0,7.0,,56.0,3.0,4.0,20.0,95.0,5.0,13.0,168.0,,4.0,1.0,150.0,4.0,17.0,,29.0,1.0,6.0,20.0,3.0,1.0,11.0,204.0,,3.0,1.0,17.0,60.0,10.0,18.0,1.0,4.0,8.0,27.0,9.0,4.0,,3.0,,,7.0,72.0,144.0,151.0,10.0,1.0,,5.0,9.0,,8.0,10.0,,1.0,1.0,2.0,2.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
