liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Yellow Cards,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Successful Long Passes,Total Fouls Won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Interceptions,Ground Duels won,Substitute On,Successful Lay-offs,Successful Launches,Goals,Corners Won,Successful Crosses & Corners,Unsuccessful Launches,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Set Pieces Goals,Substitute Off,Successful Corners into Box,Blocked Shots,Throw Ins to Opposition Player,Corners Taken (incl short corners),Goals from Outside Box,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Crosses open play,Aerial Duels won,Left Foot Goals,Unsuccessful Corners into Box,Assists (Intentional),Goal Assists,Tackles Lost,Handballs conceded,Clean Sheets,Through balls,Right Foot Goals,Goals from Inside Box,Unsuccessful lay-offs,Offsides,Foul Won Penalty,Hit Woodwork,Penalties Taken,Penalty Goals,Own Goal Scored,Total Red Cards,Straight Red Cards,Headed Goals,Last Man Tackle,Second Goal Assists,Saves Made,GK Successful Distribution,Crosses not Claimed,Punches,Goalkeeper Smother,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Penalties Conceded,Clearances Off the Line,Penalties Saved,Drops,Saves from Penalty,Red Cards - 2nd Yellow,Penalties Off Target,Other Goals,Times Tackled,Home Goals,Away Goals,Winning Goal,Goal Kicks
USA_USL_Championship,2019,New York Red Bulls II,7khkow928z1qh37d2oicfmxka,J. Juleau,Defender,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,New York Red Bulls II,1arzd8hqj73byhduozscqz5uy,M. Jørgensen,Forward,25,1.0,1814.0,,274.0,105.0,152.0,,6.0,31.0,67.0,171.0,47.0,4.0,89.0,2.0,294.0,13.0,8.0,195.0,30.0,54.0,95.0,68.0,19.0,76.0,27.0,21.0,15.0,20.0,492.0,22.0,2.0,3.0,69.0,46.0,133.0,10.0,45.0,4.0,11.0,16.0,159.0,3.0,33.0,1.0,22.0,47.0,75.0,180.0,199.0,90.0,1.0,114.0,,22.0,1.0,22.0,,11.0,18.0,,1.0,6.0,3.0,,6.0,,4.0,,,1.0,23.0,,,23.0,2.0,,,,3.0,,3.0,,9.0,10.0,4.0,14.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
USA_USL_Championship,2019,New York Red Bulls II,ahza0fhih4ok1x14o28sk5p4a,P. Kilwien,Defender,55,2.0,1673.0,7.0,997.0,60.0,331.0,4.0,112.0,4.0,47.0,278.0,449.0,22.0,146.0,2.0,1037.0,21.0,4.0,692.0,30.0,5.0,258.0,271.0,8.0,171.0,144.0,18.0,15.0,89.0,1246.0,24.0,7.0,6.0,77.0,542.0,8.0,10.0,108.0,87.0,14.0,2.0,194.0,48.0,36.0,2.0,24.0,39.0,164.0,744.0,779.0,117.0,15.0,86.0,32.0,38.0,6.0,,14.0,,2.0,1.0,55.0,7.0,6.0,,2.0,,1.0,2.0,,,1.0,,1.0,70.0,,,,,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_USL_Championship,2019,New York Red Bulls II,f1mm94bd7ovdxnrefbatilhm2,J. Koffi,Midfielder,8,1.0,2177.0,3.0,1008.0,124.0,528.0,9.0,44.0,11.0,31.0,305.0,277.0,65.0,174.0,1.0,1023.0,58.0,56.0,759.0,38.0,14.0,218.0,272.0,15.0,166.0,181.0,26.0,25.0,53.0,1425.0,27.0,31.0,4.0,287.0,363.0,11.0,10.0,208.0,46.0,38.0,10.0,370.0,22.0,45.0,1.0,27.0,131.0,264.0,791.0,805.0,83.0,46.0,162.0,36.0,156.0,1.0,2.0,6.0,,4.0,,13.0,17.0,7.0,,9.0,,6.0,,,,3.0,,,52.0,,,,,19.0,3.0,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
USA_USL_Championship,2019,New York Red Bulls II,2s7edbhpwq4o06ruck7yk9ilm,B. Lebel,Midfielder,93,,120.0,,47.0,2.0,20.0,,5.0,,7.0,13.0,20.0,1.0,5.0,,50.0,,,37.0,1.0,,10.0,8.0,1.0,8.0,7.0,1.0,,2.0,67.0,4.0,,2.0,9.0,22.0,1.0,10.0,3.0,3.0,1.0,,18.0,4.0,2.0,,4.0,8.0,18.0,38.0,40.0,9.0,1.0,15.0,4.0,1.0,3.0,,2.0,,,,1.0,,1.0,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,New York Red Bulls II,blkv6e7kxgewxff7lpfhvliol,C. Lema,Midfielder,80,51.0,2927.0,11.0,1598.0,178.0,962.0,3.0,134.0,26.0,51.0,741.0,326.0,68.0,357.0,1.0,1714.0,35.0,30.0,1131.0,35.0,48.0,491.0,388.0,91.0,561.0,270.0,33.0,104.0,76.0,2436.0,34.0,15.0,7.0,276.0,820.0,48.0,10.0,173.0,92.0,39.0,10.0,364.0,23.0,43.0,146.0,34.0,140.0,328.0,1125.0,1223.0,88.0,48.0,191.0,34.0,136.0,1.0,9.0,6.0,5.0,35.0,65.0,48.0,58.0,8.0,,4.0,48.0,15.0,1.0,154.0,1.0,22.0,8.0,11.0,37.0,4.0,76.0,4.0,6.0,20.0,1.0,7.0,9.0,1.0,4.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,New York Red Bulls II,77revz4bhbejs3ykkje6jzs9h,J. Löbe,Defender,66,47.0,1331.0,131.0,735.0,127.0,357.0,,46.0,14.0,19.0,293.0,218.0,33.0,134.0,2.0,738.0,5.0,11.0,522.0,21.0,17.0,180.0,314.0,34.0,175.0,125.0,12.0,26.0,53.0,1178.0,24.0,,3.0,104.0,274.0,44.0,10.0,91.0,36.0,15.0,8.0,155.0,28.0,25.0,48.0,24.0,45.0,23.0,555.0,558.0,51.0,28.0,64.0,29.0,59.0,12.0,2.0,9.0,1.0,13.0,17.0,26.0,6.0,4.0,1.0,2.0,1.0,9.0,21.0,2.0,1.0,3.0,2.0,16.0,32.0,1.0,1.0,7.0,7.0,5.0,1.0,1.0,1.0,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,New York Red Bulls II,bm2vp4mq94myce80pa3lnshxx,E. Louro,Goalkeeper,24,,2610.0,1.0,459.0,,133.0,3.0,345.0,,,352.0,339.0,3.0,2.0,2.0,819.0,,1.0,273.0,36.0,,347.0,95.0,1.0,286.0,298.0,29.0,,61.0,1086.0,29.0,,,11.0,596.0,1.0,10.0,20.0,199.0,4.0,,23.0,21.0,42.0,,29.0,3.0,128.0,280.0,472.0,12.0,2.0,3.0,,8.0,,,74.0,,,,189.0,,6.0,,,,1.0,,,,,,,12.0,,,,,1.0,,5.0,,,,,,,,,,,,,,,,77.0,236.0,1.0,13.0,4.0,11.0,29.0,29.0,48.0,3.0,,83.0,,,1.0,,1.0,,,,,,,,
USA_USL_Championship,2019,New York Red Bulls II,2e0rfkd3c81yw439v3gowd3e2,C. Maurer,Midfielder,95,,37.0,,3.0,,2.0,,,1.0,3.0,,2.0,,,,4.0,,,3.0,,1.0,,,,,1.0,,,,9.0,1.0,,1.0,,3.0,1.0,10.0,,1.0,,,3.0,1.0,1.0,,1.0,,1.0,3.0,4.0,3.0,,3.0,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,New York Red Bulls II,a0017syxuihfmv2nvjo7tvqsq,S. McSherry,Defender,30,9.0,407.0,28.0,187.0,31.0,105.0,1.0,3.0,5.0,12.0,82.0,48.0,14.0,34.0,1.0,188.0,13.0,12.0,145.0,11.0,8.0,37.0,6.0,6.0,42.0,28.0,3.0,9.0,4.0,335.0,8.0,5.0,1.0,60.0,71.0,20.0,10.0,39.0,6.0,8.0,8.0,77.0,2.0,13.0,9.0,8.0,26.0,80.0,150.0,151.0,17.0,10.0,38.0,8.0,34.0,5.0,,1.0,2.0,7.0,2.0,1.0,4.0,2.0,,3.0,,4.0,11.0,,,3.0,,2.0,5.0,,,,,4.0,1.0,,,1.0,2.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
