liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Successful Lay-offs,Successful Launches,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,Unsuccessful Passes Own Half,Touches,Appearances,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Penalties Conceded,Successful Corners into Box,Corners Taken (incl short corners),Attempts from Set Pieces,Unsuccessful Corners into Box,Clearances Off the Line,Goals from Inside Box,Penalties Taken,Penalty Goals,Saves Made,GK Successful Distribution,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Left Foot Goals,Last Man Tackle,Total Touches In Opposition Box,Foul Won Penalty,Headed Goals,Own Goal Scored,Punches,Goalkeeper Smother,Drops,Penalties Faced,Other Goals,Crosses not Claimed,Penalties Saved,Saves from Penalty,Penalties Off Target,Set Pieces Goals
USA_MLS,2013,Portland Timbers,3qzhn017ek7vg09glq2vleqd,K. Alhassan,Midfielder,11.0,34.0,3.0,2.0,,,,19.0,13.0,28.0,4.0,1464.0,10.0,66.0,2.0,3.0,711.0,8.0,174.0,8.0,418.0,3.0,15.0,19.0,1.0,21.0,285.0,189.0,35.0,108.0,722.0,22.0,19.0,574.0,18.0,32.0,123.0,139.0,20.0,131.0,6.0,3.0,109.0,15.0,21.0,1077.0,34.0,2.0,198.0,1.0,202.0,50.0,98.0,13.0,25.0,6.0,35.0,9.0,30.0,228.0,12.0,19.0,29.0,4.0,1.0,2.0,109.0,207.0,589.0,599.0,30.0,,9.0,4.0,12.0,29.0,130.0,6.0,8.0,89.0,,2.0,7.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
USA_MLS,2013,Portland Timbers,etxxyk4izi97gchj7fo58ogd1,A. Jean-Baptiste,Defender,35.0,26.0,1.0,4.0,,,,4.0,,7.0,4.0,2142.0,2.0,1.0,15.0,,866.0,3.0,27.0,1.0,209.0,61.0,88.0,10.0,4.0,33.0,339.0,473.0,50.0,122.0,891.0,29.0,7.0,559.0,24.0,15.0,210.0,134.0,6.0,171.0,,,120.0,22.0,46.0,1318.0,26.0,17.0,111.0,,438.0,52.0,127.0,5.0,122.0,1.0,15.0,55.0,2.0,199.0,193.0,28.0,7.0,,1.0,1.0,39.0,292.0,659.0,681.0,88.0,6.0,,1.0,1.0,42.0,72.0,8.0,67.0,72.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
USA_MLS,2013,Portland Timbers,b4etfnmz4dzoa4r9g0403catx,D. Chará,Midfielder,21.0,35.0,,9.0,,,,,2.0,13.0,1.0,3097.0,9.0,61.0,5.0,,1716.0,7.0,169.0,6.0,922.0,22.0,31.0,4.0,5.0,27.0,394.0,605.0,138.0,219.0,1771.0,82.0,30.0,1408.0,32.0,7.0,250.0,481.0,30.0,202.0,3.0,2.0,284.0,35.0,61.0,2352.0,35.0,15.0,380.0,,673.0,61.0,245.0,3.0,113.0,6.0,45.0,32.0,19.0,439.0,43.0,37.0,13.0,2.0,1.0,2.0,167.0,448.0,1468.0,1521.0,59.0,14.0,3.0,2.0,16.0,112.0,194.0,26.0,77.0,213.0,1.0,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,
USA_MLS,2013,Portland Timbers,5sf467i9yzi3n3egjbxe9zr2t,F. Danso,Defender,98.0,20.0,1.0,2.0,1.0,1.0,,1.0,2.0,,2.0,1720.0,,,7.0,,514.0,2.0,21.0,,99.0,29.0,37.0,7.0,3.0,54.0,216.0,324.0,30.0,65.0,525.0,25.0,2.0,360.0,14.0,8.0,102.0,101.0,3.0,74.0,,,96.0,19.0,28.0,875.0,20.0,14.0,68.0,,228.0,51.0,104.0,1.0,63.0,,7.0,65.0,1.0,187.0,188.0,17.0,,2.0,,,29.0,175.0,414.0,423.0,119.0,8.0,,,,24.0,83.0,6.0,50.0,39.0,,,,,,,1.0,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,
USA_MLS,2013,Portland Timbers,2i3mjt8zaen6lr0sok727kr11,S. Evans,Midfielder,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2013,Portland Timbers,2nyv3v533nekoje3n0lfr479x,J. Gleeson,Goalkeeper,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2013,Portland Timbers,6w4gqs4wnryzo59te2tmm6j85,M. Harrington,Defender,5.0,37.0,,2.0,,,,,3.0,68.0,2.0,3311.0,303.0,48.0,28.0,,1675.0,6.0,292.0,22.0,809.0,80.0,67.0,4.0,5.0,50.0,603.0,571.0,50.0,271.0,1696.0,29.0,11.0,1312.0,36.0,4.0,338.0,589.0,30.0,317.0,1.0,78.0,163.0,37.0,89.0,2629.0,37.0,10.0,154.0,,712.0,58.0,136.0,,46.0,22.0,23.0,52.0,6.0,256.0,142.0,41.0,68.0,2.0,,,70.0,103.0,1341.0,1358.0,102.0,13.0,1.0,1.0,2.0,36.0,120.0,14.0,81.0,84.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
USA_MLS,2013,Portland Timbers,c7wtw0lejf07dv7ubm7ox3yz9,D. Horst,Defender,12.0,2.0,,,,,,,1.0,,1.0,108.0,,,1.0,,20.0,,1.0,,3.0,1.0,3.0,,1.0,2.0,17.0,12.0,3.0,3.0,21.0,4.0,,13.0,1.0,,6.0,6.0,,4.0,,,7.0,2.0,2.0,51.0,2.0,1.0,8.0,,10.0,20.0,10.0,,2.0,,1.0,6.0,,16.0,18.0,2.0,,,,,4.0,4.0,15.0,15.0,8.0,,,,,2.0,6.0,1.0,7.0,4.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
USA_MLS,2013,Portland Timbers,b445z4znwh404qcex8cgbp905,J. Jewsbury,Defender,13.0,30.0,,,,,,,9.0,49.0,,2581.0,201.0,12.0,21.0,,1165.0,11.0,152.0,7.0,477.0,58.0,56.0,8.0,5.0,32.0,456.0,483.0,64.0,185.0,1194.0,26.0,1.0,891.0,22.0,11.0,241.0,111.0,13.0,240.0,8.0,65.0,141.0,30.0,62.0,1908.0,30.0,10.0,155.0,,528.0,49.0,118.0,3.0,62.0,5.0,21.0,32.0,4.0,219.0,95.0,27.0,61.0,3.0,,2.0,69.0,403.0,928.0,953.0,64.0,11.0,2.0,2.0,1.0,55.0,101.0,9.0,73.0,86.0,,2.0,11.0,,8.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
USA_MLS,2013,Portland Timbers,5t43s1uce6nhvhli5rv3psvrp,R. Johnson,Forward,9.0,33.0,10.0,2.0,,,,9.0,21.0,46.0,24.0,2000.0,4.0,81.0,,1.0,550.0,27.0,136.0,9.0,300.0,2.0,4.0,13.0,3.0,121.0,381.0,70.0,11.0,185.0,550.0,31.0,11.0,355.0,23.0,37.0,189.0,129.0,15.0,212.0,10.0,,49.0,24.0,23.0,902.0,33.0,1.0,177.0,,151.0,47.0,139.0,24.0,6.0,9.0,34.0,83.0,31.0,381.0,17.0,26.0,46.0,2.0,,4.0,121.0,134.0,361.0,361.0,204.0,1.0,18.0,4.0,5.0,8.0,242.0,3.0,8.0,56.0,,,,,,,10.0,,,,,,,,,,,5.0,,5.0,,4.0,,,,,,,,,,,
