liga,temporada,equipo,id,nombre,posicion,dorsal,Total Losses Of Possession,Time Played,Total Unsuccessful Passes ( Excl Crosses & Corners ),Open Play Passes,Successful Open Play Passes,Unsuccessful Short Passes,Duels,Forward Passes,Corners Won,Throw Ins to Own Player,Goals Conceded Inside Box,Ground Duels lost,Unsuccessful Passes Own Half,Touches,Successful Passes Own Half,Substitute On,Penalty Goals Conceded,Index,Goals Conceded,Recoveries,Duels lost,Total Passes,Unsuccessful Crosses open play,Total Fouls Conceded,Yellow Cards,Unsuccessful Passes Opposition Half,Total Successful Passes ( Excl Crosses & Corners ) ,Leftside Passes,Appearances,Games Played,Unsuccessful Dribbles,Times Tackled,PutThrough/Blocked Distribution,Unsuccessful Crosses & Corners,Ground Duels,Successful Passes Opposition Half,Successful Short Passes,Home Goals,Away Goals,Winning Goal,Rightside Passes,Successful Long Passes,Goals Conceded Outside Box,Successful Launches,Total Tackles,Aerial Duels,Aerial Duels lost,Blocked Shots,Starts,Substitute Off,Total Touches In Opposition Box,Backward Passes,Unsuccessful Long Passes,Tackles Lost,Interceptions,Total Clearances,Unsuccessful Launches,Total Fouls Won,Aerial Duels won,Duels won,Tackles Won,Ground Duels won,Through balls,Successful Crosses & Corners,Handballs conceded,Last Man Tackle,Successful Crosses open play,Successful Dribbles,Key Passes (Attempt Assists),Foul Attempted Tackle,Blocks,Shots Off Target (inc woodwork),PutThrough/Blocked Distribution Won,Clean Sheets,Shots On Target ( inc goals ),Corners Taken (incl short corners),Throw Ins to Opposition Player,Unsuccessful Corners into Box,Total Shots,Left Foot Goals,Offsides,Goal Assists,Goals from Inside Box,Goals,Goals from Outside Box,Assists (Intentional),Hit Woodwork,Right Foot Goals,Penalties Taken,Successful Lay-offs,Unsuccessful lay-offs,Headed Goals,Penalty Goals,Foul Won Penalty,Second Goal Assists,GK Successful Distribution,Attempts from Set Pieces,Successful Corners into Box,Red Cards - 2nd Yellow,Penalties Conceded,Total Red Cards,Saves Made from Outside Box,Catches,Penalties Saved,Saves from Penalty,Saves made - parried,Punches,Saves Made,Penalties Faced,Saves Made from Inside Box,GK Unsuccessful Distribution,Drops,Overruns,Saves made - caught,Goal Kicks,Straight Red Cards,Penalties Off Target,Clearances Off the Line,Own Goal Scored,Goalkeeper Smother,Set Pieces Goals,Last Player Tackle,Crosses not Claimed
Mexico_Liga_MX,2021-2022,FC Juárez,eb5bqq1qjpi4by5jz69yezglx,A. Acosta,Defender,26,140.0,936.0,77.0,429.0,353.0,43.0,117.0,166.0,2.0,71.0,9.0,51.0,33.0,695.0,180.0,1.0,,10.0,12.0,59.0,58.0,435.0,3.0,10.0,2.0,47.0,358.0,20.0,14.0,14.0,11.0,24.0,20.0,3.0,105.0,179.0,333.0,,,0.0,174.0,25.0,3.0,7.0,36.0,12.0,7.0,,13.0,11.0,2.0,75.0,34.0,16.0,17.0,16.0,23.0,11.0,5.0,59.0,20.0,54.0,,1.0,1.0,,1.0,7.0,5.0,7.0,2.0,2.0,12.0,,1.0,,19.0,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Mexico_Liga_MX,2021-2022,FC Juárez,9l8qfxmpixwldis1pfua1fs2d,P. Aguilar,Defender,22,56.0,414.0,32.0,142.0,110.0,21.0,40.0,59.0,,21.0,5.0,16.0,10.0,237.0,41.0,2.0,,10.0,5.0,18.0,21.0,144.0,4.0,4.0,1.0,26.0,112.0,50.0,8.0,8.0,5.0,8.0,10.0,4.0,30.0,71.0,104.0,,,0.0,10.0,8.0,,,6.0,10.0,5.0,,6.0,5.0,5.0,25.0,11.0,2.0,8.0,8.0,5.0,7.0,5.0,19.0,4.0,14.0,1.0,,,,,1.0,2.0,3.0,,4.0,5.0,,,,2.0,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Mexico_Liga_MX,2021-2022,FC Juárez,ehj1pabo9ovixh46axxz0bglx,F. Arce,Midfielder,6,2.0,16.0,2.0,8.0,6.0,,3.0,2.0,,,,1.0,1.0,12.0,6.0,3.0,,10.0,,2.0,1.0,8.0,,1.0,,1.0,6.0,2.0,3.0,3.0,,,,,3.0,,6.0,,,0.0,4.0,,,,1.0,,,,,,,,2.0,,,1.0,2.0,1.0,,2.0,1.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,
Mexico_Liga_MX,2021-2022,FC Juárez,8iz768m3efmk7czjby6ijljhl,B. Armoa,Forward,7,22.0,139.0,11.0,23.0,12.0,8.0,20.0,7.0,1.0,,5.0,12.0,3.0,50.0,6.0,3.0,1.0,10.0,5.0,7.0,16.0,23.0,1.0,3.0,1.0,9.0,12.0,10.0,4.0,4.0,5.0,5.0,2.0,1.0,16.0,7.0,11.0,,,0.0,,1.0,,1.0,1.0,4.0,4.0,2.0,1.0,1.0,4.0,6.0,3.0,,1.0,1.0,2.0,2.0,,4.0,1.0,4.0,,1.0,,,1.0,1.0,,2.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Mexico_Liga_MX,2021-2022,FC Juárez,awagggfalu3hw3eysu28ygiqd,F. Castillo,Forward,0,214.0,1117.0,73.0,310.0,237.0,70.0,150.0,57.0,10.0,,13.0,79.0,10.0,555.0,64.0,5.0,1.0,10.0,17.0,54.0,90.0,311.0,11.0,8.0,1.0,75.0,238.0,73.0,17.0,17.0,40.0,68.0,17.0,12.0,138.0,178.0,232.0,,,0.0,97.0,6.0,4.0,1.0,6.0,12.0,11.0,2.0,12.0,6.0,53.0,84.0,3.0,3.0,2.0,1.0,1.0,8.0,1.0,60.0,3.0,59.0,,4.0,1.0,,4.0,45.0,13.0,3.0,,5.0,3.0,,4.0,1.0,,1.0,9.0,,6.0,1.0,,,,1.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,
Mexico_Liga_MX,2021-2022,FC Juárez,6cp2uj6qhc1qyx53o14uo9nu1,J. Chávez,Goalkeeper,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,FC Juárez,3scc8412czpvj9epquykrd0x5,F. Contreras,Forward,14,49.0,276.0,24.0,110.0,86.0,15.0,21.0,41.0,3.0,12.0,3.0,6.0,7.0,182.0,27.0,6.0,,10.0,5.0,19.0,8.0,111.0,8.0,,,26.0,87.0,15.0,8.0,8.0,2.0,5.0,5.0,9.0,17.0,63.0,82.0,,,0.0,32.0,5.0,2.0,1.0,5.0,4.0,2.0,2.0,2.0,1.0,4.0,23.0,9.0,2.0,1.0,6.0,3.0,4.0,2.0,13.0,3.0,11.0,,3.0,,,2.0,2.0,6.0,,,1.0,3.0,,,2.0,5.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Mexico_Liga_MX,2021-2022,FC Juárez,ebd087qhfyhs6i8k2442xgb11,J. Dueñas,Midfielder,29,37.0,323.0,25.0,170.0,146.0,18.0,40.0,51.0,2.0,3.0,5.0,15.0,4.0,227.0,58.0,12.0,,10.0,5.0,21.0,19.0,173.0,4.0,6.0,3.0,25.0,148.0,52.0,14.0,14.0,3.0,4.0,6.0,4.0,31.0,91.0,141.0,,,0.0,44.0,7.0,,2.0,11.0,9.0,4.0,1.0,2.0,2.0,13.0,26.0,7.0,5.0,4.0,4.0,4.0,2.0,5.0,21.0,6.0,16.0,,1.0,,,1.0,3.0,2.0,5.0,1.0,2.0,2.0,,2.0,,1.0,,4.0,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,FC Juárez,73ffdzeslizj3vj7pv94071sl,J. Esquivel,Defender,16,84.0,887.0,62.0,396.0,334.0,42.0,79.0,114.0,1.0,,6.0,28.0,19.0,528.0,183.0,,,10.0,9.0,45.0,45.0,407.0,2.0,8.0,3.0,45.0,345.0,123.0,12.0,12.0,4.0,8.0,8.0,2.0,49.0,162.0,326.0,,,0.0,117.0,19.0,3.0,2.0,10.0,30.0,17.0,1.0,12.0,7.0,5.0,53.0,20.0,7.0,15.0,22.0,8.0,4.0,13.0,34.0,3.0,21.0,,,,,,7.0,3.0,8.0,9.0,4.0,5.0,2.0,,,,,4.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,1.0,,,,,,,
Mexico_Liga_MX,2021-2022,FC Juárez,bc4lkvpu7xma5dejq23ikv1ed,G. Fernández,Forward,19,50.0,400.0,27.0,75.0,48.0,26.0,62.0,15.0,,,6.0,15.0,1.0,153.0,24.0,,,10.0,8.0,7.0,28.0,87.0,,6.0,1.0,26.0,60.0,19.0,5.0,5.0,5.0,10.0,3.0,,33.0,37.0,57.0,1.0,2.0,0.0,20.0,3.0,2.0,,2.0,29.0,13.0,,5.0,2.0,14.0,33.0,1.0,2.0,,6.0,,7.0,16.0,34.0,,18.0,,1.0,1.0,,1.0,10.0,3.0,1.0,,1.0,,,4.0,,,,5.0,,1.0,,3.0,3.0,,,,3.0,2.0,3.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
