liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Throw Ins to Own Player,Substitute On,Successful Launches,Goals,Open Play Passes,Corners Won,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Games Played,Headed Goals,Ground Duels lost,Leftside Passes,Clearances Off the Line,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Unsuccessful Crosses open play,Offsides,Successful Lay-offs,Right Foot Goals,Successful Crosses & Corners,Successful Corners into Box,Throw Ins to Opposition Player,Corners Taken (incl short corners),Goals from Outside Box,Attempts from Set Pieces,Successful Crosses open play,Left Foot Goals,Unsuccessful Crosses & Corners,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Penalties Taken,Unsuccessful lay-offs,Goal Assists,Penalty Goals,Through balls,Penalties Conceded,Total Red Cards,Straight Red Cards,Hit Woodwork,Last Man Tackle,Red Cards - 2nd Yellow,Saves Made,GK Successful Distribution,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Foul Won Penalty,Second Goal Assists,Own Goal Scored,Set Pieces Goals,Crosses not Claimed,Penalties Off Target,Penalties Saved,Saves from Penalty
USA_USL_League_One,2019,Toronto FC II,7c3asx73extld50awe557y3ft,A. Akinola,Forward,20,540.0,4.0,3.0,1.0,1.0,119.0,8.0,42.0,70.0,1.0,3.0,4.0,6.0,5.0,,7.0,75.0,33.0,3.0,22.0,,127.0,1.0,18.0,14.0,99.0,8.0,7.0,26.0,23.0,7.0,33.0,1.0,19.0,5.0,9.0,1.0,225.0,8.0,8.0,,57.0,25.0,22.0,10.0,29.0,2.0,2.0,5.0,7.0,7.0,71.0,,8.0,8.0,,35.0,37.0,,1.0,93.0,101.0,14.0,1.0,2.0,42.0,1.0,1.0,22.0,8.0,5.0,5.0,,2.0,,,,,,2.0,1.0,8.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Toronto FC II,6wbtc3di25kcbqrat4pcwo5m2,T. Antonoglou,Midfielder,81,109.0,13.0,,,,50.0,,8.0,20.0,2.0,,5.0,1.0,1.0,,2.0,19.0,19.0,7.0,7.0,,50.0,2.0,1.0,3.0,35.0,2.0,1.0,12.0,25.0,,6.0,,7.0,2.0,2.0,6.0,88.0,2.0,1.0,,19.0,13.0,,10.0,12.0,,3.0,1.0,1.0,2.0,22.0,1.0,2.0,2.0,,8.0,4.0,,,38.0,38.0,3.0,,4.0,10.0,3.0,,11.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Toronto FC II,8xiikcvufow3u6jo0opzhtip5,R. Boskovic,Defender,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Toronto FC II,9lhfcfzf4j6m90sduz0ugb1lh,P. Bunk-Andersen,Defender,42,2475.0,3.0,1.0,13.0,5.0,1598.0,3.0,59.0,352.0,67.0,3.0,130.0,10.0,4.0,4.0,34.0,277.0,1051.0,27.0,116.0,6.0,1648.0,,23.0,4.0,1315.0,41.0,13.0,246.0,633.0,6.0,141.0,3.0,181.0,27.0,24.0,106.0,1942.0,28.0,12.0,11.0,85.0,576.0,26.0,10.0,101.0,9.0,87.0,12.0,59.0,2.0,178.0,109.0,45.0,28.0,3.0,43.0,380.0,,5.0,1361.0,1402.0,93.0,7.0,18.0,77.0,9.0,32.0,42.0,1.0,1.0,,,1.0,,,,,,1.0,2.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
USA_USL_League_One,2019,Toronto FC II,bewzox1rnh1n28tkj5k0rmrqh,D. Campbell,Midfielder,48,1289.0,82.0,1.0,1.0,,589.0,3.0,86.0,198.0,25.0,5.0,51.0,10.0,3.0,,6.0,206.0,271.0,31.0,87.0,3.0,607.0,,18.0,6.0,441.0,18.0,4.0,138.0,97.0,9.0,97.0,,98.0,14.0,23.0,48.0,918.0,15.0,10.0,7.0,103.0,249.0,3.0,10.0,73.0,1.0,28.0,20.0,18.0,6.0,127.0,24.0,18.0,15.0,,48.0,175.0,,,451.0,469.0,24.0,5.0,19.0,54.0,12.0,32.0,55.0,7.0,,,,,,27.0,,,,,,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Toronto FC II,ajrliesse5lkknkl4599bfk2y,A. Carlini,Midfielder,85,195.0,1.0,1.0,,,55.0,3.0,19.0,28.0,,1.0,,,4.0,,1.0,17.0,22.0,3.0,5.0,,55.0,1.0,5.0,3.0,49.0,1.0,5.0,5.0,15.0,1.0,4.0,,7.0,2.0,1.0,2.0,83.0,3.0,4.0,,24.0,9.0,8.0,10.0,10.0,1.0,1.0,2.0,3.0,2.0,28.0,1.0,1.0,3.0,,17.0,12.0,,,50.0,50.0,4.0,,2.0,18.0,1.0,,7.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Toronto FC II,6rnuvzwbmj7qv80xlwkjvqnkl,J. Chapman,Midfielder,14,90.0,,,,,61.0,1.0,6.0,36.0,,,,,,,2.0,17.0,13.0,1.0,12.0,,61.0,,2.0,3.0,48.0,4.0,,12.0,12.0,2.0,12.0,,8.0,1.0,3.0,,72.0,1.0,1.0,,10.0,18.0,3.0,10.0,7.0,,1.0,1.0,2.0,,14.0,,4.0,1.0,,5.0,25.0,,,49.0,49.0,4.0,,,7.0,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Toronto FC II,3r9olrefhgs3ykciqrvab26wa,N. Christoffersen,Goalkeeper,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2019,Toronto FC II,1y25f0qsrctfq6wjckzzrl1m2,G. Dorsey,Midfielder,19,1792.0,60.0,,2.0,1.0,637.0,15.0,158.0,295.0,11.0,4.0,24.0,14.0,15.0,4.0,29.0,280.0,233.0,34.0,110.0,4.0,647.0,8.0,27.0,37.0,494.0,26.0,27.0,134.0,52.0,23.0,143.0,8.0,98.0,22.0,24.0,30.0,1080.0,22.0,10.0,5.0,178.0,177.0,75.0,10.0,112.0,12.0,19.0,24.0,19.0,22.0,226.0,12.0,30.0,22.0,,85.0,260.0,,1.0,504.0,513.0,48.0,4.0,28.0,114.0,6.0,13.0,93.0,29.0,,5.0,,15.0,5.0,7.0,14.0,,,9.0,1.0,39.0,9.0,1.0,3.0,,,4.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,2.0,,,,,,,
USA_USL_League_One,2019,Toronto FC II,13wkddshf1c9zrygeg7r3s6w9,J. Dunn,Defender,52,585.0,,1.0,,,298.0,1.0,17.0,68.0,6.0,,25.0,1.0,1.0,,3.0,51.0,192.0,8.0,22.0,2.0,307.0,2.0,6.0,4.0,243.0,9.0,2.0,47.0,49.0,,30.0,,25.0,7.0,5.0,17.0,381.0,8.0,2.0,7.0,21.0,122.0,6.0,10.0,26.0,1.0,17.0,,14.0,,38.0,28.0,9.0,8.0,,9.0,119.0,1.0,,252.0,260.0,17.0,3.0,6.0,12.0,2.0,11.0,12.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
