liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Crosses open play,Rightside Passes,Penalties Conceded,Blocked Shots,Ground Duels won,Total Shots,Goal Assists,Unsuccessful Crosses open play,Successful Corners into Box,Goals Conceded,Overruns,Foul Attempted Tackle,Clearances Off the Line,Aerial Duels lost,Successful Launches,Goals Conceded Inside Box,Second Goal Assists,Total Losses Of Possession,Yellow Cards,Unsuccessful Corners into Box,Starts,Unsuccessful Passes Own Half,Total Clearances,Corners Taken (incl short corners),Times Tackled,Games Played,Through balls,Successful Lay-offs,PutThrough/Blocked Distribution Won,Unsuccessful Long Passes,Right Foot Goals,Leftside Passes,Penalties Taken,Tackles Won,Successful Short Passes,Successful Long Passes,Blocks,Successful Passes Opposition Half,Backward Passes,Successful Open Play Passes,Index,Penalty Goals Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Open Play Passes,Attempts from Set Pieces,Corners Won,GK Successful Distribution,Unsuccessful Dribbles,Recoveries,Goals Conceded Outside Box,Throw Ins to Own Player,Offsides,Key Passes (Attempt Assists),Goals from Inside Box,Shots On Target ( inc goals ),Total Tackles,Total Fouls Won,Appearances,Ground Duels lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Goals from Outside Box,Duels won,Assists (Intentional),Aerial Duels won,Total Fouls Conceded,Duels lost,Unsuccessful Short Passes,Forward Passes,Touches,Aerial Duels,Goals,Interceptions,Penalty Goals,PutThrough/Blocked Distribution,Total Passes,Unsuccessful Passes Opposition Half,Total Touches In Opposition Box,Successful Dribbles,Successful Passes Own Half,Clean Sheets,Unsuccessful Launches,Time Played,Duels,Tackles Lost,Shots Off Target (inc woodwork),Successful Crosses & Corners,Goal Kicks,Handballs conceded,Set Pieces Goals,Ground Duels,Unsuccessful Crosses & Corners,Home Goals,Away Goals,Winning Goal,Saves Made from Outside Box,Goalkeeper Smother,GK Unsuccessful Distribution,Punches,Saves made - parried,Saves Made,Saves Made from Inside Box,Drops,Catches,Penalties Faced,Foul Won Penalty,Headed Goals,Hit Woodwork,Substitute Off,Substitute On,Throw Ins to Opposition Player,Last Player Tackle,Left Foot Goals,Own Goal Scored,Unsuccessful lay-offs,Penalties Saved,Saves made - caught,Saves from Penalty,Total Red Cards,Red Cards - 2nd Yellow,Straight Red Cards,Other Goals,Crosses not Claimed,Penalties Off Target
USA_MLS_Next_Pro,2024,North Texas SC,9ijn337qvh3y0mhmxow5sawdm,A. Anguiano,Midfielder,40,,1.0,,,1.0,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,2.0,,,5.0,,,2.0,1.0,5.0,10.0,,5.0,6.0,,,,,,,2.0,,,,,,,1.0,2.0,1.0,,1.0,,,1.0,2.0,1.0,2.0,10.0,,,,,,6.0,1.0,,1.0,3.0,,,10.0,3.0,,,,,,,3.0,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,North Texas SC,741wavjzdmc04j4i8a3chq9zo,D. Baran,Forward,36,4.0,53.0,,1.0,19.0,6.0,1.0,6.0,,10.0,2.0,5.0,,5.0,,8.0,,74.0,1.0,1.0,3.0,8.0,2.0,3.0,17.0,14.0,3.0,3.0,5.0,2.0,,28.0,,1.0,113.0,4.0,,75.0,36.0,114.0,10.0,,117.0,147.0,,6.0,,6.0,20.0,2.0,2.0,,6.0,,5.0,1.0,9.0,14.0,25.0,33.0,,19.0,1.0,,7.0,30.0,31.0,33.0,243.0,5.0,,1.0,,10.0,150.0,32.0,19.0,9.0,46.0,,,507.0,49.0,,1.0,4.0,,,,44.0,7.0,,,0.0,,,,,,,,,,,,,,2.0,11.0,1.0,,,,1.0,,,,,,,,,
USA_MLS_Next_Pro,2024,North Texas SC,608d9yxcn99up33girsspyaga,A. Carrera,Goalkeeper,13,,40.0,,,2.0,,,,,4.0,,,,,2.0,3.0,,24.0,,,4.0,8.0,5.0,,,4.0,,,,23.0,,56.0,,1.0,111.0,18.0,,3.0,,120.0,10.0,,129.0,142.0,,,21.0,,42.0,1.0,,,,,,1.0,1.0,4.0,,24.0,,4.0,,2.0,,,1.0,57.0,193.0,2.0,,,,1.0,153.0,16.0,,,126.0,1.0,15.0,360.0,4.0,,,,6.0,,,2.0,,,,0.0,5.0,1.0,,,1.0,12.0,7.0,,4.0,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,North Texas SC,4f0zvh7icqyfwv6buoq9zd5w4,I. Charles,Midfielder,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,North Texas SC,6agfr3usj1pblrbq2i9mdpmcq,M. Collodi,Goalkeeper,30,,226.0,,,6.0,,1.0,,,33.0,,,,,31.0,26.0,,245.0,,,27.0,86.0,31.0,,,27.0,,1.0,,216.0,,304.0,,,623.0,144.0,,54.0,,654.0,10.0,1.0,767.0,821.0,,,227.0,,300.0,7.0,1.0,,1.0,,,1.0,3.0,27.0,5.0,234.0,,13.0,,7.0,1.0,5.0,18.0,471.0,1342.0,7.0,,1.0,,2.0,1001.0,149.0,,3.0,713.0,6.0,122.0,2381.0,18.0,1.0,,,99.0,1.0,,11.0,1.0,,,0.0,29.0,5.0,40.0,11.0,15.0,92.0,62.0,1.0,29.0,3.0,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,
USA_MLS_Next_Pro,2024,North Texas SC,32zkl0xfnbj3sgjmq8esn4wt0,J. Contreras,Midfielder,42,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,1.0,,,1.0,,,4.0,,,6.0,,,4.0,,6.0,10.0,,6.0,6.0,,,,,2.0,,,,,,,,,1.0,,,,,,,,1.0,,2.0,10.0,1.0,,,,1.0,6.0,,1.0,,2.0,,,10.0,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,North Texas SC,42qfid10xd86ufhqaxn3sonpw,C. Cook,Midfielder,47,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,1.0,,,,,,2.0,,,4.0,,,3.0,1.0,4.0,10.0,,4.0,4.0,,,,,,,,,,,,,,1.0,2.0,,,,,,,2.0,,,7.0,,,,,,4.0,,,,1.0,,,10.0,2.0,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,North Texas SC,rtca480n5ehey5ffvt8nudck,H. Endeley,Defender,27,11.0,53.0,,7.0,112.0,13.0,6.0,26.0,,22.0,14.0,9.0,1.0,13.0,3.0,18.0,,299.0,5.0,,23.0,44.0,22.0,,89.0,23.0,3.0,5.0,17.0,31.0,1.0,282.0,,25.0,693.0,31.0,4.0,341.0,309.0,698.0,10.0,1.0,724.0,806.0,,16.0,,55.0,102.0,4.0,125.0,5.0,11.0,3.0,6.0,37.0,36.0,23.0,122.0,110.0,,123.0,6.0,11.0,20.0,135.0,79.0,190.0,1395.0,24.0,3.0,16.0,,49.0,834.0,92.0,71.0,39.0,394.0,4.0,21.0,1930.0,258.0,12.0,7.0,11.0,,1.0,,234.0,26.0,2.0,1.0,0.0,,,,,,,,,,,1.0,,1.0,11.0,,17.0,,2.0,,1.0,,,,,,,,,
USA_MLS_Next_Pro,2024,North Texas SC,bijyc7qlb2849vos6kn7kd0yc,L. Farrington,Forward,23,,12.0,,4.0,19.0,12.0,2.0,,,3.0,1.0,1.0,,7.0,,2.0,,36.0,,,5.0,5.0,3.0,,9.0,5.0,,6.0,1.0,2.0,1.0,33.0,,2.0,83.0,,,65.0,38.0,79.0,10.0,,83.0,95.0,3.0,5.0,,6.0,6.0,1.0,2.0,2.0,4.0,1.0,4.0,4.0,9.0,5.0,15.0,16.0,1.0,20.0,2.0,1.0,4.0,22.0,14.0,16.0,169.0,8.0,2.0,,,4.0,99.0,11.0,27.0,6.0,18.0,1.0,1.0,350.0,42.0,2.0,8.0,,,,1.0,34.0,,2.0,0.0,1.0,,,,,,,,,,,,,2.0,4.0,,,,1.0,,,,,,,,,,,
USA_MLS_Next_Pro,2024,North Texas SC,6ggqe5gi2w2jjclmbjev6dd78,Pedrinho,Midfielder,10,3.0,172.0,,12.0,70.0,36.0,8.0,4.0,14.0,16.0,4.0,10.0,,8.0,2.0,12.0,,315.0,4.0,17.0,18.0,30.0,8.0,33.0,86.0,23.0,6.0,19.0,3.0,28.0,10.0,158.0,2.0,14.0,476.0,51.0,2.0,337.0,151.0,507.0,10.0,,527.0,648.0,8.0,15.0,,43.0,74.0,4.0,4.0,3.0,41.0,12.0,26.0,20.0,19.0,23.0,114.0,147.0,1.0,76.0,5.0,6.0,18.0,122.0,119.0,193.0,1032.0,14.0,13.0,9.0,2.0,22.0,674.0,147.0,87.0,31.0,210.0,3.0,7.0,1590.0,198.0,6.0,10.0,20.0,,,1.0,184.0,30.0,11.0,2.0,5.0,,,,,,,,,,,1.0,,,11.0,5.0,,,3.0,,3.0,,,,,,,,,
