root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Open Play Passes,Corners Won,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Throw Ins to Opposition Player,Recoveries,Starts,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Aerial Duels won,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Tackles Won,Duels lost,Interceptions,Ground Duels won,Substitute On,Blocks,Successful Lay-offs,Goals,Successful Crosses & Corners,Yellow Cards,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Successful Dribbles,Total Shots,Successful Corners into Box,Blocked Shots,PutThrough/Blocked Distribution,Corners Taken (incl short corners),Goals from Outside Box,Total Touches In Opposition Box,Shots On Target ( inc goals ),Attempts from Set Pieces,Total Fouls Won,Unsuccessful Dribbles,Left Foot Goals,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Goal Assists,Through balls,Tackles Lost,Shots Off Target (inc woodwork),Substitute Off,Saves Made,GK Successful Distribution,Successful Launches,Punches,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Offsides,Unsuccessful lay-offs,Successful Crosses open play,Goals from Inside Box,Right Foot Goals,Other Goals,Clearances Off the Line,Hit Woodwork,Headed Goals,Penalties Taken,Goalkeeper Smother,Penalty Goals Conceded,Crosses not Claimed,Penalties Saved,Penalties Faced,Saves from Penalty,Penalties Conceded,Total Red Cards,Straight Red Cards,Set Pieces Goals,Penalty Goals,Red Cards - 2nd Yellow,Own Goal Scored,Second Goal Assists,Foul Won Penalty
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Canada,Canada,exrcpc76set7w6yubtfsy3cnp,A. Jackson-Hamel,Forward,16,,72,,18,,8,11,,1,3,6,5,1,2,19,3,16,1,3,4,1,3,,2,1,,27,3,1,5,4,10,3,,2,10,1,1,,3,4,3,15,16,5,,1,7,1,1,2,1,1,,,,,,,1,,,,,,2,,,,,,,,1,1,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Canada,Canada,cqmccsnz1p7ja9gsghav1ddxx,D. Jaković,Defender,5,,270,1,110,,5,25,1,4,4,18,73,7,11,113,,92,4,15,20,,10,1,14,3,5,149,3,,12,40,10,14,6,4,20,9,5,,3,2,48,95,98,8,,5,6,7,10,,1,,1,,,2,1,1,1,,1,3,,,4,1,,2,,,,,,,,2,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Canada,Canada,exz7u7nukda9p15cy7s9udplh,M. James,Defender,3,,124,,48,,7,13,,7,5,12,28,4,3,51,3,37,,10,4,,9,,7,1,1,70,2,2,9,21,10,6,4,,14,4,,,2,3,19,38,41,5,1,3,8,5,6,1,,,,,,,,,1,,,,,,2,,,2,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Canada,Canada,62smmy1d3o9sm36mhyw5nrphx,M. Kaye,Midfielder,14,,93,,22,,3,14,,1,,9,4,3,3,22,3,18,1,4,6,,3,,11,1,1,36,2,2,15,9,10,6,,,15,1,1,,2,9,4,18,18,,,1,9,1,6,1,,,,,,,,1,1,,,,,,1,,,2,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Canada,Canada,3rrges782prcprsn207dk4zit,C. Larin,Forward,0,,56,,7,,5,3,,,1,5,5,,1,9,2,8,1,1,1,,1,,,1,,18,1,,4,2,10,2,,2,7,1,2,,1,4,1,6,8,3,,,5,,,,,2,,,,,1,,4,,,,,,3,1,,,2,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Canada,Canada,b1kvp1crj9ha6qn23s7rp3f85,J. Leutwiler,Goalkeeper,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Canada,Canada,a31s7t25qa1llzl3v79x2iimt,J. Osorio,Midfielder,21,1,25,,15,2,4,10,,,2,3,5,1,1,16,,14,,1,3,,2,,3,,,23,1,,2,5,10,2,1,,4,1,,1,1,,4,14,15,2,,1,2,1,2,1,,,,,1,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Canada,Canada,6ptroe7b9vgzimcvzo2fehcr9,M. Petrasso,Midfielder,23,5,360,22,104,2,12,49,3,6,2,56,34,6,20,108,3,80,4,26,6,1,26,10,20,4,5,211,4,1,40,47,10,17,2,1,43,11,5,5,4,24,43,79,82,3,1,4,26,8,16,,1,1,,1,,4,1,4,1,,1,6,,,2,1,,6,5,,,,,,,2,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Canada,Canada,6q37ge46z8a2zlsvqvpdjha6t,S. Piette,Midfielder,6,2,360,,204,,23,88,2,6,4,23,105,10,12,211,8,178,4,18,63,2,17,,36,4,3,264,4,2,28,66,10,18,15,3,35,12,5,2,4,13,59,187,193,7,1,8,17,9,15,,3,5,,,,1,1,1,,,1,3,,,1,,,4,1,,,,,1,,2,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Canada,Canada,68oxh92004pbiboo5b5bf4pg5,T. Ricketts,Forward,11,,33,,14,1,4,2,1,1,,6,7,1,4,14,,9,,5,2,1,5,,7,,,21,1,,4,2,10,5,,1,5,,,,1,,6,9,9,1,,1,,,4,1,,,,,,1,,1,1,,,2,,,3,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Canada,Canada,2v8yemd5tm542bbcl7e4jcatx,A. Straith,Defender,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Canada,Canada,cibach2kp6y1w697co2e4k2c5,R. Teibert,Midfielder,7,2,114,1,73,,18,42,,2,2,16,23,2,8,74,,59,3,10,19,4,10,,10,1,2,88,2,,5,14,10,2,5,,7,,4,2,2,3,23,63,64,2,,2,5,,2,1,,1,,1,,1,1,,1,1,1,4,1,,3,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Canada,Canada,z6po5y26nap863d68tcekhqt,S. Vitória,Defender,19,,326,,104,,2,15,6,7,6,17,76,3,8,106,6,83,4,15,34,,9,,13,4,6,147,4,1,13,38,10,8,8,2,21,20,5,,4,7,32,89,91,8,1,2,13,6,6,,2,,,,2,1,1,,3,,,1,,,4,1,,4,,,,,,,,1,2,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Canada,Canada,ckozved8umsj42boq3tte1byt,M. de Jong,Defender,17,10,270,12,119,3,12,53,8,13,3,46,42,5,16,122,4,85,3,29,46,4,34,3,13,3,6,190,3,2,17,59,10,16,8,5,25,8,4,11,3,6,5,91,93,8,1,5,9,6,11,,1,,,2,,,1,1,4,,2,1,,,3,,,5,,,,,,,,,4,,,,1,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Costa Rica,Costa_Rica,c9tlhc4q94mdlvjwgnl6fono5,J. Acosta,Defender,2,1,360,9,167,1,16,30,5,12,2,28,123,4,7,172,4,143,2,19,52,1,17,2,10,4,4,215,4,2,13,42,10,7,10,1,16,5,3,2,4,7,62,149,153,3,2,3,9,5,6,,1,,,,,5,1,1,1,,,5,1,,,,,1,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Costa Rica,Costa_Rica,5bstk01n6ztaxsklnka1sl3h1,R. Azofeifa,Midfielder,14,,80,,44,,2,14,2,6,2,14,24,2,5,47,,30,,11,12,4,12,,3,1,1,57,2,,2,18,10,2,6,,4,1,1,2,2,,15,34,36,2,,2,2,,2,1,,1,,2,,,1,,1,2,,,4,,,1,1,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Costa Rica,Costa_Rica,8vjv4ix1zqi58118r6tyqhhhx,F. Calvo,Defender,15,6,450,28,197,3,20,73,10,18,6,75,75,14,35,201,6,133,2,53,93,4,49,3,29,5,10,317,5,1,39,82,10,39,15,19,64,12,3,6,5,19,6,145,148,25,3,11,25,15,20,,1,2,1,,,1,1,1,7,,,3,,,13,4,,5,2,,,,,,1,3,3,,,,1,,,,,,,,,1,1,,1,,,,1,1,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Costa Rica,Costa_Rica,bzb96y82gcod1quxxvz6csvyt,J. Campbell,Forward,12,,79,1,22,1,8,10,,,2,8,10,2,3,23,1,18,,3,1,,4,,4,1,,41,2,1,12,7,10,6,2,,14,,,1,2,6,7,20,20,2,,2,8,1,6,1,1,5,,,,1,,1,2,,1,1,1,,,,1,3,2,,1,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Costa Rica,Costa_Rica,c18kxcijnj6h4hjsmdm38k3x1,D. Carvajal,Goalkeeper,23,,90,,11,,,,2,3,,3,18,,,21,,16,,3,2,,3,,4,1,,23,1,,,9,10,,2,,,,,,1,,10,10,18,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Costa Rica,Costa_Rica,2earc7j2kp3tveehpnxtv1exh,C. Gamboa,Defender,16,2,163,6,49,1,6,15,2,3,2,14,27,11,5,50,5,36,1,8,1,1,9,2,9,2,1,81,2,4,22,20,10,16,6,1,25,2,1,2,2,7,23,41,42,3,1,6,9,1,15,,,1,,,1,,,1,,,,1,,,,,,3,1,,,1,,,,5,,1,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Costa Rica,Costa_Rica,5h4u3lqd2vmi373fi8ajsaimt,G. González,Defender,3,,450,9,258,,5,73,9,22,3,53,152,9,24,271,4,199,2,46,30,1,31,4,18,5,15,338,5,2,18,122,10,21,26,10,31,21,3,,5,7,114,212,225,13,3,5,10,10,11,,5,,,,2,,1,,2,,,,,,3,,,2,,,,,,,,4,2,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Costa Rica,Costa_Rica,bfztougycy8o4uslyamsetvx1,K. Gutiérrez,Defender,5,1,200,1,126,,8,41,2,7,2,25,71,3,9,128,3,102,1,16,54,,12,1,6,2,5,160,4,,8,40,10,6,10,2,12,4,2,1,4,4,26,110,112,4,1,3,6,6,4,2,,1,,,1,4,1,,,,1,6,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Costa Rica,Costa_Rica,2r9j2cp5okpsf1t0gq562tgwl,D. Guzmán,Midfielder,20,3,357,,205,8,24,92,4,14,4,60,101,10,15,215,12,156,2,29,52,6,43,,20,4,4,285,5,7,42,75,10,19,30,2,48,3,2,18,5,25,64,178,186,6,2,6,29,2,17,1,,4,,7,1,3,,1,5,7,1,5,20,,2,3,2,6,2,,12,,1,1,,4,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Gold_Cup,2017 USA,Costa Rica,Costa_Rica,4opdmydrp8rdcgeq3r1qlh5ud,J. Leitón,Forward,25,,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,10,,,,,,1,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
