liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Starts,Substitute Off,Successful Launches,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Time Played,Times Tackled,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Winning Goal,Corners Won,Overruns,Substitute On,Successful Dribbles,Throw Ins to Own Player,Total Big Chances Created,Throw Ins to Opposition Player,Handballs conceded,Penalties Conceded,Shots Off Target (inc woodwork),Total Shots,Unsuccessful Dribbles,Goals,Goals Openplay,Goals from Inside Box,Hit Woodwork,Offsides,Right Foot Goals,Shots On Target ( inc goals ),Total Big Chances Missed,Unsuccessful lay-offs,Home Goals,Away Goals,Assists (Intentional),Corners Taken (incl short corners),Goal Assists,Successful Crosses & Corners,Successful Crosses open play,Through balls,Unsuccessful Corners into Box,Red Cards - 2nd Yellow,Total Red Cards,GK Successful Distribution,Goal Kicks,Total Big Chances Saved,Left Foot Goals,Catches,Drops,GK Unsuccessful Distribution,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Total Big Chances Scored,Penalties Taken,Penalty Goals,Successful Corners into Box,Attempts from Set Pieces,Second Goal Assists,Foul Won Penalty,Goals Conceded Outside Box,Goals from Outside Box,Own Goal Scored,Last Player Tackle,Headed Goals,Direct Setpiece Goals,Set Pieces Goals,Clearances Off the Line,Crosses not Claimed,Goalkeeper Smother,Straight Red Cards,Penalties Off Target,Penalties Saved,Saves from Penalty,Other Goals
USA_USL_Championship,2026,Sporting Club Jacksonville,2mxaagzu9rb92z9880yjllbzd,W. Ackwei,Defender,18,18.0,9.0,9.0,3.0,3.0,,1.0,10.0,,25.0,12.0,13.0,2.0,34.0,1.0,3.0,6.0,6.0,7.0,3.0,4.0,8.0,,25.0,71.0,,2.0,3.0,1.0,8.0,12.0,,2.0,1.0,,,2.0,52.0,22.0,33.0,53.0,2.0,,193.0,,16.0,1.0,2.0,20.0,74.0,55.0,2.0,1.0,19.0,112.0,,,6.0,8.0,10.0,9.0,11.0,1.0,0.0,,,1.0,,3.0,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
USA_USL_Championship,2026,Sporting Club Jacksonville,68lho3sxw1cm1acgk4phg9wtm,Ahmad Al Qaq,Midfielder,11,19.0,11.0,8.0,8.0,19.0,3.0,,55.0,,59.0,32.0,27.0,75.0,31.0,5.0,8.0,13.0,11.0,40.0,21.0,19.0,1.0,1.0,22.0,92.0,1.0,28.0,5.0,1.0,12.0,21.0,1.0,4.0,2.0,,4.0,4.0,62.0,47.0,17.0,59.0,2.0,2.0,374.0,6.0,3.0,10.0,10.0,61.0,93.0,63.0,4.0,6.0,30.0,165.0,5.0,5.0,,5.0,34.0,1.0,25.0,2.0,0.0,2.0,1.0,4.0,5.0,3.0,,3.0,1.0,,1.0,2.0,5.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,0.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
USA_USL_Championship,2026,Sporting Club Jacksonville,632mpv8dpnxjm69f8ip1e4l5g,D. Armstrong,Forward,77,22.0,16.0,6.0,8.0,15.0,3.0,1.0,59.0,,90.0,59.0,31.0,72.0,56.0,5.0,8.0,14.0,12.0,68.0,43.0,25.0,8.0,3.0,29.0,118.0,2.0,36.0,8.0,5.0,21.0,19.0,3.0,5.0,3.0,1.0,3.0,4.0,93.0,55.0,39.0,90.0,5.0,9.0,488.0,29.0,7.0,10.0,8.0,90.0,119.0,94.0,14.0,8.0,25.0,267.0,10.0,10.0,1.0,5.0,30.0,5.0,20.0,2.0,0.0,4.0,1.0,3.0,3.0,19.0,1.0,5.0,1.0,1.0,2.0,2.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,
USA_USL_Championship,2026,Sporting Club Jacksonville,3d44f82fs6n5074g64ckx7dre,J. Casas,Goalkeeper,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Sporting Club Jacksonville,3lafo3mzfkp2kmf2fj8d6lnv8,E. Dudley,Defender,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Sporting Club Jacksonville,9o2dyl3cbm2ni3874doydh49h,R. Edwards,Defender,15,28.0,10.0,18.0,6.0,17.0,2.0,9.0,44.0,,49.0,21.0,28.0,7.0,94.0,3.0,6.0,12.0,10.0,21.0,11.0,10.0,5.0,1.0,74.0,210.0,1.0,23.0,6.0,4.0,18.0,37.0,1.0,6.0,,6.0,,17.0,165.0,48.0,126.0,157.0,3.0,2.0,540.0,1.0,40.0,10.0,3.0,53.0,222.0,174.0,5.0,5.0,48.0,302.0,1.0,1.0,11.0,20.0,35.0,14.0,28.0,2.0,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
USA_USL_Championship,2026,Sporting Club Jacksonville,6oia90bi52zwmgdlvcvfnj1pm,J. Evans,Midfielder,7,9.0,6.0,3.0,7.0,5.0,1.0,,28.0,,20.0,12.0,8.0,30.0,34.0,1.0,7.0,4.0,3.0,11.0,6.0,5.0,3.0,1.0,24.0,91.0,,11.0,2.0,,12.0,29.0,1.0,3.0,3.0,,,5.0,71.0,55.0,18.0,67.0,1.0,2.0,215.0,3.0,2.0,1.0,1.0,29.0,92.0,72.0,3.0,2.0,20.0,119.0,2.0,2.0,4.0,6.0,18.0,4.0,14.0,,0.0,1.0,,4.0,1.0,,,,,,,2.0,1.0,,,,,,,2.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_USL_Championship,2026,Sporting Club Jacksonville,ec3xdenc4ncg4sc8ni4kkyln8,A. Gomez,Defender,22,32.0,13.0,19.0,8.0,17.0,,3.0,66.0,,77.0,35.0,42.0,17.0,130.0,6.0,8.0,17.0,16.0,45.0,22.0,23.0,18.0,,71.0,272.0,1.0,31.0,9.0,6.0,24.0,69.0,,8.0,1.0,4.0,,30.0,219.0,85.0,148.0,202.0,6.0,9.0,709.0,3.0,46.0,14.0,2.0,75.0,287.0,232.0,15.0,3.0,55.0,423.0,2.0,2.0,15.0,32.0,45.0,12.0,23.0,4.0,0.0,1.0,,,6.0,3.0,,6.0,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,
USA_USL_Championship,2026,Sporting Club Jacksonville,636f90su4fdbnanw6y8a16dey,L. Granitur,Forward,26,1.0,1.0,,3.0,3.0,,1.0,9.0,,7.0,6.0,1.0,8.0,9.0,,3.0,4.0,4.0,6.0,5.0,1.0,1.0,,3.0,17.0,,4.0,2.0,2.0,4.0,2.0,,1.0,1.0,,,,11.0,7.0,5.0,11.0,,1.0,86.0,3.0,6.0,1.0,,13.0,17.0,11.0,1.0,,6.0,41.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,1.0,0.0,,,2.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Sporting Club Jacksonville,b4yoqxd5ycft80uyvouonjgq2,E. Jääskeläinen,Forward,16,137.0,68.0,69.0,9.0,46.0,2.0,3.0,33.0,,215.0,104.0,111.0,118.0,72.0,6.0,9.0,20.0,18.0,78.0,36.0,42.0,2.0,3.0,37.0,164.0,2.0,13.0,3.0,1.0,12.0,25.0,4.0,9.0,1.0,1.0,8.0,3.0,87.0,66.0,37.0,100.0,2.0,2.0,807.0,16.0,12.0,21.0,33.0,121.0,180.0,103.0,4.0,28.0,77.0,327.0,1.0,1.0,2.0,3.0,69.0,9.0,74.0,3.0,0.0,,,,7.0,1.0,,,1.0,,9.0,15.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,3.0,3.0,0.0,1.0,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,
