liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Successful Lay-offs,Successful Launches,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,Unsuccessful Passes Own Half,Touches,Appearances,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Penalties Conceded,Successful Corners into Box,Corners Taken (incl short corners),Attempts from Set Pieces,Unsuccessful Corners into Box,Clearances Off the Line,Goals from Inside Box,Penalties Taken,Penalty Goals,Saves Made,GK Successful Distribution,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Left Foot Goals,Last Man Tackle,Total Touches In Opposition Box,Foul Won Penalty,Headed Goals,Own Goal Scored,Punches,Goalkeeper Smother,Drops,Penalties Faced,Other Goals,Crosses not Claimed,Penalties Saved,Saves from Penalty,Penalties Off Target,Set Pieces Goals
USA_MLS,2013,New England Revolution,4695nvcz8lcrklltxvalcizmd,J. Agudelo,Forward,10.0,22.0,9.0,2.0,,,,5.0,6.0,7.0,15.0,1612.0,1.0,66.0,,7.0,528.0,9.0,185.0,1.0,292.0,,3.0,10.0,4.0,58.0,303.0,101.0,20.0,134.0,529.0,63.0,17.0,384.0,17.0,24.0,137.0,111.0,13.0,129.0,8.0,,64.0,17.0,15.0,858.0,22.0,1.0,237.0,,117.0,97.0,114.0,14.0,8.0,1.0,43.0,34.0,32.0,329.0,15.0,21.0,7.0,1.0,,1.0,157.0,116.0,391.0,392.0,92.0,5.0,13.0,2.0,4.0,19.0,215.0,1.0,7.0,80.0,,,,,,,9.0,,,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,
USA_MLS,2013,New England Revolution,1afsq18lr7xfdzwhtkmibqsb9,K. Alston,Defender,30.0,9.0,,,,,,3.0,4.0,3.0,,523.0,41.0,1.0,1.0,,138.0,1.0,30.0,,44.0,8.0,11.0,1.0,,8.0,96.0,58.0,13.0,25.0,138.0,7.0,5.0,99.0,4.0,2.0,36.0,36.0,1.0,31.0,,39.0,26.0,6.0,8.0,318.0,9.0,1.0,43.0,,65.0,48.0,36.0,1.0,3.0,,11.0,7.0,2.0,58.0,23.0,4.0,3.0,,,,14.0,7.0,102.0,102.0,15.0,2.0,,,,13.0,22.0,,18.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2013,New England Revolution,1bctghw908bfup67le11sv0lx,D. Barnes,Defender,25.0,8.0,,1.0,,,,2.0,2.0,,,621.0,22.0,,2.0,,113.0,,14.0,,46.0,7.0,9.0,1.0,2.0,16.0,82.0,33.0,20.0,26.0,114.0,4.0,2.0,72.0,7.0,1.0,35.0,27.0,,19.0,,32.0,25.0,6.0,16.0,249.0,8.0,3.0,36.0,,63.0,75.0,41.0,,7.0,,6.0,13.0,,65.0,27.0,9.0,,,,1.0,8.0,10.0,78.0,79.0,29.0,3.0,,1.0,,18.0,24.0,2.0,12.0,28.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_MLS,2013,New England Revolution,d456kwxcb0puaj7bpi94ewyj9,C. Barrett,Forward,9.0,21.0,2.0,2.0,,,,13.0,8.0,6.0,1.0,669.0,6.0,22.0,2.0,1.0,251.0,8.0,57.0,1.0,119.0,1.0,5.0,4.0,3.0,24.0,136.0,55.0,11.0,74.0,252.0,6.0,9.0,163.0,4.0,9.0,79.0,58.0,7.0,78.0,2.0,,33.0,8.0,7.0,379.0,21.0,3.0,67.0,,67.0,100.0,60.0,5.0,10.0,1.0,9.0,31.0,6.0,122.0,13.0,7.0,6.0,,,1.0,38.0,70.0,173.0,173.0,55.0,,6.0,2.0,1.0,9.0,62.0,2.0,1.0,29.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
USA_MLS,2013,New England Revolution,2y6kfz5hnxko88564nhbslo0l,J. Bengtson,Forward,27.0,17.0,1.0,2.0,,,,5.0,7.0,3.0,12.0,1060.0,2.0,18.0,,,208.0,5.0,58.0,2.0,98.0,,1.0,11.0,3.0,67.0,147.0,34.0,9.0,77.0,208.0,28.0,4.0,126.0,10.0,19.0,78.0,50.0,10.0,72.0,1.0,,29.0,12.0,9.0,356.0,17.0,1.0,90.0,,53.0,45.0,63.0,8.0,4.0,2.0,13.0,37.0,8.0,194.0,5.0,13.0,3.0,5.0,,,64.0,47.0,130.0,130.0,104.0,1.0,7.0,,2.0,7.0,131.0,2.0,3.0,26.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
USA_MLS,2013,New England Revolution,43iq0adnp6o9uxn32482kn845,S. Caldwell,Midfielder,6.0,31.0,,3.0,,,,8.0,4.0,,1.0,2268.0,5.0,29.0,5.0,,1010.0,1.0,139.0,1.0,471.0,13.0,16.0,2.0,7.0,25.0,253.0,379.0,65.0,158.0,1023.0,38.0,5.0,782.0,24.0,3.0,174.0,279.0,16.0,135.0,3.0,,155.0,23.0,39.0,1348.0,31.0,9.0,168.0,,346.0,32.0,101.0,1.0,67.0,1.0,20.0,11.0,6.0,204.0,65.0,31.0,,3.0,,1.0,78.0,259.0,837.0,849.0,36.0,7.0,1.0,1.0,4.0,49.0,103.0,16.0,43.0,90.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
USA_MLS,2013,New England Revolution,2ffelde11cbp8djabepk81dxx,K. Cissé,Midfielder,4.0,6.0,,2.0,,,,,3.0,,,456.0,1.0,5.0,1.0,,228.0,,30.0,1.0,104.0,,5.0,1.0,1.0,4.0,55.0,94.0,7.0,33.0,235.0,11.0,1.0,182.0,4.0,2.0,38.0,58.0,1.0,27.0,,,39.0,6.0,11.0,302.0,6.0,1.0,31.0,,73.0,29.0,19.0,1.0,15.0,1.0,2.0,9.0,1.0,44.0,13.0,5.0,,2.0,,,21.0,74.0,190.0,197.0,13.0,2.0,1.0,,1.0,4.0,25.0,3.0,18.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2013,New England Revolution,ncf4istx07zcs21x7pdb0gyd,C. Davies,Forward,99.0,4.0,,,,,,4.0,,,,23.0,,1.0,,,9.0,2.0,3.0,,7.0,,,,,1.0,9.0,1.0,,1.0,9.0,,,8.0,,,1.0,1.0,,1.0,,,1.0,,,18.0,4.0,,4.0,,,1.0,,,,,,,3.0,5.0,,,,,,,4.0,5.0,8.0,8.0,1.0,,1.0,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2013,New England Revolution,4en6ldrp8d1xcq7aztrzgbwet,A. Dorman,Midfielder,12.0,14.0,1.0,,2.0,2.0,,9.0,2.0,1.0,,535.0,,4.0,5.0,1.0,234.0,,22.0,,100.0,9.0,17.0,2.0,1.0,16.0,84.0,72.0,19.0,46.0,235.0,11.0,,161.0,7.0,5.0,63.0,48.0,3.0,55.0,1.0,,30.0,5.0,9.0,321.0,14.0,2.0,53.0,,99.0,37.0,39.0,3.0,11.0,,10.0,10.0,3.0,79.0,16.0,8.0,1.0,,,1.0,24.0,66.0,171.0,172.0,26.0,1.0,,1.0,1.0,14.0,40.0,5.0,12.0,29.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
USA_MLS,2013,New England Revolution,eljmsukj15u37d8x0jga4o6vp,B. Duckett,Defender,16.0,1.0,,,,,,,,,,90.0,2.0,,,,14.0,,,,5.0,4.0,2.0,,,1.0,14.0,2.0,2.0,5.0,14.0,,,6.0,,,7.0,1.0,1.0,5.0,,5.0,3.0,1.0,2.0,41.0,1.0,,6.0,,8.0,10.0,4.0,,1.0,,1.0,1.0,,8.0,4.0,,,,,,3.0,5.0,7.0,7.0,2.0,1.0,,,,2.0,4.0,,9.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
